"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","12.38","12.82","12.88","12.29","2.06M","-3.96%"
"Aug 30, 2020","12.89","12.89","12.89","12.89","-","0.00%"
"Aug 28, 2020","12.89","12.85","12.94","12.54","2.07M","2.46%"
"Aug 27, 2020","12.58","12.55","13.15","12.45","3.19M","2.36%"
"Aug 26, 2020","12.29","12.44","12.44","12.11","2.16M","-2.69%"
"Aug 25, 2020","12.63","13.12","13.12","12.28","2.71M","-2.55%"
"Aug 24, 2020","12.96","12.05","12.96","11.83","3.10M","9.64%"
"Aug 23, 2020","11.82","11.82","11.82","11.82","-","0.00%"
"Aug 21, 2020","11.82","11.93","12.13","11.78","1.82M","-2.07%"
"Aug 20, 2020","12.07","12.05","12.17","11.79","1.98M","-2.35%"
"Aug 19, 2020","12.36","12.48","12.83","12.27","1.87M","-0.24%"
"Aug 18, 2020","12.39","12.73","12.85","12.33","2.03M","-3.20%"
"Aug 17, 2020","12.80","13.64","13.64","12.73","2.52M","-5.11%"
"Aug 14, 2020","13.49","13.00","13.70","12.76","1.72M","2.74%"
"Aug 13, 2020","13.13","13.00","13.61","12.81","1.98M","-1.72%"
"Aug 12, 2020","13.36","14.25","14.25","12.98","3.20M","-2.12%"
"Aug 11, 2020","13.65","14.17","14.71","13.54","5.33M","1.64%"
"Aug 10, 2020","13.43","12.43","13.44","12.43","3.35M","9.54%"
"Aug 09, 2020","12.26","12.26","12.26","12.26","-","0.00%"
"Aug 08, 2020","12.26","12.26","12.26","12.26","-","0.00%"
"Aug 07, 2020","12.26","11.86","12.26","11.78","2.46M","1.74%"
"Aug 06, 2020","12.05","12.17","12.25","11.83","2.53M","-1.47%"
"Aug 05, 2020","12.23","11.25","12.24","11.25","3.18M","10.48%"
"Aug 04, 2020","11.07","10.83","11.23","10.83","1.75M","2.22%"
"Aug 03, 2020","10.83","10.38","10.88","9.92","2.90M","4.34%"
"Aug 02, 2020","10.38","10.38","10.38","10.38","-","0.00%"
"Jul 31, 2020","10.38","10.80","10.81","9.98","3.33M","-3.62%"
"Jul 30, 2020","10.77","10.62","11.00","10.47","2.69M","-3.15%"
"Jul 29, 2020","11.12","11.57","11.57","10.76","3.30M","-2.46%"
"Jul 28, 2020","11.40","11.25","11.72","11.16","2.19M","1.06%"
"Jul 27, 2020","11.28","11.80","11.80","11.14","2.24M","-3.92%"
"Jul 26, 2020","11.74","11.74","11.74","11.74","-","0.00%"
"Jul 25, 2020","11.74","11.74","11.74","11.74","-","0.00%"
"Jul 24, 2020","11.74","12.19","12.56","11.64","2.89M","-4.32%"
"Jul 23, 2020","12.27","12.55","12.98","12.09","3.57M","-3.00%"
"Jul 22, 2020","12.65","11.88","12.66","11.85","2.16M","4.20%"
"Jul 21, 2020","12.14","12.00","12.48","11.86","3.57M","5.93%"
"Jul 20, 2020","11.46","11.80","11.80","11.23","2.07M","-3.70%"
"Jul 17, 2020","11.90","12.02","12.15","11.64","1.75M","0.17%"
"Jul 16, 2020","11.88","11.96","12.14","11.55","2.90M","-3.02%"
"Jul 15, 2020","12.25","11.87","12.37","11.77","4.68M","10.66%"
"Jul 14, 2020","11.07","10.57","11.08","10.23","3.90M","4.93%"
"Jul 13, 2020","10.55","11.13","11.49","10.46","3.37M","-2.22%"
"Jul 12, 2020","10.79","10.79","10.79","10.79","-","0.00%"
"Jul 11, 2020","10.79","10.79","10.79","10.79","-","0.00%"
"Jul 10, 2020","10.79","10.09","10.79","10.00","2.18M","6.52%"
"Jul 09, 2020","10.13","11.13","11.17","10.10","4.62M","-11.22%"
"Jul 08, 2020","11.41","11.47","11.69","11.03","2.15M","0.35%"
"Jul 07, 2020","11.37","12.30","12.40","11.34","3.43M","-10.40%"
"Jul 06, 2020","12.69","12.79","12.90","12.13","3.37M","4.88%"
"Jul 05, 2020","12.10","12.10","12.10","12.10","-","0.00%"
"Jul 04, 2020","12.10","12.10","12.10","12.10","-","0.00%"
"Jul 02, 2020","12.10","12.75","12.98","12.03","3.11M","0.83%"
"Jul 01, 2020","12.00","12.56","13.06","11.92","2.56M","-2.68%"
"Jun 30, 2020","12.33","12.39","12.51","11.87","2.51M","-4.79%"
"Jun 29, 2020","12.95","11.80","12.95","11.48","3.68M","17.30%"
"Jun 26, 2020","11.04","11.46","11.66","10.84","2.74M","-5.80%"
"Jun 25, 2020","11.72","11.00","11.72","10.85","2.26M","1.12%"
"Jun 24, 2020","11.59","12.95","12.95","11.37","3.61M","-13.25%"
"Jun 23, 2020","13.36","13.93","14.02","13.10","2.09M","-2.98%"
"Jun 22, 2020","13.77","13.32","13.82","12.91","2.10M","1.77%"
"Jun 19, 2020","13.53","14.92","15.06","13.29","2.66M","-5.85%"
"Jun 18, 2020","14.37","14.16","14.86","13.96","1.96M","-1.58%"
"Jun 17, 2020","14.60","15.13","15.20","14.46","1.68M","-3.50%"
"Jun 16, 2020","15.13","16.36","16.47","14.50","3.75M","4.78%"
"Jun 15, 2020","14.44","12.71","14.71","12.33","3.07M","2.63%"
"Jun 12, 2020","14.07","15.00","15.03","13.00","4.32M","9.15%"
"Jun 11, 2020","12.89","13.94","15.25","12.69","4.72M","-25.10%"
"Jun 10, 2020","17.21","18.50","18.56","16.75","3.97M","-9.71%"
"Jun 09, 2020","19.06","20.13","20.13","18.82","3.29M","-10.14%"
"Jun 08, 2020","21.21","21.06","21.48","20.55","4.36M","11.11%"
"Jun 07, 2020","19.09","19.09","19.09","19.09","-","0.00%"
"Jun 05, 2020","19.09","19.40","20.44","18.65","4.36M","14.31%"
"Jun 04, 2020","16.70","16.25","17.06","15.95","3.97M","4.77%"
"Jun 03, 2020","15.94","14.23","16.00","14.23","3.26M","16.61%"
"Jun 02, 2020","13.67","13.83","13.95","13.44","1.72M","0.15%"
"Jun 01, 2020","13.65","13.38","14.06","13.38","2.56M","3.33%"
"May 29, 2020","13.21","13.22","13.53","12.63","2.51M","-3.79%"
"May 28, 2020","13.73","15.01","15.01","13.65","4.44M","-1.08%"
"May 27, 2020","13.88","13.05","13.90","12.54","3.53M","15.19%"
"May 26, 2020","12.05","12.07","12.40","11.86","2.09M","11.99%"
"May 22, 2020","10.76","11.00","11.13","10.43","965.81K","-0.46%"
"May 21, 2020","10.81","10.34","11.05","10.34","1.71M","6.40%"
"May 20, 2020","10.16","10.53","10.63","10.15","1.40M","1.80%"
"May 19, 2020","9.98","10.38","10.76","9.96","1.61M","-4.59%"
"May 18, 2020","10.46","9.60","10.62","9.60","2.11M","23.06%"
"May 15, 2020","8.50","8.26","8.69","8.19","979.74K","-1.51%"
"May 14, 2020","8.63","8.25","8.63","7.67","1.75M","-1.03%"
"May 13, 2020","8.72","9.42","9.42","8.45","1.71M","-8.88%"
"May 12, 2020","9.57","10.43","10.55","9.56","1.18M","-7.00%"
"May 11, 2020","10.29","10.48","10.52","10.06","992.15K","-4.37%"
"May 10, 2020","10.76","10.76","10.76","10.76","-","0.00%"
"May 09, 2020","10.76","10.76","10.76","10.76","-","0.00%"
"May 08, 2020","10.76","10.00","10.82","10.00","1.39M","11.62%"
"May 07, 2020","9.64","9.64","10.03","9.46","1.25M","3.32%"
"May 06, 2020","9.33","10.05","10.15","9.28","1.06M","-6.23%"
