"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","284.28","286.20","286.31","283.93","4.07M","-0.84%"
"Aug 30, 2020","286.70","286.70","286.70","286.70","-","0.00%"
"Aug 28, 2020","286.70","286.23","287.45","285.00","2.72M","0.58%"
"Aug 27, 2020","285.04","284.40","286.45","283.83","3.43M","0.57%"
"Aug 26, 2020","283.43","282.58","283.60","281.60","2.65M","0.29%"
"Aug 25, 2020","282.62","284.00","284.08","281.02","3.35M","-0.20%"
"Aug 24, 2020","283.18","279.29","283.18","279.29","2.62M","1.39%"
"Aug 23, 2020","279.29","279.29","279.29","279.29","-","0.00%"
"Aug 21, 2020","279.29","277.04","279.61","276.86","2.60M","0.51%"
"Aug 20, 2020","277.87","276.06","278.31","275.87","2.06M","0.16%"
"Aug 19, 2020","277.43","278.70","279.70","277.05","3.37M","-0.28%"
"Aug 18, 2020","278.20","279.11","279.36","277.15","1.68M","-0.27%"
"Aug 17, 2020","278.95","280.22","280.25","278.52","2.44M","-0.30%"
"Aug 14, 2020","279.80","278.23","280.16","277.90","2.25M","0.14%"
"Aug 13, 2020","279.42","279.31","280.21","278.27","1.67M","-0.22%"
"Aug 12, 2020","280.04","279.85","280.74","278.74","2.65M","1.03%"
"Aug 11, 2020","277.19","280.99","281.77","276.47","4.55M","-0.34%"
"Aug 10, 2020","278.14","274.62","278.26","274.62","2.31M","1.28%"
"Aug 09, 2020","274.62","274.62","274.62","274.62","-","0.00%"
"Aug 08, 2020","274.62","274.62","274.62","274.62","-","0.00%"
"Aug 07, 2020","274.62","273.21","274.80","272.49","2.31M","0.26%"
"Aug 06, 2020","273.90","271.63","274.00","271.58","1.95M","0.70%"
"Aug 05, 2020","272.00","269.98","272.26","269.91","2.13M","1.34%"
"Aug 04, 2020","268.41","266.72","268.41","266.06","1.91M","0.63%"
"Aug 03, 2020","266.72","265.74","267.11","265.40","2.57M","0.90%"
"Aug 02, 2020","264.35","264.35","264.35","264.35","-","0.00%"
"Jul 31, 2020","264.35","263.76","264.49","260.18","3.32M","0.41%"
"Jul 30, 2020","263.28","262.52","263.82","259.95","3.06M","-0.84%"
"Jul 29, 2020","265.50","264.19","266.07","263.80","1.92M","0.59%"
"Jul 28, 2020","263.93","265.95","265.95","263.64","1.99M","-0.76%"
"Jul 27, 2020","265.95","264.52","266.29","264.36","2.64M","0.48%"
"Jul 26, 2020","264.69","264.69","264.69","264.69","-","0.00%"
"Jul 25, 2020","264.69","264.69","264.69","264.69","-","0.00%"
"Jul 24, 2020","264.69","264.96","266.28","264.07","2.64M","-0.75%"
"Jul 23, 2020","266.69","269.62","269.75","265.63","2.84M","-1.22%"
"Jul 22, 2020","269.98","268.34","270.32","267.81","2.04M","0.61%"
"Jul 21, 2020","268.34","268.76","270.26","267.65","3.18M","0.57%"
"Jul 20, 2020","266.82","266.55","267.63","265.08","4.02M","0.03%"
"Jul 17, 2020","266.74","267.95","268.07","266.17","3.42M","-0.27%"
"Jul 16, 2020","267.47","267.12","268.89","266.13","2.48M","-0.54%"
"Jul 15, 2020","268.91","270.42","270.51","267.05","5.22M","0.87%"
"Jul 14, 2020","266.59","260.70","267.05","260.13","7.61M","2.13%"
"Jul 13, 2020","261.04","263.13","266.51","260.62","4.88M","0.08%"
"Jul 12, 2020","260.82","260.82","260.82","260.82","-","0.00%"
"Jul 11, 2020","260.82","260.82","260.82","260.82","-","0.00%"
"Jul 10, 2020","260.82","257.23","261.14","256.46","3.11M","1.39%"
"Jul 09, 2020","257.24","260.92","261.19","255.41","4.00M","-1.33%"
"Jul 08, 2020","260.72","259.65","261.19","258.28","2.84M","0.65%"
"Jul 07, 2020","259.04","261.10","261.85","258.78","2.83M","-1.51%"
"Jul 06, 2020","263.00","262.14","263.06","260.93","2.99M","1.77%"
"Jul 05, 2020","258.42","258.42","258.42","258.42","-","0.00%"
"Jul 04, 2020","258.42","258.42","258.42","258.42","-","0.00%"
"Jul 02, 2020","258.42","261.17","262.16","257.90","3.83M","0.43%"
"Jul 01, 2020","257.31","258.80","260.23","257.15","3.58M","-0.22%"
"Jun 30, 2020","257.87","255.07","259.00","254.75","3.67M","0.77%"
"Jun 29, 2020","255.91","252.15","255.97","251.00","3.76M","2.21%"
"Jun 26, 2020","250.38","255.65","256.05","249.70","5.33M","-2.74%"
"Jun 25, 2020","257.44","253.31","257.66","252.14","4.31M","1.10%"
"Jun 24, 2020","254.63","259.19","259.48","252.97","5.90M","-2.63%"
"Jun 23, 2020","261.50","262.80","263.12","261.02","2.95M","0.45%"
"Jun 22, 2020","260.32","257.80","260.56","256.68","2.82M","0.59%"
"Jun 19, 2020","258.80","264.21","264.46","257.61","5.85M","-1.01%"
"Jun 18, 2020","261.45","260.07","262.22","259.18","3.27M","-0.14%"
"Jun 17, 2020","261.82","264.36","264.67","261.39","3.67M","-0.76%"
"Jun 16, 2020","263.82","266.89","266.89","258.93","9.24M","2.12%"
"Jun 15, 2020","258.35","250.29","259.55","249.10","7.42M","0.63%"
"Jun 12, 2020","256.74","259.00","260.32","251.43","9.82M","1.87%"
"Jun 11, 2020","252.03","262.03","263.47","251.46","14.26M","-6.81%"
"Jun 10, 2020","270.46","273.26","274.16","270.01","6.53M","-1.07%"
"Jun 09, 2020","273.38","273.32","275.00","272.13","4.63M","-1.05%"
"Jun 08, 2020","276.28","273.21","276.35","273.15","4.67M","1.75%"
"Jun 07, 2020","271.54","271.54","271.54","271.54","-","0.00%"
"Jun 05, 2020","271.54","270.40","273.95","269.79","7.87M","3.12%"
"Jun 04, 2020","263.33","262.40","264.41","261.39","3.94M","0.06%"
"Jun 03, 2020","263.17","260.37","263.95","259.69","5.18M","2.06%"
"Jun 02, 2020","257.85","256.54","257.85","255.73","3.05M","1.01%"
"Jun 01, 2020","255.27","253.71","255.54","252.70","2.08M","0.39%"
"May 29, 2020","254.29","253.27","255.32","250.68","5.13M","-0.02%"
"May 28, 2020","254.35","257.84","257.89","253.90","4.97M","-0.56%"
"May 27, 2020","255.77","253.78","255.77","250.43","5.33M","2.21%"
"May 26, 2020","250.25","251.09","252.01","249.88","4.87M","2.19%"
"May 22, 2020","244.88","244.91","245.10","243.17","2.52M","-0.06%"
"May 21, 2020","245.02","245.52","247.38","243.97","3.38M","-0.29%"
"May 20, 2020","245.73","245.39","246.55","244.74","3.28M","1.45%"
"May 19, 2020","242.22","245.36","245.98","242.11","4.40M","-1.51%"
"May 18, 2020","245.93","243.53","247.10","243.37","5.23M","3.81%"
"May 15, 2020","236.91","234.06","237.22","233.42","4.81M","0.07%"
"May 14, 2020","236.75","230.11","236.75","228.33","6.96M","1.69%"
"May 13, 2020","232.82","236.87","237.45","231.04","7.53M","-2.21%"
"May 12, 2020","238.08","243.81","244.14","237.94","6.43M","-1.85%"
"May 11, 2020","242.56","241.68","243.94","241.00","2.74M","-0.44%"
"May 10, 2020","243.62","243.62","243.62","243.62","-","0.00%"
"May 09, 2020","243.62","243.62","243.62","243.62","-","0.00%"
"May 08, 2020","243.62","242.27","243.80","241.34","3.90M","1.97%"
"May 07, 2020","238.91","239.24","241.18","238.55","3.41M","0.87%"
"May 06, 2020","236.86","240.34","240.54","236.60","3.08M","-0.81%"
"May 05, 2020","238.80","240.02","241.74","238.70","3.14M","0.58%"
"May 04, 2020","237.42","235.21","237.75","233.64","3.85M","0.06%"
"May 03, 2020","237.28","237.28","237.28","237.28","-","0.00%"
"May 02, 2020","237.28","237.28","237.28","237.28","-","0.00%"
"May 01, 2020","237.28","239.58","240.33","236.50","4.72M","-2.44%"
"Apr 30, 2020","243.22","244.20","245.17","241.91","4.93M","-1.31%"
"Apr 29, 2020","246.45","245.48","247.66","244.20","5.02M","2.22%"
"Apr 28, 2020","241.09","245.01","245.16","240.36","4.71M","-0.10%"
"Apr 27, 2020","241.32","239.12","242.19","238.45","3.63M","1.47%"
"Apr 24, 2020","237.83","236.61","238.33","234.20","3.57M","1.17%"
"Apr 23, 2020","235.07","235.51","238.92","234.83","6.36M","0.13%"
"Apr 22, 2020","234.77","234.40","236.27","233.39","4.32M","1.98%"
"Apr 21, 2020","230.22","231.33","233.34","229.41","6.57M","-2.71%"
"Apr 20, 2020","236.64","238.24","241.11","236.26","7.36M","-2.39%"
"Apr 17, 2020","242.43","241.60","242.66","238.25","5.92M","3.01%"
"Apr 16, 2020","235.34","235.70","236.06","232.18","6.13M","0.11%"
"Apr 15, 2020","235.08","234.48","236.58","232.39","6.83M","-1.92%"
"Apr 14, 2020","239.68","238.70","240.47","236.88","5.39M","2.44%"
"Apr 13, 2020","233.96","236.41","236.69","230.96","6.76M","-1.34%"
"Apr 09, 2020","237.14","237.84","240.19","235.10","9.42M","1.20%"
"Apr 08, 2020","234.33","229.14","235.25","226.84","7.01M","3.41%"
"Apr 07, 2020","226.60","235.46","236.16","226.45","10.86M","0.03%"
"Apr 06, 2020","226.53","218.95","227.91","218.12","10.32M","7.56%"
"Apr 03, 2020","210.60","212.73","214.55","208.69","6.66M","-1.57%"
"Apr 02, 2020","213.96","208.31","214.79","207.18","8.23M","2.19%"
"Apr 01, 2020","209.38","210.65","214.78","207.77","8.57M","-4.49%"
"Mar 31, 2020","219.23","221.95","224.75","218.44","8.43M","-1.73%"
"Mar 30, 2020","223.10","217.36","223.72","215.10","7.69M","3.12%"
"Mar 28, 2020","216.35","216.35","216.35","216.35","-","0.00%"
"Mar 27, 2020","216.35","217.61","223.26","214.57","10.15M","-3.87%"
"Mar 26, 2020","225.07","214.43","225.87","214.01","15.95M","6.14%"
"Mar 25, 2020","212.06","210.57","220.17","205.32","17.41M","2.62%"
"Mar 24, 2020","206.64","196.27","207.21","196.21","13.92M","11.02%"
"Mar 23, 2020","186.13","190.13","191.20","182.10","15.49M","-3.01%"
"Mar 21, 2020","191.90","191.90","191.90","191.90","-","0.00%"
"Mar 20, 2020","191.90","203.29","205.29","191.00","11.97M","-4.67%"
"Mar 19, 2020","201.31","198.37","204.98","192.32","13.43M","0.96%"
"Mar 18, 2020","199.39","199.07","205.44","189.67","13.19M","-6.60%"
"Mar 17, 2020","213.47","207.01","214.47","199.35","16.13M","5.42%"
"Mar 16, 2020","202.49","206.50","218.31","201.51","12.41M","-12.76%"
"Mar 14, 2020","232.11","232.11","232.11","232.11","-","0.00%"
"Mar 13, 2020","232.11","225.65","232.48","213.29","13.68M","9.43%"
"Mar 12, 2020","212.11","220.50","229.00","211.83","17.32M","-10.06%"
"Mar 11, 2020","235.84","243.54","244.91","233.60","7.73M","-5.84%"
"Mar 10, 2020","250.47","247.29","250.54","237.09","9.41M","4.92%"
"Mar 09, 2020","238.72","241.50","247.07","237.17","10.41M","-7.78%"
"Mar 06, 2020","258.85","253.67","260.10","252.43","7.37M","-1.00%"
"Mar 05, 2020","261.46","264.27","266.53","259.56","5.87M","-3.48%"
"Mar 04, 2020","270.89","265.45","271.11","262.96","5.41M","4.47%"
"Mar 03, 2020","259.30","267.80","271.02","257.18","11.48M","-2.89%"
"Mar 02, 2020","267.03","256.71","267.25","254.06","8.54M","4.90%"
"Feb 28, 2020","254.56","250.52","255.12","247.00","17.56M","-1.14%"
"Feb 27, 2020","257.50","264.86","267.73","257.39","11.19M","-4.54%"
"Feb 26, 2020","269.74","271.99","275.31","268.83","7.51M","-0.35%"
"Feb 25, 2020","270.70","280.80","281.36","269.88","9.90M","-3.17%"
"Feb 24, 2020","279.56","280.33","282.78","278.97","6.60M","-3.51%"
"Feb 21, 2020","289.74","290.80","291.05","288.75","3.27M","-1.04%"
"Feb 20, 2020","292.78","293.56","294.29","290.17","3.49M","-0.45%"
"Feb 19, 2020","294.10","293.77","294.72","293.38","1.47M","0.39%"
"Feb 18, 2020","292.95","293.15","293.88","291.76","2.41M","-0.54%"
"Feb 17, 2020","294.54","294.54","294.54","294.54","-","0.00%"
"Feb 14, 2020","294.54","294.97","295.13","293.40","1.86M","-0.09%"
"Feb 13, 2020","294.82","294.39","295.84","293.92","2.64M","-0.30%"
"Feb 12, 2020","295.72","294.63","295.87","294.53","2.80M","0.95%"
"Feb 11, 2020","292.94","294.35","294.42","292.28","1.99M","-0.00%"
"Feb 10, 2020","292.95","290.20","292.96","290.16","2.88M","0.60%"
"Feb 07, 2020","291.19","292.76","292.81","290.66","3.84M","-0.87%"
"Feb 06, 2020","293.74","294.02","294.14","292.45","2.86M","0.30%"
"Feb 05, 2020","292.86","290.76","293.04","289.95","3.31M","1.67%"
"Feb 04, 2020","288.04","287.68","289.00","287.42","3.00M","1.43%"
"Feb 03, 2020","283.98","283.69","286.26","283.50","3.17M","0.55%"
"Jan 31, 2020","282.42","286.96","287.23","281.61","4.89M","-2.12%"
"Jan 30, 2020","288.54","285.67","288.77","284.85","3.43M","0.44%"
"Jan 29, 2020","287.29","288.99","289.28","287.21","2.14M","0.00%"
"Jan 28, 2020","287.29","286.22","288.19","285.75","3.00M","0.68%"
"Jan 27, 2020","285.36","284.85","286.64","283.86","4.13M","-1.53%"
"Jan 24, 2020","289.80","292.54","292.77","288.34","3.61M","-0.60%"
"Jan 23, 2020","291.54","290.75","291.86","289.60","1.87M","-0.09%"
"Jan 22, 2020","291.81","292.50","293.07","291.58","2.08M","-0.01%"
"Jan 21, 2020","291.83","292.44","293.28","291.37","4.48M","-0.49%"
"Jan 17, 2020","293.27","293.52","293.61","292.79","2.15M","0.12%"
"Jan 16, 2020","292.93","291.63","292.97","291.47","2.52M","0.89%"
"Jan 15, 2020","290.35","289.01","291.24","288.95","2.20M","0.39%"
"Jan 14, 2020","289.22","288.87","290.49","288.72","2.20M","0.07%"
"Jan 13, 2020","289.02","288.79","289.08","288.14","1.47M","0.27%"
"Jan 10, 2020","288.24","289.96","290.04","287.84","2.99M","-0.46%"
"Jan 09, 2020","289.56","288.95","289.84","288.43","1.79M","0.75%"
"Jan 08, 2020","287.40","285.32","288.67","285.08","3.14M","0.58%"
"Jan 07, 2020","285.74","286.30","286.79","285.58","1.53M","-0.43%"
"Jan 06, 2020","286.98","284.29","287.03","284.16","1.65M","0.23%"
"Jan 03, 2020","286.32","285.34","287.11","285.18","3.30M","-0.80%"
"Jan 02, 2020","288.62","286.44","288.63","286.15","3.87M","1.23%"
