"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","44.54","44.67","44.68","44.26","52.79M","-2.22%"
"Aug 30, 2020","45.55","45.55","45.55","45.55","-","0.00%"
"Aug 28, 2020","45.55","45.24","45.56","45.12","24.15M","1.31%"
"Aug 27, 2020","44.96","45.45","45.45","44.77","31.95M","-0.84%"
"Aug 26, 2020","45.34","45.24","45.38","45.17","31.47M","0.27%"
"Aug 25, 2020","45.22","44.91","45.26","44.83","27.61M","1.01%"
"Aug 24, 2020","44.77","44.95","44.96","44.60","26.58M","1.11%"
"Aug 23, 2020","44.28","44.28","44.28","44.28","-","0.00%"
"Aug 22, 2020","44.28","44.28","44.28","44.28","-","0.00%"
"Aug 21, 2020","44.28","43.98","44.29","43.79","34.66M","0.50%"
"Aug 20, 2020","44.06","43.45","44.07","43.38","38.40M","-0.32%"
"Aug 19, 2020","44.20","44.62","44.62","44.20","28.39M","-1.23%"
"Aug 18, 2020","44.75","44.80","44.87","44.46","34.46M","-0.11%"
"Aug 17, 2020","44.80","44.57","44.81","44.50","26.42M","1.27%"
"Aug 14, 2020","44.24","44.21","44.31","44.15","24.59M","-0.18%"
"Aug 13, 2020","44.32","44.36","44.47","44.14","26.51M","-0.29%"
"Aug 12, 2020","44.45","44.32","44.57","44.22","30.74M","1.35%"
"Aug 11, 2020","43.86","44.28","44.35","43.81","34.17M","-0.27%"
"Aug 10, 2020","43.98","43.87","44.07","43.64","26.96M","0.25%"
"Aug 09, 2020","43.87","43.87","43.87","43.87","-","0.00%"
"Aug 08, 2020","43.87","43.87","43.87","43.87","-","0.00%"
"Aug 07, 2020","43.87","43.99","44.14","43.64","35.76M","-2.05%"
"Aug 06, 2020","44.79","44.53","44.80","44.37","33.52M","0.31%"
"Aug 05, 2020","44.65","44.56","44.84","44.53","36.77M","1.09%"
"Aug 04, 2020","44.17","43.78","44.17","43.77","40.60M","1.33%"
"Aug 03, 2020","43.59","43.45","43.69","43.41","30.60M","0.69%"
"Aug 02, 2020","43.29","43.29","43.29","43.29","-","0.00%"
"Jul 31, 2020","43.29","43.63","43.64","42.96","62.46M","-0.69%"
"Jul 30, 2020","43.59","43.63","43.76","43.19","47.90M","-1.27%"
"Jul 29, 2020","44.15","43.85","44.27","43.85","37.83M","1.61%"
"Jul 28, 2020","43.45","43.73","43.78","43.40","31.22M","-0.82%"
"Jul 27, 2020","43.81","43.44","43.84","43.31","39.11M","1.55%"
"Jul 26, 2020","43.14","43.14","43.14","43.14","-","0.00%"
"Jul 25, 2020","43.14","43.14","43.14","43.14","-","0.00%"
