"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","64.98","65.30","65.52","64.97","24.93M","-0.76%"
"Aug 30, 2020","65.48","65.48","65.48","65.48","-","0.00%"
"Aug 28, 2020","65.48","65.41","65.51","65.06","15.20M","0.71%"
"Aug 27, 2020","65.02","65.75","65.75","64.78","24.41M","-1.02%"
"Aug 26, 2020","65.69","65.33","65.76","65.26","19.55M","0.58%"
"Aug 25, 2020","65.31","65.62","65.63","64.96","18.51M","0.06%"
"Aug 24, 2020","65.27","65.39","65.40","65.01","14.63M","1.32%"
"Aug 23, 2020","64.42","64.42","64.42","64.42","-","0.00%"
"Aug 22, 2020","64.42","64.42","64.42","64.42","-","0.00%"
"Aug 21, 2020","64.42","64.01","64.43","63.98","15.93M","-0.51%"
"Aug 20, 2020","64.75","64.35","64.86","64.29","19.83M","-0.32%"
"Aug 19, 2020","64.96","65.54","65.62","64.92","15.59M","-0.44%"
"Aug 18, 2020","65.25","65.55","65.62","65.07","23.83M","-0.06%"
"Aug 17, 2020","65.29","65.13","65.32","65.10","11.43M","0.76%"
"Aug 14, 2020","64.80","64.74","64.93","64.62","10.87M","-0.61%"
"Aug 13, 2020","65.20","65.41","65.58","65.01","17.78M","-0.44%"
"Aug 12, 2020","65.49","65.34","65.76","65.26","28.64M","2.22%"
"Aug 11, 2020","64.07","64.93","64.97","64.02","31.47M","0.36%"
"Aug 10, 2020","63.84","63.63","63.84","63.47","10.05M","0.33%"
"Aug 09, 2020","63.63","63.63","63.63","63.63","-","0.00%"
"Aug 08, 2020","63.63","63.63","63.63","63.63","-","0.00%"
"Aug 07, 2020","63.63","63.30","63.63","63.20","14.99M","-0.41%"
"Aug 06, 2020","63.89","63.57","63.98","63.40","17.21M","0.11%"
"Aug 05, 2020","63.82","64.07","64.25","63.74","17.91M","0.33%"
"Aug 04, 2020","63.61","63.26","63.61","62.95","16.24M","0.55%"
"Aug 03, 2020","63.26","62.68","63.27","62.54","23.61M","1.95%"
"Aug 02, 2020","62.05","62.05","62.05","62.05","-","0.00%"
"Jul 31, 2020","62.05","63.01","63.02","61.66","36.00M","-2.13%"
"Jul 30, 2020","63.40","62.83","63.52","62.31","24.66M","-1.48%"
"Jul 29, 2020","64.35","63.97","64.46","63.84","20.06M","1.05%"
"Jul 28, 2020","63.68","64.09","64.09","63.65","20.47M","-0.64%"
"Jul 27, 2020","64.09","63.87","64.20","63.82","16.37M","1.31%"
"Jul 26, 2020","63.26","63.26","63.26","63.26","-","0.00%"
"Jul 25, 2020","63.26","63.26","63.26","63.26","-","0.00%"
"Jul 24, 2020","63.26","63.22","63.46","63.08","16.02M","-0.55%"
"Jul 23, 2020","63.61","64.12","64.21","63.45","16.08M","-0.80%"
"Jul 22, 2020","64.12","63.93","64.20","63.85","18.02M","0.27%"
"Jul 21, 2020","63.95","64.13","64.32","63.91","21.19M","0.20%"
"Jul 20, 2020","63.82","63.56","63.84","63.37","18.00M","0.49%"
"Jul 17, 2020","63.51","63.29","63.51","63.13","19.64M","0.59%"
"Jul 16, 2020","63.14","63.15","63.40","63.03","24.68M","-0.65%"
"Jul 15, 2020","63.55","63.79","63.98","63.38","28.89M","1.13%"
"Jul 14, 2020","62.84","62.04","62.90","61.98","35.12M","1.47%"
"Jul 13, 2020","61.93","62.68","63.02","61.84","20.52M","-0.64%"
"Jul 12, 2020","62.33","62.33","62.33","62.33","-","0.00%"
"Jul 11, 2020","62.33","62.33","62.33","62.33","-","0.00%"
"Jul 10, 2020","62.33","61.92","62.35","61.73","22.01M","1.07%"
"Jul 09, 2020","61.67","62.29","62.30","61.26","26.10M","-1.14%"
"Jul 08, 2020","62.38","61.87","62.40","61.76","17.36M","0.84%"
"Jul 07, 2020","61.86","62.21","62.48","61.84","17.39M","-1.47%"
"Jul 06, 2020","62.78","62.68","62.84","62.45","21.54M","1.64%"
"Jul 05, 2020","61.77","61.77","61.77","61.77","-","0.00%"
"Jul 04, 2020","61.77","61.77","61.77","61.77","-","0.00%"
"Jul 02, 2020","61.77","61.97","62.25","61.69","20.85M","1.10%"
"Jul 01, 2020","61.10","60.81","61.28","60.76","25.24M","0.38%"
"Jun 30, 2020","60.87","60.53","61.10","60.45","32.61M","-0.18%"
"Jun 29, 2020","60.98","60.78","61.09","60.45","23.75M","0.81%"
"Jun 26, 2020","60.49","61.23","61.29","60.40","32.28M","-1.45%"
"Jun 25, 2020","61.38","60.58","61.44","60.30","26.36M","1.42%"
"Jun 24, 2020","60.52","61.39","61.52","60.35","34.03M","-2.56%"
"Jun 23, 2020","62.11","62.48","62.60","62.05","20.90M","0.55%"
"Jun 22, 2020","61.77","61.44","61.85","61.22","20.74M","1.20%"
"Jun 19, 2020","61.04","62.04","62.04","60.95","32.27M","-0.49%"
"Jun 18, 2020","61.34","61.18","61.55","61.07","20.04M","-0.54%"
"Jun 17, 2020","61.67","61.89","62.01","61.51","26.24M","0.37%"
"Jun 16, 2020","61.44","61.91","62.02","60.78","37.03M","1.24%"
"Jun 15, 2020","60.69","59.31","60.84","59.13","30.70M","-1.00%"
"Jun 12, 2020","61.30","61.86","62.01","60.44","57.67M","1.73%"
"Jun 11, 2020","60.26","61.92","62.18","60.13","54.70M","-5.36%"
"Jun 10, 2020","63.67","64.01","64.21","63.43","27.49M","-0.22%"
"Jun 09, 2020","63.81","63.54","64.03","63.44","30.18M","-1.30%"
"Jun 08, 2020","64.65","64.17","64.65","63.80","29.64M","1.30%"
"Jun 07, 2020","63.82","63.82","63.82","63.82","-","0.00%"
"Jun 05, 2020","63.82","63.98","64.32","63.70","31.21M","1.72%"
"Jun 04, 2020","62.74","62.60","63.12","62.57","26.19M","-0.43%"
"Jun 03, 2020","63.01","62.33","63.16","62.30","29.77M","2.39%"
"Jun 02, 2020","61.54","61.36","61.66","61.25","31.66M","0.93%"
"Jun 01, 2020","60.97","60.13","60.99","60.09","30.20M","2.23%"
"May 29, 2020","59.64","59.76","59.79","59.01","47.61M","-0.35%"
"May 28, 2020","59.85","60.07","60.51","59.83","40.63M","0.94%"
"May 27, 2020","59.29","59.31","59.34","58.68","33.72M","1.21%"
"May 26, 2020","58.58","58.71","58.91","58.54","46.68M","2.86%"
"May 22, 2020","56.95","56.83","56.99","56.58","27.51M","-0.28%"
"May 21, 2020","57.11","57.58","57.73","56.94","27.55M","-1.16%"
"May 20, 2020","57.78","57.68","58.05","57.55","32.83M","2.08%"
"May 19, 2020","56.60","56.98","57.22","56.60","31.46M","-1.38%"
"May 18, 2020","57.39","56.56","57.52","56.53","40.00M","4.04%"
"May 15, 2020","55.16","55.04","55.37","54.80","34.09M","0.09%"
"May 14, 2020","55.11","54.34","55.18","54.01","41.22M","-0.95%"
"May 13, 2020","55.64","56.40","56.41","55.37","31.92M","-0.77%"
"May 12, 2020","56.07","56.96","57.02","56.07","59.25M","-1.27%"
"May 11, 2020","56.79","56.50","56.95","56.41","30.77M","-0.09%"
"May 10, 2020","56.84","56.84","56.84","56.84","-","0.00%"
"May 09, 2020","56.84","56.84","56.84","56.84","-","0.00%"
"May 08, 2020","56.84","56.58","56.85","56.49","20.45M","1.70%"
"May 07, 2020","55.89","55.87","56.16","55.62","30.63M","1.51%"
"May 06, 2020","55.06","55.85","55.89","55.06","22.60M","-0.65%"
"May 05, 2020","55.42","55.73","55.94","55.33","23.46M","0.18%"
"May 04, 2020","55.32","54.92","55.33","54.70","23.43M","-0.04%"
