"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","22.70","22.79","22.79","22.61","7.13M","-0.92%"
"Aug 30, 2020","22.91","22.91","22.91","22.91","-","0.00%"
"Aug 28, 2020","22.91","22.87","22.94","22.82","4.19M","2.00%"
"Aug 27, 2020","22.46","22.54","22.54","22.34","3.76M","-0.97%"
"Aug 26, 2020","22.68","22.65","22.71","22.61","2.84M","-0.35%"
"Aug 25, 2020","22.76","22.67","22.78","22.65","3.77M","0.44%"
"Aug 24, 2020","22.66","22.67","22.70","22.59","4.27M","1.75%"
"Aug 23, 2020","22.27","22.27","22.27","22.27","-","0.00%"
"Aug 22, 2020","22.27","22.27","22.27","22.27","-","0.00%"
"Aug 21, 2020","22.27","22.28","22.34","22.21","5.28M","1.37%"
"Aug 20, 2020","21.97","21.79","21.98","21.77","6.25M","-0.90%"
"Aug 19, 2020","22.17","22.27","22.31","22.14","7.07M","-0.81%"
"Aug 18, 2020","22.35","22.32","22.38","22.25","3.87M","-0.40%"
"Aug 17, 2020","22.44","22.34","22.46","22.34","2.72M","0.72%"
"Aug 14, 2020","22.28","22.22","22.30","22.18","5.63M","0.00%"
"Aug 13, 2020","22.28","22.22","22.28","22.18","4.78M","0.22%"
"Aug 12, 2020","22.23","22.19","22.33","22.19","4.93M","2.40%"
"Aug 11, 2020","21.71","21.85","21.90","21.66","5.03M","0.84%"
"Aug 10, 2020","21.53","21.45","21.55","21.38","6.79M","1.08%"
"Aug 09, 2020","21.30","21.30","21.30","21.30","-","0.00%"
"Aug 08, 2020","21.30","21.30","21.30","21.30","-","0.00%"
"Aug 07, 2020","21.30","21.21","21.33","21.11","6.46M","-1.07%"
"Aug 06, 2020","21.53","21.45","21.56","21.42","6.31M","-0.32%"
"Aug 05, 2020","21.60","21.70","21.75","21.59","3.83M","-0.32%"
"Aug 04, 2020","21.67","21.57","21.67","21.54","7.35M","2.36%"
"Aug 03, 2020","21.17","21.08","21.24","21.07","4.80M","0.28%"
"Aug 02, 2020","21.11","21.11","21.11","21.11","-","0.00%"
"Jul 31, 2020","21.11","21.16","21.19","20.92","5.19M","-0.57%"
"Jul 30, 2020","21.23","21.15","21.26","20.98","6.88M","-0.23%"
"Jul 29, 2020","21.28","21.31","21.32","21.16","7.97M","0.61%"
"Jul 28, 2020","21.15","21.20","21.23","21.12","4.19M","-0.33%"
"Jul 27, 2020","21.22","21.15","21.22","21.12","3.90M","-0.19%"
"Jul 26, 2020","21.26","21.26","21.26","21.26","-","0.00%"
"Jul 25, 2020","21.26","21.26","21.26","21.26","-","0.00%"
"Jul 24, 2020","21.26","21.15","21.30","21.14","4.25M","-0.28%"
"Jul 23, 2020","21.32","21.42","21.54","21.30","3.91M","-0.74%"
"Jul 22, 2020","21.48","21.59","21.59","21.43","2.62M","-1.15%"
"Jul 21, 2020","21.73","21.97","21.97","21.71","6.79M","0.37%"
"Jul 20, 2020","21.65","21.53","21.70","21.50","3.92M","-0.09%"
"Jul 17, 2020","21.67","21.74","21.75","21.64","4.03M","0.28%"
"Jul 16, 2020","21.61","21.52","21.62","21.51","3.15M","-1.28%"
"Jul 15, 2020","21.89","21.98","21.99","21.79","5.34M","-0.95%"
"Jul 14, 2020","22.10","21.89","22.17","21.89","5.62M","0.64%"
"Jul 13, 2020","21.96","21.93","22.21","21.92","8.02M","0.32%"
"Jul 12, 2020","21.89","21.89","21.89","21.89","-","0.00%"
"Jul 11, 2020","21.89","21.89","21.89","21.89","-","0.00%"
"Jul 10, 2020","21.89","22.00","22.00","21.84","5.51M","-1.08%"
"Jul 09, 2020","22.13","22.32","22.35","22.02","4.70M","-1.86%"
"Jul 08, 2020","22.55","22.27","22.55","22.27","3.99M","0.94%"
"Jul 07, 2020","22.34","22.40","22.49","22.32","3.67M","-2.40%"
"Jul 06, 2020","22.89","22.80","22.94","22.76","5.59M","3.76%"
"Jul 05, 2020","22.06","22.06","22.06","22.06","-","0.00%"
"Jul 04, 2020","22.06","22.06","22.06","22.06","-","0.00%"
"Jul 02, 2020","22.06","22.08","22.19","21.98","4.31M","2.60%"
"Jul 01, 2020","21.50","21.34","21.60","21.34","5.01M","0.61%"
"Jun 30, 2020","21.37","21.38","21.45","21.33","5.13M","-0.14%"
"Jun 29, 2020","21.40","21.35","21.41","21.24","3.61M","-0.47%"
"Jun 26, 2020","21.50","21.59","21.61","21.46","3.57M","-0.83%"
"Jun 25, 2020","21.68","21.52","21.68","21.44","5.63M","0.32%"
"Jun 24, 2020","21.61","21.70","21.76","21.44","6.89M","-0.87%"
"Jun 23, 2020","21.80","21.87","21.95","21.80","3.39M","0.46%"
"Jun 22, 2020","21.70","21.59","21.73","21.53","4.34M","1.54%"
"Jun 19, 2020","21.37","21.69","21.69","21.32","7.57M","-0.19%"
"Jun 18, 2020","21.41","21.29","21.45","21.28","8.04M","0.23%"
"Jun 17, 2020","21.36","21.28","21.40","21.25","9.04M","1.23%"
"Jun 16, 2020","21.10","21.42","21.45","21.04","5.31M","0.05%"
"Jun 15, 2020","21.09","20.90","21.22","20.77","5.81M","-2.90%"
"Jun 12, 2020","21.72","21.84","21.88","21.50","9.67M","2.21%"
"Jun 11, 2020","21.25","21.57","21.68","21.23","6.41M","-4.75%"
"Jun 10, 2020","22.31","22.28","22.36","22.12","4.74M","-0.04%"
"Jun 09, 2020","22.32","22.24","22.39","22.18","5.04M","0.45%"
"Jun 08, 2020","22.22","22.09","22.24","22.03","3.56M","0.59%"
"Jun 07, 2020","22.09","22.09","22.09","22.09","-","0.00%"
"Jun 05, 2020","22.09","22.03","22.22","22.00","5.65M","3.27%"
"Jun 04, 2020","21.39","21.38","21.48","21.31","3.39M","-0.83%"
"Jun 03, 2020","21.57","21.44","21.61","21.44","4.28M","1.99%"
"Jun 02, 2020","21.15","20.99","21.26","20.99","7.39M","3.27%"
"Jun 01, 2020","20.48","20.29","20.52","20.20","5.60M","3.23%"
"May 29, 2020","19.84","19.61","19.86","19.50","10.79M","0.51%"
"May 28, 2020","19.74","19.81","19.91","19.68","10.75M","0.41%"
"May 27, 2020","19.66","19.93","19.95","19.45","15.68M","-1.40%"
"May 26, 2020","19.94","20.08","20.11","19.89","11.98M","1.42%"
"May 22, 2020","19.66","19.81","19.84","19.56","15.29M","-5.12%"
"May 21, 2020","20.72","20.92","20.93","20.61","11.57M","-3.76%"
"May 20, 2020","21.53","21.50","21.57","21.41","4.38M","1.22%"
"May 19, 2020","21.27","21.37","21.45","21.27","3.88M","-0.14%"
"May 18, 2020","21.30","21.09","21.35","21.08","6.70M","3.65%"
"May 15, 2020","20.55","20.54","20.61","20.50","5.36M","-1.06%"
"May 14, 2020","20.77","20.52","20.79","20.50","9.04M","-0.38%"
"May 13, 2020","20.85","21.17","21.17","20.77","9.96M","-1.04%"
"May 12, 2020","21.07","21.28","21.38","21.07","8.57M","-1.17%"
"May 11, 2020","21.32","21.28","21.39","21.25","3.57M","0.19%"
"May 10, 2020","21.28","21.28","21.28","21.28","-","0.00%"
"May 09, 2020","21.28","21.28","21.28","21.28","-","0.00%"
"May 08, 2020","21.28","21.19","21.35","21.16","6.41M","1.48%"
"May 07, 2020","20.97","21.05","21.14","20.94","4.99M","0.10%"
"May 06, 2020","20.95","21.24","21.24","20.95","4.94M","0.14%"
"May 05, 2020","20.92","20.98","21.05","20.90","3.42M","0.82%"
"May 04, 2020","20.75","20.61","20.77","20.54","5.49M","0.97%"
"May 03, 2020","20.55","20.55","20.55","20.55","-","0.00%"
"May 02, 2020","20.55","20.55","20.55","20.55","-","0.00%"
"May 01, 2020","20.55","20.78","20.80","20.49","4.69M","-2.84%"
"Apr 30, 2020","21.15","21.64","21.74","21.11","4.49M","-2.44%"
"Apr 29, 2020","21.68","21.67","21.71","21.55","4.77M","1.03%"
"Apr 28, 2020","21.46","21.74","21.76","21.44","4.95M","0.33%"
"Apr 27, 2020","21.39","21.25","21.41","21.21","4.75M","1.42%"
"Apr 24, 2020","21.09","21.07","21.11","20.97","3.15M","0.09%"
"Apr 23, 2020","21.07","21.14","21.36","21.06","3.70M","0.00%"
"Apr 22, 2020","21.07","21.11","21.11","21.00","2.61M","1.64%"
"Apr 21, 2020","20.73","20.91","20.92","20.72","6.05M","-2.86%"
"Apr 20, 2020","21.34","21.31","21.50","21.31","3.36M","-1.52%"
"Apr 17, 2020","21.67","21.59","21.67","21.51","4.41M","2.31%"
"Apr 16, 2020","21.18","21.21","21.24","21.03","5.11M","-0.56%"
"Apr 15, 2020","21.30","21.13","21.38","21.11","8.25M","-1.57%"
"Apr 14, 2020","21.64","21.45","21.67","21.45","4.34M","2.17%"
"Apr 13, 2020","21.18","21.20","21.26","20.99","1.74M","0.00%"
"Apr 09, 2020","21.18","21.27","21.37","21.15","6.21M","-0.09%"
"Apr 08, 2020","21.20","21.00","21.22","20.92","5.90M","0.47%"
"Apr 07, 2020","21.10","21.41","21.49","21.08","8.09M","1.10%"
"Apr 06, 2020","20.87","20.52","20.93","20.52","7.47M","4.72%"
"Apr 03, 2020","19.93","20.08","20.15","19.84","5.76M","-0.40%"
"Apr 02, 2020","20.01","19.78","20.03","19.67","8.87M","3.79%"
"Apr 01, 2020","19.28","19.68","19.82","19.28","7.34M","-3.31%"
"Mar 31, 2020","19.94","19.95","20.17","19.83","5.76M","0.76%"
"Mar 30, 2020","19.79","19.52","19.79","19.45","5.36M","2.01%"
"Mar 28, 2020","19.40","19.40","19.40","19.40","-","0.00%"
"Mar 27, 2020","19.40","19.45","19.66","19.33","9.42M","-4.95%"
"Mar 26, 2020","20.41","19.79","20.44","19.72","16.61M","3.55%"
"Mar 25, 2020","19.71","19.67","19.99","19.50","21.05M","2.60%"
"Mar 24, 2020","19.21","19.15","19.30","18.99","12.44M","5.49%"
"Mar 23, 2020","18.21","18.36","18.42","17.92","9.82M","-2.98%"
"Mar 21, 2020","18.77","18.77","18.77","18.77","-","0.00%"
"Mar 20, 2020","18.77","19.22","19.39","18.68","15.64M","0.81%"
"Mar 19, 2020","18.62","18.74","18.99","18.42","24.88M","-4.02%"
"Mar 18, 2020","19.40","18.88","19.54","18.84","9.14M","-4.53%"
"Mar 17, 2020","20.32","19.77","20.43","19.50","12.03M","6.55%"
"Mar 16, 2020","19.07","19.04","19.82","18.81","6.03M","-9.36%"
"Mar 14, 2020","21.04","21.04","21.04","21.04","-","0.00%"
"Mar 13, 2020","21.04","21.24","21.38","20.18","17.26M","5.57%"
"Mar 12, 2020","19.93","20.28","20.30","19.80","15.06M","-8.03%"
"Mar 11, 2020","21.67","21.92","21.96","21.58","11.82M","-2.69%"
"Mar 10, 2020","22.27","22.16","22.28","21.87","12.72M","3.29%"
"Mar 09, 2020","21.56","21.44","21.80","21.14","14.14M","-4.35%"
"Mar 06, 2020","22.54","22.49","22.58","22.36","9.35M","-1.14%"
"Mar 05, 2020","22.80","22.95","23.05","22.74","9.20M","0.09%"
"Mar 04, 2020","22.78","22.74","22.80","22.64","7.86M","0.84%"
"Mar 03, 2020","22.59","22.77","22.97","22.47","19.19M","-0.75%"
"Mar 02, 2020","22.76","22.57","22.77","22.43","12.02M","-0.91%"
"Feb 28, 2020","22.97","22.51","23.01","22.36","18.94M","0.44%"
"Feb 27, 2020","22.87","23.09","23.20","22.82","22.02M","-0.61%"
"Feb 26, 2020","23.01","23.19","23.27","23.00","14.46M","1.05%"
"Feb 25, 2020","22.77","23.21","23.21","22.77","10.85M","-1.09%"
"Feb 24, 2020","23.02","22.95","23.12","22.93","7.64M","-2.83%"
"Feb 21, 2020","23.69","23.71","23.75","23.63","5.12M","-0.04%"
"Feb 20, 2020","23.70","23.78","23.90","23.66","5.39M","-1.58%"
"Feb 19, 2020","24.08","24.09","24.13","24.04","5.51M","0.33%"
"Feb 18, 2020","24.00","23.95","24.03","23.95","5.00M","-0.62%"
"Feb 17, 2020","24.15","24.15","24.15","24.15","-","0.00%"
"Feb 14, 2020","24.15","24.17","24.20","24.09","3.72M","0.54%"
"Feb 13, 2020","24.02","24.02","24.09","23.98","3.88M","-1.03%"
"Feb 12, 2020","24.27","24.15","24.27","24.12","5.97M","1.51%"
"Feb 11, 2020","23.91","23.93","23.98","23.88","7.41M","0.97%"
"Feb 10, 2020","23.68","23.60","23.74","23.60","4.09M","0.25%"
"Feb 07, 2020","23.62","23.74","23.74","23.55","5.49M","-0.92%"
"Feb 06, 2020","23.84","23.88","23.91","23.77","11.76M","1.32%"
"Feb 05, 2020","23.53","23.75","23.83","23.52","8.50M","0.17%"
"Feb 04, 2020","23.49","23.52","23.62","23.46","13.23M","1.64%"
"Feb 03, 2020","23.11","23.10","23.22","23.08","4.92M","0.87%"
"Jan 31, 2020","22.91","23.01","23.05","22.77","8.88M","-2.01%"
"Jan 30, 2020","23.38","23.17","23.40","23.09","7.35M","-0.89%"
"Jan 29, 2020","23.59","23.67","23.73","23.58","8.25M","0.90%"
"Jan 28, 2020","23.38","23.34","23.42","23.21","5.29M","0.43%"
"Jan 27, 2020","23.28","23.21","23.49","23.11","7.83M","-3.64%"
"Jan 24, 2020","24.16","24.37","24.41","24.05","6.30M","-0.82%"
"Jan 23, 2020","24.36","24.28","24.41","24.13","9.12M","-0.81%"
"Jan 22, 2020","24.56","24.70","24.73","24.52","10.38M","-0.04%"
"Jan 21, 2020","24.57","24.63","24.69","24.57","8.42M","-4.10%"
"Jan 17, 2020","25.62","25.60","25.64","25.52","4.05M","0.31%"
"Jan 16, 2020","25.54","25.48","25.56","25.41","4.54M","0.79%"
"Jan 15, 2020","25.34","25.32","25.40","25.30","5.38M","-0.28%"
"Jan 14, 2020","25.41","25.38","25.48","25.34","9.93M","-0.20%"
"Jan 13, 2020","25.46","25.20","25.47","25.15","11.40M","1.72%"
"Jan 10, 2020","25.03","25.06","25.12","25.01","7.80M","0.20%"
"Jan 09, 2020","24.98","24.91","25.01","24.85","11.18M","1.22%"
"Jan 08, 2020","24.68","24.50","24.77","24.50","12.21M","0.16%"
"Jan 07, 2020","24.64","24.64","24.67","24.58","9.23M","-0.04%"
"Jan 06, 2020","24.65","24.55","24.65","24.53","3.35M","0.28%"
"Jan 03, 2020","24.58","24.68","24.79","24.58","6.24M","-1.36%"
"Jan 02, 2020","24.92","24.68","24.93","24.68","5.64M","2.42%"
