"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","58.02","58.10","58.23","57.84","7.88M","-0.14%"
"Aug 30, 2020","58.10","58.10","58.10","58.10","-","0.00%"
"Aug 28, 2020","58.10","58.03","58.11","57.77","7.09M","0.54%"
"Aug 27, 2020","57.79","58.24","58.24","57.59","5.60M","-0.93%"
"Aug 26, 2020","58.33","58.22","58.42","58.16","4.69M","0.28%"
"Aug 25, 2020","58.17","58.34","58.34","57.98","3.66M","-0.14%"
"Aug 24, 2020","58.25","58.19","58.27","58.02","2.89M","1.11%"
"Aug 23, 2020","57.61","57.61","57.61","57.61","-","0.00%"
"Aug 22, 2020","57.61","57.61","57.61","57.61","-","0.00%"
"Aug 21, 2020","57.61","57.43","57.65","57.35","4.04M","-0.28%"
"Aug 20, 2020","57.77","57.56","57.86","57.52","3.28M","-0.36%"
"Aug 19, 2020","57.98","58.36","58.43","57.96","3.96M","-0.53%"
"Aug 18, 2020","58.29","58.27","58.39","58.03","4.94M","0.34%"
"Aug 17, 2020","58.09","57.88","58.12","57.88","3.06M","0.41%"
"Aug 14, 2020","57.85","57.69","57.94","57.69","3.01M","-0.02%"
"Aug 13, 2020","57.86","57.88","58.01","57.72","4.34M","-0.12%"
"Aug 12, 2020","57.93","57.86","58.15","57.81","6.36M","2.12%"
"Aug 11, 2020","56.73","57.47","57.48","56.69","10.08M","0.82%"
"Aug 10, 2020","56.27","56.00","56.28","55.95","4.97M","0.48%"
"Aug 09, 2020","56.00","56.00","56.00","56.00","-","0.00%"
"Aug 08, 2020","56.00","56.00","56.00","56.00","-","0.00%"
"Aug 07, 2020","56.00","55.76","56.02","55.71","4.00M","0.04%"
"Aug 06, 2020","55.98","55.83","56.05","55.76","3.79M","-0.07%"
"Aug 05, 2020","56.02","56.30","56.40","55.96","4.20M","-0.07%"
"Aug 04, 2020","56.06","55.44","56.06","55.44","3.44M","1.12%"
"Aug 03, 2020","55.44","54.87","55.45","54.81","7.25M","2.04%"
"Aug 02, 2020","54.33","54.33","54.33","54.33","-","0.00%"
"Jul 31, 2020","54.33","54.71","54.78","54.11","8.58M","-2.58%"
"Jul 30, 2020","55.77","55.39","55.86","55.04","6.37M","-1.50%"
"Jul 29, 2020","56.62","56.32","56.73","56.23","4.87M","0.05%"
"Jul 28, 2020","56.59","56.94","56.94","56.58","2.67M","-0.61%"
"Jul 27, 2020","56.94","56.90","57.12","56.86","3.24M","1.99%"
"Jul 26, 2020","55.83","55.83","55.83","55.83","-","0.00%"
"Jul 25, 2020","55.83","55.83","55.83","55.83","-","0.00%"
"Jul 24, 2020","55.83","55.76","56.04","55.71","4.17M","-0.11%"
"Jul 23, 2020","55.89","56.08","56.25","55.73","3.64M","-0.34%"
"Jul 22, 2020","56.08","56.01","56.16","55.94","4.10M","-0.27%"
"Jul 21, 2020","56.23","56.23","56.44","56.17","3.96M","0.05%"
"Jul 20, 2020","56.20","56.07","56.22","55.97","2.98M","0.07%"
"Jul 17, 2020","56.16","56.12","56.20","55.91","2.87M","0.16%"
"Jul 16, 2020","56.07","56.11","56.23","55.99","2.92M","-1.02%"
"Jul 15, 2020","56.65","56.85","57.04","56.61","5.10M","1.27%"
"Jul 14, 2020","55.94","55.58","56.00","55.48","8.42M","0.79%"
"Jul 13, 2020","55.50","56.00","56.21","55.45","6.04M","-0.52%"
"Jul 12, 2020","55.79","55.79","55.79","55.79","-","0.00%"
"Jul 11, 2020","55.79","55.79","55.79","55.79","-","0.00%"
