"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","29.82","30.33","30.35","29.82","28.13M","-3.46%"
"Aug 30, 2020","30.89","30.89","30.89","30.89","-","0.00%"
"Aug 28, 2020","30.89","30.10","30.89","30.06","28.76M","4.64%"
"Aug 27, 2020","29.52","29.82","29.82","29.11","26.32M","0.68%"
"Aug 26, 2020","29.32","30.22","30.28","28.89","27.61M","-2.85%"
"Aug 25, 2020","30.18","29.98","30.26","29.69","15.35M","0.84%"
"Aug 24, 2020","29.93","29.90","29.98","29.67","13.33M","0.94%"
"Aug 23, 2020","29.65","29.65","29.65","29.65","-","0.00%"
"Aug 22, 2020","29.65","29.65","29.65","29.65","-","0.00%"
"Aug 21, 2020","29.65","29.60","29.65","29.26","23.90M","-0.90%"
"Aug 20, 2020","29.92","28.94","30.07","28.76","41.31M","0.23%"
"Aug 19, 2020","29.85","30.68","30.72","29.82","27.59M","-2.77%"
"Aug 18, 2020","30.70","30.65","30.88","30.30","25.77M","2.85%"
"Aug 17, 2020","29.85","30.65","30.77","29.45","28.30M","-2.83%"
"Aug 14, 2020","30.72","30.74","31.06","30.51","21.26M","-0.10%"
"Aug 13, 2020","30.75","31.41","31.62","30.61","33.08M","-0.23%"
"Aug 12, 2020","30.82","31.14","31.20","30.19","36.32M","-0.55%"
"Aug 11, 2020","30.99","31.47","31.72","30.95","26.67M","-0.58%"
"Aug 10, 2020","31.17","31.25","31.75","30.70","19.73M","-0.26%"
"Aug 09, 2020","31.25","31.25","31.25","31.25","-","0.00%"
"Aug 08, 2020","31.25","31.25","31.25","31.25","-","0.00%"
"Aug 07, 2020","31.25","31.31","31.68","30.92","29.17M","-2.47%"
"Aug 06, 2020","32.04","31.70","32.17","31.59","18.35M","0.41%"
"Aug 05, 2020","31.91","32.18","32.41","31.55","20.68M","1.27%"
"Aug 04, 2020","31.51","31.87","31.87","30.83","27.37M","-1.13%"
"Aug 03, 2020","31.87","31.94","32.08","31.56","23.76M","-2.06%"
"Aug 02, 2020","32.54","32.54","32.54","32.54","-","0.00%"
"Jul 31, 2020","32.54","33.15","33.18","32.31","29.79M","-2.55%"
"Jul 30, 2020","33.39","33.33","33.52","32.79","20.27M","-0.27%"
"Jul 29, 2020","33.48","33.55","33.73","33.24","22.28M","1.18%"
"Jul 28, 2020","33.09","33.28","33.44","32.85","15.29M","-0.57%"
"Jul 27, 2020","33.28","32.62","33.30","32.36","23.52M","3.07%"
"Jul 26, 2020","32.29","32.29","32.29","32.29","-","0.00%"
"Jul 25, 2020","32.29","32.29","32.29","32.29","-","0.00%"
"Jul 24, 2020","32.29","31.93","32.61","31.56","20.95M","0.34%"
"Jul 23, 2020","32.18","33.50","33.50","32.11","30.92M","-3.94%"
"Jul 22, 2020","33.50","33.19","33.70","33.07","35.15M","2.48%"
"Jul 21, 2020","32.69","32.72","33.15","32.52","27.58M","2.09%"
"Jul 20, 2020","32.02","31.43","32.07","31.33","23.42M","2.17%"
"Jul 17, 2020","31.34","31.27","31.47","31.10","17.08M","1.39%"
"Jul 16, 2020","30.91","30.87","31.09","30.68","27.12M","-0.39%"
"Jul 15, 2020","31.03","31.21","31.31","30.66","24.88M","0.84%"
"Jul 14, 2020","30.77","29.74","30.87","29.62","33.14M","2.57%"
"Jul 13, 2020","30.00","30.82","30.96","29.93","27.05M","-2.57%"
"Jul 12, 2020","30.79","30.79","30.79","30.79","-","0.00%"
"Jul 11, 2020","30.79","30.79","30.79","30.79","-","0.00%"
"Jul 10, 2020","30.79","30.28","30.81","30.13","14.06M","1.08%"
"Jul 09, 2020","30.46","31.14","31.17","30.20","23.83M","-0.75%"
"Jul 08, 2020","30.69","30.51","30.70","30.14","19.62M","3.23%"
"Jul 07, 2020","29.73","30.43","30.66","29.72","20.54M","-2.20%"
"Jul 06, 2020","30.40","30.52","30.79","30.11","19.43M","3.19%"
"Jul 05, 2020","29.46","29.46","29.46","29.46","-","0.00%"
"Jul 04, 2020","29.46","29.46","29.46","29.46","-","0.00%"
"Jul 02, 2020","29.46","30.06","30.44","29.43","23.78M","-0.81%"
"Jul 01, 2020","29.70","29.07","29.82","29.04","25.90M","3.27%"
"Jun 30, 2020","28.76","28.66","29.05","28.35","38.38M","-0.66%"
"Jun 29, 2020","28.95","28.79","28.95","28.23","20.04M","2.66%"
"Jun 26, 2020","28.20","28.78","28.95","28.09","28.95M","-4.92%"
"Jun 25, 2020","29.66","29.45","29.77","28.86","23.94M","2.13%"
"Jun 24, 2020","29.04","30.04","30.20","28.78","32.75M","-4.88%"
"Jun 23, 2020","30.53","30.51","31.02","30.42","17.13M","2.93%"
"Jun 22, 2020","29.66","30.30","30.47","29.53","18.60M","-0.13%"
"Jun 19, 2020","29.70","29.83","29.98","29.35","34.49M","1.05%"
"Jun 18, 2020","29.39","29.15","29.83","29.07","21.87M","-1.31%"
"Jun 17, 2020","29.78","29.54","30.33","29.38","24.73M","1.47%"
"Jun 16, 2020","29.35","30.50","30.71","29.22","31.62M","-0.61%"
"Jun 15, 2020","29.53","28.52","30.07","28.44","44.37M","-2.83%"
"Jun 12, 2020","30.39","30.38","30.93","29.61","64.29M","3.76%"
"Jun 11, 2020","29.29","29.76","30.49","28.69","53.59M","-7.84%"
"Jun 10, 2020","31.78","33.01","33.11","31.61","50.42M","-3.20%"
