"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","39.39","39.79","39.89","39.39","4.96M","-1.23%"
"Aug 30, 2020","39.88","39.88","39.88","39.88","-","0.00%"
"Aug 28, 2020","39.88","39.80","39.89","39.61","2.09M","0.91%"
"Aug 27, 2020","39.52","40.09","40.11","39.37","3.53M","-1.40%"
"Aug 26, 2020","40.08","39.76","40.10","39.73","2.46M","0.80%"
"Aug 25, 2020","39.76","39.96","40.00","39.47","3.59M","0.51%"
"Aug 24, 2020","39.56","39.67","39.67","39.39","2.22M","1.83%"
"Aug 23, 2020","38.85","38.85","38.85","38.85","-","0.00%"
"Aug 21, 2020","38.85","38.47","38.86","38.45","3.80M","-0.79%"
"Aug 20, 2020","39.16","38.83","39.22","38.83","3.39M","-0.58%"
"Aug 19, 2020","39.39","39.71","39.78","39.31","4.71M","-0.33%"
"Aug 18, 2020","39.52","39.88","39.91","39.45","1.68M","-0.10%"
"Aug 17, 2020","39.56","39.56","39.60","39.50","3.07M","0.66%"
"Aug 14, 2020","39.30","39.28","39.42","39.18","1.93M","-0.93%"
"Aug 13, 2020","39.67","39.84","39.98","39.54","3.16M","-0.60%"
"Aug 12, 2020","39.91","39.78","40.04","39.69","5.59M","2.46%"
"Aug 11, 2020","38.95","39.53","39.56","38.91","8.15M","0.59%"
"Aug 10, 2020","38.72","38.68","38.73","38.50","5.84M","0.13%"
"Aug 09, 2020","38.67","38.67","38.67","38.67","-","0.00%"
"Aug 08, 2020","38.67","38.67","38.67","38.67","-","0.00%"
"Aug 07, 2020","38.67","38.40","38.67","38.38","3.41M","-0.57%"
"Aug 06, 2020","38.89","38.63","38.95","38.52","3.14M","0.21%"
"Aug 05, 2020","38.81","38.97","39.11","38.75","5.51M","0.49%"
"Aug 04, 2020","38.62","38.12","38.62","38.11","3.43M","0.49%"
"Aug 03, 2020","38.43","38.11","38.44","37.97","4.92M","2.02%"
"Aug 02, 2020","37.67","37.67","37.67","37.67","-","0.00%"
"Jul 31, 2020","37.67","38.42","38.46","37.37","6.10M","-2.13%"
"Jul 30, 2020","38.49","38.02","38.52","37.66","4.27M","-1.77%"
"Jul 29, 2020","39.19","38.93","39.26","38.89","5.49M","1.23%"
"Jul 28, 2020","38.71","38.74","38.98","38.69","1.91M","-0.79%"
"Jul 27, 2020","39.02","38.90","39.14","38.86","2.73M","1.01%"
"Jul 26, 2020","38.63","38.63","38.63","38.63","-","0.00%"
"Jul 25, 2020","38.63","38.63","38.63","38.63","-","0.00%"
"Jul 24, 2020","38.63","38.62","38.73","38.51","2.80M","-0.72%"
"Jul 23, 2020","38.91","39.18","39.33","38.83","3.86M","-0.92%"
"Jul 22, 2020","39.27","39.15","39.33","39.11","3.45M","0.54%"
"Jul 21, 2020","39.06","39.22","39.33","39.00","3.56M","0.36%"
"Jul 20, 2020","38.92","38.71","38.96","38.58","3.22M","0.80%"
"Jul 17, 2020","38.61","38.49","38.63","38.35","2.52M","0.44%"
"Jul 16, 2020","38.44","38.34","38.59","38.30","2.66M","-0.13%"
"Jul 15, 2020","38.49","38.63","38.75","38.31","4.89M","1.16%"
"Jul 14, 2020","38.05","37.52","38.13","37.48","8.41M","1.58%"
"Jul 13, 2020","37.46","37.94","38.20","37.36","4.72M","-0.35%"
"Jul 12, 2020","37.59","37.59","37.59","37.59","-","0.00%"
"Jul 11, 2020","37.59","37.59","37.59","37.59","-","0.00%"
"Jul 10, 2020","37.59","37.32","37.62","37.16","4.70M","1.18%"
"Jul 09, 2020","37.15","37.64","37.68","36.88","11.75M","-1.49%"
"Jul 08, 2020","37.71","37.31","37.71","37.27","2.99M","1.15%"
"Jul 07, 2020","37.28","37.52","37.69","37.26","3.59M","-1.64%"
"Jul 06, 2020","37.90","37.91","38.02","37.70","5.05M","2.07%"
"Jul 05, 2020","37.13","37.13","37.13","37.13","-","0.00%"
"Jul 04, 2020","37.13","37.13","37.13","37.13","-","0.00%"
"Jul 02, 2020","37.13","37.31","37.55","37.07","6.44M","1.48%"
"Jul 01, 2020","36.59","36.32","36.70","36.32","3.95M","0.30%"
"Jun 30, 2020","36.48","36.18","36.66","36.10","4.05M","-0.08%"
"Jun 29, 2020","36.51","36.33","36.60","36.10","3.66M","1.47%"
"Jun 26, 2020","35.98","36.54","36.55","35.91","4.68M","-1.80%"
"Jun 25, 2020","36.64","36.02","36.67","35.86","5.54M","1.61%"
"Jun 24, 2020","36.06","36.58","36.67","35.89","5.01M","-2.75%"
"Jun 23, 2020","37.08","37.34","37.41","37.03","6.89M","0.98%"
"Jun 22, 2020","36.72","36.44","36.78","36.29","4.54M","1.58%"
"Jun 19, 2020","36.15","36.94","36.98","36.08","7.65M","-0.69%"
"Jun 18, 2020","36.40","36.29","36.58","36.24","4.20M","-0.63%"
"Jun 17, 2020","36.63","36.82","36.87","36.51","5.15M","0.14%"
"Jun 16, 2020","36.58","36.87","36.97","36.11","7.88M","1.19%"
"Jun 15, 2020","36.15","35.17","36.26","35.05","3.19M","0.14%"
"Jun 12, 2020","36.10","36.48","36.62","35.51","6.67M","1.92%"
"Jun 11, 2020","35.42","36.67","36.79","35.32","8.30M","-6.17%"
"Jun 10, 2020","37.75","38.17","38.21","37.64","5.96M","-0.71%"
"Jun 09, 2020","38.02","37.83","38.23","37.80","4.98M","-1.96%"
"Jun 08, 2020","38.78","38.51","38.78","38.23","4.90M","1.28%"
"Jun 07, 2020","38.29","38.29","38.29","38.29","-","0.00%"
"Jun 05, 2020","38.29","38.43","38.65","38.22","9.51M","2.03%"
"Jun 04, 2020","37.53","37.29","37.77","37.24","3.35M","0.21%"
"Jun 03, 2020","37.45","36.88","37.61","36.84","6.46M","3.57%"
"Jun 02, 2020","36.16","35.92","36.17","35.84","4.49M","1.63%"
"Jun 01, 2020","35.58","35.03","35.58","35.03","7.43M","2.29%"
"May 29, 2020","34.78","34.87","34.93","34.41","5.92M","0.19%"
"May 28, 2020","34.72","34.77","35.16","34.70","4.67M","0.67%"
"May 27, 2020","34.49","34.32","34.53","33.99","15.21M","2.47%"
"May 26, 2020","33.66","33.73","33.90","33.64","2.18M","3.33%"
"May 22, 2020","32.58","32.46","32.58","32.30","2.26M","0.20%"
"May 21, 2020","32.51","32.81","32.92","32.40","3.98M","-0.94%"
"May 20, 2020","32.82","32.65","32.99","32.58","2.70M","2.56%"
"May 19, 2020","32.00","32.25","32.42","32.00","3.27M","-1.90%"
"May 18, 2020","32.62","31.91","32.76","31.91","5.61M","5.46%"
"May 15, 2020","30.93","30.79","31.01","30.66","7.13M","0.10%"
"May 14, 2020","30.90","30.35","30.92","30.09","6.70M","-0.71%"
"May 13, 2020","31.12","31.65","31.67","30.92","6.54M","-1.52%"
"May 12, 2020","31.60","32.16","32.22","31.60","5.68M","-1.53%"
"May 11, 2020","32.09","32.05","32.17","31.83","4.08M","-0.65%"
"May 10, 2020","32.30","32.30","32.30","32.30","-","0.00%"
"May 09, 2020","32.30","32.30","32.30","32.30","-","0.00%"
"May 08, 2020","32.30","32.15","32.33","32.13","3.09M","1.70%"
"May 07, 2020","31.76","31.64","31.88","31.54","3.00M","1.96%"
"May 06, 2020","31.15","31.70","31.70","31.15","2.57M","-1.00%"
"May 05, 2020","31.47","31.63","31.81","31.41","3.60M","-0.24%"
"May 04, 2020","31.54","31.36","31.55","31.16","5.23M","-0.66%"
"May 03, 2020","31.75","31.75","31.75","31.75","-","0.00%"
"May 02, 2020","31.75","31.75","31.75","31.75","-","0.00%"
"May 01, 2020","31.75","31.98","32.12","31.59","4.21M","-1.98%"
"Apr 30, 2020","32.39","32.58","32.66","32.19","6.39M","-1.85%"
"Apr 29, 2020","33.00","32.62","33.10","32.58","4.14M","3.64%"
"Apr 28, 2020","31.84","32.31","32.36","31.81","3.58M","0.51%"
"Apr 27, 2020","31.68","31.41","31.77","31.32","2.57M","1.70%"
"Apr 24, 2020","31.15","31.01","31.19","30.71","5.45M","1.33%"
"Apr 23, 2020","30.74","30.94","31.51","30.63","6.48M","-0.87%"
"Apr 22, 2020","31.01","30.99","31.06","30.83","4.32M","1.34%"
"Apr 21, 2020","30.60","30.71","31.06","30.46","4.07M","-2.08%"
"Apr 20, 2020","31.25","31.24","31.76","31.22","8.40M","-1.45%"
"Apr 17, 2020","31.71","31.65","31.81","31.33","8.61M","3.46%"
"Apr 16, 2020","30.65","31.01","31.01","30.37","8.51M","-0.42%"
"Apr 15, 2020","30.78","30.92","31.04","30.67","4.91M","-4.29%"
"Apr 14, 2020","32.16","32.12","32.49","32.05","5.62M","1.84%"
"Apr 13, 2020","31.58","31.83","32.01","31.31","2.68M","-1.47%"
"Apr 09, 2020","32.05","31.73","32.23","31.66","4.45M","2.69%"
"Apr 08, 2020","31.21","31.03","31.32","30.78","4.37M","1.36%"
"Apr 07, 2020","30.79","31.65","31.73","30.79","8.13M","0.62%"
"Apr 06, 2020","30.60","30.01","30.78","29.99","8.23M","5.92%"
"Apr 03, 2020","28.89","29.13","29.18","28.69","6.00M","-2.00%"
"Apr 02, 2020","29.48","28.97","29.72","28.89","7.45M","1.52%"
"Apr 01, 2020","29.04","29.46","29.72","28.95","4.99M","-4.82%"
"Mar 31, 2020","30.51","30.39","30.79","30.15","9.87M","-0.55%"
"Mar 30, 2020","30.68","30.05","30.72","29.92","6.16M","1.22%"
"Mar 27, 2020","30.31","30.01","30.85","29.75","8.41M","-4.08%"
"Mar 26, 2020","31.60","30.25","31.60","30.25","12.86M","4.46%"
"Mar 25, 2020","30.25","29.32","30.73","28.99","14.00M","3.88%"
"Mar 24, 2020","29.12","28.80","29.39","28.40","6.13M","8.70%"
"Mar 23, 2020","26.79","27.01","27.39","26.52","7.49M","1.13%"
"Mar 20, 2020","26.49","27.41","27.90","26.49","10.22M","0.38%"
"Mar 19, 2020","26.39","25.87","26.93","25.71","8.72M","1.46%"
"Mar 18, 2020","26.01","25.98","26.75","25.32","8.05M","-6.87%"
"Mar 17, 2020","27.93","26.94","27.99","26.51","7.85M","4.26%"
"Mar 16, 2020","26.79","26.41","27.95","25.72","6.72M","-11.96%"
"Mar 13, 2020","30.43","30.74","30.84","28.50","7.49M","6.47%"
"Mar 12, 2020","28.58","30.07","30.35","28.37","14.32M","-12.68%"
"Mar 11, 2020","32.73","33.75","33.90","32.46","7.61M","-5.62%"
"Mar 10, 2020","34.68","34.93","34.93","33.47","16.18M","3.09%"
"Mar 09, 2020","33.64","34.52","35.14","33.63","6.65M","-9.11%"
"Mar 06, 2020","37.01","36.85","37.32","36.64","8.64M","-1.70%"
"Mar 05, 2020","37.65","37.83","38.17","37.46","4.83M","-3.54%"
"Mar 04, 2020","39.03","38.38","39.03","38.08","10.05M","3.53%"
"Mar 03, 2020","37.70","38.50","38.97","37.44","15.59M","-1.36%"
"Mar 02, 2020","38.22","37.46","38.23","37.13","19.06M","1.95%"
"Feb 28, 2020","37.49","36.76","37.51","36.47","14.91M","-0.58%"
