"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","39.52","40.84","40.84","39.52","2.71M","-3.47%"
"Aug 30, 2020","40.94","40.94","40.94","40.94","-","0.00%"
"Aug 28, 2020","40.94","40.75","41.06","39.84","2.61M","2.17%"
"Aug 27, 2020","40.07","38.55","40.59","38.55","3.56M","4.16%"
"Aug 26, 2020","38.47","38.75","38.75","38.05","1.59M","-0.77%"
"Aug 25, 2020","38.77","39.00","39.05","38.04","2.02M","1.31%"
"Aug 24, 2020","38.27","37.06","38.27","36.60","2.14M","5.20%"
"Aug 23, 2020","36.38","36.38","36.38","36.38","-","0.00%"
"Aug 21, 2020","36.38","36.44","36.98","36.03","1.27M","-0.68%"
"Aug 20, 2020","36.63","35.71","36.85","35.55","1.86M","-0.35%"
"Aug 19, 2020","36.76","37.32","37.92","36.50","2.13M","-1.34%"
"Aug 18, 2020","37.26","37.92","37.99","36.90","2.33M","-1.43%"
"Aug 17, 2020","37.80","38.08","38.30","37.72","1.83M","-1.18%"
"Aug 14, 2020","38.25","37.82","38.86","37.60","1.64M","0.26%"
"Aug 13, 2020","38.15","38.12","38.99","37.78","2.62M","-1.60%"
"Aug 12, 2020","38.77","40.00","40.07","38.12","2.85M","0.52%"
"Aug 11, 2020","38.57","39.54","40.37","38.33","5.22M","1.07%"
"Aug 10, 2020","38.16","38.08","38.70","37.88","3.25M","0.21%"
"Aug 09, 2020","38.08","38.08","38.08","38.08","-","0.00%"
"Aug 08, 2020","38.08","38.08","38.08","38.08","-","0.00%"
"Aug 07, 2020","38.08","36.32","38.12","36.05","2.66M","3.79%"
"Aug 06, 2020","36.69","36.45","36.88","35.99","1.82M","0.55%"
"Aug 05, 2020","36.49","35.79","36.72","35.79","3.02M","3.93%"
"Aug 04, 2020","35.11","35.17","35.39","34.65","1.62M","-0.17%"
"Aug 03, 2020","35.17","35.40","35.60","34.73","1.91M","0.57%"
"Aug 02, 2020","34.97","34.97","34.97","34.97","-","0.00%"
"Jul 31, 2020","34.97","35.42","35.42","33.60","3.33M","-0.29%"
"Jul 30, 2020","35.07","34.68","35.22","33.85","3.06M","-3.34%"
"Jul 29, 2020","36.28","34.30","36.36","34.30","2.69M","5.80%"
"Jul 28, 2020","34.29","34.25","34.81","33.78","1.90M","0.12%"
"Jul 27, 2020","34.25","34.20","34.28","33.05","2.29M","0.15%"
"Jul 26, 2020","34.20","34.20","34.20","34.20","-","0.00%"
"Jul 25, 2020","34.20","34.20","34.20","34.20","-","0.00%"
"Jul 24, 2020","34.20","34.58","34.88","33.98","2.31M","-1.89%"
"Jul 23, 2020","34.86","34.98","35.50","34.13","2.70M","-0.49%"
"Jul 22, 2020","35.03","34.10","35.13","34.10","2.83M","1.42%"
"Jul 21, 2020","34.54","34.12","35.06","34.08","3.29M","3.04%"
"Jul 20, 2020","33.52","33.40","33.90","32.99","2.56M","0.00%"
"Jul 17, 2020","33.52","33.80","33.84","32.93","2.59M","0.06%"
"Jul 16, 2020","33.50","33.12","34.06","32.92","3.39M","-1.41%"
"Jul 15, 2020","33.98","34.04","34.22","33.02","5.98M","5.30%"
"Jul 14, 2020","32.27","31.03","32.32","30.65","5.06M","2.80%"
"Jul 13, 2020","31.39","32.87","33.29","31.22","6.40M","-1.75%"
"Jul 12, 2020","31.95","31.95","31.95","31.95","-","0.00%"
"Jul 11, 2020","31.95","31.95","31.95","31.95","-","0.00%"
"Jul 10, 2020","31.95","30.00","31.98","30.00","5.80M","5.86%"
"Jul 09, 2020","30.18","31.70","31.82","29.21","5.65M","-5.00%"
"Jul 08, 2020","31.77","31.12","31.92","30.70","4.70M","2.45%"
"Jul 07, 2020","31.01","32.12","32.26","30.77","4.29M","-5.43%"
"Jul 06, 2020","32.79","33.27","33.66","32.48","4.41M","3.90%"
"Jul 05, 2020","31.56","31.56","31.56","31.56","-","0.00%"
"Jul 04, 2020","31.56","31.56","31.56","31.56","-","0.00%"
"Jul 02, 2020","31.56","33.10","33.47","31.38","5.31M","0.16%"
"Jul 01, 2020","31.51","31.60","32.17","30.92","4.47M","0.70%"
"Jun 30, 2020","31.29","29.85","31.72","29.85","4.97M","4.47%"
"Jun 29, 2020","29.95","29.73","30.11","28.77","4.13M","3.20%"
"Jun 26, 2020","29.02","30.87","31.33","29.00","10.57M","-10.04%"
"Jun 25, 2020","32.26","29.96","32.37","29.93","8.17M","6.40%"
"Jun 24, 2020","30.32","32.75","32.75","29.65","9.92M","-10.45%"
"Jun 23, 2020","33.86","34.75","35.01","33.74","4.89M","0.95%"
"Jun 22, 2020","33.54","32.97","33.86","32.35","4.43M","0.72%"
"Jun 19, 2020","33.30","36.00","36.00","32.74","7.13M","-3.45%"
"Jun 18, 2020","34.49","33.64","34.98","33.54","3.59M","-0.52%"
"Jun 17, 2020","34.67","36.02","36.10","34.48","4.61M","-3.13%"
"Jun 16, 2020","35.79","38.00","38.00","33.91","9.05M","4.96%"
"Jun 15, 2020","34.10","29.96","34.44","29.76","8.31M","3.33%"
"Jun 12, 2020","33.00","33.55","33.72","30.66","9.87M","8.55%"
"Jun 11, 2020","30.40","33.76","35.15","30.39","14.89M","-21.61%"
"Jun 10, 2020","38.78","42.02","42.02","38.78","8.44M","-8.17%"
"Jun 09, 2020","42.23","41.73","43.12","41.16","5.37M","-4.72%"
"Jun 08, 2020","44.32","44.50","44.51","42.85","7.71M","4.60%"
"Jun 07, 2020","42.37","42.37","42.37","42.37","-","0.00%"
"Jun 05, 2020","42.37","43.81","44.00","41.64","9.99M","10.80%"
"Jun 04, 2020","38.24","37.40","38.25","36.33","7.55M","2.03%"
"Jun 03, 2020","37.48","36.07","37.77","35.80","10.58M","9.33%"
"Jun 02, 2020","34.28","34.30","34.80","33.73","4.48M","2.54%"
"Jun 01, 2020","33.43","32.42","33.82","32.09","3.88M","3.56%"
"May 29, 2020","32.28","32.05","33.05","31.27","6.03M","-2.09%"
"May 28, 2020","32.97","34.58","34.59","32.65","5.30M","-2.11%"
"May 27, 2020","33.68","33.93","33.93","31.47","9.10M","8.44%"
"May 26, 2020","31.06","30.36","31.68","30.32","9.08M","11.69%"
"May 22, 2020","27.81","27.79","27.83","26.93","3.63M","0.69%"
"May 21, 2020","27.62","27.75","28.36","27.15","3.92M","-1.46%"
"May 20, 2020","28.03","27.65","28.43","27.62","5.35M","6.25%"
"May 19, 2020","26.38","27.61","28.13","26.38","5.36M","-5.48%"
"May 18, 2020","27.91","26.64","28.36","26.64","10.91M","15.19%"
"May 15, 2020","24.23","23.70","24.40","23.18","5.88M","-0.82%"
"May 14, 2020","24.43","22.10","24.43","21.23","11.86M","6.22%"
"May 13, 2020","23.00","24.57","24.58","22.52","10.81M","-8.04%"
"May 12, 2020","25.01","27.94","27.97","25.00","7.29M","-8.89%"
