"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","13.53","13.14","13.53","13.14","2.56M","3.52%"
"Aug 30, 2020","13.07","13.07","13.07","13.07","-","0.00%"
"Aug 28, 2020","13.07","13.17","13.46","13.04","2.58M","-2.24%"
"Aug 27, 2020","13.37","13.90","13.90","13.20","3.24M","-4.16%"
"Aug 26, 2020","13.95","13.98","14.11","13.85","1.44M","0.87%"
"Aug 25, 2020","13.83","13.76","14.12","13.75","1.87M","-1.43%"
"Aug 24, 2020","14.03","14.50","14.72","14.03","2.03M","-5.33%"
"Aug 23, 2020","14.82","14.82","14.82","14.82","-","0.00%"
"Aug 21, 2020","14.82","14.76","14.95","14.57","1.48M","0.61%"
"Aug 20, 2020","14.73","15.08","15.10","14.62","1.86M","0.27%"
"Aug 19, 2020","14.69","14.42","14.74","14.21","1.77M","1.59%"
"Aug 18, 2020","14.46","14.22","14.60","14.19","1.74M","1.54%"
"Aug 17, 2020","14.24","14.16","14.29","14.09","1.43M","0.99%"
"Aug 14, 2020","14.10","14.32","14.34","13.88","2.01M","-0.35%"
"Aug 13, 2020","14.15","14.14","14.27","13.87","2.20M","1.73%"
"Aug 12, 2020","13.91","13.49","14.15","13.44","2.61M","-0.50%"
"Aug 11, 2020","13.98","13.62","14.08","13.33","4.56M","-1.06%"
"Aug 10, 2020","14.13","13.99","14.25","13.95","2.51M","-0.35%"
"Aug 09, 2020","14.18","14.18","14.18","14.18","-","0.00%"
"Aug 08, 2020","14.18","14.18","14.18","14.18","-","0.00%"
"Aug 07, 2020","14.18","14.95","14.97","14.15","2.69M","-3.67%"
"Aug 06, 2020","14.72","14.82","15.02","14.66","2.24M","-0.47%"
"Aug 05, 2020","14.79","15.05","15.05","14.73","3.03M","-3.96%"
"Aug 04, 2020","15.40","15.42","15.63","15.31","3.26M","-0.13%"
"Aug 03, 2020","15.42","15.36","15.60","15.22","2.25M","-0.19%"
"Aug 02, 2020","15.45","15.45","15.45","15.45","-","0.00%"
"Jul 31, 2020","15.45","15.37","16.08","15.37","3.93M","0.13%"
"Jul 30, 2020","15.43","15.62","15.96","15.38","3.69M","3.42%"
"Jul 29, 2020","14.92","15.85","15.87","14.92","2.91M","-6.34%"
"Jul 28, 2020","15.93","15.90","16.11","15.64","2.03M","0.19%"
"Jul 27, 2020","15.90","15.98","16.45","15.90","2.59M","-0.19%"
"Jul 26, 2020","15.93","15.93","15.93","15.93","-","0.00%"
"Jul 25, 2020","15.93","15.93","15.93","15.93","-","0.00%"
"Jul 24, 2020","15.93","15.71","16.01","15.63","3.79M","1.72%"
"Jul 23, 2020","15.66","15.62","15.95","15.36","4.54M","0.90%"
"Jul 22, 2020","15.52","16.01","16.02","15.50","2.87M","-1.77%"
"Jul 21, 2020","15.80","15.97","16.01","15.54","4.13M","-3.07%"
"Jul 20, 2020","16.30","16.38","16.54","16.09","3.19M","0.31%"
"Jul 17, 2020","16.25","16.14","16.57","16.12","4.14M","-0.55%"
"Jul 16, 2020","16.34","16.44","16.58","16.04","5.72M","1.62%"
"Jul 15, 2020","16.08","16.06","16.57","15.96","8.32M","-5.41%"
"Jul 14, 2020","17.00","17.66","17.88","16.93","9.72M","-2.69%"
"Jul 13, 2020","17.47","16.70","17.56","16.45","9.95M","1.81%"
"Jul 12, 2020","17.16","17.16","17.16","17.16","-","0.00%"
"Jul 11, 2020","17.16","17.16","17.16","17.16","-","0.00%"
"Jul 10, 2020","17.16","18.31","18.31","17.14","8.60M","-5.82%"
"Jul 09, 2020","18.22","17.39","18.79","17.36","9.44M","4.71%"
