"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","43.96","44.10","44.10","43.65","18.27M","-2.29%"
"Aug 30, 2020","44.99","44.99","44.99","44.99","-","0.00%"
"Aug 28, 2020","44.99","44.74","45.01","44.65","10.93M","0.81%"
"Aug 27, 2020","44.63","44.84","44.84","44.38","17.84M","-0.20%"
"Aug 26, 2020","44.72","44.62","44.81","44.59","13.41M","-0.18%"
"Aug 25, 2020","44.80","44.38","44.83","44.32","24.04M","0.40%"
"Aug 24, 2020","44.62","44.79","44.82","44.49","15.72M","1.09%"
"Aug 23, 2020","44.14","44.14","44.14","44.14","-","0.00%"
"Aug 21, 2020","44.14","43.77","44.21","43.71","17.51M","0.89%"
"Aug 20, 2020","43.75","43.24","43.76","43.13","17.73M","0.46%"
"Aug 19, 2020","43.55","43.86","43.86","43.52","23.97M","-1.05%"
"Aug 18, 2020","44.01","44.07","44.16","43.81","23.65M","0.39%"
"Aug 17, 2020","43.84","43.63","43.88","43.53","21.38M","1.86%"
"Aug 14, 2020","43.04","42.95","43.06","42.91","13.33M","0.54%"
"Aug 13, 2020","42.81","42.76","42.81","42.58","16.51M","-0.19%"
"Aug 12, 2020","42.89","42.74","43.00","42.71","25.27M","1.47%"
"Aug 11, 2020","42.27","42.60","42.68","42.23","21.03M","-0.09%"
"Aug 10, 2020","42.31","42.01","42.34","41.99","14.89M","0.71%"
"Aug 09, 2020","42.01","42.01","42.01","42.01","-","0.00%"
"Aug 08, 2020","42.01","42.01","42.01","42.01","-","0.00%"
"Aug 07, 2020","42.01","42.05","42.20","41.76","29.97M","-1.96%"
"Aug 06, 2020","42.85","42.71","42.91","42.57","17.58M","0.07%"
"Aug 05, 2020","42.82","42.91","43.12","42.77","11.89M","0.00%"
"Aug 04, 2020","42.82","41.87","42.84","41.87","24.91M","2.27%"
"Aug 03, 2020","41.87","41.86","42.03","41.78","18.65M","1.21%"
"Aug 02, 2020","41.37","41.37","41.37","41.37","-","0.00%"
"Jul 31, 2020","41.37","41.61","41.65","41.09","21.67M","-0.98%"
"Jul 30, 2020","41.78","41.73","41.85","41.39","14.50M","-1.04%"
"Jul 29, 2020","42.22","42.12","42.31","41.99","14.44M","1.51%"
"Jul 28, 2020","41.59","41.96","41.96","41.57","12.11M","-0.88%"
"Jul 27, 2020","41.96","41.81","42.05","41.67","17.33M","-0.21%"
"Jul 26, 2020","42.05","42.05","42.05","42.05","-","0.00%"
"Jul 25, 2020","42.05","42.05","42.05","42.05","-","0.00%"
"Jul 24, 2020","42.05","41.80","42.08","41.71","20.13M","-0.83%"
"Jul 23, 2020","42.40","42.69","42.84","42.35","21.65M","-0.75%"
"Jul 22, 2020","42.72","42.95","43.01","42.51","24.49M","-1.41%"
"Jul 21, 2020","43.33","43.73","43.74","43.30","20.68M","0.51%"
"Jul 20, 2020","43.11","42.86","43.23","42.82","17.64M","1.29%"
"Jul 17, 2020","42.56","42.61","42.71","42.41","14.75M","0.19%"
"Jul 16, 2020","42.48","42.14","42.55","42.14","22.56M","-2.28%"
"Jul 15, 2020","43.47","43.68","43.73","43.40","22.36M","-0.53%"
"Jul 14, 2020","43.70","43.27","43.87","43.23","25.20M","-0.77%"
"Jul 13, 2020","44.04","44.49","44.84","43.99","22.28M","-1.14%"
"Jul 12, 2020","44.55","44.55","44.55","44.55","-","0.00%"
"Jul 11, 2020","44.55","44.55","44.55","44.55","-","0.00%"
"Jul 10, 2020","44.55","44.66","44.71","44.35","18.27M","-1.48%"
"Jul 09, 2020","45.22","45.87","45.90","44.98","33.86M","-0.68%"
"Jul 08, 2020","45.53","44.95","45.55","44.85","30.43M","3.22%"
"Jul 07, 2020","44.11","44.18","44.60","44.10","24.84M","-2.84%"
"Jul 06, 2020","45.40","44.59","45.42","44.59","67.37M","9.50%"
"Jul 05, 2020","41.46","41.46","41.46","41.46","-","0.00%"
"Jul 04, 2020","41.46","41.46","41.46","41.46","-","0.00%"
"Jul 02, 2020","41.46","41.38","41.64","41.28","28.38M","3.24%"
"Jul 01, 2020","40.16","39.98","40.46","39.97","22.46M","1.16%"
"Jun 30, 2020","39.70","39.84","39.92","39.49","17.86M","-0.87%"
"Jun 29, 2020","40.05","39.98","40.11","39.80","12.83M","-0.35%"
"Jun 26, 2020","40.19","40.38","40.41","40.01","13.59M","-0.94%"
"Jun 25, 2020","40.57","40.33","40.65","40.24","13.56M","0.25%"
"Jun 24, 2020","40.47","40.68","40.79","40.19","17.67M","-1.03%"
"Jun 23, 2020","40.89","41.05","41.15","40.87","12.50M","0.66%"
"Jun 22, 2020","40.62","40.23","40.62","40.16","13.54M","0.74%"
"Jun 19, 2020","40.32","40.85","40.85","40.11","25.65M","0.15%"
"Jun 18, 2020","40.26","40.07","40.31","40.06","11.70M","0.35%"
"Jun 17, 2020","40.12","40.08","40.29","40.01","11.59M","0.40%"
"Jun 16, 2020","39.96","40.63","40.66","39.81","26.46M","0.78%"
"Jun 15, 2020","39.65","39.14","39.85","39.10","25.94M","-1.71%"
"Jun 12, 2020","40.34","40.46","40.49","39.83","24.90M","1.26%"
"Jun 11, 2020","39.84","40.37","40.64","39.84","32.09M","-4.14%"
"Jun 10, 2020","41.56","41.33","41.64","41.04","16.10M","1.19%"
"Jun 09, 2020","41.07","40.85","41.20","40.74","17.03M","-0.48%"
"Jun 08, 2020","41.27","41.00","41.29","40.86","16.91M","-0.51%"
"Jun 07, 2020","41.48","41.48","41.48","41.48","-","0.00%"
"Jun 05, 2020","41.48","41.45","41.64","41.31","19.37M","2.24%"
"Jun 04, 2020","40.57","40.67","40.85","40.44","18.99M","-1.46%"
"Jun 03, 2020","41.17","40.84","41.24","40.82","23.53M","1.70%"
"Jun 02, 2020","40.48","40.08","40.59","40.00","25.65M","1.79%"
"Jun 01, 2020","39.77","39.29","39.79","39.24","22.56M","1.84%"
"May 29, 2020","39.05","38.72","39.10","38.31","49.14M","2.09%"
"May 28, 2020","38.25","38.52","38.74","38.20","28.22M","0.31%"
"May 27, 2020","38.13","38.32","38.33","37.81","28.40M","-0.55%"
"May 26, 2020","38.34","38.63","38.75","38.20","40.42M","2.24%"
"May 22, 2020","37.50","37.69","37.71","37.34","40.14M","-2.70%"
"May 21, 2020","38.54","38.82","38.98","38.45","33.19M","-2.73%"
"May 20, 2020","39.62","39.69","39.83","39.38","23.70M","1.46%"
"May 19, 2020","39.05","39.32","39.48","39.04","21.57M","-1.04%"
"May 18, 2020","39.46","39.02","39.54","38.99","27.72M","3.98%"
"May 15, 2020","37.95","37.87","38.06","37.80","25.44M","-1.45%"
"May 14, 2020","38.51","37.97","38.59","37.92","33.64M","-0.41%"
"May 13, 2020","38.67","39.06","39.12","38.39","42.66M","0.31%"
"May 12, 2020","38.55","38.91","39.14","38.55","39.07M","-0.87%"
"May 11, 2020","38.89","38.87","39.03","38.78","16.17M","-0.46%"
"May 10, 2020","39.07","39.07","39.07","39.07","-","0.00%"
"May 09, 2020","39.07","39.07","39.07","39.07","-","0.00%"
"May 08, 2020","39.07","38.81","39.17","38.78","27.80M","2.28%"
"May 07, 2020","38.20","38.32","38.39","38.10","16.03M","0.26%"
"May 06, 2020","38.10","38.42","38.48","38.06","17.37M","0.26%"
"May 05, 2020","38.00","38.00","38.17","37.93","25.32M","1.01%"
"May 04, 2020","37.62","37.34","37.63","37.22","28.11M","0.94%"
"May 03, 2020","37.27","37.27","37.27","37.27","-","0.00%"
"May 02, 2020","37.27","37.27","37.27","37.27","-","0.00%"
"May 01, 2020","37.27","37.83","37.88","37.20","54.50M","-3.42%"
"Apr 30, 2020","38.59","39.51","39.74","38.48","45.49M","-2.62%"
"Apr 29, 2020","39.63","39.60","39.80","39.50","20.31M","1.62%"
"Apr 28, 2020","39.00","39.63","39.64","39.00","23.64M","0.10%"
"Apr 27, 2020","38.96","38.69","38.99","38.63","16.91M","2.02%"
"Apr 24, 2020","38.19","38.15","38.19","37.89","12.78M","1.01%"
"Apr 23, 2020","37.81","38.12","38.48","37.80","19.57M","-0.42%"
"Apr 22, 2020","37.97","37.99","38.02","37.87","16.93M","2.43%"
"Apr 21, 2020","37.07","37.34","37.48","37.06","25.72M","-2.68%"
"Apr 20, 2020","38.09","38.12","38.48","38.03","18.01M","-0.83%"
"Apr 17, 2020","38.41","38.42","38.47","38.09","29.41M","1.72%"
"Apr 16, 2020","37.76","37.82","37.84","37.54","20.82M","0.40%"
"Apr 15, 2020","37.61","37.69","37.83","37.47","25.45M","-2.31%"
"Apr 14, 2020","38.50","38.52","38.65","38.39","35.86M","1.58%"
"Apr 13, 2020","37.90","37.86","37.99","37.51","21.07M","0.08%"
"Apr 09, 2020","37.87","38.26","38.51","37.83","21.93M","-0.66%"
"Apr 08, 2020","38.12","37.90","38.23","37.67","14.73M","0.08%"
"Apr 07, 2020","38.09","39.03","39.10","37.92","28.96M","-0.31%"
"Apr 06, 2020","38.21","37.82","38.29","37.72","23.61M","3.58%"
"Apr 03, 2020","36.89","37.31","37.44","36.77","18.89M","-1.34%"
"Apr 02, 2020","37.39","36.93","37.46","36.81","33.08M","3.83%"
"Apr 01, 2020","36.01","36.89","37.01","35.99","28.41M","-4.08%"
"Mar 31, 2020","37.54","37.51","37.90","37.31","17.08M","0.37%"
"Mar 30, 2020","37.40","36.71","37.42","36.51","22.50M","3.60%"
"Mar 28, 2020","36.10","36.10","36.10","36.10","-","0.00%"
"Mar 27, 2020","36.10","36.26","36.69","36.01","39.40M","-5.87%"
"Mar 26, 2020","38.35","37.01","38.40","36.93","34.03M","2.73%"
"Mar 25, 2020","37.33","36.88","37.74","36.57","33.17M","1.52%"
"Mar 24, 2020","36.77","36.38","36.79","36.03","39.41M","6.77%"
"Mar 23, 2020","34.44","34.86","34.93","33.94","37.92M","-0.06%"
"Mar 21, 2020","34.46","34.46","34.46","34.46","-","0.00%"
"Mar 20, 2020","34.46","35.55","35.66","34.15","48.74M","1.35%"
"Mar 19, 2020","34.00","33.60","34.56","33.10","39.34M","0.09%"
"Mar 18, 2020","33.97","33.59","34.56","33.22","56.13M","-5.67%"
"Mar 17, 2020","36.01","34.90","36.12","34.41","41.58M","6.19%"
"Mar 16, 2020","33.91","33.88","35.54","33.65","48.27M","-10.29%"
"Mar 14, 2020","37.80","37.80","37.80","37.80","-","0.00%"
"Mar 13, 2020","37.80","38.50","38.53","36.30","66.18M","5.59%"
"Mar 12, 2020","35.80","36.15","36.52","35.30","78.65M","-7.73%"
"Mar 11, 2020","38.80","39.09","39.31","38.67","49.44M","-3.41%"
"Mar 10, 2020","40.17","39.98","40.23","39.32","46.74M","3.96%"
"Mar 09, 2020","38.64","38.24","39.08","38.01","57.64M","-4.02%"
"Mar 06, 2020","40.26","40.26","40.42","39.88","46.72M","-2.00%"
"Mar 05, 2020","41.08","41.41","41.54","40.97","40.90M","-0.44%"
"Mar 04, 2020","41.26","41.16","41.30","41.00","30.52M","1.08%"
"Mar 03, 2020","40.82","40.98","41.59","40.58","60.88M","-0.63%"
"Mar 02, 2020","41.08","40.65","41.08","40.47","48.12M","1.03%"
"Feb 28, 2020","40.66","39.74","40.70","39.35","59.68M","0.62%"
"Feb 27, 2020","40.41","40.84","40.98","40.21","49.68M","-0.76%"
"Feb 26, 2020","40.72","40.88","41.12","40.69","45.91M","1.44%"
"Feb 25, 2020","40.14","40.92","40.95","40.10","54.37M","-0.96%"
"Feb 24, 2020","40.53","40.33","40.83","40.28","54.70M","-3.55%"
"Feb 21, 2020","42.02","42.16","42.19","41.94","36.47M","0.00%"
"Feb 20, 2020","42.02","42.30","42.37","41.97","33.18M","-1.06%"
"Feb 19, 2020","42.47","42.54","42.57","42.41","16.64M","0.69%"
"Feb 18, 2020","42.18","42.14","42.29","42.11","18.93M","-0.21%"
"Feb 17, 2020","42.27","42.27","42.27","42.27","-","0.00%"
