"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","42.27","42.09","42.81","41.93","21.17M","0.74%"
"Aug 30, 2020","41.96","41.96","41.96","41.96","-","0.00%"
"Aug 28, 2020","41.96","41.63","42.23","41.25","26.92M","3.20%"
"Aug 27, 2020","40.66","42.31","42.31","40.04","31.69M","-2.26%"
"Aug 26, 2020","41.60","40.07","41.63","40.07","27.68M","2.51%"
"Aug 25, 2020","40.58","40.54","40.59","39.60","20.24M","-0.17%"
"Aug 24, 2020","40.65","41.58","41.58","40.60","17.72M","-0.59%"
"Aug 23, 2020","40.89","40.89","40.89","40.89","-","0.00%"
"Aug 21, 2020","40.89","41.12","41.30","40.44","23.94M","-2.57%"
"Aug 20, 2020","41.97","41.06","42.09","40.80","29.59M","2.34%"
"Aug 19, 2020","41.01","42.26","42.60","40.79","36.90M","-3.87%"
"Aug 18, 2020","42.66","44.08","44.08","42.06","28.19M","-0.70%"
"Aug 17, 2020","42.96","42.14","42.98","41.86","35.74M","6.47%"
"Aug 14, 2020","40.35","40.46","40.72","39.72","21.08M","-0.69%"
"Aug 13, 2020","40.63","39.96","41.02","39.94","36.09M","3.57%"
"Aug 12, 2020","39.23","40.42","40.47","39.22","38.31M","0.46%"
"Aug 11, 2020","39.05","40.23","40.75","38.89","71.30M","-7.88%"
"Aug 10, 2020","42.39","43.24","44.17","42.29","28.79M","-0.82%"
"Aug 09, 2020","42.74","42.74","42.74","42.74","-","0.00%"
"Aug 08, 2020","42.74","42.74","42.74","42.74","-","0.00%"
"Aug 07, 2020","42.74","43.24","43.54","42.26","33.22M","-3.37%"
"Aug 06, 2020","44.23","45.34","45.34","43.59","29.58M","-0.67%"
"Aug 05, 2020","44.53","45.37","45.78","44.02","37.86M","0.11%"
"Aug 04, 2020","44.48","42.44","44.48","42.12","42.41M","4.56%"
"Aug 03, 2020","42.54","42.64","42.90","41.79","26.24M","-0.93%"
"Aug 02, 2020","42.94","42.94","42.94","42.94","-","0.00%"
"Jul 31, 2020","42.94","42.36","43.03","41.93","29.56M","3.15%"
"Jul 30, 2020","41.63","41.91","42.68","40.96","38.07M","-3.48%"
"Jul 29, 2020","43.13","43.73","43.74","42.22","39.59M","-0.99%"
"Jul 28, 2020","43.56","43.09","44.05","42.75","37.24M","-0.64%"
"Jul 27, 2020","43.84","43.39","44.44","43.33","57.60M","4.81%"
"Jul 26, 2020","41.83","41.83","41.83","41.83","-","0.00%"
"Jul 25, 2020","41.83","41.83","41.83","41.83","-","0.00%"
"Jul 24, 2020","41.83","41.45","41.91","41.13","34.92M","2.12%"
"Jul 23, 2020","40.96","41.70","42.23","40.22","43.69M","-1.89%"
"Jul 22, 2020","41.75","41.45","41.93","41.10","39.31M","2.05%"
"Jul 21, 2020","40.91","41.28","41.60","40.57","34.70M","1.31%"
"Jul 20, 2020","40.38","39.77","40.48","39.68","28.36M","2.72%"
"Jul 17, 2020","39.31","38.56","39.34","38.34","27.74M","3.23%"
"Jul 16, 2020","38.08","38.31","38.71","37.72","21.30M","-1.53%"
"Jul 15, 2020","38.67","38.33","38.75","37.70","21.29M","0.21%"
"Jul 14, 2020","38.59","36.96","38.59","36.89","30.43M","3.93%"
"Jul 13, 2020","37.13","39.07","39.18","37.09","34.82M","-3.31%"
"Jul 12, 2020","38.40","38.40","38.40","38.40","-","0.00%"
"Jul 11, 2020","38.40","38.40","38.40","38.40","-","0.00%"
"Jul 10, 2020","38.40","39.09","39.18","38.04","21.90M","-1.01%"
"Jul 09, 2020","38.79","39.28","39.42","37.83","37.06M","-0.44%"
"Jul 08, 2020","38.96","38.41","39.13","38.19","34.21M","3.26%"
"Jul 07, 2020","37.73","36.69","37.97","36.66","30.15M","2.42%"
"Jul 06, 2020","36.84","36.85","37.12","36.32","23.65M","1.85%"
"Jul 05, 2020","36.17","36.17","36.17","36.17","-","0.00%"
"Jul 04, 2020","36.17","36.17","36.17","36.17","-","0.00%"
"Jul 02, 2020","36.17","36.38","37.07","36.13","28.39M","-1.07%"
"Jul 01, 2020","36.56","36.57","36.63","35.53","30.67M","-0.33%"
"Jun 30, 2020","36.68","35.47","36.71","35.23","35.82M","3.15%"
"Jun 29, 2020","35.56","35.37","35.56","34.98","24.26M","1.05%"
"Jun 26, 2020","35.19","34.59","35.33","34.08","29.05M","0.66%"
"Jun 25, 2020","34.96","34.75","34.96","34.18","17.94M","0.63%"
"Jun 24, 2020","34.74","35.10","35.66","34.31","37.59M","-1.78%"
"Jun 23, 2020","35.37","35.38","35.84","35.12","28.98M","1.43%"
"Jun 22, 2020","34.87","34.37","35.34","34.28","46.11M","3.93%"
"Jun 19, 2020","33.55","32.88","33.84","32.69","37.41M","3.45%"
"Jun 18, 2020","32.43","32.64","33.03","32.30","20.13M","-1.28%"
"Jun 17, 2020","32.85","32.79","33.17","32.50","23.88M","0.64%"
"Jun 16, 2020","32.64","33.46","33.66","32.45","39.60M","-2.60%"
"Jun 15, 2020","33.51","31.80","33.66","31.32","32.19M","2.67%"
"Jun 12, 2020","32.64","33.46","33.78","32.50","29.83M","-0.58%"
"Jun 11, 2020","32.83","34.43","34.91","32.40","50.21M","-4.92%"
"Jun 10, 2020","34.53","33.46","34.53","32.45","46.92M","4.45%"
"Jun 09, 2020","33.06","33.11","33.46","32.66","21.75M","0.85%"
"Jun 08, 2020","32.78","32.57","32.81","32.09","21.18M","0.99%"
"Jun 07, 2020","32.46","32.46","32.46","32.46","-","0.00%"
"Jun 05, 2020","32.46","32.04","32.46","31.22","50.29M","-1.96%"
"Jun 04, 2020","33.11","33.49","33.57","32.84","25.89M","0.85%"
"Jun 03, 2020","32.83","33.23","33.56","32.44","40.45M","-3.70%"
"Jun 02, 2020","34.09","35.56","35.56","33.95","39.29M","-3.65%"
"Jun 01, 2020","35.38","34.59","35.43","34.49","24.20M","3.09%"
"May 29, 2020","34.32","34.67","34.87","34.11","33.43M","0.94%"
"May 28, 2020","34.00","34.38","34.67","33.56","29.94M","0.86%"
"May 27, 2020","33.71","33.13","33.74","32.55","43.85M","-1.09%"
"May 26, 2020","34.08","35.27","35.27","33.95","36.17M","-4.14%"
"May 22, 2020","35.55","35.98","36.44","35.47","17.99M","-0.31%"
"May 21, 2020","35.66","36.07","36.21","34.77","33.18M","-2.59%"
"May 20, 2020","36.61","37.39","37.46","36.45","30.06M","-1.61%"
"May 19, 2020","37.21","36.51","37.49","36.39","36.74M","3.56%"
"May 18, 2020","35.93","37.14","37.18","35.72","33.17M","-1.75%"
"May 15, 2020","36.57","35.95","36.66","35.62","38.47M","4.01%"
"May 14, 2020","35.16","34.01","35.45","34.01","33.74M","3.17%"
"May 13, 2020","34.08","34.35","34.68","33.42","33.29M","0.71%"
"May 12, 2020","33.84","34.34","34.95","33.69","21.00M","-0.15%"
"May 11, 2020","33.89","34.92","35.04","33.55","28.73M","-2.78%"
"May 10, 2020","34.86","34.86","34.86","34.86","-","0.00%"
"May 09, 2020","34.86","34.86","34.86","34.86","-","0.00%"
"May 08, 2020","34.86","34.99","35.56","34.58","28.62M","-0.49%"
"May 07, 2020","35.03","34.09","35.49","33.88","35.05M","3.95%"
"May 06, 2020","33.70","34.15","34.51","33.62","29.08M","-3.13%"
"May 05, 2020","34.79","33.91","34.91","33.37","30.29M","2.35%"
"May 04, 2020","33.99","33.76","34.25","33.52","34.39M","2.10%"
"May 03, 2020","33.29","33.29","33.29","33.29","-","0.00%"
"May 02, 2020","33.29","33.29","33.29","33.29","-","0.00%"
"May 01, 2020","33.29","31.48","33.39","31.31","34.00M","3.19%"
"Apr 30, 2020","32.26","33.18","33.83","32.15","52.25M","-5.20%"
"Apr 29, 2020","34.03","33.45","34.07","32.82","36.91M","0.65%"
"Apr 28, 2020","33.81","33.50","33.98","32.98","31.63M","0.06%"
"Apr 27, 2020","33.79","33.95","34.21","32.93","30.46M","-0.41%"
"Apr 24, 2020","33.93","34.02","34.31","32.96","40.58M","1.53%"
"Apr 23, 2020","33.42","33.21","34.74","33.01","56.33M","2.80%"
"Apr 22, 2020","32.51","31.54","32.64","31.50","40.94M","6.38%"
"Apr 21, 2020","30.56","29.68","30.87","29.55","22.46M","-0.59%"
"Apr 20, 2020","30.74","29.98","31.13","29.98","25.49M","2.67%"
"Apr 17, 2020","29.94","29.76","30.42","29.67","29.25M","-3.17%"
"Apr 16, 2020","30.92","30.42","31.13","30.04","37.98M","2.55%"
"Apr 15, 2020","30.15","29.66","30.85","29.37","31.92M","-1.95%"
"Apr 14, 2020","30.75","31.12","32.27","30.02","59.36M","-0.10%"
"Apr 13, 2020","30.78","28.65","31.07","27.91","59.89M","6.32%"
"Apr 09, 2020","28.95","27.20","28.97","27.09","68.55M","10.50%"
"Apr 08, 2020","26.20","26.17","26.53","25.83","17.48M","0.42%"
"Apr 07, 2020","26.09","26.61","26.76","25.78","31.20M","-0.95%"
"Apr 06, 2020","26.34","26.01","26.69","25.54","62.38M","5.57%"
"Apr 03, 2020","24.95","25.16","25.88","24.74","33.78M","-0.36%"
"Apr 02, 2020","25.04","24.59","25.72","24.37","39.86M","4.20%"
"Apr 01, 2020","24.03","23.00","24.26","23.00","33.90M","4.30%"
"Mar 31, 2020","23.04","23.60","24.43","23.03","45.11M","-3.72%"
"Mar 30, 2020","23.93","24.39","25.33","23.14","63.04M","-1.81%"
"Mar 28, 2020","24.37","24.37","24.37","24.37","-","0.00%"
"Mar 27, 2020","24.37","25.15","25.67","23.73","94.31M","-5.73%"
"Mar 26, 2020","25.85","26.69","27.21","25.22","46.30M","-1.75%"
"Mar 25, 2020","26.31","25.39","27.00","24.55","95.26M","4.61%"
"Mar 24, 2020","25.15","24.93","26.07","23.79","118.96M","14.68%"
"Mar 23, 2020","21.93","21.63","23.29","21.12","89.59M","6.72%"
"Mar 21, 2020","20.55","20.55","20.55","20.55","-","0.00%"
"Mar 20, 2020","20.55","22.85","22.85","20.34","63.24M","-3.39%"
"Mar 19, 2020","21.27","20.65","24.98","19.29","102.93M","8.08%"
"Mar 18, 2020","19.68","24.12","25.04","19.68","171.17M","-22.82%"
"Mar 17, 2020","25.50","22.11","25.50","22.02","119.76M","13.38%"
