"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","60.19","60.00","60.92","59.62","7.44M","0.67%"
"Aug 30, 2020","59.79","59.79","59.79","59.79","-","0.00%"
"Aug 28, 2020","59.79","58.79","60.00","58.28","10.06M","4.38%"
"Aug 27, 2020","57.28","59.85","59.85","56.34","9.53M","-2.22%"
"Aug 26, 2020","58.58","56.26","58.76","56.15","9.08M","2.95%"
"Aug 25, 2020","56.90","56.75","56.92","55.16","7.51M","-0.28%"
"Aug 24, 2020","57.06","58.05","58.44","56.88","8.01M","-0.24%"
"Aug 23, 2020","57.20","57.20","57.20","57.20","-","0.00%"
"Aug 21, 2020","57.20","57.57","57.89","56.59","9.33M","-3.03%"
"Aug 20, 2020","58.99","57.64","59.20","57.41","7.19M","1.92%"
"Aug 19, 2020","57.88","60.16","60.30","57.49","10.88M","-4.66%"
"Aug 18, 2020","60.71","62.88","62.88","59.91","7.27M","-1.36%"
"Aug 17, 2020","61.55","60.25","61.59","59.89","11.89M","6.16%"
"Aug 14, 2020","57.98","58.44","58.68","56.96","5.67M","-0.58%"
"Aug 13, 2020","58.32","57.04","58.89","56.94","10.80M","4.46%"
"Aug 12, 2020","55.83","57.53","57.68","55.70","11.74M","1.16%"
"Aug 11, 2020","55.19","56.79","58.04","54.95","22.14M","-9.00%"
"Aug 10, 2020","60.65","61.87","63.39","60.44","6.94M","-0.49%"
"Aug 09, 2020","60.95","60.95","60.95","60.95","-","0.00%"
"Aug 08, 2020","60.95","60.95","60.95","60.95","-","0.00%"
"Aug 07, 2020","60.95","62.05","62.30","60.05","11.56M","-4.21%"
"Aug 06, 2020","63.63","65.13","65.40","62.62","9.33M","-0.66%"
"Aug 05, 2020","64.05","64.95","65.94","62.95","10.81M","1.39%"
"Aug 04, 2020","63.17","60.10","63.24","59.68","10.27M","4.92%"
"Aug 03, 2020","60.21","60.33","60.65","59.05","7.93M","-0.38%"
"Aug 02, 2020","60.44","60.44","60.44","60.44","-","0.00%"
"Jul 31, 2020","60.44","59.71","61.04","59.41","9.38M","2.61%"
"Jul 30, 2020","58.90","59.46","60.48","58.06","11.64M","-4.38%"
"Jul 29, 2020","61.60","61.64","62.69","59.72","11.39M","-0.29%"
"Jul 28, 2020","61.78","61.26","62.69","60.84","9.20M","-1.28%"
"Jul 27, 2020","62.58","61.89","63.30","61.38","14.55M","5.78%"
"Jul 26, 2020","59.16","59.16","59.16","59.16","-","0.00%"
"Jul 25, 2020","59.16","59.16","59.16","59.16","-","0.00%"
"Jul 24, 2020","59.16","58.65","59.33","57.92","9.82M","2.51%"
"Jul 23, 2020","57.71","59.30","60.32","56.78","13.88M","-3.19%"
"Jul 22, 2020","59.61","58.80","59.92","58.41","10.80M","2.85%"
"Jul 21, 2020","57.96","58.59","59.05","57.16","11.97M","2.40%"
"Jul 20, 2020","56.60","55.60","56.87","55.43","9.41M","3.23%"
