"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","61.43","61.71","61.88","61.39","7.50M","-0.66%"
"Aug 30, 2020","61.84","61.84","61.84","61.84","-","0.00%"
"Aug 28, 2020","61.84","61.70","61.84","61.42","5.80M","0.78%"
"Aug 27, 2020","61.36","62.05","62.05","61.14","5.44M","-1.06%"
"Aug 26, 2020","62.02","61.61","62.06","61.57","5.56M","0.71%"
"Aug 25, 2020","61.58","61.81","61.88","61.27","7.41M","-0.02%"
"Aug 24, 2020","61.59","61.65","61.65","61.30","4.29M","1.35%"
"Aug 23, 2020","60.77","60.77","60.77","60.77","-","0.00%"
"Aug 21, 2020","60.77","60.41","60.78","60.29","4.57M","-0.54%"
"Aug 20, 2020","61.10","60.63","61.16","60.61","5.67M","-0.23%"
"Aug 19, 2020","61.24","61.78","61.83","61.17","6.44M","-0.50%"
"Aug 18, 2020","61.55","61.77","61.83","61.33","6.15M","0.08%"
"Aug 17, 2020","61.50","61.33","61.54","61.33","6.20M","0.79%"
"Aug 14, 2020","61.02","60.97","61.18","60.88","7.31M","-0.64%"
"Aug 13, 2020","61.41","61.67","61.78","61.23","7.77M","-0.50%"
"Aug 12, 2020","61.72","61.55","61.92","61.46","35.84M","2.12%"
"Aug 11, 2020","60.44","61.17","61.20","60.35","7.89M","0.43%"
"Aug 10, 2020","60.18","60.04","60.18","59.83","5.78M","0.33%"
"Aug 09, 2020","59.98","59.98","59.98","59.98","-","0.00%"
"Aug 08, 2020","59.98","59.98","59.98","59.98","-","0.00%"
"Aug 07, 2020","59.98","59.67","59.98","59.57","6.55M","-0.40%"
"Aug 06, 2020","60.22","59.94","60.29","59.75","6.88M","0.15%"
"Aug 05, 2020","60.13","60.32","60.52","60.05","5.87M","0.47%"
"Aug 04, 2020","59.85","59.53","59.85","59.25","6.01M","0.54%"
"Aug 03, 2020","59.53","58.98","59.53","58.85","6.89M","2.00%"
"Aug 02, 2020","58.36","58.36","58.36","58.36","-","0.00%"
"Jul 31, 2020","58.36","59.28","59.31","58.03","16.53M","-2.20%"
"Jul 30, 2020","59.67","59.11","59.73","58.63","6.90M","-1.31%"
"Jul 29, 2020","60.46","60.12","60.60","60.03","6.99M","0.90%"
"Jul 28, 2020","59.92","59.95","60.21","59.86","5.67M","-0.50%"
"Jul 27, 2020","60.22","60.04","60.36","59.99","4.24M","1.28%"
"Jul 26, 2020","59.46","59.46","59.46","59.46","-","0.00%"
"Jul 25, 2020","59.46","59.46","59.46","59.46","-","0.00%"
"Jul 24, 2020","59.46","59.42","59.65","59.31","6.29M","-0.50%"
"Jul 23, 2020","59.76","60.13","60.35","59.64","6.43M","-0.80%"
"Jul 22, 2020","60.24","60.12","60.34","60.02","5.35M","0.20%"
"Jul 21, 2020","60.12","60.26","60.44","60.05","4.85M","0.37%"
"Jul 20, 2020","59.90","59.69","59.95","59.52","3.69M","0.50%"
"Jul 17, 2020","59.60","59.42","59.63","59.26","4.25M","0.51%"
"Jul 16, 2020","59.30","59.28","59.52","59.19","5.96M","-0.55%"
"Jul 15, 2020","59.63","59.86","60.06","59.49","6.40M","1.17%"
"Jul 14, 2020","58.94","58.24","59.05","58.19","7.81M","1.34%"
