"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","53.30","53.45","53.47","52.96","13.93M","-2.09%"
"Aug 30, 2020","54.44","54.44","54.44","54.44","-","0.00%"
"Aug 28, 2020","54.44","54.07","54.47","53.93","10.40M","1.30%"
"Aug 27, 2020","53.74","54.30","54.30","53.50","9.18M","-0.79%"
"Aug 26, 2020","54.17","54.08","54.23","53.99","10.62M","0.17%"
"Aug 25, 2020","54.08","53.68","54.09","53.59","13.18M","1.07%"
"Aug 24, 2020","53.51","53.73","53.74","53.31","9.81M","1.17%"
"Aug 23, 2020","52.89","52.89","52.89","52.89","-","0.00%"
"Aug 21, 2020","52.89","52.57","52.94","52.37","7.24M","0.47%"
"Aug 20, 2020","52.64","51.92","52.64","51.84","8.32M","-0.44%"
"Aug 19, 2020","52.87","53.35","53.36","52.84","10.95M","-1.20%"
"Aug 18, 2020","53.51","53.49","53.56","53.09","12.40M","0.00%"
"Aug 17, 2020","53.51","53.30","53.53","53.17","7.88M","1.13%"
"Aug 14, 2020","52.91","52.79","52.94","52.76","7.80M","-0.08%"
"Aug 13, 2020","52.95","53.04","53.12","52.74","5.83M","-0.34%"
"Aug 12, 2020","53.13","53.01","53.27","52.87","11.72M","1.24%"
"Aug 11, 2020","52.48","52.96","53.04","52.42","8.28M","-0.32%"
"Aug 10, 2020","52.65","52.57","52.71","52.24","11.23M","0.29%"
"Aug 09, 2020","52.50","52.50","52.50","52.50","-","0.00%"
"Aug 08, 2020","52.50","52.50","52.50","52.50","-","0.00%"
"Aug 07, 2020","52.50","52.58","52.78","52.20","8.02M","-1.89%"
"Aug 06, 2020","53.51","53.22","53.53","53.03","6.55M","0.28%"
"Aug 05, 2020","53.36","53.23","53.58","53.19","7.37M","1.25%"
"Aug 04, 2020","52.70","52.09","52.73","52.09","13.23M","1.17%"
"Aug 03, 2020","52.09","51.89","52.16","51.86","10.40M","0.73%"
"Aug 02, 2020","51.71","51.71","51.71","51.71","-","0.00%"
"Jul 31, 2020","51.71","52.10","52.10","51.30","15.72M","-0.63%"
"Jul 30, 2020","52.04","52.06","52.22","51.56","9.02M","-1.18%"
"Jul 29, 2020","52.66","52.34","52.79","52.31","12.40M","1.68%"
"Jul 28, 2020","51.79","52.20","52.20","51.77","8.81M","-0.92%"
"Jul 27, 2020","52.27","51.87","52.31","51.73","9.98M","1.51%"
"Jul 26, 2020","51.49","51.49","51.49","51.49","-","0.00%"
"Jul 25, 2020","51.49","51.49","51.49","51.49","-","0.00%"
"Jul 24, 2020","51.49","51.04","51.52","50.92","8.92M","-0.14%"
"Jul 23, 2020","51.56","51.95","52.14","51.33","9.27M","-0.77%"
"Jul 22, 2020","51.96","52.15","52.15","51.68","9.99M","-0.38%"
"Jul 21, 2020","52.16","52.44","52.48","52.14","11.76M","0.97%"
"Jul 20, 2020","51.66","51.22","51.73","51.18","5.66M","1.35%"
"Jul 17, 2020","50.97","51.06","51.09","50.76","8.46M","0.51%"
"Jul 16, 2020","50.71","50.48","50.75","50.41","8.88M","-1.38%"
"Jul 15, 2020","51.42","51.60","51.66","51.23","12.83M","0.31%"
"Jul 14, 2020","51.26","50.61","51.39","50.48","12.29M","0.14%"
"Jul 13, 2020","51.19","51.84","52.21","51.10","15.17M","-0.52%"
"Jul 12, 2020","51.46","51.46","51.46","51.46","-","0.00%"
"Jul 11, 2020","51.46","51.46","51.46","51.46","-","0.00%"
"Jul 10, 2020","51.46","51.44","51.51","51.14","9.81M","-0.54%"
"Jul 09, 2020","51.74","52.26","52.34","51.37","14.53M","-0.08%"
"Jul 08, 2020","51.78","51.24","51.83","51.16","10.31M","2.47%"
"Jul 07, 2020","50.53","50.77","51.08","50.53","8.62M","-1.69%"
"Jul 06, 2020","51.40","50.97","51.41","50.96","11.20M","4.24%"
"Jul 05, 2020","49.31","49.31","49.31","49.31","-","0.00%"
"Jul 04, 2020","49.31","49.31","49.31","49.31","-","0.00%"
"Jul 02, 2020","49.31","49.30","49.59","49.12","11.94M","2.26%"
"Jul 01, 2020","48.22","47.93","48.37","47.92","19.09M","1.30%"
"Jun 30, 2020","47.60","47.73","47.78","47.41","35.39M","-0.50%"
"Jun 29, 2020","47.84","47.59","47.84","47.34","10.59M","0.46%"
"Jun 26, 2020","47.62","48.02","48.05","47.39","13.80M","-1.10%"
"Jun 25, 2020","48.15","47.80","48.17","47.66","11.24M","0.42%"
"Jun 24, 2020","47.95","48.38","48.53","47.64","14.59M","-1.30%"
"Jun 23, 2020","48.58","48.72","48.91","48.56","11.42M","0.85%"
"Jun 22, 2020","48.17","47.94","48.27","47.83","14.21M","1.22%"
"Jun 19, 2020","47.59","48.22","48.22","47.41","19.00M","0.06%"
"Jun 18, 2020","47.56","47.46","47.77","47.45","8.97M","0.04%"
"Jun 17, 2020","47.54","47.50","47.75","47.42","18.09M","0.93%"
"Jun 16, 2020","47.10","47.95","47.95","46.77","25.65M","0.66%"
"Jun 15, 2020","46.79","46.04","47.05","45.88","15.97M","-1.87%"
"Jun 12, 2020","47.68","47.83","47.94","46.99","22.18M","2.27%"
"Jun 11, 2020","46.62","47.62","47.93","46.62","23.55M","-5.30%"
"Jun 10, 2020","49.23","49.04","49.38","48.73","40.68M","0.70%"
"Jun 09, 2020","48.89","48.56","48.99","48.39","15.59M","-0.75%"
"Jun 08, 2020","49.26","48.76","49.28","48.50","14.08M","0.86%"
"Jun 07, 2020","48.84","48.84","48.84","48.84","-","0.00%"
"Jun 05, 2020","48.84","48.85","49.19","48.77","16.86M","2.61%"
"Jun 04, 2020","47.60","47.68","47.96","47.38","12.27M","-1.35%"
"Jun 03, 2020","48.25","47.83","48.36","47.77","13.39M","2.22%"
"Jun 02, 2020","47.20","46.67","47.25","46.57","12.23M","2.43%"
"Jun 01, 2020","46.08","45.47","46.12","45.42","13.79M","2.31%"
"May 29, 2020","45.04","44.62","45.13","44.31","19.27M","1.49%"
"May 28, 2020","44.38","44.77","44.99","44.32","12.02M","-0.60%"
"May 27, 2020","44.65","44.72","44.75","44.14","12.71M","0.25%"
"May 26, 2020","44.54","44.94","45.07","44.48","13.52M","2.32%"
"May 22, 2020","43.53","43.75","43.75","43.38","11.45M","-2.00%"
"May 21, 2020","44.42","44.57","44.77","44.19","21.02M","-0.91%"
"May 20, 2020","44.83","44.98","45.18","44.63","11.33M","1.29%"
"May 19, 2020","44.26","44.56","44.76","44.26","12.15M","-0.78%"
"May 18, 2020","44.61","44.06","44.73","44.02","16.70M","3.70%"
"May 15, 2020","43.02","42.92","43.22","42.80","23.65M","-1.31%"
"May 14, 2020","43.59","42.59","43.65","42.45","29.42M","0.41%"
"May 13, 2020","43.41","43.99","44.08","43.13","16.61M","-0.30%"
"May 12, 2020","43.54","44.02","44.33","43.52","14.97M","-0.32%"
"May 11, 2020","43.68","43.68","43.94","43.61","12.54M","-0.64%"
"May 10, 2020","43.96","43.96","43.96","43.96","-","0.00%"
"May 09, 2020","43.96","43.96","43.96","43.96","-","0.00%"
"May 08, 2020","43.96","43.62","44.09","43.59","16.10M","1.97%"
"May 07, 2020","43.11","43.13","43.25","42.88","12.09M","0.89%"
"May 06, 2020","42.73","43.11","43.17","42.69","9.64M","-0.30%"
"May 05, 2020","42.86","43.08","43.27","42.83","12.75M","0.47%"
"May 04, 2020","42.66","42.32","42.67","42.18","20.60M","1.14%"
"May 03, 2020","42.18","42.18","42.18","42.18","-","0.00%"
"May 02, 2020","42.18","42.18","42.18","42.18","-","0.00%"
"May 01, 2020","42.18","42.63","42.79","42.00","21.09M","-3.39%"
