"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","73.97","75.00","75.00","73.95","3.52M","-1.48%"
"Aug 30, 2020","75.08","75.08","75.08","75.08","-","0.00%"
"Aug 28, 2020","75.08","74.90","75.08","74.42","4.78M","0.76%"
"Aug 27, 2020","74.51","74.70","75.21","74.07","2.88M","0.35%"
"Aug 26, 2020","74.25","74.87","75.02","74.16","2.45M","-0.84%"
"Aug 25, 2020","74.88","75.21","75.30","74.21","2.24M","-0.08%"
"Aug 24, 2020","74.94","74.24","74.94","73.71","2.47M","1.81%"
"Aug 23, 2020","73.61","73.61","73.61","73.61","-","0.00%"
"Aug 21, 2020","73.61","73.79","74.09","73.13","2.77M","-0.65%"
"Aug 20, 2020","74.09","73.95","74.62","73.88","2.21M","-0.80%"
"Aug 19, 2020","74.69","75.00","75.50","74.53","2.95M","-0.01%"
"Aug 18, 2020","74.70","75.54","75.54","74.54","3.15M","-1.20%"
"Aug 17, 2020","75.61","75.68","75.74","75.06","2.63M","0.16%"
"Aug 14, 2020","75.49","74.96","75.92","74.80","3.20M","-0.04%"
"Aug 13, 2020","75.52","75.57","76.16","75.23","3.06M","-0.58%"
"Aug 12, 2020","75.96","76.61","76.65","75.42","3.02M","0.34%"
"Aug 11, 2020","75.70","76.50","77.19","75.31","3.91M","-0.11%"
"Aug 10, 2020","75.78","75.21","76.35","75.21","3.33M","1.00%"
"Aug 09, 2020","75.03","75.03","75.03","75.03","-","0.00%"
"Aug 08, 2020","75.03","75.03","75.03","75.03","-","0.00%"
"Aug 07, 2020","75.03","73.51","75.03","73.44","4.87M","1.82%"
"Aug 06, 2020","73.69","74.00","74.12","73.33","3.60M","-0.55%"
"Aug 05, 2020","74.10","73.09","74.12","72.96","6.66M","2.29%"
"Aug 04, 2020","72.44","72.02","72.49","71.55","3.55M","0.58%"
"Aug 03, 2020","72.02","71.55","72.18","71.05","3.72M","1.14%"
"Aug 02, 2020","71.21","71.21","71.21","71.21","-","0.00%"
"Jul 31, 2020","71.21","71.43","71.53","69.76","6.36M","-0.64%"
"Jul 30, 2020","71.67","71.10","71.87","70.65","3.68M","-0.62%"
"Jul 29, 2020","72.12","70.71","72.23","70.68","3.97M","2.53%"
"Jul 28, 2020","70.34","70.75","71.11","70.27","2.43M","-0.69%"
"Jul 27, 2020","70.83","70.17","70.88","69.65","2.12M","1.14%"
"Jul 26, 2020","70.03","70.03","70.03","70.03","-","0.00%"
"Jul 25, 2020","70.03","70.03","70.03","70.03","-","0.00%"
"Jul 24, 2020","70.03","70.78","71.02","69.87","2.87M","-1.70%"
"Jul 23, 2020","71.24","70.62","71.87","70.44","5.19M","0.69%"
"Jul 22, 2020","70.75","70.33","71.10","70.25","3.55M","0.08%"
"Jul 21, 2020","70.69","69.91","71.00","69.83","3.97M","2.23%"
"Jul 20, 2020","69.15","69.51","69.66","68.86","2.34M","-0.79%"
"Jul 17, 2020","69.70","69.82","70.23","69.25","3.51M","0.01%"
"Jul 16, 2020","69.69","69.43","70.16","69.17","2.80M","-0.70%"
"Jul 15, 2020","70.18","68.90","70.52","68.90","5.50M","3.83%"
"Jul 14, 2020","67.59","66.39","67.62","66.17","4.74M","1.64%"
"Jul 13, 2020","66.50","67.79","68.65","66.48","4.04M","-0.97%"
"Jul 12, 2020","67.15","67.15","67.15","67.15","-","0.00%"
"Jul 11, 2020","67.15","67.15","67.15","67.15","-","0.00%"
"Jul 10, 2020","67.15","65.83","67.20","65.62","3.90M","2.22%"
"Jul 09, 2020","65.69","67.27","67.29","64.98","3.09M","-2.29%"
"Jul 08, 2020","67.23","66.94","67.61","66.00","3.76M","0.42%"
"Jul 07, 2020","66.95","67.70","68.13","66.79","3.90M","-2.02%"
"Jul 06, 2020","68.33","69.26","69.31","68.00","4.40M","0.95%"
"Jul 05, 2020","67.69","67.69","67.69","67.69","-","0.00%"
"Jul 04, 2020","67.69","67.69","67.69","67.69","-","0.00%"
"Jul 02, 2020","67.69","68.58","69.22","67.49","3.49M","0.56%"
"Jul 01, 2020","67.31","68.39","68.99","67.08","7.10M","-1.44%"
"Jun 30, 2020","68.29","67.19","68.52","67.11","3.77M","1.34%"
"Jun 29, 2020","67.39","65.74","67.71","65.16","5.68M","4.25%"
"Jun 26, 2020","64.64","66.21","66.34","64.57","5.42M","-2.99%"
"Jun 25, 2020","66.63","65.07","66.66","64.79","5.62M","1.55%"
"Jun 24, 2020","65.61","67.10","67.11","64.76","7.33M","-3.47%"
"Jun 23, 2020","67.97","68.47","68.76","67.64","4.47M","0.31%"
"Jun 22, 2020","67.76","66.87","67.79","66.02","4.17M","0.88%"
"Jun 19, 2020","67.17","69.32","69.32","66.74","4.42M","-1.31%"
"Jun 18, 2020","68.06","67.43","68.95","67.26","3.91M","-0.40%"
"Jun 17, 2020","68.33","69.77","69.99","68.18","5.19M","-2.18%"
"Jun 16, 2020","69.85","70.81","71.09","68.42","5.81M","2.54%"
"Jun 15, 2020","68.12","64.32","68.67","64.20","6.95M","1.85%"
"Jun 12, 2020","66.88","67.53","68.48","64.98","9.59M","2.53%"
"Jun 11, 2020","65.23","67.30","68.21","65.08","8.07M","-8.17%"
"Jun 10, 2020","71.03","73.23","73.43","71.03","5.49M","-3.64%"
"Jun 09, 2020","73.71","74.11","74.53","73.01","7.01M","-2.44%"
"Jun 08, 2020","75.55","75.32","75.80","74.82","8.89M","2.12%"
"Jun 07, 2020","73.98","73.98","73.98","73.98","-","0.00%"
"Jun 05, 2020","73.98","74.37","75.15","73.55","7.52M","4.37%"
"Jun 04, 2020","70.88","69.65","71.46","69.10","21.36M","1.34%"
"Jun 03, 2020","69.94","68.85","70.42","68.70","4.69M","3.42%"
"Jun 02, 2020","67.63","67.46","67.90","66.90","5.35M","1.14%"
"Jun 01, 2020","66.87","66.27","67.70","66.02","4.68M","1.10%"
"May 29, 2020","66.14","66.29","66.61","65.11","5.47M","-1.20%"
"May 28, 2020","66.94","69.76","69.76","66.56","5.05M","-2.96%"
"May 27, 2020","68.98","68.09","69.20","66.35","5.44M","3.90%"
"May 26, 2020","66.39","66.35","66.83","66.01","3.81M","4.12%"
"May 22, 2020","63.76","63.64","63.88","62.83","3.91M","0.41%"
"May 21, 2020","63.50","63.44","64.03","62.81","6.89M","0.09%"
"May 20, 2020","63.44","62.72","63.86","62.55","5.39M","3.12%"
"May 19, 2020","61.52","62.57","63.12","61.52","5.93M","-2.04%"
"May 18, 2020","62.80","61.00","63.08","61.00","4.65M","7.13%"
"May 15, 2020","58.62","57.58","58.94","57.07","7.02M","1.35%"
"May 14, 2020","57.84","56.29","57.89","54.70","9.81M","0.38%"
"May 13, 2020","57.62","59.49","59.50","56.75","8.61M","-3.84%"
"May 12, 2020","59.92","62.68","62.74","59.87","6.11M","-3.71%"
"May 11, 2020","62.23","62.52","63.06","61.40","5.03M","-1.83%"
