"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","54.57","55.38","55.53","54.43","2.91M","-1.32%"
"Aug 30, 2020","55.30","55.30","55.30","55.30","-","0.00%"
"Aug 28, 2020","55.30","55.64","56.04","55.11","1.61M","0.09%"
"Aug 27, 2020","55.25","56.32","56.58","55.18","3.82M","-1.30%"
"Aug 26, 2020","55.98","56.60","56.74","55.97","2.41M","-0.62%"
"Aug 25, 2020","56.33","57.13","57.13","55.75","2.55M","-0.78%"
"Aug 24, 2020","56.77","57.24","57.24","56.25","2.21M","0.32%"
"Aug 23, 2020","56.59","56.59","56.59","56.59","-","0.00%"
"Aug 21, 2020","56.59","55.19","56.69","55.06","4.07M","2.17%"
"Aug 20, 2020","55.39","55.00","55.90","54.72","1.92M","-0.07%"
"Aug 19, 2020","55.43","55.84","55.84","55.07","2.05M","-0.32%"
"Aug 18, 2020","55.61","56.35","56.35","55.51","3.24M","-0.05%"
"Aug 17, 2020","55.64","54.49","55.88","54.42","2.81M","2.83%"
"Aug 14, 2020","54.11","54.23","54.37","53.73","1.63M","-0.46%"
"Aug 13, 2020","54.36","54.00","54.56","53.57","2.18M","0.31%"
"Aug 12, 2020","54.19","53.59","54.20","53.10","2.31M","2.15%"
"Aug 11, 2020","53.05","54.05","54.05","52.88","2.92M","-0.79%"
"Aug 10, 2020","53.47","52.90","54.45","52.76","2.50M","1.56%"
"Aug 09, 2020","52.65","52.65","52.65","52.65","-","0.00%"
"Aug 08, 2020","52.65","52.65","52.65","52.65","-","0.00%"
"Aug 07, 2020","52.65","52.27","52.77","51.96","2.26M","0.29%"
"Aug 06, 2020","52.50","52.49","52.85","52.31","2.08M","-0.15%"
"Aug 05, 2020","52.58","52.39","52.63","51.99","1.97M","1.08%"
"Aug 04, 2020","52.02","52.48","52.59","51.82","1.99M","-0.88%"
"Aug 03, 2020","52.48","51.90","52.61","51.69","2.63M","1.59%"
"Aug 02, 2020","51.66","51.66","51.66","51.66","-","0.00%"
"Jul 31, 2020","51.66","52.10","52.10","50.62","3.18M","-0.50%"
