"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","350.77","351.77","352.77","350.66","5.76M","-0.35%"
"Aug 30, 2020","352.00","352.00","352.00","352.00","-","0.00%"
"Aug 28, 2020","352.00","350.89","352.19","349.66","2.52M","0.64%"
"Aug 27, 2020","349.76","349.91","351.32","348.00","3.77M","0.22%"
"Aug 26, 2020","349.00","346.11","349.25","345.61","3.67M","1.02%"
"Aug 25, 2020","345.49","345.01","345.55","343.75","4.00M","0.33%"
"Aug 24, 2020","344.35","343.52","344.35","342.52","2.08M","1.03%"
"Aug 23, 2020","340.85","340.85","340.85","340.85","-","0.00%"
"Aug 21, 2020","340.85","339.23","341.05","338.95","2.06M","0.35%"
"Aug 20, 2020","339.66","336.71","340.14","336.60","1.80M","0.31%"
"Aug 19, 2020","338.62","340.46","340.96","338.03","1.91M","-0.41%"
"Aug 18, 2020","340.00","339.70","340.46","337.99","1.63M","0.21%"
"Aug 17, 2020","339.28","339.29","339.72","338.87","1.64M","0.32%"
"Aug 14, 2020","338.19","337.76","338.79","337.05","1.72M","-0.01%"
"Aug 13, 2020","338.22","338.39","339.56","337.33","2.64M","-0.17%"
"Aug 12, 2020","338.80","336.82","339.64","336.82","2.91M","1.39%"
"Aug 11, 2020","334.14","338.25","338.88","333.42","3.60M","-0.84%"
"Aug 10, 2020","336.96","336.40","337.15","334.44","2.22M","0.30%"
"Aug 09, 2020","335.95","335.95","335.95","335.95","-","0.00%"
"Aug 08, 2020","335.95","335.95","335.95","335.95","-","0.00%"
"Aug 07, 2020","335.95","334.65","336.02","333.66","3.05M","0.07%"
"Aug 06, 2020","335.71","332.78","335.81","332.51","3.30M","0.68%"
"Aug 05, 2020","333.45","332.82","333.69","332.53","2.44M","0.65%"
"Aug 04, 2020","331.30","330.11","331.30","329.29","3.58M","0.36%"
"Aug 03, 2020","330.11","329.69","330.93","329.07","2.84M","0.70%"
"Aug 02, 2020","327.82","327.82","327.82","327.82","-","0.00%"
"Jul 31, 2020","327.82","327.21","327.89","322.63","4.68M","0.79%"
"Jul 30, 2020","325.26","323.04","325.68","321.00","3.29M","-0.34%"
"Jul 29, 2020","326.38","323.41","327.02","323.36","2.34M","1.20%"
"Jul 28, 2020","322.50","324.50","324.93","322.16","2.51M","-0.62%"
"Jul 27, 2020","324.50","322.89","324.68","322.20","3.43M","0.74%"
"Jul 26, 2020","322.13","322.13","322.13","322.13","-","0.00%"
"Jul 25, 2020","322.13","322.13","322.13","322.13","-","0.00%"
"Jul 24, 2020","322.13","322.17","323.23","320.55","3.42M","-0.64%"
"Jul 23, 2020","324.20","327.72","328.49","322.76","3.02M","-1.21%"
"Jul 22, 2020","328.17","326.25","328.43","325.82","3.18M","0.59%"
"Jul 21, 2020","326.25","327.62","328.21","325.31","3.11M","0.18%"
"Jul 20, 2020","325.66","322.60","326.31","322.20","2.35M","0.83%"
"Jul 17, 2020","322.99","323.15","323.85","321.01","2.25M","0.29%"
"Jul 16, 2020","322.04","321.02","322.41","320.37","2.39M","-0.35%"
"Jul 15, 2020","323.16","323.90","324.27","320.58","3.89M","0.93%"
"Jul 14, 2020","320.17","314.56","320.59","313.31","7.14M","1.30%"
"Jul 13, 2020","316.07","321.50","323.89","315.41","5.09M","-0.89%"
"Jul 12, 2020","318.90","318.90","318.90","318.90","-","0.00%"
"Jul 11, 2020","318.90","318.90","318.90","318.90","-","0.00%"
"Jul 10, 2020","318.90","315.65","319.14","314.12","2.75M","1.01%"
"Jul 09, 2020","315.72","318.16","318.33","311.92","3.31M","-0.51%"
"Jul 08, 2020","317.33","315.84","317.48","314.06","3.69M","0.75%"
"Jul 07, 2020","314.98","316.59","318.75","314.60","2.86M","-1.03%"
"Jul 06, 2020","318.26","317.67","318.61","316.81","4.46M","1.53%"
"Jul 05, 2020","313.45","313.45","313.45","313.45","-","0.00%"
"Jul 04, 2020","313.45","313.45","313.45","313.45","-","0.00%"
"Jul 02, 2020","313.45","315.51","316.91","312.75","3.50M","0.53%"
"Jul 01, 2020","311.81","310.75","313.07","310.33","4.02M","0.68%"
"Jun 30, 2020","309.69","305.15","311.37","305.10","5.48M","1.32%"
"Jun 29, 2020","305.66","302.61","305.66","300.21","4.07M","1.50%"
"Jun 26, 2020","301.14","307.33","307.55","300.62","4.97M","-2.39%"
"Jun 25, 2020","308.50","304.43","308.80","302.51","6.43M","1.05%"
"Jun 24, 2020","305.30","310.97","311.65","303.36","5.06M","-2.53%"
"Jun 23, 2020","313.21","314.75","315.65","312.89","3.79M","0.41%"
"Jun 22, 2020","311.94","309.11","312.21","308.00","4.19M","0.72%"
"Jun 19, 2020","309.72","315.55","315.55","308.43","3.83M","-0.61%"
"Jun 18, 2020","311.62","309.69","312.07","309.36","4.01M","0.08%"
"Jun 17, 2020","311.38","313.86","314.17","310.77","3.53M","-0.45%"
"Jun 16, 2020","312.79","315.26","315.49","307.71","5.25M","1.92%"
"Jun 15, 2020","306.89","297.79","308.04","296.50","6.28M","0.50%"
