"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","38.65","39.30","39.30","38.64","7.16M","-1.73%"
"Aug 30, 2020","39.33","39.33","39.33","39.33","-","0.00%"
"Aug 28, 2020","39.33","39.77","39.83","39.06","6.59M","-0.08%"
"Aug 27, 2020","39.36","38.70","39.77","38.61","7.94M","2.02%"
"Aug 26, 2020","38.58","39.41","39.45","38.58","6.59M","-2.35%"
"Aug 25, 2020","39.51","39.81","40.23","39.03","7.03M","0.33%"
"Aug 24, 2020","39.38","38.20","39.38","37.76","10.69M","4.24%"
"Aug 23, 2020","37.78","37.78","37.78","37.78","-","0.00%"
"Aug 21, 2020","37.78","37.93","38.33","37.49","6.22M","-0.76%"
"Aug 20, 2020","38.07","38.46","38.54","37.90","7.42M","-2.21%"
"Aug 19, 2020","38.93","38.82","39.52","38.53","6.93M","0.62%"
"Aug 18, 2020","38.69","39.89","39.89","38.62","9.78M","-3.03%"
"Aug 17, 2020","39.90","40.35","40.45","39.64","6.03M","-1.80%"
"Aug 14, 2020","40.63","39.95","40.98","39.55","8.09M","1.32%"
"Aug 13, 2020","40.10","40.29","40.73","39.99","8.24M","-1.98%"
"Aug 12, 2020","40.91","42.04","42.13","40.13","11.23M","-0.66%"
"Aug 11, 2020","41.18","41.26","42.21","40.98","11.74M","1.96%"
"Aug 10, 2020","40.39","39.82","41.08","39.79","12.59M","1.87%"
"Aug 09, 2020","39.65","39.65","39.65","39.65","-","0.00%"
"Aug 08, 2020","39.65","39.65","39.65","39.65","-","0.00%"
"Aug 07, 2020","39.65","37.72","39.65","37.45","7.75M","4.42%"
"Aug 06, 2020","37.97","37.99","38.43","37.75","4.77M","-0.60%"
"Aug 05, 2020","38.20","37.61","38.28","37.47","7.56M","2.50%"
"Aug 04, 2020","37.27","37.38","37.47","36.91","6.34M","-0.53%"
"Aug 03, 2020","37.47","37.72","37.89","37.10","5.68M","-0.29%"
"Aug 02, 2020","37.58","37.58","37.58","37.58","-","0.00%"
"Jul 31, 2020","37.58","37.78","37.80","36.80","8.75M","-0.95%"
"Jul 30, 2020","37.94","37.63","37.98","36.89","7.69M","-1.79%"
"Jul 29, 2020","38.63","37.34","38.69","37.08","6.92M","3.45%"
"Jul 28, 2020","37.34","37.44","37.81","37.23","4.71M","-0.53%"
"Jul 27, 2020","37.54","38.20","38.20","37.30","8.28M","-2.42%"
"Jul 26, 2020","38.47","38.47","38.47","38.47","-","0.00%"
