"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","15.78","15.89","15.92","15.70","4.49M","-1.00%"
"Aug 30, 2020","15.94","15.94","15.94","15.94","-","0.00%"
"Aug 28, 2020","15.94","15.95","16.01","15.90","4.34M","-0.50%"
"Aug 27, 2020","16.02","15.93","16.13","15.86","6.84M","0.31%"
"Aug 26, 2020","15.97","16.23","16.24","15.95","4.66M","-2.08%"
"Aug 25, 2020","16.31","16.47","16.51","16.31","3.71M","-0.79%"
"Aug 24, 2020","16.44","16.34","16.57","16.31","4.31M","-0.66%"
"Aug 23, 2020","16.55","16.55","16.55","16.55","-","0.00%"
"Aug 21, 2020","16.55","16.66","16.69","16.52","4.30M","-0.72%"
"Aug 20, 2020","16.67","16.95","16.96","16.64","4.50M","-1.30%"
"Aug 19, 2020","16.89","16.78","16.92","16.73","4.39M","0.60%"
"Aug 18, 2020","16.79","16.88","16.97","16.75","4.04M","-0.94%"
"Aug 17, 2020","16.95","17.04","17.04","16.93","3.74M","-1.11%"
"Aug 14, 2020","17.14","17.09","17.23","17.07","3.01M","0.06%"
"Aug 13, 2020","17.13","17.09","17.18","16.99","4.37M","-0.17%"
"Aug 12, 2020","17.16","17.45","17.45","17.11","7.13M","-2.61%"
"Aug 11, 2020","17.62","17.37","17.64","17.29","6.97M","1.97%"
"Aug 10, 2020","17.28","17.19","17.51","17.18","4.78M","0.47%"
"Aug 09, 2020","17.20","17.20","17.20","17.20","-","0.00%"
"Aug 08, 2020","17.20","17.20","17.20","17.20","-","0.00%"
"Aug 07, 2020","17.20","17.07","17.35","17.00","4.33M","1.12%"
"Aug 06, 2020","17.01","17.24","17.29","17.00","4.12M","-1.28%"
"Aug 05, 2020","17.23","17.26","17.31","17.22","3.79M","-0.29%"
"Aug 04, 2020","17.28","17.38","17.43","17.28","6.45M","-0.40%"
"Aug 03, 2020","17.35","17.44","17.45","17.31","5.28M","-1.42%"
"Aug 02, 2020","17.60","17.60","17.60","17.60","-","0.00%"
"Jul 31, 2020","17.60","17.58","17.93","17.58","7.73M","-1.68%"
"Jul 30, 2020","17.90","18.16","18.22","17.88","7.37M","-0.56%"
"Jul 29, 2020","18.00","18.10","18.14","17.94","4.35M","-1.15%"
"Jul 28, 2020","18.21","18.03","18.23","18.01","4.46M","1.17%"
"Jul 27, 2020","18.00","18.20","18.25","17.97","4.42M","-1.75%"
"Jul 26, 2020","18.32","18.32","18.32","18.32","-","0.00%"
"Jul 25, 2020","18.32","18.32","18.32","18.32","-","0.00%"
"Jul 24, 2020","18.32","18.42","18.61","18.23","10.31M","0.94%"
"Jul 23, 2020","18.15","17.73","18.24","17.67","10.49M","2.60%"
"Jul 22, 2020","17.69","17.71","17.84","17.63","5.75M","-0.34%"
"Jul 21, 2020","17.75","17.47","17.80","17.47","8.11M","1.08%"
"Jul 20, 2020","17.56","18.09","18.10","17.53","6.92M","-2.93%"
"Jul 17, 2020","18.09","18.07","18.24","18.02","5.28M","-0.17%"
"Jul 16, 2020","18.12","18.17","18.34","18.06","6.14M","0.72%"
"Jul 15, 2020","17.99","17.92","18.21","17.86","8.31M","-0.06%"
"Jul 14, 2020","18.00","18.32","18.55","17.99","12.44M","-0.77%"
"Jul 13, 2020","18.14","17.58","18.19","17.40","11.68M","2.02%"
"Jul 12, 2020","17.78","17.78","17.78","17.78","-","0.00%"
"Jul 11, 2020","17.78","17.78","17.78","17.78","-","0.00%"
"Jul 10, 2020","17.78","17.92","18.10","17.77","6.22M","-0.67%"
"Jul 09, 2020","17.90","17.93","18.21","17.86","8.23M","-0.94%"
"Jul 08, 2020","18.07","18.20","18.30","18.05","4.86M","-1.31%"
"Jul 07, 2020","18.31","18.19","18.32","18.00","5.11M","0.77%"
"Jul 06, 2020","18.17","18.38","18.38","18.14","5.98M","-2.57%"
"Jul 05, 2020","18.65","18.65","18.65","18.65","-","0.00%"
"Jul 04, 2020","18.65","18.65","18.65","18.65","-","0.00%"
"Jul 02, 2020","18.65","18.57","18.67","18.49","5.35M","-0.64%"
"Jul 01, 2020","18.77","18.97","19.02","18.69","7.89M","-1.21%"
"Jun 30, 2020","19.00","19.37","19.38","18.94","6.24M","-1.86%"
"Jun 29, 2020","19.36","19.60","19.81","19.36","7.90M","-1.17%"
"Jun 26, 2020","19.59","19.16","19.61","19.13","7.96M","2.46%"
"Jun 25, 2020","19.12","19.29","19.51","19.11","7.98M","-0.93%"
"Jun 24, 2020","19.30","18.99","19.43","18.89","11.47M","2.01%"
"Jun 23, 2020","18.92","18.95","19.00","18.75","5.80M","-0.89%"
"Jun 22, 2020","19.09","19.32","19.34","19.07","2.75M","-1.14%"
"Jun 19, 2020","19.31","19.12","19.46","19.10","7.34M","0.00%"
"Jun 18, 2020","19.31","19.39","19.44","19.30","3.30M","-0.36%"
"Jun 17, 2020","19.38","19.31","19.43","19.22","3.61M","-0.15%"
"Jun 16, 2020","19.41","19.35","19.72","19.31","8.33M","-1.82%"
"Jun 15, 2020","19.77","20.31","20.38","19.72","7.10M","-1.20%"
"Jun 12, 2020","20.01","19.72","20.37","19.63","12.77M","-0.74%"
"Jun 11, 2020","20.16","19.56","20.18","19.44","10.75M","4.95%"
"Jun 10, 2020","19.21","19.31","19.35","19.10","6.23M","-1.34%"
"Jun 09, 2020","19.47","19.68","19.68","19.39","3.33M","-0.61%"
"Jun 08, 2020","19.59","19.77","19.90","19.59","3.03M","-0.86%"
"Jun 07, 2020","19.76","19.76","19.76","19.76","-","0.00%"
"Jun 05, 2020","19.76","20.07","20.10","19.70","6.36M","-1.94%"
"Jun 04, 2020","20.15","20.06","20.26","19.93","7.27M","0.65%"
"Jun 03, 2020","20.02","20.04","20.13","19.96","2.89M","-0.40%"
"Jun 02, 2020","20.10","20.22","20.42","20.10","3.92M","-0.64%"
"Jun 01, 2020","20.23","20.38","20.42","20.22","2.96M","-0.59%"
"May 29, 2020","20.35","20.58","20.72","20.29","7.46M","-1.36%"
"May 28, 2020","20.63","20.69","20.69","20.31","5.46M","0.19%"
"May 27, 2020","20.59","20.74","21.15","20.58","6.28M","-0.53%"
"May 26, 2020","20.70","20.30","20.72","20.30","3.50M","0.29%"
"May 22, 2020","20.64","20.77","20.84","20.63","4.10M","-0.43%"
"May 21, 2020","20.73","20.49","20.76","20.44","6.92M","1.12%"
"May 20, 2020","20.50","20.66","20.66","20.47","2.98M","-1.96%"
"May 19, 2020","20.91","20.85","20.91","20.65","4.01M","0.24%"
"May 18, 2020","20.86","20.98","21.04","20.77","4.93M","-1.84%"
"May 15, 2020","21.25","21.71","21.73","21.25","4.65M","-0.70%"
"May 14, 2020","21.40","21.79","21.97","21.40","5.40M","-1.06%"
"May 13, 2020","21.63","21.35","21.90","21.15","8.79M","1.17%"
"May 12, 2020","21.38","20.88","21.38","20.83","5.11M","2.00%"
"May 11, 2020","20.96","21.27","21.28","20.84","2.65M","-0.80%"
"May 08, 2020","21.13","21.27","21.36","21.12","3.37M","-1.40%"
"May 07, 2020","21.43","21.43","21.56","21.34","4.24M","-1.24%"
"May 06, 2020","21.70","21.66","21.80","21.50","3.58M","-0.64%"
"May 05, 2020","21.84","21.87","21.92","21.59","4.00M","-1.09%"
"May 04, 2020","22.08","22.48","22.52","22.07","4.84M","-1.30%"
"May 03, 2020","22.37","22.37","22.37","22.37","-","0.00%"
"May 02, 2020","22.37","22.37","22.37","22.37","-","0.00%"
