"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","8.70","8.82","8.84","8.60","12.53M","-1.69%"
"Aug 30, 2020","8.85","8.85","8.85","8.85","-","0.00%"
"Aug 28, 2020","8.85","8.87","8.95","8.81","7.80M","-1.01%"
"Aug 27, 2020","8.94","8.85","9.08","8.78","13.71M","0.56%"
"Aug 26, 2020","8.89","9.21","9.21","8.88","10.86M","-4.31%"
"Aug 25, 2020","9.29","9.48","9.51","9.28","7.12M","-1.48%"
"Aug 24, 2020","9.43","9.56","9.59","9.28","9.53M","-1.36%"
"Aug 23, 2020","9.56","9.56","9.56","9.56","-","0.00%"
"Aug 21, 2020","9.56","9.67","9.72","9.53","8.74M","-1.34%"
"Aug 20, 2020","9.69","10.04","10.05","9.65","7.83M","-2.81%"
"Aug 19, 2020","9.97","9.84","9.99","9.77","7.22M","1.42%"
"Aug 18, 2020","9.83","9.95","10.05","9.80","8.42M","-1.99%"
"Aug 17, 2020","10.03","10.14","10.14","10.00","6.67M","-2.34%"
"Aug 14, 2020","10.27","10.22","10.37","10.18","6.45M","0.20%"
"Aug 13, 2020","10.25","10.20","10.31","10.08","10.59M","-0.29%"
"Aug 12, 2020","10.28","10.65","10.65","10.21","10.82M","-5.25%"
"Aug 11, 2020","10.85","10.55","10.88","10.44","11.89M","3.93%"
"Aug 10, 2020","10.44","10.33","10.71","10.32","10.37M","0.87%"
"Aug 09, 2020","10.35","10.35","10.35","10.35","-","0.00%"
"Aug 08, 2020","10.35","10.35","10.35","10.35","-","0.00%"
"Aug 07, 2020","10.35","10.20","10.51","10.11","10.06M","2.27%"
"Aug 06, 2020","10.12","10.41","10.45","10.10","9.55M","-2.60%"
"Aug 05, 2020","10.39","10.43","10.47","10.37","6.15M","-0.48%"
"Aug 04, 2020","10.44","10.54","10.63","10.44","7.10M","-0.95%"
"Aug 03, 2020","10.54","10.63","10.65","10.47","10.32M","-2.50%"
"Aug 02, 2020","10.81","10.81","10.81","10.81","-","0.00%"
"Jul 31, 2020","10.81","10.83","11.24","10.81","14.35M","-3.57%"
"Jul 30, 2020","11.21","11.53","11.61","11.18","12.46M","-1.15%"
"Jul 29, 2020","11.34","11.48","11.51","11.26","9.99M","-2.41%"
"Jul 28, 2020","11.62","11.33","11.63","11.33","9.70M","2.56%"
"Jul 27, 2020","11.33","11.58","11.65","11.29","11.03M","-3.57%"
"Jul 26, 2020","11.75","11.75","11.75","11.75","-","0.00%"
"Jul 25, 2020","11.75","11.75","11.75","11.75","-","0.00%"
"Jul 24, 2020","11.75","11.53","12.12","11.53","21.65M","1.91%"
"Jul 23, 2020","11.53","11.00","11.65","10.94","16.87M","5.20%"
"Jul 22, 2020","10.96","11.00","11.15","10.88","7.39M","-0.63%"
"Jul 21, 2020","11.03","10.68","11.10","10.68","12.88M","2.04%"
"Jul 20, 2020","10.81","11.46","11.49","10.76","13.53M","-5.67%"
"Jul 17, 2020","11.46","11.43","11.66","11.38","7.33M","-0.26%"
"Jul 16, 2020","11.49","11.59","11.78","11.43","12.43M","1.23%"
"Jul 15, 2020","11.35","11.25","11.62","11.18","16.79M","-0.26%"
"Jul 14, 2020","11.38","11.76","12.06","11.34","28.59M","-1.39%"
"Jul 13, 2020","11.54","10.85","11.61","10.61","26.11M","4.15%"
"Jul 12, 2020","11.08","11.08","11.08","11.08","-","0.00%"
"Jul 11, 2020","11.08","11.08","11.08","11.08","-","0.00%"
"Jul 10, 2020","11.08","11.27","11.49","11.07","9.64M","-1.51%"
"Jul 09, 2020","11.25","11.27","11.64","11.19","15.35M","-1.75%"
"Jul 08, 2020","11.45","11.61","11.75","11.44","8.88M","-2.47%"
"Jul 07, 2020","11.74","11.61","11.77","11.36","11.11M","1.29%"
"Jul 06, 2020","11.59","11.87","11.87","11.54","9.86M","-5.00%"
"Jul 05, 2020","12.20","12.20","12.20","12.20","-","0.00%"
"Jul 04, 2020","12.20","12.20","12.20","12.20","-","0.00%"
"Jul 02, 2020","12.20","12.09","12.24","11.99","9.09M","-1.37%"
"Jul 01, 2020","12.37","12.66","12.70","12.25","9.80M","-2.44%"
"Jun 30, 2020","12.68","13.17","13.18","12.60","9.35M","-3.79%"
"Jun 29, 2020","13.18","13.48","13.78","13.18","12.15M","-2.23%"
"Jun 26, 2020","13.48","12.90","13.51","12.87","15.63M","4.82%"
"Jun 25, 2020","12.86","13.09","13.37","12.83","11.52M","-1.83%"
"Jun 24, 2020","13.10","12.66","13.26","12.55","13.88M","4.05%"
"Jun 23, 2020","12.59","12.65","12.69","12.35","10.82M","-1.64%"
"Jun 22, 2020","12.80","13.11","13.16","12.79","7.22M","-2.51%"
"Jun 19, 2020","13.13","12.86","13.31","12.83","9.87M","0.00%"
"Jun 18, 2020","13.13","13.23","13.30","13.09","6.15M","-0.45%"
"Jun 17, 2020","13.19","13.14","13.27","12.98","6.37M","-0.53%"
"Jun 16, 2020","13.26","13.16","13.69","13.11","13.88M","-3.63%"
"Jun 15, 2020","13.76","14.51","14.60","13.67","13.27M","-2.55%"
"Jun 12, 2020","14.12","13.69","14.60","13.54","23.90M","-1.40%"
"Jun 11, 2020","14.32","13.46","14.32","13.32","14.52M","9.90%"
"Jun 10, 2020","13.03","13.17","13.21","12.85","11.91M","-2.47%"
"Jun 09, 2020","13.36","13.66","13.66","13.25","6.60M","-1.33%"
"Jun 08, 2020","13.54","13.80","13.96","13.54","6.27M","-1.67%"
"Jun 07, 2020","13.77","13.77","13.77","13.77","-","0.00%"
"Jun 05, 2020","13.77","14.21","14.26","13.69","11.24M","-4.04%"
"Jun 04, 2020","14.35","14.20","14.49","14.01","7.65M","1.56%"
"Jun 03, 2020","14.13","14.19","14.30","14.05","5.05M","-0.98%"
"Jun 02, 2020","14.27","14.42","14.71","14.27","4.63M","-1.18%"
"Jun 01, 2020","14.44","14.67","14.71","14.42","4.64M","-1.10%"
"May 29, 2020","14.60","14.92","15.15","14.52","11.42M","-2.73%"
"May 28, 2020","15.01","15.09","15.11","14.55","8.50M","0.40%"
"May 27, 2020","14.95","15.18","15.78","14.94","9.73M","-1.06%"
"May 26, 2020","15.11","14.57","15.15","14.55","6.18M","0.40%"
"May 22, 2020","15.05","15.21","15.33","15.01","5.53M","-0.66%"
"May 21, 2020","15.15","14.81","15.21","14.73","8.87M","2.23%"
"May 20, 2020","14.82","15.07","15.08","14.78","6.42M","-4.08%"
"May 19, 2020","15.45","15.35","15.47","15.05","6.96M","0.59%"
"May 18, 2020","15.36","15.54","15.64","15.22","8.70M","-3.82%"
"May 15, 2020","15.97","16.64","16.68","15.96","9.22M","-1.24%"
"May 14, 2020","16.17","16.75","17.05","16.17","10.20M","-2.18%"
"May 13, 2020","16.53","16.04","16.92","15.79","13.30M","2.48%"
"May 12, 2020","16.13","15.43","16.15","15.33","7.85M","3.93%"
"May 11, 2020","15.52","15.98","16.00","15.35","7.15M","-1.71%"
"May 08, 2020","15.79","15.99","16.12","15.77","7.33M","-2.59%"
"May 07, 2020","16.21","16.25","16.43","16.09","9.27M","-2.64%"
"May 06, 2020","16.65","16.61","16.79","16.35","7.42M","-1.25%"
"May 05, 2020","16.86","16.90","17.00","16.47","7.34M","-2.26%"
"May 04, 2020","17.25","17.85","17.94","17.22","6.91M","-2.43%"
"May 03, 2020","17.68","17.68","17.68","17.68","-","0.00%"
"May 02, 2020","17.68","17.68","17.68","17.68","-","0.00%"
"May 01, 2020","17.68","17.41","17.83","17.08","8.05M","5.87%"
"Apr 30, 2020","16.70","16.57","16.97","16.56","7.90M","-0.36%"
"Apr 29, 2020","16.76","17.19","17.37","16.56","8.28M","-6.84%"
"Apr 28, 2020","17.99","17.05","18.03","17.05","12.42M","3.51%"
"Apr 27, 2020","17.38","17.25","17.52","17.17","6.65M","-1.25%"
"Apr 24, 2020","17.60","18.13","18.38","17.56","8.48M","-3.30%"
"Apr 23, 2020","18.20","17.98","18.27","17.53","10.53M","0.50%"
"Apr 22, 2020","18.11","18.46","18.62","17.89","7.48M","-6.07%"
"Apr 21, 2020","19.28","18.30","19.48","18.22","11.96M","7.29%"
"Apr 20, 2020","17.97","17.88","17.97","17.44","7.49M","2.33%"
"Apr 17, 2020","17.56","17.41","18.07","17.32","9.80M","-1.68%"
