"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","17.42","17.03","17.47","17.03","5.12M","2.83%"
"Aug 30, 2020","16.94","16.94","16.94","16.94","-","0.00%"
"Aug 28, 2020","16.94","17.06","17.29","16.83","7.21M","-2.02%"
"Aug 27, 2020","17.29","17.39","17.52","17.03","9.32M","-1.76%"
"Aug 26, 2020","17.60","17.75","17.92","17.55","3.64M","-0.73%"
"Aug 25, 2020","17.73","17.44","18.03","17.44","5.47M","0.68%"
"Aug 24, 2020","17.61","17.92","18.16","17.61","6.77M","-4.08%"
"Aug 23, 2020","18.36","18.36","18.36","18.36","-","0.00%"
"Aug 21, 2020","18.36","18.85","18.89","18.34","6.20M","-2.29%"
"Aug 20, 2020","18.79","19.20","19.23","18.73","5.59M","-0.69%"
"Aug 19, 2020","18.92","18.66","18.99","18.45","5.27M","0.91%"
"Aug 18, 2020","18.75","18.55","18.96","18.53","5.23M","0.86%"
"Aug 17, 2020","18.59","18.35","18.68","18.34","3.20M","0.81%"
"Aug 14, 2020","18.44","18.74","18.81","18.35","6.75M","-0.32%"
"Aug 13, 2020","18.50","18.54","18.73","18.36","7.23M","0.65%"
"Aug 12, 2020","18.38","18.42","18.66","18.24","9.10M","-3.11%"
"Aug 11, 2020","18.97","18.20","19.11","18.05","14.80M","1.12%"
"Aug 10, 2020","18.76","19.35","19.35","18.76","9.83M","-3.89%"
"Aug 09, 2020","19.52","19.52","19.52","19.52","-","0.00%"
"Aug 08, 2020","19.52","19.52","19.52","19.52","-","0.00%"
"Aug 07, 2020","19.52","19.82","20.00","19.50","9.88M","-0.81%"
"Aug 06, 2020","19.68","20.20","20.20","19.67","7.92M","-2.24%"
"Aug 05, 2020","20.13","20.60","20.61","20.06","9.84M","-3.91%"
"Aug 04, 2020","20.95","21.37","21.53","20.95","6.43M","-1.97%"
"Aug 03, 2020","21.37","21.63","21.70","21.27","7.15M","-2.55%"
"Aug 02, 2020","21.93","21.93","21.93","21.93","-","0.00%"
"Jul 31, 2020","21.93","22.09","23.02","21.92","11.76M","-1.35%"
"Jul 30, 2020","22.23","22.46","23.05","22.10","10.97M","2.49%"
"Jul 29, 2020","21.69","22.00","22.12","21.54","6.59M","-1.86%"
"Jul 28, 2020","22.10","21.58","22.15","21.58","7.99M","2.41%"
"Jul 27, 2020","21.58","21.93","21.99","21.50","6.62M","-1.33%"
"Jul 26, 2020","21.87","21.87","21.87","21.87","-","0.00%"
"Jul 25, 2020","21.87","21.87","21.87","21.87","-","0.00%"
"Jul 24, 2020","21.87","21.82","22.06","21.51","11.39M","2.05%"
"Jul 23, 2020","21.43","20.74","21.66","20.72","13.96M","3.88%"
"Jul 22, 2020","20.63","21.16","21.16","20.59","8.75M","-2.04%"
"Jul 21, 2020","21.06","20.96","21.22","20.60","9.54M","-1.82%"
"Jul 20, 2020","21.45","21.50","21.85","21.22","7.58M","0.09%"
"Jul 17, 2020","21.43","21.15","21.58","21.14","7.50M","0.61%"
"Jul 16, 2020","21.30","21.39","21.67","20.98","9.85M","1.53%"
"Jul 15, 2020","20.98","20.61","21.43","20.59","15.15M","-2.78%"
"Jul 14, 2020","21.58","23.13","23.27","21.43","20.19M","-6.13%"
"Jul 13, 2020","22.99","22.47","23.12","21.57","23.04M","-0.30%"
"Jul 12, 2020","23.06","23.06","23.06","23.06","-","0.00%"
