"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","15.00","14.91","15.02","14.84","6.49M","0.67%"
"Aug 30, 2020","14.90","14.90","14.90","14.90","-","0.00%"
"Aug 28, 2020","14.90","14.99","15.11","14.89","6.47M","-1.26%"
"Aug 27, 2020","15.09","15.09","15.25","14.96","11.34M","-0.46%"
"Aug 26, 2020","15.16","15.41","15.46","15.13","7.61M","-2.00%"
"Aug 25, 2020","15.47","15.52","15.64","15.47","7.35M","-0.71%"
"Aug 24, 2020","15.58","15.66","15.75","15.58","6.89M","-2.07%"
"Aug 23, 2020","15.91","15.91","15.91","15.91","-","0.00%"
"Aug 21, 2020","15.91","16.06","16.09","15.89","6.23M","-0.69%"
"Aug 20, 2020","16.02","16.31","16.32","15.98","6.96M","-0.68%"
"Aug 19, 2020","16.13","15.95","16.17","15.90","6.70M","0.88%"
"Aug 18, 2020","15.99","16.01","16.18","15.95","6.88M","-0.50%"
"Aug 17, 2020","16.07","16.05","16.11","16.02","4.00M","-0.62%"
"Aug 14, 2020","16.17","16.21","16.28","16.11","5.81M","0.00%"
"Aug 13, 2020","16.17","16.15","16.25","16.03","8.08M","0.43%"
"Aug 12, 2020","16.10","16.29","16.29","16.03","9.60M","-2.84%"
"Aug 11, 2020","16.57","16.16","16.64","16.11","11.28M","1.59%"
"Aug 10, 2020","16.31","16.35","16.55","16.29","7.98M","-0.55%"
"Aug 09, 2020","16.40","16.40","16.40","16.40","-","0.00%"
"Aug 08, 2020","16.40","16.40","16.40","16.40","-","0.00%"
"Aug 07, 2020","16.40","16.53","16.63","16.39","10.06M","-0.12%"
"Aug 06, 2020","16.42","16.71","16.75","16.41","11.03M","-1.32%"
"Aug 05, 2020","16.64","16.71","16.74","16.63","12.68M","-1.36%"
"Aug 04, 2020","16.87","16.99","17.07","16.87","7.02M","-0.71%"
"Aug 03, 2020","16.99","17.03","17.10","16.90","8.76M","-1.34%"
"Aug 02, 2020","17.22","17.22","17.22","17.22","-","0.00%"
"Jul 31, 2020","17.22","17.29","17.80","17.22","14.92M","-1.60%"
"Jul 30, 2020","17.50","17.73","17.97","17.47","14.41M","0.63%"
"Jul 29, 2020","17.39","17.72","17.73","17.32","8.17M","-2.47%"
"Jul 28, 2020","17.83","17.61","17.85","17.55","7.76M","1.25%"
"Jul 27, 2020","17.61","17.78","17.86","17.59","7.56M","-1.40%"
"Jul 26, 2020","17.86","17.86","17.86","17.86","-","0.00%"
"Jul 25, 2020","17.86","17.86","17.86","17.86","-","0.00%"
"Jul 24, 2020","17.86","17.87","18.04","17.74","13.35M","1.30%"
"Jul 23, 2020","17.63","17.27","17.79","17.19","15.41M","2.32%"
"Jul 22, 2020","17.23","17.47","17.47","17.20","7.88M","-1.09%"
"Jul 21, 2020","17.42","17.27","17.53","17.22","10.92M","-0.46%"
