"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","19.68","19.62","19.69","19.57","13.27M","0.36%"
"Aug 30, 2020","19.61","19.61","19.61","19.61","-","0.00%"
"Aug 28, 2020","19.61","19.67","19.75","19.60","7.76M","-0.71%"
"Aug 27, 2020","19.75","19.73","19.83","19.66","14.46M","-0.15%"
"Aug 26, 2020","19.78","19.95","19.98","19.77","5.99M","-1.05%"
"Aug 25, 2020","19.99","20.02","20.09","19.98","6.62M","-0.35%"
"Aug 24, 2020","20.06","20.10","20.16","20.06","7.46M","-0.99%"
"Aug 23, 2020","20.26","20.26","20.26","20.26","-","0.00%"
"Aug 21, 2020","20.26","20.35","20.38","20.25","5.70M","-0.34%"
"Aug 20, 2020","20.33","20.52","20.52","20.31","5.99M","-0.34%"
"Aug 19, 2020","20.40","20.30","20.44","20.26","6.77M","0.39%"
"Aug 18, 2020","20.32","20.33","20.43","20.29","6.17M","-0.20%"
"Aug 17, 2020","20.36","20.37","20.38","20.34","4.26M","-0.29%"
"Aug 14, 2020","20.42","20.46","20.50","20.39","9.34M","-0.05%"
"Aug 13, 2020","20.43","20.45","20.48","20.34","6.03M","0.15%"
"Aug 12, 2020","20.40","20.50","20.50","20.34","7.80M","-1.35%"
"Aug 11, 2020","20.68","20.42","20.72","20.39","13.64M","0.78%"
"Aug 10, 2020","20.52","20.54","20.66","20.50","9.31M","-0.29%"
"Aug 09, 2020","20.58","20.58","20.58","20.58","-","0.00%"
"Aug 08, 2020","20.58","20.58","20.58","20.58","-","0.00%"
"Aug 07, 2020","20.58","20.67","20.71","20.57","11.33M","-0.05%"
"Aug 06, 2020","20.59","20.76","20.78","20.59","8.86M","-0.63%"
"Aug 05, 2020","20.72","20.77","20.78","20.71","11.43M","-0.67%"
"Aug 04, 2020","20.86","20.93","21.00","20.86","8.69M","-0.33%"
"Aug 03, 2020","20.93","20.97","21.00","20.89","9.44M","-0.85%"
"Aug 02, 2020","21.11","21.11","21.11","21.11","-","0.00%"
"Jul 31, 2020","21.11","21.12","21.43","21.09","11.70M","-0.66%"
"Jul 30, 2020","21.25","21.41","21.54","21.23","12.54M","0.28%"
"Jul 29, 2020","21.19","21.39","21.39","21.14","7.61M","-1.17%"
"Jul 28, 2020","21.44","21.35","21.46","21.29","6.86M","0.56%"
"Jul 27, 2020","21.32","21.43","21.47","21.30","7.63M","-0.74%"
"Jul 26, 2020","21.48","21.48","21.48","21.48","-","0.00%"
"Jul 25, 2020","21.48","21.48","21.48","21.48","-","0.00%"
"Jul 24, 2020","21.48","21.47","21.58","21.40","13.16M","0.70%"
"Jul 23, 2020","21.33","21.11","21.43","21.06","13.08M","1.19%"
"Jul 22, 2020","21.08","21.22","21.23","21.06","9.16M","-0.61%"
"Jul 21, 2020","21.21","21.10","21.27","21.08","11.48M","-0.19%"
"Jul 20, 2020","21.25","21.44","21.49","21.20","8.83M","-0.79%"
"Jul 17, 2020","21.42","21.42","21.55","21.36","8.80M","-0.33%"
"Jul 16, 2020","21.49","21.55","21.59","21.46","7.30M","0.37%"
"Jul 15, 2020","21.41","21.37","21.58","21.33","13.61M","-0.93%"
"Jul 14, 2020","21.61","22.01","22.09","21.59","19.19M","-1.32%"
"Jul 13, 2020","21.90","21.53","21.94","21.37","16.03M","0.88%"
"Jul 12, 2020","21.71","21.71","21.71","21.71","-","0.00%"
"Jul 11, 2020","21.71","21.71","21.71","21.71","-","0.00%"
"Jul 10, 2020","21.71","21.95","22.04","21.70","10.53M","-1.05%"
"Jul 09, 2020","21.94","21.76","22.19","21.75","12.75M","0.60%"
"Jul 08, 2020","21.81","21.93","22.05","21.81","10.12M","-0.77%"
"Jul 07, 2020","21.98","21.88","22.01","21.72","9.05M","0.96%"
"Jul 06, 2020","21.77","21.81","21.86","21.74","9.26M","-1.54%"
"Jul 05, 2020","22.11","22.11","22.11","22.11","-","0.00%"
"Jul 04, 2020","22.11","22.11","22.11","22.11","-","0.00%"
"Jul 02, 2020","22.11","21.95","22.15","21.85","12.11M","-0.50%"
"Jul 01, 2020","22.22","22.30","22.32","22.13","14.92M","-0.63%"
"Jun 30, 2020","22.36","22.71","22.71","22.25","15.45M","-1.41%"
"Jun 29, 2020","22.68","22.90","23.09","22.68","16.71M","-1.48%"
"Jun 26, 2020","23.02","22.58","23.06","22.55","19.59M","2.40%"
"Jun 25, 2020","22.48","22.78","22.93","22.46","19.53M","-1.06%"
"Jun 24, 2020","22.72","22.33","22.86","22.28","20.77M","2.48%"
"Jun 23, 2020","22.17","22.05","22.18","22.00","14.60M","-0.45%"
"Jun 22, 2020","22.27","22.46","22.54","22.23","9.26M","-0.67%"
"Jun 19, 2020","22.42","22.01","22.51","22.00","12.28M","0.63%"
"Jun 18, 2020","22.28","22.42","22.44","22.25","11.87M","-0.09%"
"Jun 17, 2020","22.30","22.14","22.34","22.11","15.40M","0.50%"
"Jun 16, 2020","22.19","22.01","22.57","22.01","24.48M","-2.03%"
"Jun 15, 2020","22.65","23.32","23.41","22.55","25.31M","-0.88%"
"Jun 12, 2020","22.85","22.54","23.28","22.47","37.31M","-1.21%"
"Jun 11, 2020","23.13","22.43","23.17","22.35","33.48M","5.81%"
"Jun 10, 2020","21.86","21.71","21.92","21.64","12.74M","0.55%"
"Jun 09, 2020","21.74","21.78","21.84","21.65","7.88M","0.74%"
"Jun 08, 2020","21.58","21.79","21.83","21.58","10.34M","-1.33%"
"Jun 07, 2020","21.87","21.87","21.87","21.87","-","0.00%"
