"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","60.00","60.62","61.05","59.95","6.58M","-1.17%"
"Aug 30, 2020","60.71","60.71","60.71","60.71","-","0.00%"
"Aug 28, 2020","60.71","60.13","60.77","59.47","5.45M","1.97%"
"Aug 27, 2020","59.54","59.67","60.36","58.66","8.81M","0.66%"
"Aug 26, 2020","59.15","57.73","59.31","57.48","5.62M","2.99%"
"Aug 25, 2020","57.43","57.19","57.46","56.54","5.44M","1.04%"
"Aug 24, 2020","56.84","56.47","56.84","55.96","5.62M","3.10%"
"Aug 23, 2020","55.13","55.13","55.13","55.13","-","0.00%"
"Aug 22, 2020","55.13","55.13","55.13","55.13","-","0.00%"
"Aug 21, 2020","55.13","54.42","55.26","54.26","5.03M","1.03%"
"Aug 20, 2020","54.57","53.20","54.83","53.14","5.17M","0.92%"
"Aug 19, 2020","54.07","55.01","55.26","53.82","7.03M","-1.22%"
"Aug 18, 2020","54.74","54.66","55.00","53.83","5.34M","0.63%"
"Aug 17, 2020","54.40","54.43","54.63","54.25","4.22M","0.91%"
"Aug 14, 2020","53.91","53.71","54.22","53.38","7.37M","-0.09%"
"Aug 13, 2020","53.96","54.03","54.61","53.46","8.71M","-0.39%"
"Aug 12, 2020","54.17","53.31","54.61","53.31","8.21M","4.01%"
"Aug 11, 2020","52.08","54.05","54.29","51.70","11.51M","-2.44%"
"Aug 10, 2020","53.38","53.13","53.46","52.17","8.01M","0.96%"
"Aug 09, 2020","52.87","52.87","52.87","52.87","-","0.00%"
"Aug 08, 2020","52.87","52.87","52.87","52.87","-","0.00%"
"Aug 07, 2020","52.87","52.29","52.96","51.85","10.64M","0.19%"
"Aug 06, 2020","52.77","51.48","52.84","51.32","7.61M","2.05%"
"Aug 05, 2020","51.71","51.46","51.89","51.34","7.09M","1.83%"
"Aug 04, 2020","50.78","49.84","50.78","49.84","7.11M","1.14%"
"Aug 03, 2020","50.21","50.03","50.59","49.76","6.82M","2.03%"
"Aug 02, 2020","49.21","49.21","49.21","49.21","-","0.00%"
"Jul 31, 2020","49.21","48.95","49.25","46.91","12.55M","2.41%"
"Jul 30, 2020","48.05","47.08","48.27","46.16","12.92M","-1.07%"
"Jul 29, 2020","48.57","47.31","48.88","47.27","8.09M","3.52%"
"Jul 28, 2020","46.92","47.75","47.97","46.75","9.46M","-1.74%"
"Jul 27, 2020","47.75","47.01","47.86","46.73","7.67M","2.16%"
"Jul 26, 2020","46.74","46.74","46.74","46.74","-","0.00%"
"Jul 25, 2020","46.74","46.74","46.74","46.74","-","0.00%"
"Jul 24, 2020","46.74","46.70","47.25","46.05","12.92M","-2.07%"
"Jul 23, 2020","47.73","49.25","49.63","47.05","14.70M","-3.44%"
"Jul 22, 2020","49.43","48.62","49.58","48.45","8.22M","1.67%"
"Jul 21, 2020","48.62","49.25","49.50","48.18","10.50M","0.64%"
"Jul 20, 2020","48.31","47.03","48.63","46.77","7.72M","2.50%"
"Jul 17, 2020","47.13","47.24","47.55","46.33","8.61M","0.77%"
"Jul 16, 2020","46.77","46.35","46.99","46.04","10.73M","-0.99%"
"Jul 15, 2020","47.24","47.57","47.77","46.16","17.45M","2.67%"
"Jul 14, 2020","46.01","43.62","46.14","43.09","16.15M","3.88%"
"Jul 13, 2020","44.29","46.59","47.65","43.99","15.12M","-2.55%"
"Jul 12, 2020","45.45","45.45","45.45","45.45","-","0.00%"
"Jul 11, 2020","45.45","45.45","45.45","45.45","-","0.00%"
"Jul 10, 2020","45.45","44.13","45.56","43.42","11.06M","3.06%"
"Jul 09, 2020","44.10","45.18","45.25","42.55","15.52M","-1.63%"
"Jul 08, 2020","44.83","44.22","44.92","43.45","9.96M","2.21%"
"Jul 07, 2020","43.86","44.56","45.47","43.72","11.19M","-3.05%"
"Jul 06, 2020","45.24","45.03","45.38","44.67","10.83M","4.60%"
"Jul 05, 2020","43.25","43.25","43.25","43.25","-","0.00%"
"Jul 04, 2020","43.25","43.25","43.25","43.25","-","0.00%"
"Jul 02, 2020","43.25","44.15","44.67","42.98","14.65M","1.55%"
"Jul 01, 2020","42.59","42.19","43.12","42.00","14.46M","1.87%"
"Jun 30, 2020","41.81","39.97","42.42","39.94","15.21M","4.24%"
"Jun 29, 2020","40.11","39.00","40.11","38.07","14.99M","4.07%"
"Jun 26, 2020","38.54","40.97","41.06","38.25","21.05M","-7.02%"
"Jun 25, 2020","41.45","39.83","41.56","39.08","15.45M","3.19%"
"Jun 24, 2020","40.17","42.53","42.82","39.35","21.62M","-7.59%"
"Jun 23, 2020","43.47","44.12","44.50","43.33","10.43M","1.23%"
"Jun 22, 2020","42.94","41.85","43.11","41.39","10.02M","1.92%"
"Jun 19, 2020","42.13","44.42","44.50","41.55","18.46M","-1.70%"
"Jun 18, 2020","42.86","42.05","43.07","41.98","11.67M","0.21%"
"Jun 17, 2020","42.77","43.84","43.96","42.57","14.33M","-1.36%"
"Jun 16, 2020","43.36","44.38","44.45","41.36","24.86M","5.76%"
"Jun 15, 2020","41.00","37.44","41.47","36.97","26.17M","2.81%"
"Jun 12, 2020","39.88","41.44","41.76","37.72","29.23M","3.42%"
"Jun 11, 2020","38.56","43.05","43.56","38.28","33.44M","-17.34%"
"Jun 10, 2020","46.65","47.68","48.11","46.29","19.50M","-1.62%"
"Jun 09, 2020","47.42","47.24","48.13","46.77","16.12M","-2.19%"
"Jun 08, 2020","48.48","47.21","48.52","46.94","11.92M","3.66%"
"Jun 07, 2020","46.77","46.77","46.77","46.77","-","0.00%"
