"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","5.30","5.26","5.30","5.21","26.92M","1.34%"
"Aug 30, 2020","5.23","5.23","5.23","5.23","-","0.00%"
"Aug 28, 2020","5.23","5.30","5.36","5.23","30.96M","-2.43%"
"Aug 27, 2020","5.36","5.33","5.43","5.28","42.73M","-0.37%"
"Aug 26, 2020","5.38","5.51","5.54","5.37","24.64M","-3.06%"
"Aug 25, 2020","5.55","5.57","5.63","5.55","19.98M","-0.89%"
"Aug 24, 2020","5.60","5.64","5.70","5.60","25.41M","-2.95%"
"Aug 23, 2020","5.77","5.77","5.77","5.77","-","0.00%"
"Aug 22, 2020","5.77","5.77","5.77","5.77","-","0.00%"
"Aug 21, 2020","5.77","5.86","5.88","5.77","20.17M","-1.37%"
"Aug 20, 2020","5.85","6.01","6.01","5.83","20.63M","-1.18%"
"Aug 19, 2020","5.92","5.80","5.93","5.78","32.36M","1.54%"
"Aug 18, 2020","5.83","5.85","5.93","5.80","19.27M","-0.68%"
"Aug 17, 2020","5.87","5.87","5.89","5.84","9.71M","-1.01%"
"Aug 14, 2020","5.93","5.95","5.98","5.89","19.23M","0.17%"
"Aug 13, 2020","5.92","5.91","5.97","5.85","26.56M","0.68%"
"Aug 12, 2020","5.88","6.00","6.00","5.85","29.07M","-4.39%"
"Aug 11, 2020","6.15","5.93","6.19","5.90","33.36M","2.33%"
"Aug 10, 2020","6.01","6.03","6.14","6.00","23.40M","-0.83%"
"Aug 09, 2020","6.06","6.06","6.06","6.06","-","0.00%"
"Aug 08, 2020","6.06","6.06","6.06","6.06","-","0.00%"
"Aug 07, 2020","6.06","6.13","6.18","6.05","26.14M","-0.16%"
"Aug 06, 2020","6.07","6.23","6.25","6.07","21.87M","-2.25%"
"Aug 05, 2020","6.21","6.24","6.24","6.18","24.30M","-1.58%"
"Aug 04, 2020","6.31","6.43","6.43","6.31","19.07M","-1.25%"
"Aug 03, 2020","6.39","6.41","6.45","6.34","20.79M","-1.99%"
"Aug 02, 2020","6.52","6.52","6.52","6.52","-","0.00%"
"Jul 31, 2020","6.52","6.57","6.85","6.52","37.72M","-2.40%"
"Jul 30, 2020","6.68","6.81","6.94","6.66","31.95M","1.21%"
"Jul 29, 2020","6.60","6.81","6.81","6.57","22.34M","-3.93%"
"Jul 28, 2020","6.87","6.73","6.88","6.71","27.10M","2.08%"
"Jul 27, 2020","6.73","6.83","6.89","6.72","21.54M","-2.18%"
"Jul 26, 2020","6.88","6.88","6.88","6.88","-","0.00%"
"Jul 25, 2020","6.88","6.88","6.88","6.88","-","0.00%"
"Jul 24, 2020","6.88","6.89","6.99","6.82","27.97M","1.78%"
"Jul 23, 2020","6.76","6.55","6.84","6.50","36.71M","3.84%"
"Jul 22, 2020","6.51","6.65","6.66","6.50","24.33M","-2.11%"
"Jul 21, 2020","6.65","6.56","6.70","6.52","30.66M","-0.60%"
"Jul 20, 2020","6.69","6.87","6.90","6.64","29.31M","-2.48%"
"Jul 17, 2020","6.86","6.85","6.98","6.79","23.43M","-0.58%"
"Jul 16, 2020","6.90","6.98","7.01","6.88","25.99M","0.88%"
"Jul 15, 2020","6.84","6.80","7.01","6.76","44.26M","-2.84%"
"Jul 14, 2020","7.04","7.43","7.51","7.02","60.13M","-3.83%"
"Jul 13, 2020","7.32","6.96","7.37","6.79","54.42M","2.66%"
"Jul 12, 2020","7.13","7.13","7.13","7.13","-","0.00%"
"Jul 11, 2020","7.13","7.13","7.13","7.13","-","0.00%"
"Jul 10, 2020","7.13","7.37","7.47","7.12","37.57M","-2.99%"
"Jul 09, 2020","7.35","7.19","7.62","7.18","46.30M","1.52%"
"Jul 08, 2020","7.24","7.36","7.48","7.24","34.20M","-2.29%"
"Jul 07, 2020","7.41","7.29","7.44","7.16","36.30M","2.92%"
"Jul 06, 2020","7.20","7.23","7.30","7.16","38.95M","-4.51%"
"Jul 05, 2020","7.54","7.54","7.54","7.54","-","0.00%"
"Jul 04, 2020","7.54","7.54","7.54","7.54","-","0.00%"
"Jul 02, 2020","7.54","7.38","7.59","7.29","44.31M","-1.57%"
"Jul 01, 2020","7.66","7.75","7.77","7.57","41.10M","-1.92%"
"Jun 30, 2020","7.81","8.19","8.19","7.69","47.96M","-4.29%"
"Jun 29, 2020","8.16","8.41","8.61","8.16","48.39M","-4.23%"
"Jun 26, 2020","8.52","8.05","8.57","8.03","60.36M","7.17%"
"Jun 25, 2020","7.95","8.29","8.45","7.93","58.50M","-3.17%"
"Jun 24, 2020","8.21","7.81","8.36","7.76","67.85M","7.32%"
"Jun 23, 2020","7.65","7.53","7.67","7.47","36.34M","-1.42%"
"Jun 22, 2020","7.76","7.95","8.03","7.72","35.31M","-1.77%"
"Jun 19, 2020","7.90","7.49","8.01","7.47","58.01M","1.80%"
"Jun 18, 2020","7.76","7.91","7.93","7.73","36.10M","-0.13%"
"Jun 17, 2020","7.77","7.61","7.82","7.58","39.83M","1.04%"
"Jun 16, 2020","7.69","7.47","8.10","7.46","77.72M","-5.53%"
"Jun 15, 2020","8.14","8.90","9.00","8.05","80.01M","-2.98%"
"Jun 12, 2020","8.39","8.04","8.88","7.96","112.90M","-3.56%"
"Jun 11, 2020","8.70","7.98","8.74","7.90","79.36M","17.41%"
"Jun 10, 2020","7.41","7.25","7.47","7.19","36.35M","1.65%"
"Jun 09, 2020","7.29","7.33","7.39","7.20","30.96M","2.24%"
"Jun 08, 2020","7.13","7.34","7.38","7.13","31.88M","-3.78%"
"Jun 07, 2020","7.41","7.41","7.41","7.41","-","0.00%"
"Jun 05, 2020","7.41","7.56","7.58","7.26","55.99M","-7.84%"
"Jun 04, 2020","8.04","8.06","8.20","7.91","38.05M","1.01%"
"Jun 03, 2020","7.96","8.12","8.15","7.90","40.28M","-4.21%"
"Jun 02, 2020","8.31","8.43","8.54","8.31","32.88M","-2.24%"
"Jun 01, 2020","8.50","8.68","8.72","8.46","37.70M","-1.39%"
"May 29, 2020","8.62","8.78","9.03","8.56","50.09M","-1.26%"
"May 28, 2020","8.73","8.58","8.80","8.41","55.62M","0.58%"
"May 27, 2020","8.68","8.81","9.30","8.68","57.35M","-4.62%"
"May 26, 2020","9.10","8.81","9.12","8.80","37.84M","-3.60%"
"May 22, 2020","9.44","9.53","9.66","9.43","27.31M","-0.63%"
"May 21, 2020","9.50","9.33","9.61","9.24","49.39M","2.04%"
"May 20, 2020","9.31","9.42","9.45","9.22","44.04M","-5.19%"
"May 19, 2020","9.82","9.58","9.82","9.40","35.89M","3.26%"
"May 18, 2020","9.51","9.75","9.77","9.35","53.52M","-9.34%"
"May 15, 2020","10.49","10.93","11.03","10.48","52.69M","-1.32%"
"May 14, 2020","10.63","11.36","11.63","10.63","77.64M","-3.63%"
"May 13, 2020","11.03","10.54","11.31","10.41","79.94M","5.35%"
"May 12, 2020","10.47","9.76","10.48","9.70","39.70M","5.97%"
"May 11, 2020","9.88","10.10","10.14","9.72","38.32M","0.10%"
"May 08, 2020","9.87","10.04","10.17","9.84","40.65M","-5.00%"
"May 07, 2020","10.39","10.39","10.47","10.16","40.68M","-3.62%"
"May 06, 2020","10.78","10.37","10.81","10.32","41.49M","1.99%"
"May 05, 2020","10.57","10.53","10.64","10.23","40.75M","-2.85%"
"May 04, 2020","10.88","11.24","11.40","10.84","48.67M","-0.82%"
"May 03, 2020","10.97","10.97","10.97","10.97","-","0.00%"
"May 02, 2020","10.97","10.97","10.97","10.97","-","0.00%"
"May 01, 2020","10.97","10.73","11.11","10.63","50.57M","7.87%"
"Apr 30, 2020","10.17","10.04","10.36","9.99","52.89M","2.73%"
"Apr 29, 2020","9.90","10.07","10.21","9.71","65.01M","-7.74%"
"Apr 28, 2020","10.73","10.14","10.77","10.11","56.57M","1.51%"
"Apr 27, 2020","10.57","10.83","10.88","10.45","41.53M","-4.52%"
"Apr 24, 2020","11.07","11.36","11.63","10.99","50.08M","-4.16%"
"Apr 23, 2020","11.55","11.38","11.60","10.95","67.94M","0.00%"
"Apr 22, 2020","11.55","11.66","11.85","11.30","50.05M","-6.63%"
"Apr 21, 2020","12.37","11.96","12.50","11.77","81.22M","9.18%"
"Apr 20, 2020","11.33","11.25","11.38","10.82","62.10M","5.00%"
"Apr 17, 2020","10.79","10.95","11.32","10.70","60.70M","-7.86%"
"Apr 16, 2020","11.71","11.72","12.16","11.61","73.57M","-1.51%"
"Apr 15, 2020","11.89","11.93","12.18","11.69","66.67M","6.26%"
"Apr 14, 2020","11.19","11.56","11.72","11.08","75.36M","-8.88%"
"Apr 13, 2020","12.28","12.11","12.84","12.06","70.67M","2.93%"
"Apr 09, 2020","11.93","12.02","12.33","11.55","84.92M","-4.71%"
"Apr 08, 2020","12.52","13.49","13.87","12.35","67.82M","-10.25%"
"Apr 07, 2020","13.95","12.50","14.00","12.37","88.63M","-0.36%"
"Apr 06, 2020","14.00","15.50","15.75","13.61","70.67M","-20.23%"
"Apr 03, 2020","17.55","17.05","18.15","16.55","62.39M","4.22%"
"Apr 02, 2020","16.84","18.34","18.43","16.65","83.84M","-6.86%"
"Apr 01, 2020","18.08","17.75","18.51","17.11","68.62M","13.43%"
"Mar 31, 2020","15.94","15.44","16.21","15.00","54.52M","4.52%"
"Mar 30, 2020","15.25","16.53","16.90","15.13","59.43M","-9.76%"
"Mar 28, 2020","16.90","16.90","16.90","16.90","-","0.00%"
"Mar 27, 2020","16.90","16.99","17.36","15.63","63.90M","8.54%"
"Mar 26, 2020","15.57","18.33","18.38","15.29","72.78M","-17.79%"
