"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","8.00","7.93","8.01","7.87","15.53M","1.01%"
"Aug 30, 2020","7.92","7.92","7.92","7.92","-","0.00%"
"Aug 28, 2020","7.92","7.99","8.09","7.91","15.82M","-1.86%"
"Aug 27, 2020","8.07","8.06","8.20","7.97","28.92M","-0.62%"
"Aug 26, 2020","8.12","8.34","8.37","8.11","23.36M","-3.10%"
"Aug 25, 2020","8.38","8.42","8.51","8.37","15.76M","-0.95%"
"Aug 24, 2020","8.46","8.53","8.61","8.46","20.67M","-3.09%"
"Aug 23, 2020","8.73","8.73","8.73","8.73","-","0.00%"
"Aug 22, 2020","8.73","8.73","8.73","8.73","-","0.00%"
"Aug 21, 2020","8.73","8.86","8.88","8.72","18.19M","-1.24%"
"Aug 20, 2020","8.84","9.07","9.08","8.79","23.22M","-0.90%"
"Aug 19, 2020","8.92","8.77","8.95","8.73","19.56M","1.13%"
"Aug 18, 2020","8.82","8.83","8.96","8.77","15.49M","-0.56%"
"Aug 17, 2020","8.87","8.86","8.90","8.83","12.18M","-1.00%"
"Aug 14, 2020","8.96","8.99","9.05","8.90","18.07M","0.22%"
"Aug 13, 2020","8.94","8.96","9.03","8.83","20.51M","0.34%"
"Aug 12, 2020","8.91","9.06","9.06","8.84","26.11M","-4.09%"
"Aug 11, 2020","9.29","8.96","9.35","8.91","30.91M","2.54%"
"Aug 10, 2020","9.06","9.10","9.28","9.05","17.88M","-0.88%"
"Aug 09, 2020","9.14","9.14","9.14","9.14","-","0.00%"
"Aug 08, 2020","9.14","9.14","9.14","9.14","-","0.00%"
"Aug 07, 2020","9.14","9.26","9.34","9.14","24.87M","-0.44%"
"Aug 06, 2020","9.18","9.41","9.43","9.16","20.68M","-1.92%"
"Aug 05, 2020","9.36","9.42","9.44","9.34","22.91M","-1.89%"
"Aug 04, 2020","9.54","9.71","9.72","9.54","15.95M","-1.24%"
"Aug 03, 2020","9.66","9.68","9.74","9.58","21.18M","-1.93%"
"Aug 02, 2020","9.85","9.85","9.85","9.85","-","0.00%"
"Jul 31, 2020","9.85","9.91","10.34","9.85","30.45M","-2.38%"
"Jul 30, 2020","10.09","10.30","10.49","10.05","34.07M","0.90%"
"Jul 29, 2020","10.00","10.28","10.29","9.93","25.31M","-3.38%"
"Jul 28, 2020","10.35","10.17","10.39","10.14","19.91M","1.77%"
"Jul 27, 2020","10.17","10.32","10.41","10.16","15.62M","-2.21%"
"Jul 26, 2020","10.40","10.40","10.40","10.40","-","0.00%"
"Jul 25, 2020","10.40","10.40","10.40","10.40","-","0.00%"
"Jul 24, 2020","10.40","10.41","10.55","10.30","30.43M","1.86%"
"Jul 23, 2020","10.21","9.89","10.34","9.83","30.88M","3.65%"
"Jul 22, 2020","9.85","10.04","10.07","9.83","20.16M","-1.89%"
"Jul 21, 2020","10.04","9.89","10.12","9.85","24.82M","-0.50%"
"Jul 20, 2020","10.09","10.39","10.43","10.02","20.06M","-2.42%"
"Jul 17, 2020","10.34","10.34","10.53","10.26","20.26M","-1.05%"
"Jul 16, 2020","10.45","10.53","10.60","10.39","27.55M","1.26%"
"Jul 15, 2020","10.32","10.28","10.58","10.22","40.53M","-2.82%"
"Jul 14, 2020","10.62","11.22","11.35","10.60","55.76M","-3.89%"
"Jul 13, 2020","11.05","10.51","11.13","10.27","55.46M","2.60%"
"Jul 12, 2020","10.77","10.77","10.77","10.77","-","0.00%"
"Jul 11, 2020","10.77","10.77","10.77","10.77","-","0.00%"
"Jul 10, 2020","10.77","11.13","11.29","10.76","33.15M","-3.06%"
"Jul 09, 2020","11.11","10.87","11.50","10.85","38.65M","1.65%"
"Jul 08, 2020","10.93","11.11","11.31","10.93","29.27M","-2.41%"
"Jul 07, 2020","11.20","11.04","11.23","10.81","25.41M","3.13%"
"Jul 06, 2020","10.86","10.92","11.02","10.84","31.30M","-4.57%"
"Jul 05, 2020","11.38","11.38","11.38","11.38","-","0.00%"
"Jul 04, 2020","11.38","11.38","11.38","11.38","-","0.00%"
"Jul 02, 2020","11.38","11.16","11.46","11.01","33.84M","-1.56%"
"Jul 01, 2020","11.56","11.69","11.74","11.43","32.08M","-2.03%"
"Jun 30, 2020","11.80","12.35","12.36","11.62","31.81M","-4.22%"
"Jun 29, 2020","12.32","12.71","13.01","12.32","42.81M","-4.20%"
"Jun 26, 2020","12.86","12.16","12.95","12.13","50.39M","6.81%"
"Jun 25, 2020","12.04","12.50","12.76","11.98","41.38M","-2.98%"
"Jun 24, 2020","12.41","11.80","12.63","11.72","62.58M","7.63%"
"Jun 23, 2020","11.53","11.38","11.58","11.27","34.38M","-1.28%"
"Jun 22, 2020","11.68","12.02","12.13","11.65","26.93M","-2.18%"
"Jun 19, 2020","11.94","11.30","12.09","11.28","44.36M","1.79%"
"Jun 18, 2020","11.73","11.93","11.98","11.67","26.80M","-0.09%"
"Jun 17, 2020","11.74","11.51","11.82","11.45","32.35M","1.29%"
"Jun 16, 2020","11.59","11.29","12.23","11.28","62.21M","-6.00%"
"Jun 15, 2020","12.33","13.45","13.60","12.16","72.27M","-2.61%"
"Jun 12, 2020","12.66","12.14","13.41","12.02","91.61M","-3.73%"
"Jun 11, 2020","13.15","12.06","13.21","11.94","74.26M","17.41%"
"Jun 10, 2020","11.20","10.95","11.29","10.86","36.39M","1.73%"
"Jun 09, 2020","11.01","11.07","11.17","10.86","26.65M","2.23%"
"Jun 08, 2020","10.77","11.09","11.16","10.77","28.24M","-3.93%"
"Jun 07, 2020","11.21","11.21","11.21","11.21","-","0.00%"
"Jun 05, 2020","11.21","11.44","11.45","10.97","44.24M","-7.66%"
"Jun 04, 2020","12.14","12.17","12.39","11.94","27.65M","0.83%"
"Jun 03, 2020","12.04","12.27","12.31","11.93","40.28M","-3.99%"
"Jun 02, 2020","12.54","12.73","12.91","12.54","23.82M","-2.41%"
"Jun 01, 2020","12.85","13.12","13.18","12.78","24.08M","-1.53%"
"May 29, 2020","13.05","13.28","13.64","12.94","46.18M","-1.06%"
"May 28, 2020","13.19","12.96","13.29","12.70","39.30M","0.38%"
"May 27, 2020","13.14","13.32","14.04","13.14","46.96M","-4.23%"
"May 26, 2020","13.72","13.33","13.79","13.30","33.87M","-3.85%"
"May 22, 2020","14.27","14.40","14.60","14.24","24.17M","-0.63%"
"May 21, 2020","14.36","14.09","14.53","13.96","38.63M","2.06%"
"May 20, 2020","14.07","14.22","14.27","13.93","30.98M","-4.93%"
"May 19, 2020","14.80","14.47","14.80","14.21","28.01M","2.99%"
"May 18, 2020","14.37","14.73","14.76","14.13","43.23M","-9.22%"
"May 15, 2020","15.83","16.49","16.68","15.83","40.60M","-1.31%"
"May 14, 2020","16.04","17.11","17.58","16.04","62.66M","-3.61%"
"May 13, 2020","16.64","15.91","17.09","15.73","63.30M","5.25%"
"May 12, 2020","15.81","14.73","15.84","14.65","33.98M","5.97%"
"May 11, 2020","14.92","15.27","15.33","14.70","29.81M","0.00%"
"May 08, 2020","14.92","15.16","15.37","14.87","29.96M","-5.03%"
"May 07, 2020","15.71","15.71","15.81","15.36","37.23M","-3.56%"
"May 06, 2020","16.29","15.69","16.33","15.60","29.45M","1.94%"
"May 05, 2020","15.98","15.91","16.07","15.46","30.39M","-2.74%"
"May 04, 2020","16.43","16.99","17.22","16.38","36.04M","-0.96%"
"May 03, 2020","16.59","16.59","16.59","16.59","-","0.00%"
"May 02, 2020","16.59","16.59","16.59","16.59","-","0.00%"
"May 01, 2020","16.59","16.20","16.79","16.07","46.60M","7.87%"
"Apr 30, 2020","15.38","15.18","15.65","15.10","50.00M","2.95%"
"Apr 29, 2020","14.94","15.23","15.43","14.67","54.49M","-7.78%"
"Apr 28, 2020","16.20","15.34","16.28","15.27","46.56M","1.38%"
"Apr 27, 2020","15.98","16.36","16.44","15.79","35.65M","-4.48%"
"Apr 24, 2020","16.73","17.17","17.57","16.60","42.69M","-4.13%"
"Apr 23, 2020","17.45","17.20","17.53","16.56","51.58M","-0.06%"
"Apr 22, 2020","17.46","17.63","17.91","17.08","44.55M","-6.78%"
