"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","8.06","7.80","8.08","7.79","3.42M","3.20%"
"Aug 30, 2020","7.81","7.81","7.81","7.81","-","0.00%"
"Aug 28, 2020","7.81","7.89","8.02","7.80","3.22M","-2.50%"
"Aug 27, 2020","8.01","8.00","8.20","7.85","5.10M","-0.99%"
"Aug 26, 2020","8.09","7.95","8.11","7.89","3.66M","2.02%"
"Aug 25, 2020","7.93","7.90","8.17","7.89","4.37M","-0.38%"
"Aug 24, 2020","7.96","8.03","8.25","7.96","4.48M","-3.05%"
"Aug 23, 2020","8.21","8.21","8.21","8.21","-","0.00%"
"Aug 21, 2020","8.21","8.15","8.38","8.06","4.36M","1.99%"
"Aug 20, 2020","8.05","8.20","8.22","7.93","4.28M","1.26%"
"Aug 19, 2020","7.95","7.88","7.97","7.70","3.29M","-0.13%"
"Aug 18, 2020","7.96","7.74","8.03","7.74","3.44M","3.11%"
"Aug 17, 2020","7.72","7.80","7.89","7.71","2.98M","-1.78%"
"Aug 14, 2020","7.86","7.97","8.03","7.76","3.46M","0.38%"
"Aug 13, 2020","7.83","7.88","7.92","7.65","3.83M","0.64%"
"Aug 12, 2020","7.78","7.61","7.93","7.59","4.71M","-1.39%"
"Aug 11, 2020","7.89","7.53","7.98","7.45","6.65M","1.94%"
"Aug 10, 2020","7.74","7.92","7.92","7.60","6.32M","-3.25%"
"Aug 09, 2020","8.00","8.00","8.00","8.00","-","0.00%"
"Aug 08, 2020","8.00","8.00","8.00","8.00","-","0.00%"
"Aug 07, 2020","8.00","8.49","8.49","8.00","6.27M","-4.88%"
"Aug 06, 2020","8.41","8.40","8.52","8.29","4.49M","0.24%"
"Aug 05, 2020","8.39","8.68","8.75","8.38","6.58M","-5.94%"
"Aug 04, 2020","8.92","9.14","9.23","8.90","5.71M","-1.87%"
"Aug 03, 2020","9.09","9.43","9.60","9.08","6.51M","-5.21%"
"Aug 02, 2020","9.59","9.59","9.59","9.59","-","0.00%"
"Jul 31, 2020","9.59","9.41","10.09","9.38","8.03M","2.90%"
"Jul 30, 2020","9.32","9.66","9.76","9.27","6.54M","0.98%"
"Jul 29, 2020","9.23","9.68","9.69","9.19","6.86M","-6.48%"
"Jul 28, 2020","9.87","9.67","9.87","9.50","5.02M","3.13%"
"Jul 27, 2020","9.57","9.89","10.01","9.56","4.35M","-3.43%"
"Jul 26, 2020","9.91","9.91","9.91","9.91","-","0.00%"
"Jul 25, 2020","9.91","9.91","9.91","9.91","-","0.00%"
"Jul 24, 2020","9.91","9.67","9.98","9.59","7.78M","4.76%"
"Jul 23, 2020","9.46","9.55","9.75","9.12","10.42M","-0.11%"
"Jul 22, 2020","9.47","9.70","9.70","9.40","5.83M","-0.63%"
"Jul 21, 2020","9.53","9.66","9.68","9.29","8.44M","-4.22%"
"Jul 20, 2020","9.95","9.89","10.09","9.77","7.24M","1.32%"
"Jul 17, 2020","9.82","9.81","10.03","9.61","8.81M","-1.11%"
"Jul 16, 2020","9.93","9.92","10.15","9.82","8.08M","1.85%"
"Jul 15, 2020","9.75","10.12","10.24","9.60","16.17M","-10.80%"
"Jul 14, 2020","10.93","11.53","11.70","10.90","17.40M","-4.96%"
"Jul 13, 2020","11.50","10.71","11.52","10.32","12.57M","3.88%"
"Jul 12, 2020","11.07","11.07","11.07","11.07","-","0.00%"
"Jul 11, 2020","11.07","11.07","11.07","11.07","-","0.00%"
"Jul 10, 2020","11.07","11.57","11.80","11.05","8.79M","-4.98%"
"Jul 09, 2020","11.65","10.94","12.06","10.91","12.17M","6.01%"
"Jul 08, 2020","10.99","11.27","11.65","10.86","9.97M","-2.31%"
"Jul 07, 2020","11.25","10.96","11.32","10.67","7.04M","5.34%"
"Jul 06, 2020","10.68","10.29","10.78","10.20","5.83M","-2.20%"
"Jul 05, 2020","10.92","10.92","10.92","10.92","-","0.00%"
"Jul 04, 2020","10.92","10.92","10.92","10.92","-","0.00%"
"Jul 02, 2020","10.92","10.39","11.02","10.25","7.42M","-1.00%"
"Jul 01, 2020","11.03","10.65","11.16","10.45","7.64M","2.51%"
"Jun 30, 2020","10.76","11.32","11.34","10.66","6.88M","-3.93%"
"Jun 29, 2020","11.20","11.91","12.34","11.03","10.49M","-9.68%"
"Jun 26, 2020","12.40","11.76","12.48","11.68","9.53M","7.73%"
"Jun 25, 2020","11.51","12.32","12.59","11.49","8.34M","-4.80%"
"Jun 24, 2020","12.09","11.46","12.53","11.35","10.08M","9.91%"
"Jun 23, 2020","11.00","10.70","11.09","10.64","4.04M","-1.08%"
"Jun 22, 2020","11.12","11.70","12.01","11.12","5.55M","-3.22%"
"Jun 19, 2020","11.49","10.68","11.77","10.65","7.94M","1.77%"
"Jun 18, 2020","11.29","11.66","11.77","10.95","5.28M","-0.35%"
"Jun 17, 2020","11.33","10.81","11.40","10.62","6.34M","5.59%"
"Jun 16, 2020","10.73","10.23","11.52","10.18","10.72M","-6.86%"
"Jun 15, 2020","11.52","13.53","13.60","11.29","12.03M","-6.87%"
"Jun 12, 2020","12.37","11.84","13.63","11.62","15.04M","-7.20%"
"Jun 11, 2020","13.33","12.27","13.43","12.03","20.40M","22.63%"
"Jun 10, 2020","10.87","10.13","10.92","10.07","9.12M","8.27%"
"Jun 09, 2020","10.04","9.95","10.27","9.79","8.64M","5.35%"
"Jun 08, 2020","9.53","9.69","9.83","9.50","6.14M","-5.92%"
"Jun 07, 2020","10.13","10.13","10.13","10.13","-","0.00%"
"Jun 05, 2020","10.13","9.96","10.27","9.65","11.24M","-11.61%"
"Jun 04, 2020","11.46","11.62","11.78","11.22","8.10M","0.44%"
"Jun 03, 2020","11.41","11.69","11.85","11.09","9.10M","-7.24%"
"Jun 02, 2020","12.30","12.35","12.79","12.17","6.63M","-2.54%"
"Jun 01, 2020","12.62","12.90","13.06","12.21","6.74M","-2.92%"
"May 29, 2020","13.00","13.13","13.68","12.87","9.95M","1.88%"
"May 28, 2020","12.76","11.53","12.95","11.53","7.07M","7.14%"
"May 27, 2020","11.91","12.37","13.55","11.83","7.66M","-9.57%"
"May 26, 2020","13.17","12.72","13.23","12.65","5.59M","-8.41%"
"May 22, 2020","14.38","14.48","14.98","14.33","5.07M","-1.30%"
"May 21, 2020","14.57","14.67","15.13","14.35","6.73M","-0.75%"
"May 20, 2020","14.68","15.14","15.26","14.34","7.85M","-8.99%"
"May 19, 2020","16.13","15.45","16.14","14.99","7.70M","5.84%"
"May 18, 2020","15.24","16.18","16.18","15.01","9.00M","-18.11%"
"May 15, 2020","18.61","20.05","20.36","18.44","7.02M","-4.76%"
"May 14, 2020","19.54","21.11","22.42","19.51","12.57M","-1.41%"
"May 13, 2020","19.82","18.47","20.73","18.35","14.93M","10.29%"
"May 12, 2020","17.97","16.02","18.00","15.99","6.96M","10.58%"
"May 11, 2020","16.25","16.69","17.07","15.78","5.53M","1.50%"
"May 08, 2020","16.01","16.91","17.34","15.97","6.93M","-11.25%"
"May 07, 2020","18.04","18.10","18.48","17.61","6.06M","-4.60%"
