"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","11.95","11.93","12.14","11.72","1.87M","-0.83%"
"Aug 30, 2020","12.05","12.05","12.05","12.05","-","0.00%"
"Aug 28, 2020","12.05","12.25","12.29","11.95","1.47M","-2.74%"
"Aug 27, 2020","12.39","12.35","12.72","12.10","2.28M","-0.24%"
"Aug 26, 2020","12.42","12.84","12.90","12.34","1.96M","-6.12%"
"Aug 25, 2020","13.23","13.54","13.59","13.22","1.33M","-1.56%"
"Aug 24, 2020","13.44","13.23","13.78","13.20","1.75M","-2.54%"
"Aug 23, 2020","13.79","13.79","13.79","13.79","-","0.00%"
"Aug 21, 2020","13.79","14.28","14.32","13.75","1.79M","-3.97%"
"Aug 20, 2020","14.36","15.13","15.16","14.26","1.40M","-4.07%"
"Aug 19, 2020","14.97","14.80","15.02","14.59","1.59M","0.54%"
"Aug 18, 2020","14.89","14.95","15.27","14.77","1.18M","-1.06%"
"Aug 17, 2020","15.05","15.08","15.14","14.97","1.01M","-2.02%"
"Aug 14, 2020","15.36","15.33","15.63","15.25","1.11M","0.07%"
"Aug 13, 2020","15.35","15.29","15.50","14.96","1.35M","-0.07%"
"Aug 12, 2020","15.36","16.11","16.14","15.24","1.69M","-6.91%"
"Aug 11, 2020","16.50","15.79","16.56","15.62","3.02M","5.36%"
"Aug 10, 2020","15.66","15.41","16.26","15.36","1.96M","0.90%"
"Aug 09, 2020","15.52","15.52","15.52","15.52","-","0.00%"
"Aug 08, 2020","15.52","15.52","15.52","15.52","-","0.00%"
"Aug 07, 2020","15.52","15.06","15.86","15.03","3.75M","4.51%"
"Aug 06, 2020","14.85","15.55","15.63","14.82","1.82M","-4.32%"
"Aug 05, 2020","15.52","15.57","15.74","15.40","1.61M","-1.02%"
"Aug 04, 2020","15.68","15.89","16.11","15.68","2.20M","-0.88%"
"Aug 03, 2020","15.82","16.38","16.40","15.65","3.57M","-7.38%"
"Aug 02, 2020","17.08","17.08","17.08","17.08","-","0.00%"
"Jul 31, 2020","17.08","17.59","18.50","17.07","3.98M","-7.43%"
"Jul 30, 2020","18.45","19.29","19.56","18.42","2.31M","-1.60%"
"Jul 29, 2020","18.75","19.39","19.39","18.62","2.10M","-4.53%"
"Jul 28, 2020","19.64","19.09","19.67","18.97","1.94M","3.59%"
"Jul 27, 2020","18.96","19.54","19.66","18.90","2.70M","-4.68%"
"Jul 26, 2020","19.89","19.89","19.89","19.89","-","0.00%"
"Jul 25, 2020","19.89","19.89","19.89","19.89","-","0.00%"
"Jul 24, 2020","19.89","20.19","20.81","19.55","5.41M","3.59%"
"Jul 23, 2020","19.20","18.11","19.45","17.76","3.13M","7.56%"
"Jul 22, 2020","17.85","18.16","18.26","17.67","2.17M","-2.25%"
"Jul 21, 2020","18.26","17.33","18.46","17.33","2.23M","3.05%"
"Jul 20, 2020","17.72","19.25","19.36","17.63","1.84M","-7.71%"
"Jul 17, 2020","19.20","19.19","19.75","19.05","1.22M","-1.54%"
"Jul 16, 2020","19.50","19.38","19.91","19.25","1.93M","3.56%"
"Jul 15, 2020","18.83","18.69","19.47","18.32","1.79M","-1.62%"
"Jul 14, 2020","19.14","20.34","20.90","19.03","3.77M","-3.48%"
"Jul 13, 2020","19.83","18.14","19.93","17.80","2.83M","6.38%"
"Jul 12, 2020","18.64","18.64","18.64","18.64","-","0.00%"
"Jul 11, 2020","18.64","18.64","18.64","18.64","-","0.00%"
"Jul 10, 2020","18.64","18.69","19.30","18.62","1.40M","0.22%"
"Jul 09, 2020","18.60","18.41","19.42","18.37","2.28M","-1.22%"
"Jul 08, 2020","18.83","19.33","19.66","18.83","1.04M","-4.99%"
"Jul 07, 2020","19.82","19.34","19.85","18.69","1.46M","3.23%"
"Jul 06, 2020","19.20","19.50","19.51","18.92","1.31M","-5.37%"
"Jul 05, 2020","20.29","20.29","20.29","20.29","-","0.00%"
"Jul 04, 2020","20.29","20.29","20.29","20.29","-","0.00%"
