"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","34.32","35.55","35.69","34.32","11.41M","-3.35%"
"Aug 30, 2020","35.51","35.51","35.51","35.51","-","0.00%"
"Aug 28, 2020","35.51","35.20","35.57","34.60","10.81M","2.51%"
"Aug 27, 2020","34.64","34.76","35.44","33.90","15.70M","0.79%"
"Aug 26, 2020","34.37","35.11","35.31","34.28","12.02M","-2.00%"
"Aug 25, 2020","35.07","35.36","35.36","34.02","14.79M","0.40%"
"Aug 24, 2020","34.93","33.91","34.98","33.73","13.19M","3.01%"
"Aug 23, 2020","33.91","33.91","33.91","33.91","-","0.00%"
"Aug 21, 2020","33.91","34.26","34.59","33.23","14.29M","-2.11%"
"Aug 20, 2020","34.64","34.03","35.14","33.87","8.79M","-1.34%"
"Aug 19, 2020","35.11","35.49","36.18","34.98","10.12M","0.09%"
"Aug 18, 2020","35.08","36.07","36.08","34.66","11.66M","-2.85%"
"Aug 17, 2020","36.11","35.89","36.21","35.37","6.89M","1.52%"
"Aug 14, 2020","35.57","35.03","36.03","34.77","11.51M","-0.25%"
"Aug 13, 2020","35.66","35.62","36.56","35.30","11.64M","-0.67%"
"Aug 12, 2020","35.90","36.63","36.79","35.21","18.41M","1.24%"
"Aug 11, 2020","35.46","37.12","37.48","34.96","17.94M","-1.83%"
"Aug 10, 2020","36.12","34.98","36.77","34.98","18.30M","3.26%"
"Aug 09, 2020","34.98","34.98","34.98","34.98","-","0.00%"
"Aug 08, 2020","34.98","34.98","34.98","34.98","-","0.00%"
"Aug 07, 2020","34.98","33.15","35.00","33.03","20.16M","4.73%"
"Aug 06, 2020","33.40","33.39","33.87","32.89","14.83M","0.00%"
"Aug 05, 2020","33.40","32.48","33.49","32.20","13.48M","5.90%"
"Aug 04, 2020","31.54","30.98","31.65","30.50","16.71M","1.81%"
"Aug 03, 2020","30.98","30.00","31.04","29.44","15.49M","4.98%"
"Aug 02, 2020","29.51","29.51","29.51","29.51","-","0.00%"
"Jul 31, 2020","29.51","30.01","30.15","27.86","24.66M","-2.93%"
"Jul 30, 2020","30.40","29.33","30.57","28.88","15.36M","-0.91%"
"Jul 29, 2020","30.68","29.35","30.77","29.32","12.06M","6.34%"
"Jul 28, 2020","28.85","29.69","29.95","28.79","13.78M","-2.83%"
"Jul 27, 2020","29.69","28.89","29.75","28.46","16.56M","3.20%"
"Jul 26, 2020","28.77","28.77","28.77","28.77","-","0.00%"
"Jul 25, 2020","28.77","28.77","28.77","28.77","-","0.00%"
"Jul 24, 2020","28.77","30.19","30.19","28.51","21.25M","-4.70%"
"Jul 23, 2020","30.19","29.89","31.32","29.18","26.59M","0.47%"
"Jul 22, 2020","30.05","29.43","30.39","29.41","15.48M","0.17%"
"Jul 21, 2020","30.00","29.68","30.65","29.50","24.21M","4.35%"
"Jul 20, 2020","28.75","29.13","29.21","28.31","19.15M","-1.34%"
"Jul 17, 2020","29.14","29.00","29.74","28.55","19.58M","0.90%"
"Jul 16, 2020","28.88","28.80","29.19","28.17","24.01M","-1.80%"
"Jul 15, 2020","29.41","28.50","29.84","28.19","31.12M","10.94%"
"Jul 14, 2020","26.51","25.23","26.57","24.80","29.29M","4.78%"
"Jul 13, 2020","25.30","27.15","28.10","25.22","27.34M","-3.62%"
"Jul 12, 2020","26.25","26.25","26.25","26.25","-","0.00%"
"Jul 11, 2020","26.25","26.25","26.25","26.25","-","0.00%"
"Jul 10, 2020","26.25","25.16","26.35","24.73","25.03M","4.87%"
"Jul 09, 2020","25.03","26.77","26.89","24.05","32.57M","-6.08%"
"Jul 08, 2020","26.65","26.03","26.97","25.12","23.36M","2.26%"
"Jul 07, 2020","26.06","26.86","27.56","25.88","22.79M","-5.34%"
"Jul 06, 2020","27.53","27.00","28.71","27.00","23.09M","1.96%"
"Jul 05, 2020","27.00","27.00","27.00","27.00","-","0.00%"
"Jul 04, 2020","27.00","27.00","27.00","27.00","-","0.00%"
"Jul 02, 2020","27.00","28.21","28.59","26.71","24.71M","1.39%"
"Jul 01, 2020","26.63","27.63","28.21","26.35","30.89M","-2.77%"
"Jun 30, 2020","27.39","26.13","27.67","26.00","25.97M","3.79%"
"Jun 29, 2020","26.39","24.95","26.73","24.17","30.74M","10.14%"
