"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","15.95","15.42","15.95","15.37","9.39M","3.44%"
"Aug 30, 2020","15.42","15.42","15.42","15.42","-","0.00%"
"Aug 28, 2020","15.42","15.61","15.85","15.41","10.35M","-2.53%"
"Aug 27, 2020","15.82","15.77","16.19","15.48","14.84M","-0.82%"
"Aug 26, 2020","15.95","15.67","16.01","15.55","9.51M","1.85%"
"Aug 25, 2020","15.66","15.53","16.13","15.53","10.51M","-0.25%"
"Aug 24, 2020","15.70","16.21","16.29","15.69","10.00M","-3.15%"
"Aug 23, 2020","16.21","16.21","16.21","16.21","-","0.00%"
"Aug 21, 2020","16.21","16.06","16.53","15.90","13.81M","2.08%"
"Aug 20, 2020","15.88","16.18","16.23","15.66","11.85M","1.28%"
"Aug 19, 2020","15.68","15.56","15.73","15.19","11.58M","0.06%"
"Aug 18, 2020","15.67","15.27","15.87","15.27","11.34M","2.89%"
"Aug 17, 2020","15.23","15.35","15.58","15.21","6.78M","-1.68%"
"Aug 14, 2020","15.49","15.72","15.83","15.30","12.79M","0.39%"
"Aug 13, 2020","15.43","15.46","15.60","15.08","13.23M","0.52%"
"Aug 12, 2020","15.35","15.02","15.66","14.96","16.87M","-1.35%"
"Aug 11, 2020","15.56","14.84","15.75","14.70","22.60M","1.83%"
"Aug 10, 2020","15.28","15.77","15.77","14.98","19.81M","-3.11%"
"Aug 09, 2020","15.77","15.77","15.77","15.77","-","0.00%"
"Aug 08, 2020","15.77","15.77","15.77","15.77","-","0.00%"
"Aug 07, 2020","15.77","16.69","16.75","15.77","25.75M","-4.83%"
"Aug 06, 2020","16.57","16.55","16.83","16.33","17.06M","0.06%"
"Aug 05, 2020","16.56","17.11","17.24","16.53","22.13M","-5.80%"
"Aug 04, 2020","17.58","17.93","18.21","17.55","21.66M","-1.95%"
"Aug 03, 2020","17.93","18.55","18.93","17.89","22.54M","-5.18%"
"Aug 02, 2020","18.91","18.91","18.91","18.91","-","0.00%"
"Jul 31, 2020","18.91","18.57","19.90","18.50","24.08M","3.05%"
"Jul 30, 2020","18.35","19.04","19.25","18.26","23.03M","0.99%"
"Jul 29, 2020","18.17","19.08","19.10","18.14","17.79M","-6.53%"
"Jul 28, 2020","19.44","18.85","19.46","18.72","14.82M","3.13%"
"Jul 27, 2020","18.85","19.50","19.75","18.85","17.39M","-3.33%"
"Jul 26, 2020","19.50","19.50","19.50","19.50","-","0.00%"
"Jul 25, 2020","19.50","19.50","19.50","19.50","-","0.00%"
"Jul 24, 2020","19.50","18.65","19.69","18.65","27.34M","4.56%"
"Jul 23, 2020","18.65","18.81","19.27","17.96","32.98M","-0.21%"
"Jul 22, 2020","18.69","19.12","19.12","18.53","21.42M","-0.43%"
"Jul 21, 2020","18.77","19.07","19.09","18.33","28.39M","-4.23%"
"Jul 20, 2020","19.60","19.39","19.90","19.30","18.47M","1.40%"
"Jul 17, 2020","19.33","19.30","19.78","18.94","27.68M","-1.07%"
"Jul 16, 2020","19.54","19.59","20.00","19.35","24.94M","2.04%"
"Jul 15, 2020","19.15","19.93","20.19","18.85","42.07M","-10.97%"
"Jul 14, 2020","21.51","22.71","23.08","21.50","42.47M","-5.08%"
"Jul 13, 2020","22.66","21.83","22.72","20.34","38.78M","3.80%"
"Jul 12, 2020","21.83","21.83","21.83","21.83","-","0.00%"
"Jul 11, 2020","21.83","21.83","21.83","21.83","-","0.00%"
"Jul 10, 2020","21.83","22.83","23.27","21.78","31.15M","-4.88%"
