"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","63.72","64.30","64.83","63.64","4.21M","-1.13%"
"Aug 30, 2020","64.45","64.45","64.45","64.45","-","0.00%"
"Aug 28, 2020","64.45","63.85","64.53","63.13","4.67M","1.96%"
"Aug 27, 2020","63.21","63.26","64.05","62.25","5.73M","0.62%"
"Aug 26, 2020","62.82","61.27","62.96","61.02","3.39M","3.05%"
"Aug 25, 2020","60.96","60.70","61.01","60.01","4.03M","1.01%"
"Aug 24, 2020","60.35","59.94","60.35","59.40","3.47M","3.06%"
"Aug 23, 2020","58.56","58.56","58.56","58.56","-","0.00%"
"Aug 21, 2020","58.56","57.77","58.66","57.59","3.55M","1.04%"
"Aug 20, 2020","57.96","56.45","58.19","56.40","3.38M","0.91%"
"Aug 19, 2020","57.44","58.38","58.65","57.13","4.36M","-1.15%"
"Aug 18, 2020","58.11","58.01","58.38","57.12","3.20M","0.57%"
"Aug 17, 2020","57.78","57.80","57.99","57.57","2.42M","0.98%"
"Aug 14, 2020","57.22","57.01","57.53","56.62","3.57M","-0.07%"
"Aug 13, 2020","57.26","57.25","57.95","56.74","3.86M","-0.43%"
"Aug 12, 2020","57.51","56.55","57.96","56.55","5.23M","4.05%"
"Aug 11, 2020","55.27","57.35","57.62","54.87","6.95M","-2.38%"
"Aug 10, 2020","56.62","56.38","56.70","55.34","5.26M","0.89%"
"Aug 09, 2020","56.12","56.12","56.12","56.12","-","0.00%"
"Aug 08, 2020","56.12","56.12","56.12","56.12","-","0.00%"
"Aug 07, 2020","56.12","55.46","56.20","55.01","7.39M","0.20%"
"Aug 06, 2020","56.01","54.59","56.08","54.45","5.90M","2.04%"
"Aug 05, 2020","54.89","54.61","55.05","54.48","4.62M","1.89%"
"Aug 04, 2020","53.87","53.27","53.87","52.86","5.06M","1.13%"
"Aug 03, 2020","53.27","53.09","53.69","52.82","4.62M","2.03%"
"Aug 02, 2020","52.21","52.21","52.21","52.21","-","0.00%"
"Jul 31, 2020","52.21","51.94","52.26","49.77","7.90M","2.37%"
"Jul 30, 2020","51.00","49.99","51.22","48.97","8.53M","-1.07%"
"Jul 29, 2020","51.55","50.19","51.85","50.15","5.06M","3.64%"
"Jul 28, 2020","49.74","50.67","50.90","49.59","5.36M","-1.84%"
"Jul 27, 2020","50.67","49.88","50.78","49.60","5.47M","2.07%"
"Jul 26, 2020","49.64","49.64","49.64","49.64","-","0.00%"
"Jul 25, 2020","49.64","49.64","49.64","49.64","-","0.00%"
"Jul 24, 2020","49.64","49.56","50.15","48.87","8.68M","-1.86%"
"Jul 23, 2020","50.58","52.28","52.63","49.94","8.59M","-3.62%"
"Jul 22, 2020","52.48","51.42","52.60","51.39","5.19M","1.76%"
"Jul 21, 2020","51.57","52.24","52.51","51.12","7.35M","0.60%"
"Jul 20, 2020","51.26","49.89","51.60","49.62","5.40M","2.40%"
"Jul 17, 2020","50.06","50.13","50.46","49.15","5.41M","0.87%"
"Jul 16, 2020","49.63","49.19","49.83","48.86","6.29M","-1.00%"
