"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","65.13","65.19","65.36","65.04","3.07M","-0.20%"
"Aug 30, 2020","65.26","65.26","65.26","65.26","-","0.00%"
"Aug 28, 2020","65.26","65.08","65.27","64.79","2.95M","0.46%"
"Aug 27, 2020","64.96","64.95","65.20","64.77","4.97M","0.46%"
"Aug 26, 2020","64.66","64.45","64.74","64.23","2.90M","0.26%"
"Aug 25, 2020","64.49","64.56","64.56","64.30","2.35M","0.19%"
"Aug 24, 2020","64.37","64.19","64.37","64.03","2.70M","0.64%"
"Aug 23, 2020","63.96","63.96","63.96","63.96","-","0.00%"
"Aug 21, 2020","63.96","63.92","64.03","63.67","2.86M","-0.12%"
"Aug 20, 2020","64.04","63.86","64.10","63.73","4.39M","0.00%"
"Aug 19, 2020","64.04","64.49","64.50","63.96","3.09M","-0.73%"
"Aug 18, 2020","64.51","64.55","64.66","64.27","2.32M","0.00%"
"Aug 17, 2020","64.51","64.49","64.66","64.31","3.32M","0.47%"
"Aug 14, 2020","64.21","64.06","64.39","64.00","2.19M","0.02%"
"Aug 13, 2020","64.20","64.07","64.34","64.04","3.03M","-0.19%"
"Aug 12, 2020","64.32","63.96","64.51","63.96","2.86M","1.02%"
"Aug 11, 2020","63.67","64.42","64.50","63.55","7.25M","-0.92%"
"Aug 10, 2020","64.26","64.41","64.41","64.06","5.00M","-0.11%"
"Aug 09, 2020","64.33","64.33","64.33","64.33","-","0.00%"
"Aug 08, 2020","64.33","64.33","64.33","64.33","-","0.00%"
"Aug 07, 2020","64.33","63.59","64.39","63.59","3.50M","0.75%"
"Aug 06, 2020","63.85","63.66","63.85","63.43","2.43M","0.25%"
"Aug 05, 2020","63.69","64.00","64.06","63.56","2.44M","-0.08%"
"Aug 04, 2020","63.74","63.46","63.74","63.30","3.53M","0.44%"
"Aug 03, 2020","63.46","63.51","63.56","63.24","2.99M","0.09%"
"Aug 02, 2020","63.40","63.40","63.40","63.40","-","0.00%"
"Jul 31, 2020","63.40","63.31","63.41","62.49","3.66M","0.14%"
"Jul 30, 2020","63.31","62.88","63.40","62.64","4.87M","-0.41%"
"Jul 29, 2020","63.57","63.07","63.69","63.05","3.05M","0.94%"
"Jul 28, 2020","62.98","62.96","63.34","62.90","3.77M","-0.25%"
"Jul 27, 2020","63.14","62.93","63.14","62.77","3.42M","0.35%"
"Jul 26, 2020","62.92","62.92","62.92","62.92","-","0.00%"
"Jul 25, 2020","62.92","62.92","62.92","62.92","-","0.00%"
"Jul 24, 2020","62.92","63.03","63.28","62.66","3.01M","-0.60%"
"Jul 23, 2020","63.30","63.55","63.89","63.08","4.90M","-0.50%"
"Jul 22, 2020","63.62","62.86","63.67","62.86","3.73M","0.97%"
"Jul 21, 2020","63.01","63.20","63.39","62.86","7.67M","0.16%"
"Jul 20, 2020","62.91","62.80","63.03","62.64","2.90M","0.06%"
"Jul 17, 2020","62.87","62.44","62.97","62.34","2.66M","1.01%"
"Jul 16, 2020","62.24","61.90","62.31","61.90","3.27M","0.08%"
"Jul 15, 2020","62.19","62.25","62.49","61.97","6.18M","0.73%"
"Jul 14, 2020","61.74","60.51","61.78","60.51","5.45M","1.58%"
"Jul 13, 2020","60.78","61.55","61.88","60.70","4.17M","-0.70%"
"Jul 12, 2020","61.21","61.21","61.21","61.21","-","0.00%"
"Jul 11, 2020","61.21","61.21","61.21","61.21","-","0.00%"
"Jul 10, 2020","61.21","60.73","61.26","60.49","3.25M","0.77%"
"Jul 09, 2020","60.74","61.10","61.17","60.05","4.80M","-0.59%"
"Jul 08, 2020","61.10","61.03","61.24","60.69","3.90M","0.20%"
"Jul 07, 2020","60.98","61.06","61.51","60.93","3.78M","-0.70%"
"Jul 06, 2020","61.41","61.79","61.84","61.23","3.21M","0.54%"
"Jul 05, 2020","61.08","61.08","61.08","61.08","-","0.00%"
"Jul 04, 2020","61.08","61.08","61.08","61.08","-","0.00%"
"Jul 02, 2020","61.08","61.43","61.64","60.98","4.60M","0.31%"
"Jul 01, 2020","60.89","60.66","61.10","60.60","4.19M","0.43%"
"Jun 30, 2020","60.63","59.82","60.86","59.82","4.65M","1.20%"
"Jun 29, 2020","59.91","59.50","59.91","59.13","3.98M","1.17%"
"Jun 26, 2020","59.22","59.92","60.16","59.08","7.04M","-1.53%"
"Jun 25, 2020","60.14","59.50","60.16","59.09","5.29M","0.96%"
"Jun 24, 2020","59.57","60.42","60.52","59.22","7.56M","-2.10%"
"Jun 23, 2020","60.85","61.37","61.39","60.77","3.68M","-0.07%"
"Jun 22, 2020","60.89","60.60","61.04","60.33","3.45M","0.21%"
"Jun 19, 2020","60.76","61.87","61.93","60.60","4.17M","-0.62%"
"Jun 18, 2020","61.14","60.84","61.17","60.77","3.51M","0.05%"
"Jun 17, 2020","61.11","61.52","61.60","61.02","5.62M","-0.26%"
"Jun 16, 2020","61.27","61.92","61.92","60.56","6.85M","1.46%"
"Jun 15, 2020","60.39","58.82","60.64","58.67","6.09M","0.22%"
"Jun 12, 2020","60.26","61.14","61.20","59.32","7.97M","0.63%"
"Jun 11, 2020","59.88","61.82","61.96","59.78","6.99M","-5.01%"
"Jun 10, 2020","63.04","63.34","63.46","62.77","4.01M","-0.47%"
"Jun 09, 2020","63.34","63.49","63.58","63.20","6.99M","-1.05%"
"Jun 08, 2020","64.01","63.43","64.01","63.27","7.24M","1.06%"
