"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","41.87","42.03","42.13","41.80","18.62M","-0.69%"
"Aug 30, 2020","42.16","42.16","42.16","42.16","-","0.00%"
"Aug 28, 2020","42.16","42.12","42.18","41.90","12.33M","0.69%"
"Aug 27, 2020","41.87","42.31","42.31","41.71","7.42M","-1.02%"
"Aug 26, 2020","42.30","42.00","42.32","41.99","9.33M","0.74%"
"Aug 25, 2020","41.99","42.12","42.14","41.75","9.10M","0.21%"
"Aug 24, 2020","41.90","41.96","41.98","41.74","5.25M","1.21%"
"Aug 23, 2020","41.40","41.40","41.40","41.40","-","0.00%"
"Aug 21, 2020","41.40","41.18","41.41","41.13","9.28M","-0.53%"
"Aug 20, 2020","41.62","41.33","41.68","41.28","6.99M","-0.31%"
"Aug 19, 2020","41.75","42.12","42.16","41.72","6.27M","-0.55%"
"Aug 18, 2020","41.98","42.12","42.17","41.82","7.64M","-0.02%"
"Aug 17, 2020","41.99","41.92","42.03","41.89","7.22M","0.77%"
"Aug 14, 2020","41.67","41.61","41.76","41.56","8.77M","-0.62%"
"Aug 13, 2020","41.93","42.05","42.16","41.80","11.25M","-0.43%"
"Aug 12, 2020","42.11","42.04","42.27","41.98","9.03M","1.99%"
"Aug 11, 2020","41.29","41.80","41.81","41.24","10.32M","0.41%"
"Aug 10, 2020","41.12","41.02","41.12","40.91","6.54M","0.39%"
"Aug 09, 2020","40.96","40.96","40.96","40.96","-","0.00%"
"Aug 08, 2020","40.96","40.96","40.96","40.96","-","0.00%"
"Aug 07, 2020","40.96","40.77","40.96","40.69","5.77M","-0.41%"
"Aug 06, 2020","41.13","40.94","41.18","40.83","6.30M","0.22%"
"Aug 05, 2020","41.04","41.13","41.30","41.01","10.05M","0.54%"
"Aug 04, 2020","40.82","40.50","40.82","40.37","8.22M","0.79%"
"Aug 03, 2020","40.50","40.18","40.51","40.08","7.89M","1.73%"
"Aug 02, 2020","39.81","39.81","39.81","39.81","-","0.00%"
"Jul 31, 2020","39.81","40.38","40.41","39.55","19.44M","-1.95%"
"Jul 30, 2020","40.60","40.27","40.65","39.91","8.77M","-1.34%"
"Jul 29, 2020","41.15","40.92","41.22","40.83","9.35M","1.06%"
"Jul 28, 2020","40.72","40.79","40.92","40.67","5.73M","-0.46%"
"Jul 27, 2020","40.91","40.72","40.97","40.71","5.82M","1.39%"
"Jul 26, 2020","40.35","40.35","40.35","40.35","-","0.00%"
"Jul 25, 2020","40.35","40.35","40.35","40.35","-","0.00%"
"Jul 24, 2020","40.35","40.31","40.46","40.24","6.14M","-0.49%"
"Jul 23, 2020","40.55","40.79","40.94","40.44","7.81M","-0.83%"
"Jul 22, 2020","40.89","40.76","40.93","40.71","5.51M","0.27%"
"Jul 21, 2020","40.78","40.89","40.99","40.73","6.86M","0.39%"
