"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","44.19","44.37","44.37","43.97","10.68M","-2.10%"
"Aug 30, 2020","45.14","45.14","45.14","45.14","-","0.00%"
"Aug 28, 2020","45.14","44.86","45.17","44.74","10.73M","1.21%"
"Aug 27, 2020","44.60","45.03","45.03","44.41","9.29M","-0.58%"
"Aug 26, 2020","44.86","44.81","44.91","44.73","9.53M","0.09%"
"Aug 25, 2020","44.82","44.50","44.83","44.40","8.75M","0.92%"
"Aug 24, 2020","44.41","44.56","44.59","44.24","6.43M","1.00%"
"Aug 23, 2020","43.97","43.97","43.97","43.97","-","0.00%"
"Aug 22, 2020","43.97","43.97","43.97","43.97","-","0.00%"
"Aug 21, 2020","43.97","43.63","44.00","43.53","9.02M","0.64%"
"Aug 20, 2020","43.69","43.17","43.73","43.09","8.19M","-0.27%"
"Aug 19, 2020","43.81","44.17","44.18","43.76","7.52M","-1.15%"
"Aug 18, 2020","44.32","44.31","44.43","44.03","8.91M","0.36%"
"Aug 17, 2020","44.16","44.00","44.18","43.92","6.26M","1.08%"
"Aug 14, 2020","43.69","43.60","43.74","43.55","9.41M","0.14%"
"Aug 13, 2020","43.63","43.68","43.77","43.45","9.94M","-0.39%"
"Aug 12, 2020","43.80","43.65","43.87","43.54","8.54M","1.22%"
"Aug 11, 2020","43.27","43.66","43.70","43.20","10.32M","-0.37%"
"Aug 10, 2020","43.43","43.44","43.53","43.13","6.85M","-0.02%"
"Aug 09, 2020","43.44","43.44","43.44","43.44","-","0.00%"
"Aug 08, 2020","43.44","43.44","43.44","43.44","-","0.00%"
"Aug 07, 2020","43.44","43.52","43.66","43.19","8.39M","-2.03%"
"Aug 06, 2020","44.34","44.13","44.34","43.93","8.03M","0.14%"
"Aug 05, 2020","44.28","44.19","44.46","44.15","12.70M","1.03%"
"Aug 04, 2020","43.83","43.52","43.83","43.49","10.61M","1.13%"
"Aug 03, 2020","43.34","43.17","43.42","43.15","13.51M","0.77%"
"Aug 02, 2020","43.01","43.01","43.01","43.01","-","0.00%"
"Jul 31, 2020","43.01","43.36","43.37","42.71","13.36M","-0.58%"
"Jul 30, 2020","43.26","43.31","43.42","42.88","10.31M","-1.17%"
"Jul 29, 2020","43.77","43.46","43.85","43.44","10.38M","1.77%"
"Jul 28, 2020","43.01","43.35","43.36","42.99","8.11M","-1.08%"
"Jul 27, 2020","43.48","43.12","43.51","43.00","11.26M","1.40%"
"Jul 26, 2020","42.88","42.88","42.88","42.88","-","0.00%"
"Jul 25, 2020","42.88","42.88","42.88","42.88","-","0.00%"
"Jul 24, 2020","42.88","42.48","42.91","42.41","10.24M","-0.26%"
"Jul 23, 2020","42.99","43.31","43.48","42.81","10.33M","-0.67%"
"Jul 22, 2020","43.28","43.46","43.46","43.07","7.92M","-0.35%"
"Jul 21, 2020","43.43","43.76","43.76","43.42","11.71M","0.74%"
"Jul 20, 2020","43.11","42.75","43.15","42.71","6.07M","1.41%"
"Jul 17, 2020","42.51","42.59","42.63","42.33","8.78M","0.45%"
"Jul 16, 2020","42.32","42.10","42.37","42.06","10.47M","-1.42%"
"Jul 15, 2020","42.93","43.10","43.14","42.77","11.19M","0.09%"
"Jul 14, 2020","42.89","42.36","42.98","42.24","13.11M","0.05%"
"Jul 13, 2020","42.87","43.40","43.74","42.81","13.81M","-0.49%"
"Jul 12, 2020","43.08","43.08","43.08","43.08","-","0.00%"
"Jul 11, 2020","43.08","43.08","43.08","43.08","-","0.00%"
"Jul 10, 2020","43.08","43.13","43.17","42.85","11.64M","-0.69%"
"Jul 09, 2020","43.38","43.77","43.82","43.03","12.83M","0.07%"
"Jul 08, 2020","43.35","42.90","43.36","42.83","10.00M","2.68%"
"Jul 07, 2020","42.22","42.39","42.67","42.21","10.10M","-1.59%"
"Jul 06, 2020","42.90","42.55","42.91","42.52","14.01M","4.40%"
"Jul 05, 2020","41.09","41.09","41.09","41.09","-","0.00%"
"Jul 04, 2020","41.09","41.09","41.09","41.09","-","0.00%"
"Jul 02, 2020","41.09","41.05","41.34","40.95","10.98M","2.37%"
"Jul 01, 2020","40.14","39.95","40.31","39.95","14.21M","1.34%"
"Jun 30, 2020","39.61","39.71","39.77","39.47","17.67M","-0.50%"
"Jun 29, 2020","39.81","39.59","39.81","39.41","11.00M","0.66%"
"Jun 26, 2020","39.55","39.92","39.94","39.42","14.05M","-1.20%"
"Jun 25, 2020","40.03","39.80","40.09","39.65","9.68M","0.43%"
"Jun 24, 2020","39.86","40.17","40.35","39.62","11.23M","-1.51%"
"Jun 23, 2020","40.47","40.56","40.72","40.43","8.43M","1.00%"
"Jun 22, 2020","40.07","39.91","40.16","39.83","11.64M","0.65%"
"Jun 19, 2020","39.81","40.28","40.28","39.62","14.30M","0.18%"
"Jun 18, 2020","39.74","39.65","39.90","39.65","10.11M","0.03%"
"Jun 17, 2020","39.73","39.68","39.92","39.62","11.79M","0.91%"
"Jun 16, 2020","39.37","40.10","40.10","39.14","23.32M","0.38%"
"Jun 15, 2020","39.22","38.55","39.41","38.46","12.81M","-0.41%"
"Jun 12, 2020","39.38","39.51","39.62","38.85","20.42M","2.29%"
"Jun 11, 2020","38.50","39.30","39.51","38.47","15.53M","-5.10%"
"Jun 10, 2020","40.57","40.48","40.69","40.16","14.45M","0.50%"
"Jun 09, 2020","40.37","40.05","40.43","39.93","8.29M","-0.54%"
