"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","62.99","63.86","63.98","62.99","3.05M","-1.53%"
"Aug 30, 2020","63.97","63.97","63.97","63.97","-","0.00%"
"Aug 28, 2020","63.97","63.53","64.03","63.24","2.42M","1.19%"
"Aug 27, 2020","63.22","63.63","63.72","63.03","3.65M","-0.27%"
"Aug 26, 2020","63.39","62.63","63.50","62.51","2.38M","1.05%"
"Aug 25, 2020","62.73","63.19","63.39","62.46","2.88M","-0.40%"
"Aug 24, 2020","62.98","62.74","62.99","62.47","3.53M","1.76%"
"Aug 23, 2020","61.89","61.89","61.89","61.89","-","0.00%"
"Aug 22, 2020","61.89","61.89","61.89","61.89","-","0.00%"
"Aug 21, 2020","61.89","61.83","62.00","61.55","2.76M","-0.58%"
"Aug 20, 2020","62.25","62.00","62.29","61.84","2.33M","-0.35%"
"Aug 19, 2020","62.47","62.92","63.04","62.32","3.10M","-0.29%"
"Aug 18, 2020","62.65","63.17","63.23","62.60","2.38M","-0.41%"
"Aug 17, 2020","62.91","63.15","63.36","62.65","1.86M","0.45%"
"Aug 14, 2020","62.63","62.28","62.88","62.20","2.59M","0.11%"
"Aug 13, 2020","62.56","62.37","62.80","62.23","8.43M","-0.02%"
"Aug 12, 2020","62.57","62.94","63.01","62.42","3.96M","0.59%"
"Aug 11, 2020","62.20","62.85","63.20","62.08","4.49M","-0.18%"
"Aug 10, 2020","62.31","61.80","62.31","61.69","3.34M","0.97%"
"Aug 09, 2020","61.71","61.71","61.71","61.71","-","0.00%"
"Aug 08, 2020","61.71","61.71","61.71","61.71","-","0.00%"
"Aug 07, 2020","61.71","61.06","61.71","60.89","3.99M","0.34%"
"Aug 06, 2020","61.50","61.54","61.84","61.27","6.97M","-0.42%"
"Aug 05, 2020","61.76","61.27","62.41","61.27","5.90M","1.46%"
"Aug 04, 2020","60.87","59.78","61.01","59.66","7.92M","1.42%"
"Aug 03, 2020","60.02","60.66","60.67","60.01","5.54M","-0.56%"
"Aug 02, 2020","60.36","60.36","60.36","60.36","-","0.00%"
"Jul 31, 2020","60.36","60.41","60.51","59.60","5.27M","0.10%"
"Jul 30, 2020","60.30","60.50","60.74","59.81","7.02M","-1.94%"
"Jul 29, 2020","61.49","61.19","61.67","61.09","4.11M","0.82%"
"Jul 28, 2020","60.99","62.36","62.36","60.93","4.57M","-2.20%"
"Jul 27, 2020","62.36","61.92","62.58","61.67","3.64M","1.45%"
"Jul 26, 2020","61.47","61.47","61.47","61.47","-","0.00%"
"Jul 25, 2020","61.47","61.47","61.47","61.47","-","0.00%"
"Jul 24, 2020","61.47","61.46","61.79","61.13","5.86M","-0.34%"
"Jul 23, 2020","61.68","61.66","62.28","61.28","4.41M","-0.31%"
"Jul 22, 2020","61.87","61.08","61.88","61.04","2.95M","1.16%"
"Jul 21, 2020","61.16","61.15","61.45","61.04","3.78M","0.87%"
"Jul 20, 2020","60.63","61.23","61.23","60.53","3.59M","-0.87%"
"Jul 17, 2020","61.16","61.08","61.32","60.86","4.08M","0.84%"
"Jul 16, 2020","60.65","60.60","61.10","60.35","5.56M","0.33%"
"Jul 15, 2020","60.45","60.58","60.70","60.04","8.23M","1.68%"
"Jul 14, 2020","59.45","57.87","59.53","57.82","9.43M","2.52%"
"Jul 13, 2020","57.99","58.62","59.17","57.95","9.03M","0.00%"
"Jul 12, 2020","57.99","57.99","57.99","57.99","-","0.00%"
"Jul 11, 2020","57.99","57.99","57.99","57.99","-","0.00%"
"Jul 10, 2020","57.99","57.09","58.04","57.09","4.66M","1.74%"
