"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","35.65","36.51","36.53","35.65","18.79M","-2.17%"
"Aug 30, 2020","36.44","36.44","36.44","36.44","-","0.00%"
"Aug 28, 2020","36.44","35.94","36.55","35.76","14.58M","1.79%"
"Aug 27, 2020","35.80","35.82","36.03","35.36","22.26M","0.20%"
"Aug 26, 2020","35.73","36.38","36.44","35.69","18.00M","-2.11%"
"Aug 25, 2020","36.50","37.21","37.25","36.32","20.12M","-1.40%"
"Aug 24, 2020","37.02","36.26","37.27","36.04","24.83M","2.75%"
"Aug 23, 2020","36.03","36.03","36.03","36.03","-","0.00%"
"Aug 22, 2020","36.03","36.03","36.03","36.03","-","0.00%"
"Aug 21, 2020","36.03","36.13","36.19","35.69","17.35M","-0.63%"
"Aug 20, 2020","36.26","36.63","36.74","36.26","19.11M","-2.16%"
"Aug 19, 2020","37.06","37.41","37.63","36.95","14.79M","-1.15%"
"Aug 18, 2020","37.49","37.83","38.19","37.38","14.35M","-1.26%"
"Aug 17, 2020","37.97","38.21","38.21","37.76","14.26M","-0.58%"
"Aug 14, 2020","38.19","37.53","38.25","37.39","13.28M","0.95%"
"Aug 13, 2020","37.83","38.31","38.57","37.75","15.76M","-1.94%"
"Aug 12, 2020","38.58","38.79","39.01","38.18","25.53M","0.99%"
"Aug 11, 2020","38.20","39.16","39.53","38.02","26.51M","-0.34%"
"Aug 10, 2020","38.33","37.45","38.34","37.38","26.31M","3.09%"
"Aug 09, 2020","37.18","37.18","37.18","37.18","-","0.00%"
"Aug 08, 2020","37.18","37.18","37.18","37.18","-","0.00%"
"Aug 07, 2020","37.18","36.82","37.25","36.38","18.38M","0.13%"
"Aug 06, 2020","37.13","37.22","37.55","37.00","19.19M","-0.80%"
"Aug 05, 2020","37.43","37.76","37.89","37.09","30.76M","1.05%"
"Aug 04, 2020","37.04","36.03","37.12","36.01","22.57M","2.43%"
"Aug 03, 2020","36.16","36.04","36.36","35.75","21.11M","0.36%"
"Aug 02, 2020","36.03","36.03","36.03","36.03","-","0.00%"
"Jul 31, 2020","36.03","35.65","36.07","35.29","24.77M","-0.47%"
"Jul 30, 2020","36.20","36.81","36.88","35.88","32.83M","-3.93%"
"Jul 29, 2020","37.68","37.01","37.71","36.76","17.22M","2.09%"
"Jul 28, 2020","36.91","37.34","37.67","36.82","17.78M","-1.70%"
