"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","25.06","25.34","25.34","25.06","52.26M","-1.18%"
"Aug 30, 2020","25.36","25.36","25.36","25.36","-","0.00%"
"Aug 28, 2020","25.36","25.44","25.45","25.15","49.17M","0.40%"
"Aug 27, 2020","25.26","24.84","25.37","24.84","66.46M","1.69%"
"Aug 26, 2020","24.84","24.94","24.95","24.75","30.65M","-0.48%"
"Aug 25, 2020","24.96","25.09","25.17","24.81","55.24M","0.28%"
"Aug 24, 2020","24.89","24.46","24.89","24.39","51.01M","2.39%"
"Aug 23, 2020","24.31","24.31","24.31","24.31","-","0.00%"
"Aug 21, 2020","24.31","24.32","24.53","24.23","35.35M","-0.21%"
"Aug 20, 2020","24.36","24.31","24.50","24.30","45.59M","-0.94%"
"Aug 19, 2020","24.59","24.70","24.93","24.53","59.85M","-0.04%"
"Aug 18, 2020","24.60","24.77","24.83","24.59","35.50M","-0.65%"
"Aug 17, 2020","24.76","25.08","25.10","24.75","53.40M","-1.67%"
"Aug 14, 2020","25.18","24.96","25.30","24.92","28.28M","0.40%"
"Aug 13, 2020","25.08","25.05","25.25","24.98","35.22M","-0.63%"
"Aug 12, 2020","25.24","25.71","25.73","25.06","58.79M","-0.28%"
"Aug 11, 2020","25.31","25.49","25.71","25.25","73.76M","1.16%"
"Aug 10, 2020","25.02","24.97","25.11","24.88","45.44M","0.72%"
"Aug 09, 2020","24.84","24.84","24.84","24.84","-","0.00%"
"Aug 08, 2020","24.84","24.84","24.84","24.84","-","0.00%"
"Aug 07, 2020","24.84","24.19","24.86","24.15","63.30M","2.14%"
"Aug 06, 2020","24.32","24.26","24.42","24.16","33.12M","-0.04%"
"Aug 05, 2020","24.33","24.14","24.39","24.14","34.87M","1.37%"
"Aug 04, 2020","24.00","24.00","24.04","23.87","30.69M","-0.41%"
"Aug 03, 2020","24.10","24.12","24.28","23.96","42.99M","0.29%"
"Aug 02, 2020","24.03","24.03","24.03","24.03","-","0.00%"
"Jul 31, 2020","24.03","24.01","24.06","23.71","50.19M","0.04%"
"Jul 30, 2020","24.02","23.96","24.07","23.71","53.99M","-1.80%"
"Jul 29, 2020","24.46","23.97","24.49","23.93","36.49M","1.87%"
"Jul 28, 2020","24.01","23.96","24.11","23.91","35.37M","-0.25%"
"Jul 27, 2020","24.07","24.15","24.18","23.86","43.06M","-0.82%"
"Jul 26, 2020","24.27","24.27","24.27","24.27","-","0.00%"
"Jul 25, 2020","24.27","24.27","24.27","24.27","-","0.00%"
"Jul 24, 2020","24.27","24.35","24.47","24.20","41.24M","-0.25%"
"Jul 23, 2020","24.33","24.24","24.47","24.18","49.92M","0.08%"
"Jul 22, 2020","24.31","24.16","24.32","24.11","44.03M","0.00%"
"Jul 21, 2020","24.31","23.99","24.43","23.99","46.49M","1.97%"
"Jul 20, 2020","23.84","23.94","23.98","23.75","40.13M","-0.46%"
