"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","77.81","78.57","78.85","77.81","9.91M","-1.24%"
"Aug 30, 2020","78.79","78.79","78.79","78.79","-","0.00%"
"Aug 28, 2020","78.79","78.32","78.83","77.95","10.32M","0.95%"
"Aug 27, 2020","78.05","78.11","78.70","77.80","10.26M","0.36%"
"Aug 26, 2020","77.77","77.52","78.04","77.20","6.54M","0.05%"
"Aug 25, 2020","77.73","78.33","78.36","77.32","12.08M","-0.13%"
"Aug 24, 2020","77.83","76.91","77.83","76.64","10.17M","1.81%"
"Aug 23, 2020","76.45","76.45","76.45","76.45","-","0.00%"
"Aug 21, 2020","76.45","76.07","76.66","76.02","7.11M","0.41%"
"Aug 20, 2020","76.14","75.93","76.32","75.72","10.53M","-0.54%"
"Aug 19, 2020","76.55","76.86","77.23","76.39","6.30M","-0.26%"
"Aug 18, 2020","76.75","77.20","77.33","76.64","5.15M","-0.54%"
"Aug 17, 2020","77.17","77.68","77.83","77.03","5.90M","-0.46%"
"Aug 14, 2020","77.53","76.84","77.92","76.72","5.91M","0.39%"
"Aug 13, 2020","77.23","77.18","77.75","76.94","13.30M","-0.53%"
"Aug 12, 2020","77.64","78.10","78.21","77.34","12.59M","0.32%"
"Aug 11, 2020","77.39","78.04","78.66","77.23","17.26M","0.53%"
"Aug 10, 2020","76.98","75.41","77.05","75.41","15.63M","2.46%"
"Aug 09, 2020","75.13","75.13","75.13","75.13","-","0.00%"
"Aug 08, 2020","75.13","75.13","75.13","75.13","-","0.00%"
"Aug 07, 2020","75.13","73.80","75.16","73.74","12.95M","1.71%"
"Aug 06, 2020","73.87","73.47","73.88","73.43","5.88M","0.38%"
"Aug 05, 2020","73.59","72.62","73.67","72.61","8.52M","1.91%"
"Aug 04, 2020","72.21","71.80","72.24","71.78","6.56M","0.25%"
"Aug 03, 2020","72.03","71.86","72.28","71.37","12.74M","0.42%"
"Aug 02, 2020","71.73","71.73","71.73","71.73","-","0.00%"
"Jul 31, 2020","71.73","71.71","71.88","70.53","9.84M","-0.37%"
"Jul 30, 2020","72.00","72.30","72.31","71.48","9.12M","-1.00%"
"Jul 29, 2020","72.73","72.01","72.89","71.96","6.94M","1.52%"
"Jul 28, 2020","71.64","71.80","72.23","71.59","5.96M","-0.69%"
"Jul 27, 2020","72.14","71.82","72.24","71.41","6.20M","0.42%"
"Jul 26, 2020","71.84","71.84","71.84","71.84","-","0.00%"
"Jul 25, 2020","71.84","71.84","71.84","71.84","-","0.00%"
"Jul 24, 2020","71.84","72.38","72.71","71.64","10.06M","-0.80%"
"Jul 23, 2020","72.42","72.65","73.09","72.14","7.54M","-0.30%"
"Jul 22, 2020","72.64","71.81","72.73","71.76","7.62M","0.80%"
"Jul 21, 2020","72.06","71.66","72.58","71.65","9.35M","1.32%"
"Jul 20, 2020","71.12","71.66","71.69","70.91","9.40M","-1.22%"
"Jul 17, 2020","72.00","71.89","72.15","71.52","8.61M","0.60%"
"Jul 16, 2020","71.57","71.20","71.91","70.90","13.02M","0.03%"
"Jul 15, 2020","71.55","71.02","71.87","70.67","15.47M","2.55%"
"Jul 14, 2020","69.77","68.08","69.85","67.78","12.69M","2.17%"
"Jul 13, 2020","68.29","68.55","69.44","67.95","14.57M","0.41%"
"Jul 12, 2020","68.01","68.01","68.01","68.01","-","0.00%"
"Jul 11, 2020","68.01","68.01","68.01","68.01","-","0.00%"
"Jul 10, 2020","68.01","67.14","68.07","67.12","9.26M","1.30%"
"Jul 09, 2020","67.14","68.47","68.57","66.94","16.78M","-2.17%"
"Jul 08, 2020","68.63","68.60","69.06","68.05","8.58M","0.00%"
"Jul 07, 2020","68.63","69.29","69.59","68.55","6.11M","-1.92%"
"Jul 06, 2020","69.97","70.01","70.33","69.46","10.82M","1.44%"
"Jul 05, 2020","68.98","68.98","68.98","68.98","-","0.00%"
"Jul 04, 2020","68.98","68.98","68.98","68.98","-","0.00%"
"Jul 02, 2020","68.98","69.48","69.99","68.82","8.28M","0.86%"
"Jul 01, 2020","68.39","69.35","69.93","68.35","9.79M","-0.45%"
"Jun 30, 2020","68.70","67.81","69.09","67.60","8.87M","0.57%"
"Jun 29, 2020","68.31","67.12","68.31","66.70","10.86M","3.28%"
"Jun 26, 2020","66.14","67.12","67.37","65.85","21.43M","-1.85%"
"Jun 25, 2020","67.39","66.16","67.44","65.65","11.62M","1.11%"
"Jun 24, 2020","66.65","68.27","68.34","66.50","16.92M","-3.48%"
"Jun 23, 2020","69.05","69.65","69.80","68.88","8.85M","0.01%"
"Jun 22, 2020","69.04","68.52","69.26","67.97","7.93M","-0.27%"
"Jun 19, 2020","69.23","71.13","71.21","68.75","15.60M","-1.23%"
"Jun 18, 2020","70.09","69.67","70.70","69.56","8.63M","-0.37%"
"Jun 17, 2020","70.35","71.05","71.15","70.20","9.45M","-0.72%"
"Jun 16, 2020","70.86","72.03","72.46","69.66","20.56M","1.96%"
"Jun 15, 2020","69.50","66.64","69.91","66.39","18.12M","0.99%"
"Jun 12, 2020","68.82","69.95","70.14","67.14","29.16M","1.94%"
"Jun 11, 2020","67.51","69.54","70.09","67.42","26.05M","-7.02%"
"Jun 10, 2020","72.61","74.09","74.14","72.40","16.69M","-2.39%"
"Jun 09, 2020","74.39","74.73","74.99","74.08","15.07M","-2.49%"
"Jun 08, 2020","76.29","75.75","76.52","75.72","18.91M","2.01%"
"Jun 07, 2020","74.79","74.79","74.79","74.79","-","0.00%"
"Jun 05, 2020","74.79","75.16","76.21","74.49","19.56M","3.67%"
"Jun 04, 2020","72.14","71.35","72.15","71.04","17.88M","1.06%"
"Jun 03, 2020","71.38","69.68","71.55","69.67","16.25M","3.90%"
"Jun 02, 2020","68.70","68.32","68.88","68.04","10.85M","1.30%"
"Jun 01, 2020","67.82","67.66","68.33","67.35","12.92M","0.22%"
"May 29, 2020","67.67","67.46","68.13","66.75","18.88M","-0.62%"
"May 28, 2020","68.09","69.49","69.49","67.99","17.49M","-0.95%"
"May 27, 2020","68.74","67.96","68.78","67.33","21.92M","3.34%"
"May 26, 2020","66.52","65.85","67.03","65.85","14.91M","4.20%"
"May 22, 2020","63.84","64.01","64.06","63.27","7.11M","-0.08%"
"May 21, 2020","63.89","63.69","64.39","63.41","7.68M","0.24%"
"May 20, 2020","63.74","63.60","64.35","63.47","8.64M","1.87%"
"May 19, 2020","62.57","63.27","63.86","62.57","12.45M","-1.28%"
"May 18, 2020","63.38","61.82","63.78","61.79","22.12M","6.59%"
"May 15, 2020","59.46","58.98","59.83","58.71","17.40M","-0.35%"
"May 14, 2020","59.67","58.20","59.67","56.97","14.22M","1.05%"
"May 13, 2020","59.05","60.28","60.28","58.50","15.43M","-2.51%"
"May 12, 2020","60.57","62.47","62.71","60.56","12.33M","-2.81%"
"May 11, 2020","62.32","62.48","62.80","61.89","8.41M","-1.25%"
"May 08, 2020","63.11","62.33","63.24","62.31","8.66M","2.48%"
"May 07, 2020","61.58","61.69","62.37","61.34","8.14M","1.17%"
"May 06, 2020","60.87","62.06","62.11","60.79","7.05M","-1.38%"
"May 05, 2020","61.72","62.05","62.56","61.65","8.69M","0.39%"
"May 04, 2020","61.48","61.39","61.49","60.60","8.55M","-1.27%"
"May 03, 2020","62.27","62.27","62.27","62.27","-","0.00%"
"May 02, 2020","62.27","62.27","62.27","62.27","-","0.00%"
"May 01, 2020","62.27","63.08","63.25","61.85","9.02M","-3.02%"
"Apr 30, 2020","64.21","64.60","64.72","63.74","14.31M","-1.98%"
"Apr 29, 2020","65.51","65.57","66.22","64.92","12.76M","1.91%"
"Apr 28, 2020","64.28","64.34","65.01","63.61","9.94M","1.87%"
"Apr 27, 2020","63.10","62.00","63.49","61.88","9.32M","2.48%"
"Apr 24, 2020","61.57","61.61","61.78","60.58","7.14M","0.80%"
