"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","123.55","123.66","124.35","122.92","9.52M","0.32%"
"Aug 30, 2020","123.16","123.16","123.16","123.16","-","0.00%"
"Aug 28, 2020","123.16","122.57","123.56","122.41","6.55M","0.88%"
"Aug 27, 2020","122.09","122.47","123.06","121.01","9.09M","0.08%"
"Aug 26, 2020","121.99","120.78","122.31","120.55","8.23M","2.03%"
"Aug 25, 2020","119.56","118.69","119.59","118.53","9.31M","0.50%"
"Aug 24, 2020","118.96","119.59","119.66","117.98","8.22M","0.86%"
"Aug 23, 2020","117.94","117.94","117.94","117.94","-","0.00%"
"Aug 21, 2020","117.94","116.57","118.07","116.51","7.64M","1.27%"
"Aug 20, 2020","116.46","114.49","116.68","114.39","6.40M","1.33%"
"Aug 19, 2020","114.93","115.36","115.87","114.74","7.12M","-0.12%"
"Aug 18, 2020","115.07","114.94","115.38","114.10","4.47M","0.38%"
"Aug 17, 2020","114.64","114.58","114.89","114.43","4.09M","0.67%"
"Aug 14, 2020","113.88","114.01","114.21","113.25","4.17M","-0.07%"
"Aug 13, 2020","113.96","114.05","114.91","113.56","5.73M","0.04%"
"Aug 12, 2020","113.91","112.28","114.19","112.15","7.10M","2.27%"
"Aug 11, 2020","111.38","113.05","113.53","111.16","9.42M","-1.80%"
"Aug 10, 2020","113.42","113.96","114.14","111.90","8.24M","-0.28%"
"Aug 09, 2020","113.74","113.74","113.74","113.74","-","0.00%"
"Aug 08, 2020","113.74","113.74","113.74","113.74","-","0.00%"
"Aug 07, 2020","113.74","114.98","114.99","112.84","13.74M","-1.49%"
"Aug 06, 2020","115.46","113.78","115.57","113.52","8.20M","1.41%"
"Aug 05, 2020","113.86","113.71","114.12","113.31","6.48M","0.37%"
"Aug 04, 2020","113.44","112.88","113.44","112.43","8.99M","0.26%"
"Aug 03, 2020","113.15","111.96","113.51","111.88","12.17M","2.46%"
"Aug 02, 2020","110.43","110.43","110.43","110.43","-","0.00%"
"Jul 31, 2020","110.43","109.44","110.47","107.66","12.59M","2.50%"
"Jul 30, 2020","107.74","106.15","107.80","105.61","10.78M","0.56%"
"Jul 29, 2020","107.14","106.01","107.43","106.01","6.59M","1.45%"
"Jul 28, 2020","105.61","106.58","106.86","105.54","8.91M","-1.17%"
"Jul 27, 2020","106.86","105.84","106.96","105.63","8.45M","1.58%"
"Jul 26, 2020","105.20","105.20","105.20","105.20","-","0.00%"
