"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","65.58","65.50","65.77","65.32","7.66M","-0.29%"
"Aug 30, 2020","65.77","65.77","65.77","65.77","-","0.00%"
"Aug 28, 2020","65.77","65.50","65.81","64.88","6.87M","0.89%"
"Aug 27, 2020","65.19","64.93","65.50","64.93","8.71M","0.62%"
"Aug 26, 2020","64.79","64.50","64.88","64.28","5.38M","0.12%"
"Aug 25, 2020","64.71","65.00","65.01","64.43","4.52M","-0.22%"
"Aug 24, 2020","64.85","64.41","64.85","64.21","6.98M","0.86%"
"Aug 23, 2020","64.30","64.30","64.30","64.30","-","0.00%"
"Aug 21, 2020","64.30","64.06","64.39","63.87","5.71M","0.25%"
"Aug 20, 2020","64.14","63.90","64.21","63.82","10.18M","-0.20%"
"Aug 19, 2020","64.27","64.66","64.78","64.16","5.87M","-0.79%"
"Aug 18, 2020","64.78","64.61","64.95","64.34","4.93M","0.40%"
"Aug 17, 2020","64.52","64.24","64.73","64.20","5.17M","0.56%"
"Aug 14, 2020","64.16","64.10","64.37","63.92","3.78M","-0.02%"
"Aug 13, 2020","64.17","64.15","64.35","63.99","5.86M","-0.08%"
"Aug 12, 2020","64.22","63.73","64.49","63.67","8.02M","1.29%"
"Aug 11, 2020","63.40","64.14","64.30","63.23","8.63M","-0.69%"
"Aug 10, 2020","63.84","63.60","63.97","63.45","4.35M","0.52%"
"Aug 09, 2020","63.51","63.51","63.51","63.51","-","0.00%"
"Aug 08, 2020","63.51","63.51","63.51","63.51","-","0.00%"
"Aug 07, 2020","63.51","63.10","63.57","63.00","9.18M","0.54%"
"Aug 06, 2020","63.17","62.96","63.28","62.92","11.98M","-0.02%"
"Aug 05, 2020","63.18","63.34","63.51","63.00","7.14M","-0.21%"
"Aug 04, 2020","63.31","62.47","63.31","62.34","7.42M","1.25%"
"Aug 03, 2020","62.53","62.70","62.76","62.23","8.61M","-0.27%"
"Aug 02, 2020","62.70","62.70","62.70","62.70","-","0.00%"
"Jul 31, 2020","62.70","62.51","62.71","61.92","10.28M","-0.10%"
"Jul 30, 2020","62.76","62.60","62.98","62.33","10.90M","0.00%"
"Jul 29, 2020","62.76","62.65","62.96","62.49","7.49M","0.14%"
"Jul 28, 2020","62.67","62.44","62.97","62.43","6.70M","0.37%"
"Jul 27, 2020","62.44","62.03","62.45","61.94","6.80M","0.50%"
"Jul 26, 2020","62.13","62.13","62.13","62.13","-","0.00%"
"Jul 25, 2020","62.13","62.13","62.13","62.13","-","0.00%"
"Jul 24, 2020","62.13","62.31","62.81","61.84","6.81M","-0.13%"
"Jul 23, 2020","62.21","62.18","62.45","62.02","9.47M","0.35%"
"Jul 22, 2020","61.99","61.69","62.07","61.08","7.02M","0.80%"
"Jul 21, 2020","61.50","61.39","62.15","61.33","7.85M","0.87%"
"Jul 20, 2020","60.97","61.29","61.29","60.79","6.82M","-1.01%"
"Jul 17, 2020","61.59","61.54","61.69","61.33","6.32M","0.54%"
"Jul 16, 2020","61.26","61.13","61.38","60.98","7.77M","0.21%"
"Jul 15, 2020","61.13","61.41","61.85","60.95","14.95M","0.08%"
"Jul 14, 2020","61.08","60.00","61.23","59.91","14.27M","1.46%"
"Jul 13, 2020","60.20","60.58","60.99","60.01","10.91M","-0.15%"
"Jul 12, 2020","60.29","60.29","60.29","60.29","-","0.00%"
"Jul 11, 2020","60.29","60.29","60.29","60.29","-","0.00%"
"Jul 10, 2020","60.29","59.30","60.41","59.27","14.14M","1.84%"
"Jul 09, 2020","59.20","59.59","59.75","58.86","7.67M","-0.79%"
"Jul 08, 2020","59.67","59.89","59.98","59.42","9.33M","-0.25%"
"Jul 07, 2020","59.82","58.96","60.15","58.92","8.16M","0.91%"
"Jul 06, 2020","59.28","59.43","59.58","58.95","10.09M","0.49%"
"Jul 05, 2020","58.99","58.99","58.99","58.99","-","0.00%"
"Jul 04, 2020","58.99","58.99","58.99","58.99","-","0.00%"
"Jul 02, 2020","58.99","59.22","59.57","58.87","6.86M","0.51%"
"Jul 01, 2020","58.69","58.71","59.05","58.66","7.26M","0.09%"
"Jun 30, 2020","58.64","58.25","58.85","58.14","7.38M","0.74%"
"Jun 29, 2020","58.21","57.55","58.32","57.45","9.65M","1.89%"
"Jun 26, 2020","57.13","58.30","58.46","57.08","14.48M","-2.04%"
"Jun 25, 2020","58.32","57.84","58.38","57.52","12.13M","0.71%"
"Jun 24, 2020","57.91","58.51","58.56","57.70","14.34M","-1.68%"
"Jun 23, 2020","58.90","59.40","59.59","58.84","7.95M","-0.15%"
"Jun 22, 2020","58.99","59.09","59.22","58.78","9.04M","-1.06%"
"Jun 19, 2020","59.62","60.48","60.67","59.53","10.78M","-0.52%"
"Jun 18, 2020","59.93","59.35","59.98","59.28","6.02M","0.52%"
"Jun 17, 2020","59.62","59.85","60.07","59.44","8.39M","-0.15%"
"Jun 16, 2020","59.71","59.89","60.01","58.96","10.84M","1.56%"
"Jun 15, 2020","58.79","57.56","58.86","57.20","11.37M","1.15%"
"Jun 12, 2020","58.12","58.91","58.92","57.62","17.84M","0.02%"
"Jun 11, 2020","58.11","59.76","60.09","58.04","14.74M","-3.79%"
"Jun 10, 2020","60.40","60.71","60.88","60.28","9.88M","-0.28%"
"Jun 09, 2020","60.57","60.85","60.90","60.21","13.74M","-0.82%"
"Jun 08, 2020","61.07","60.36","61.10","60.25","13.09M","1.08%"
"Jun 07, 2020","60.42","60.42","60.42","60.42","-","0.00%"
"Jun 05, 2020","60.42","60.03","60.73","59.86","11.50M","1.39%"
"Jun 04, 2020","59.59","59.79","60.07","59.27","8.97M","-0.48%"
"Jun 03, 2020","59.88","60.06","60.16","59.86","10.16M","0.13%"
"Jun 02, 2020","59.80","59.72","59.82","59.34","9.84M","0.27%"
"Jun 01, 2020","59.64","59.26","59.86","59.23","9.10M","0.69%"
"May 29, 2020","59.23","58.99","59.42","58.46","12.89M","0.10%"
"May 28, 2020","59.17","59.24","59.49","58.86","10.18M","0.89%"
"May 27, 2020","58.65","58.19","58.69","57.92","10.94M","1.51%"
"May 26, 2020","57.78","58.30","58.37","57.67","10.49M","0.54%"
"May 22, 2020","57.47","57.29","57.52","57.16","7.22M","0.35%"
"May 21, 2020","57.27","57.80","57.83","57.15","13.91M","-1.11%"
"May 20, 2020","57.91","57.73","57.94","57.37","8.52M","1.19%"
"May 19, 2020","57.23","58.40","58.40","57.23","15.31M","-1.84%"
"May 18, 2020","58.30","58.30","58.60","57.88","14.66M","1.59%"
"May 15, 2020","57.39","56.91","57.55","56.68","20.85M","0.88%"
"May 14, 2020","56.89","56.83","57.03","55.99","11.79M","-0.25%"
"May 13, 2020","57.03","57.48","57.82","56.70","12.19M","-0.90%"
"May 12, 2020","57.55","58.23","58.55","57.55","20.59M","-0.84%"
"May 11, 2020","58.04","57.86","58.49","57.80","8.81M","-0.14%"
"May 08, 2020","58.12","57.42","58.24","57.39","13.41M","2.23%"
"May 07, 2020","56.85","57.45","57.53","56.73","11.20M","-0.28%"
"May 06, 2020","57.01","57.74","57.90","56.96","10.70M","-1.09%"
"May 05, 2020","57.64","57.82","58.26","57.56","9.71M","0.09%"
"May 04, 2020","57.59","57.51","57.72","57.02","11.31M","-0.05%"
"May 03, 2020","57.62","57.62","57.62","57.62","-","0.00%"
"May 02, 2020","57.62","57.62","57.62","57.62","-","0.00%"
"May 01, 2020","57.62","57.94","58.43","57.38","13.02M","-1.10%"
"Apr 30, 2020","58.26","58.79","58.82","57.92","16.40M","-1.19%"
"Apr 29, 2020","58.96","59.51","59.51","58.40","16.04M","-0.42%"
"Apr 28, 2020","59.21","59.56","59.64","58.96","13.61M","0.56%"
"Apr 27, 2020","58.88","59.07","59.15","58.65","11.02M","0.29%"
"Apr 24, 2020","58.71","58.43","58.90","58.23","9.64M","1.07%"
"Apr 23, 2020","58.09","58.47","58.85","57.99","21.07M","-0.89%"
"Apr 22, 2020","58.61","58.75","58.94","58.14","15.09M","0.96%"
"Apr 21, 2020","58.05","58.47","58.81","57.84","13.02M","-2.12%"
"Apr 20, 2020","59.31","59.90","60.32","59.26","9.26M","-1.97%"
