"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","59.25","58.98","59.61","58.98","9.99M","0.30%"
"Aug 30, 2020","59.07","59.07","59.07","59.07","-","0.00%"
"Aug 28, 2020","59.07","59.02","59.13","58.46","8.50M","0.29%"
"Aug 27, 2020","58.90","58.89","59.31","58.54","19.45M","0.32%"
"Aug 26, 2020","58.71","59.16","59.16","58.49","11.66M","-1.11%"
"Aug 25, 2020","59.37","60.04","60.04","59.17","11.79M","-0.95%"
"Aug 24, 2020","59.94","59.52","59.95","59.04","7.49M","0.88%"
"Aug 23, 2020","59.42","59.42","59.42","59.42","-","0.00%"
"Aug 21, 2020","59.42","59.37","59.53","58.82","9.47M","0.17%"
"Aug 20, 2020","59.32","59.58","59.89","59.17","12.97M","-0.89%"
"Aug 19, 2020","59.85","60.16","60.21","59.74","9.02M","-0.30%"
"Aug 18, 2020","60.03","60.31","60.49","59.72","12.15M","-0.45%"
"Aug 17, 2020","60.30","60.43","60.82","60.09","9.51M","-0.13%"
"Aug 14, 2020","60.38","60.78","60.86","60.22","8.67M","-0.87%"
"Aug 13, 2020","60.91","60.77","61.03","60.44","15.81M","-0.16%"
"Aug 12, 2020","61.01","60.38","61.42","60.30","17.29M","1.45%"
"Aug 11, 2020","60.14","61.53","61.64","59.98","25.50M","-2.16%"
"Aug 10, 2020","61.47","61.68","61.94","61.28","10.60M","-0.03%"
"Aug 09, 2020","61.49","61.49","61.49","61.49","-","0.00%"
"Aug 08, 2020","61.49","61.49","61.49","61.49","-","0.00%"
"Aug 07, 2020","61.49","60.16","61.73","60.16","15.47M","1.80%"
"Aug 06, 2020","60.40","59.95","60.50","59.68","13.79M","0.58%"
"Aug 05, 2020","60.05","60.98","60.99","59.82","11.83M","-1.28%"
"Aug 04, 2020","60.83","60.02","61.10","59.98","20.83M","1.10%"
"Aug 03, 2020","60.17","60.76","60.77","59.86","9.65M","-1.08%"
"Aug 02, 2020","60.83","60.83","60.83","60.83","-","0.00%"
"Jul 31, 2020","60.83","60.57","60.99","59.98","12.11M","0.16%"
"Jul 30, 2020","60.73","60.26","60.73","59.99","12.74M","0.00%"
"Jul 29, 2020","60.73","60.56","60.89","60.28","9.10M","0.46%"
"Jul 28, 2020","60.45","59.37","60.95","59.37","18.90M","1.51%"
"Jul 27, 2020","59.55","60.30","60.30","59.13","11.32M","-1.21%"
"Jul 26, 2020","60.28","60.28","60.28","60.28","-","0.00%"
"Jul 25, 2020","60.28","60.28","60.28","60.28","-","0.00%"
"Jul 24, 2020","60.28","60.88","61.41","59.96","17.70M","-0.66%"
"Jul 23, 2020","60.68","60.57","61.11","60.33","19.14M","0.12%"
"Jul 22, 2020","60.61","59.36","60.83","58.84","14.85M","1.54%"
"Jul 21, 2020","59.69","59.52","60.36","59.40","15.11M","0.45%"
"Jul 20, 2020","59.42","59.96","60.16","59.32","12.13M","-1.31%"
"Jul 17, 2020","60.21","59.20","60.37","59.15","22.95M","2.26%"
"Jul 16, 2020","58.88","58.21","59.03","58.06","15.06M","1.27%"
"Jul 15, 2020","58.14","58.92","59.34","58.05","13.47M","-0.39%"
"Jul 14, 2020","58.37","57.82","58.70","57.82","33.95M","0.93%"
"Jul 13, 2020","57.83","57.78","58.38","57.57","17.77M","0.10%"
"Jul 12, 2020","57.77","57.77","57.77","57.77","-","0.00%"
"Jul 11, 2020","57.77","57.77","57.77","57.77","-","0.00%"
"Jul 10, 2020","57.77","56.74","57.93","56.74","13.58M","1.89%"
"Jul 09, 2020","56.70","57.22","57.22","55.91","17.88M","-1.34%"
"Jul 08, 2020","57.47","56.88","57.66","56.77","12.18M","0.90%"
"Jul 07, 2020","56.96","56.56","57.17","56.29","11.34M","-0.40%"
"Jul 06, 2020","57.19","58.09","58.46","56.72","15.39M","-1.23%"
"Jul 05, 2020","57.90","57.90","57.90","57.90","-","0.00%"
"Jul 04, 2020","57.90","57.90","57.90","57.90","-","0.00%"
"Jul 02, 2020","57.90","58.22","58.51","57.76","12.15M","0.26%"
"Jul 01, 2020","57.75","56.45","57.99","56.38","19.89M","2.34%"
"Jun 30, 2020","56.43","56.26","56.73","55.90","16.87M","0.37%"
