"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","108.26","107.80","108.77","107.69","6.72M","0.24%"
"Aug 30, 2020","108.00","108.00","108.00","108.00","-","0.00%"
"Aug 28, 2020","108.00","108.06","108.06","107.20","5.16M","0.22%"
"Aug 27, 2020","107.76","107.09","108.26","106.36","7.78M","0.79%"
"Aug 26, 2020","106.92","106.83","107.04","105.78","7.00M","-0.12%"
"Aug 25, 2020","107.05","106.84","107.09","106.47","5.10M","0.68%"
"Aug 24, 2020","106.33","107.33","107.34","105.68","6.36M","-0.46%"
"Aug 23, 2020","106.82","106.82","106.82","106.82","-","0.00%"
"Aug 21, 2020","106.82","106.54","106.96","105.99","6.47M","0.10%"
"Aug 20, 2020","106.71","106.55","106.95","106.43","4.94M","-0.32%"
"Aug 19, 2020","107.05","107.55","107.79","106.84","6.31M","-0.33%"
"Aug 18, 2020","107.40","107.69","107.83","106.85","4.22M","-0.03%"
"Aug 17, 2020","107.43","106.95","107.84","106.95","4.61M","0.59%"
"Aug 14, 2020","106.80","106.81","107.28","106.39","3.83M","-0.20%"
"Aug 13, 2020","107.01","106.72","107.12","106.29","5.32M","-0.13%"
"Aug 12, 2020","107.15","105.95","107.48","105.95","8.21M","1.68%"
"Aug 11, 2020","105.38","106.62","106.71","105.13","8.12M","-0.63%"
"Aug 10, 2020","106.05","106.46","106.52","105.77","4.64M","-0.34%"
"Aug 09, 2020","106.41","106.41","106.41","106.41","-","0.00%"
"Aug 08, 2020","106.41","106.41","106.41","106.41","-","0.00%"
"Aug 07, 2020","106.41","105.96","106.43","105.66","4.27M","0.32%"
"Aug 06, 2020","106.07","106.50","106.96","105.30","5.37M","-0.53%"
"Aug 05, 2020","106.64","106.71","106.83","106.37","4.41M","0.46%"
"Aug 04, 2020","106.15","106.40","106.63","105.50","6.09M","-0.44%"
"Aug 03, 2020","106.62","106.19","106.96","106.04","8.81M","1.03%"
"Aug 02, 2020","105.53","105.53","105.53","105.53","-","0.00%"
"Jul 31, 2020","105.53","105.81","106.10","104.15","6.92M","-0.57%"
"Jul 30, 2020","106.14","105.76","106.32","105.01","5.35M","-0.69%"
"Jul 29, 2020","106.88","106.01","107.31","105.94","5.45M","1.05%"
"Jul 28, 2020","105.77","105.94","106.45","105.60","6.24M","-0.11%"
"Jul 27, 2020","105.89","104.96","106.16","104.75","5.93M","0.75%"
"Jul 26, 2020","105.10","105.10","105.10","105.10","-","0.00%"
"Jul 25, 2020","105.10","105.10","105.10","105.10","-","0.00%"
"Jul 24, 2020","105.10","106.09","106.11","104.43","6.24M","-1.10%"
"Jul 23, 2020","106.27","107.21","107.52","105.93","6.97M","-0.45%"
"Jul 22, 2020","106.75","106.30","106.92","105.73","5.65M","0.90%"
"Jul 21, 2020","105.80","106.20","106.62","105.59","7.46M","-0.07%"
"Jul 20, 2020","105.87","106.17","106.45","105.63","6.78M","-0.02%"
"Jul 17, 2020","105.89","105.01","106.25","104.86","7.55M","1.37%"
"Jul 16, 2020","104.46","104.52","104.52","103.72","6.41M","-0.16%"
"Jul 15, 2020","104.63","104.04","104.92","103.85","9.61M","1.30%"
"Jul 14, 2020","103.29","101.05","103.45","100.87","10.89M","1.98%"
"Jul 13, 2020","101.28","101.36","103.14","101.04","10.17M","0.57%"
"Jul 12, 2020","100.71","100.71","100.71","100.71","-","0.00%"
"Jul 11, 2020","100.71","100.71","100.71","100.71","-","0.00%"
"Jul 10, 2020","100.71","101.07","101.09","99.97","10.50M","-0.24%"
"Jul 09, 2020","100.95","101.65","102.01","99.69","10.52M","-0.79%"
"Jul 08, 2020","101.75","102.19","102.39","101.07","5.62M","0.01%"
"Jul 07, 2020","101.74","101.88","102.97","101.60","5.91M","-0.87%"
"Jul 06, 2020","102.63","102.76","103.22","102.14","6.37M","1.01%"
"Jul 05, 2020","101.60","101.60","101.60","101.60","-","0.00%"
"Jul 04, 2020","101.60","101.60","101.60","101.60","-","0.00%"
"Jul 02, 2020","101.60","101.70","102.18","101.38","6.50M","0.75%"
"Jul 01, 2020","100.84","100.54","101.25","99.91","10.93M","0.77%"
"Jun 30, 2020","100.07","98.42","100.58","98.15","9.18M","1.71%"
"Jun 29, 2020","98.39","98.14","98.57","97.52","7.49M","0.90%"
"Jun 26, 2020","97.51","98.53","98.78","97.04","16.63M","-1.22%"
"Jun 25, 2020","98.71","97.60","98.82","96.85","10.51M","0.98%"
"Jun 24, 2020","97.75","99.59","99.82","97.04","15.74M","-2.61%"
"Jun 23, 2020","100.37","100.66","101.23","100.18","5.37M","0.43%"
"Jun 22, 2020","99.94","99.90","100.08","98.91","6.89M","-0.80%"
"Jun 19, 2020","100.75","100.93","101.34","99.71","12.18M","0.96%"
"Jun 18, 2020","99.79","99.50","100.01","99.18","7.12M","-0.34%"
"Jun 17, 2020","100.13","100.65","100.91","99.79","9.09M","-0.10%"
"Jun 16, 2020","100.23","100.13","100.87","98.66","13.27M","2.46%"
"Jun 15, 2020","97.82","96.06","98.38","95.43","14.52M","0.23%"
"Jun 12, 2020","97.60","99.00","99.32","95.92","19.40M","0.65%"
"Jun 11, 2020","96.97","101.81","101.85","96.64","39.56M","-5.56%"
"Jun 10, 2020","102.68","103.18","103.52","102.23","10.52M","-0.16%"
"Jun 09, 2020","102.84","104.04","104.21","102.73","10.37M","-1.04%"
"Jun 08, 2020","103.92","102.76","103.95","102.60","8.19M","0.69%"
"Jun 07, 2020","103.21","103.21","103.21","103.21","-","0.00%"
"Jun 05, 2020","103.21","102.21","104.04","101.68","14.58M","1.61%"
"Jun 04, 2020","101.57","101.72","102.46","100.92","10.85M","-0.79%"
"Jun 03, 2020","102.38","102.82","102.97","101.96","10.02M","-0.19%"
"Jun 02, 2020","102.58","101.96","102.60","101.43","13.16M","0.58%"
"Jun 01, 2020","101.99","102.06","102.48","101.35","8.44M","-0.99%"
"May 29, 2020","103.01","102.22","103.23","100.69","19.06M","1.21%"
"May 28, 2020","101.78","101.43","102.79","101.32","11.71M","1.30%"
"May 27, 2020","100.47","99.60","100.47","98.08","15.55M","1.04%"
"May 26, 2020","99.44","101.24","101.24","99.29","10.83M","-0.18%"
"May 22, 2020","99.62","99.42","99.70","98.90","10.23M","0.21%"
"May 21, 2020","99.41","99.87","99.93","98.85","12.26M","-0.74%"
"May 20, 2020","100.15","100.91","101.16","99.93","10.06M","0.12%"
"May 19, 2020","100.03","100.92","101.44","100.03","10.56M","-1.20%"
