"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","51.46","53.10","53.10","51.38","4.36M","-2.92%"
"Aug 30, 2020","53.01","53.01","53.01","53.01","-","0.00%"
"Aug 28, 2020","53.01","52.38","53.22","52.13","3.10M","1.34%"
"Aug 27, 2020","52.31","52.22","52.45","51.45","4.27M","0.91%"
"Aug 26, 2020","51.84","53.24","53.29","51.79","4.84M","-3.21%"
"Aug 25, 2020","53.56","53.93","54.15","52.70","4.13M","0.47%"
"Aug 24, 2020","53.31","52.26","53.90","51.66","5.65M","3.03%"
"Aug 23, 2020","51.74","51.74","51.74","51.74","-","0.00%"
"Aug 21, 2020","51.74","52.18","52.46","51.38","5.05M","-1.52%"
"Aug 20, 2020","52.54","53.42","53.79","52.54","5.71M","-3.37%"
"Aug 19, 2020","54.37","54.73","55.21","54.17","3.32M","-0.69%"
"Aug 18, 2020","54.75","55.50","55.94","54.59","3.60M","-1.95%"
"Aug 17, 2020","55.84","56.08","56.08","55.12","4.03M","-0.57%"
"Aug 14, 2020","56.16","54.55","56.29","54.31","5.45M","2.28%"
"Aug 13, 2020","54.91","56.02","56.29","54.68","4.75M","-2.28%"
"Aug 12, 2020","56.19","56.38","56.70","55.50","8.27M","1.78%"
"Aug 11, 2020","55.21","57.46","57.95","54.99","7.44M","-1.64%"
"Aug 10, 2020","56.13","54.49","56.29","54.42","7.99M","3.69%"
"Aug 09, 2020","54.13","54.13","54.13","54.13","-","0.00%"
"Aug 08, 2020","54.13","54.13","54.13","54.13","-","0.00%"
"Aug 07, 2020","54.13","52.73","54.33","52.28","7.38M","1.75%"
"Aug 06, 2020","53.20","53.63","54.20","53.02","5.33M","-1.55%"
"Aug 05, 2020","54.04","54.29","54.57","53.18","6.98M","2.12%"
"Aug 04, 2020","52.92","51.67","53.31","51.31","7.86M","1.89%"
"Aug 03, 2020","51.94","51.67","52.51","51.10","4.90M","1.11%"
"Aug 02, 2020","51.37","51.37","51.37","51.37","-","0.00%"
"Jul 31, 2020","51.37","50.98","51.41","50.24","7.21M","-0.08%"
"Jul 30, 2020","51.41","51.65","51.93","50.27","7.77M","-2.56%"
"Jul 29, 2020","52.76","51.35","52.83","50.85","6.50M","3.31%"
"Jul 28, 2020","51.07","51.53","52.28","50.97","5.77M","-1.45%"
"Jul 27, 2020","51.82","52.47","52.73","51.36","7.16M","-1.82%"
"Jul 26, 2020","52.78","52.78","52.78","52.78","-","0.00%"
"Jul 25, 2020","52.78","52.78","52.78","52.78","-","0.00%"
"Jul 24, 2020","52.78","53.02","54.02","52.74","7.74M","-0.66%"
