"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","51.79","52.49","52.49","51.38","3.70M","-1.46%"
"Aug 30, 2020","52.56","52.56","52.56","52.56","-","0.00%"
"Aug 28, 2020","52.56","52.89","53.18","52.32","3.12M","0.11%"
"Aug 27, 2020","52.50","53.01","53.44","52.21","3.41M","-0.72%"
"Aug 26, 2020","52.88","52.82","53.22","52.64","2.93M","0.44%"
"Aug 25, 2020","52.65","52.43","52.68","52.06","3.08M","-0.43%"
"Aug 24, 2020","52.88","52.48","52.88","52.07","3.96M","1.77%"
"Aug 23, 2020","51.96","51.96","51.96","51.96","-","0.00%"
"Aug 21, 2020","51.96","51.72","52.18","51.63","2.48M","0.37%"
"Aug 20, 2020","51.77","51.90","52.25","51.75","3.80M","-1.16%"
"Aug 19, 2020","52.38","52.25","52.79","52.20","2.92M","0.15%"
"Aug 18, 2020","52.30","52.25","52.47","51.76","4.00M","-0.78%"
"Aug 17, 2020","52.71","51.98","52.79","51.84","2.93M","2.25%"
"Aug 14, 2020","51.55","51.14","51.68","50.90","2.55M","0.62%"
"Aug 13, 2020","51.23","51.04","51.70","50.85","3.53M","0.33%"
"Aug 12, 2020","51.06","51.05","51.23","50.71","2.82M","0.79%"
"Aug 11, 2020","50.66","51.29","51.77","50.57","4.51M","-0.65%"
"Aug 10, 2020","50.99","51.17","51.41","50.69","4.40M","0.53%"
"Aug 09, 2020","50.72","50.72","50.72","50.72","-","0.00%"
"Aug 08, 2020","50.72","50.72","50.72","50.72","-","0.00%"
"Aug 07, 2020","50.72","49.78","50.85","49.78","4.21M","2.11%"
"Aug 06, 2020","49.67","50.08","50.15","49.45","2.56M","-1.06%"
"Aug 05, 2020","50.20","49.27","50.23","49.27","3.50M","2.43%"
"Aug 04, 2020","49.01","48.19","49.01","48.19","2.80M","1.58%"
"Aug 03, 2020","48.25","47.56","48.37","47.48","2.70M","1.94%"
"Aug 02, 2020","47.33","47.33","47.33","47.33","-","0.00%"
"Jul 31, 2020","47.33","47.70","47.96","46.72","3.52M","-0.67%"
"Jul 30, 2020","47.65","47.57","47.86","46.95","3.83M","-0.40%"
"Jul 29, 2020","47.84","46.93","47.94","46.88","3.37M","2.84%"
"Jul 28, 2020","46.52","46.65","47.09","46.46","2.24M","-0.32%"
"Jul 27, 2020","46.67","46.19","46.71","45.90","2.44M","1.10%"
"Jul 26, 2020","46.16","46.16","46.16","46.16","-","0.00%"
"Jul 25, 2020","46.16","46.16","46.16","46.16","-","0.00%"
"Jul 24, 2020","46.16","46.21","46.68","46.12","3.68M","-1.05%"
"Jul 23, 2020","46.65","46.89","47.51","46.13","3.96M","-0.43%"
"Jul 22, 2020","46.85","46.07","46.85","46.06","2.71M","1.54%"
"Jul 21, 2020","46.14","45.40","46.39","45.40","4.36M","2.56%"
"Jul 20, 2020","44.99","45.02","45.12","44.40","3.21M","-0.64%"
"Jul 17, 2020","45.28","45.86","45.86","45.08","2.81M","-0.92%"
"Jul 16, 2020","45.70","45.02","45.74","44.87","4.29M","0.68%"
"Jul 15, 2020","45.39","45.01","45.55","44.39","6.60M","3.25%"
"Jul 14, 2020","43.96","42.86","43.96","42.56","2.73M","2.00%"
"Jul 13, 2020","43.10","44.33","44.72","43.02","4.49M","-2.22%"
"Jul 12, 2020","44.08","44.08","44.08","44.08","-","0.00%"
"Jul 11, 2020","44.08","44.08","44.08","44.08","-","0.00%"
"Jul 10, 2020","44.08","43.44","44.13","43.18","3.49M","1.36%"
"Jul 09, 2020","43.49","44.32","44.32","42.85","3.85M","-1.87%"
"Jul 08, 2020","44.32","43.89","44.32","43.45","3.01M","1.23%"
"Jul 07, 2020","43.78","43.87","44.21","43.61","3.35M","-0.97%"
"Jul 06, 2020","44.21","44.26","44.63","43.94","3.01M","1.77%"
"Jul 05, 2020","43.44","43.44","43.44","43.44","-","0.00%"
"Jul 04, 2020","43.44","43.44","43.44","43.44","-","0.00%"
"Jul 02, 2020","43.44","43.92","44.13","43.13","3.51M","0.88%"
"Jul 01, 2020","43.06","42.86","43.52","42.71","3.58M","0.42%"
"Jun 30, 2020","42.88","42.59","43.01","42.38","4.02M","0.40%"
"Jun 29, 2020","42.71","41.56","42.85","41.15","3.55M","3.56%"
"Jun 26, 2020","41.24","41.94","42.49","41.23","6.70M","-1.32%"
"Jun 25, 2020","41.79","41.28","41.89","41.03","4.34M","0.51%"
"Jun 24, 2020","41.58","42.56","42.87","41.05","7.33M","-3.53%"
"Jun 23, 2020","43.10","43.50","43.62","42.78","2.36M","0.12%"
"Jun 22, 2020","43.05","42.11","43.23","41.82","5.51M","2.01%"
"Jun 19, 2020","42.20","43.21","43.25","41.86","7.00M","-1.10%"
"Jun 18, 2020","42.67","42.40","43.06","42.17","2.21M","-0.19%"
"Jun 17, 2020","42.75","43.15","43.20","42.52","4.47M","-0.72%"
"Jun 16, 2020","43.06","43.65","43.71","42.04","6.47M","2.94%"
"Jun 15, 2020","41.83","40.14","42.08","39.97","5.76M","1.31%"
"Jun 12, 2020","41.29","42.35","42.43","40.18","7.50M","1.10%"
"Jun 11, 2020","40.84","41.48","42.08","40.51","8.46M","-5.46%"
"Jun 10, 2020","43.20","44.34","44.34","43.14","5.90M","-2.33%"
"Jun 09, 2020","44.23","44.62","44.79","43.85","7.83M","-2.47%"
"Jun 08, 2020","45.35","45.21","45.42","44.84","4.90M","2.25%"
"Jun 07, 2020","44.35","44.35","44.35","44.35","-","0.00%"
"Jun 05, 2020","44.35","44.84","45.11","44.18","3.88M","2.38%"
"Jun 04, 2020","43.32","43.01","43.77","42.96","5.71M","0.32%"
