Date,Adj Close,Fast %K,Slow %K(D),Slow %D(J),J Binary(80%),J Binary(50%),Open,High,Low,Close,Volume,macd,macds,macdo,VIX,Bullish,Neutral,Bearish,Bullish 8-Week Mov Avg,Bull-Bear Spread,Fear Greed,Put Call
2011-01-03,1271.8700 ,90.0738 ,90.0731 ,91.4694 ,1.0000 ,1.0000 ,1257.6200 ,1276.1700 ,1257.6200 ,1271.8700 ,4286670000.0000 ,14.9223 ,14.6675 ,0.2548 ,17.6100 ,0.56 ,0.2600 ,0.18 ,0.5100 ,0.3800 ,68.0000 ,0.4000 
2011-01-04,1270.2000 ,86.2186 ,88.0049 ,89.7363 ,1.0000 ,1.0000 ,1272.9500 ,1274.1200 ,1262.6600 ,1270.2000 ,4796420000.0000 ,15.0542 ,14.7448 ,0.3094 ,17.3800 ,0.56 ,0.2600 ,0.18 ,0.5100 ,0.3800 ,68.0000 ,0.4300 
2011-01-05,1276.5601 ,97.6107 ,88.8356 ,88.9712 ,1.0000 ,1.0000 ,1268.7800 ,1277.6300 ,1265.3600 ,1276.5601 ,4764920000.0000 ,15.4933 ,14.8945 ,0.5988 ,17.0200 ,0.56 ,0.2600 ,0.18 ,0.5100 ,0.3800 ,67.0000 ,0.4800 
2011-01-06,1273.8500 ,90.4676 ,89.5697 ,88.8034 ,1.0000 ,1.0000 ,1276.2900 ,1278.1700 ,1270.4301 ,1273.8500 ,4844100000.0000 ,15.4446 ,15.0045 ,0.4400 ,17.4000 ,0.56 ,0.2600 ,0.18 ,0.5100 ,0.3800 ,64.0000 ,0.4600 
2011-01-07,1271.5000 ,82.5848 ,89.3911 ,89.2655 ,1.0000 ,1.0000 ,1274.4100 ,1276.8300 ,1261.7000 ,1271.5000 ,4963110000.0000 ,15.0429 ,15.0122 ,0.0307 ,17.1400 ,0.56 ,0.2600 ,0.18 ,0.5100 ,0.3800 ,63.0000 ,0.5000 
2011-01-10,1269.7500 ,77.0321 ,86.7828 ,88.5812 ,1.0000 ,1.0000 ,1270.8400 ,1271.5200 ,1262.1801 ,1269.7500 ,4036450000.0000 ,14.4172 ,14.8932 ,-0.4760 ,17.5400 ,0.56 ,0.2600 ,0.18 ,0.5100 ,0.3800 ,58.0000 ,0.5400 
2011-01-11,1274.4800 ,87.1605 ,86.9711 ,87.7150 ,1.0000 ,1.0000 ,1272.5800 ,1277.2500 ,1269.6200 ,1274.4800 ,4050750000.0000 ,14.1400 ,14.7426 ,-0.6026 ,16.8900 ,0.56 ,0.2600 ,0.18 ,0.5100 ,0.3800 ,58.0000 ,0.5300 
2011-01-12,1285.9600 ,97.4286 ,86.9347 ,86.8962 ,1.0000 ,1.0000 ,1275.6500 ,1286.8700 ,1275.6500 ,1285.9600 ,4226940000.0000 ,14.6775 ,14.7295 ,-0.0521 ,16.2400 ,0.56 ,0.2600 ,0.18 ,0.5100 ,0.3800 ,58.0000 ,0.4500 
2011-01-13,1283.7600 ,91.2123 ,87.0836 ,86.9965 ,1.0000 ,1.0000 ,1285.7800 ,1286.7000 ,1280.4700 ,1283.7600 ,4310840000.0000 ,14.7558 ,14.7348 ,0.0210 ,16.3900 ,0.52 ,0.2400 ,0.23 ,0.5300 ,0.2900 ,58.0000 ,0.5000 
2011-01-14,1293.2400 ,100.0000 ,90.5667 ,88.1950 ,1.0000 ,1.0000 ,1282.9000 ,1293.2400 ,1281.2400 ,1293.2400 ,4661590000.0000 ,15.4052 ,14.8689 ,0.5364 ,15.4600 ,0.52 ,0.2400 ,0.23 ,0.5300 ,0.2900 ,60.0000 ,0.3700 
2011-01-18,1295.0200 ,97.5160 ,94.6635 ,90.7713 ,1.0000 ,1.0000 ,1293.2200 ,1296.0601 ,1290.1600 ,1295.0200 ,5284990000.0000 ,15.8805 ,15.0712 ,0.8093 ,15.8700 ,0.52 ,0.2400 ,0.23 ,0.5300 ,0.2900 ,56.0000 ,0.4400 
2011-01-19,1281.9200 ,66.2289 ,90.4771 ,91.9024 ,1.0000 ,1.0000 ,1294.5200 ,1294.6000 ,1278.9200 ,1281.9200 ,4743710000.0000 ,15.0269 ,15.0623 ,-0.0355 ,17.3100 ,0.52 ,0.2400 ,0.23 ,0.5300 ,0.2900 ,55.0000 ,0.4700 
2011-01-20,1280.2600 ,62.2641 ,83.4443 ,89.5283 ,1.0000 ,1.0000 ,1280.8500 ,1283.3500 ,1271.2600 ,1280.2600 ,4935320000.0000 ,14.0544 ,14.8608 ,-0.8063 ,17.9900 ,0.51 ,0.2000 ,0.29 ,0.5300 ,0.2200 ,54.0000 ,0.6700 
2011-01-21,1283.3500 ,69.6440 ,79.1306 ,84.3507 ,1.0000 ,1.0000 ,1283.6300 ,1291.2100 ,1282.0699 ,1283.3500 ,4935320000.0000 ,13.3788 ,14.5644 ,-1.1855 ,18.4700 ,0.51 ,0.2000 ,0.29 ,0.5300 ,0.2200 ,47.0000 ,0.5500 
2011-01-24,1290.8400 ,86.4202 ,76.4146 ,79.6632 ,0.0000 ,1.0000 ,1283.2900 ,1291.9301 ,1282.4700 ,1290.8400 ,3902470000.0000 ,13.2946 ,14.3104 ,-1.0158 ,17.6500 ,0.51 ,0.2000 ,0.29 ,0.5300 ,0.2200 ,45.0000 ,0.5100 
2011-01-25,1291.1801 ,85.7975 ,74.0709 ,76.5387 ,0.0000 ,1.0000 ,1288.1700 ,1291.2600 ,1281.0699 ,1291.1801 ,4595380000.0000 ,13.1042 ,14.0692 ,-0.9650 ,17.5900 ,0.51 ,0.2000 ,0.29 ,0.5300 ,0.2200 ,43.0000 ,0.6300 
2011-01-26,1296.6300 ,91.8244 ,79.1901 ,76.5585 ,0.0000 ,1.0000 ,1291.9700 ,1299.7400 ,1291.9700 ,1296.6300 ,4730980000.0000 ,13.2404 ,13.9034 ,-0.6630 ,16.6400 ,0.51 ,0.2000 ,0.29 ,0.5300 ,0.2200 ,43.0000 ,0.5800 
2011-01-27,1299.5400 ,95.5797 ,85.8532 ,79.7047 ,0.0000 ,1.0000 ,1297.5100 ,1301.2900 ,1294.4100 ,1299.5400 ,4309190000.0000 ,13.4284 ,13.8084 ,-0.3800 ,16.1500 ,0.42 ,0.2400 ,0.34 ,0.5200 ,0.0800 ,43.0000 ,0.5600 
2011-01-28,1276.3400 ,35.7334 ,79.0710 ,81.3714 ,1.0000 ,1.0000 ,1299.6300 ,1302.6700 ,1275.1000 ,1276.3400 ,5618630000.0000 ,11.5720 ,13.3611 ,-1.7892 ,20.0400 ,0.42 ,0.2400 ,0.34 ,0.5200 ,0.0800 ,43.0000 ,0.6500 
2011-01-31,1286.1200 ,59.1256 ,73.6121 ,79.5121 ,0.0000 ,1.0000 ,1276.5000 ,1287.1700 ,1276.5000 ,1286.1200 ,4167160000.0000 ,10.7658 ,12.8421 ,-2.0763 ,19.5300 ,0.42 ,0.2400 ,0.34 ,0.5200 ,0.0800 ,41.0000 ,0.6100 
2011-02-01,1307.5900 ,96.7635 ,75.8053 ,76.1628 ,0.0000 ,1.0000 ,1289.1400 ,1308.8600 ,1289.1400 ,1307.5900 ,5164500000.0000 ,11.7242 ,12.6185 ,-0.8943 ,17.6300 ,0.42 ,0.2400 ,0.34 ,0.5200 ,0.0800 ,41.0000 ,0.4900 
2011-02-02,1304.0300 ,87.1544 ,74.8713 ,74.7629 ,0.0000 ,1.0000 ,1305.9100 ,1307.6100 ,1302.6200 ,1304.0300 ,4098260000.0000 ,12.0574 ,12.5063 ,-0.4488 ,17.3000 ,0.42 ,0.2400 ,0.34 ,0.5200 ,0.0800 ,46.0000 ,0.4500 
2011-02-03,1307.1000 ,95.3191 ,74.8192 ,75.1653 ,0.0000 ,1.0000 ,1302.7700 ,1308.6000 ,1294.8300 ,1307.1000 ,4370990000.0000 ,12.4260 ,12.4902 ,-0.0642 ,16.6900 ,0.52 ,0.2200 ,0.27 ,0.5200 ,0.2500 ,47.0000 ,0.5800 
2011-02-04,1310.8700 ,99.6729 ,87.6071 ,79.0992 ,0.0000 ,1.0000 ,1307.0100 ,1311.0000 ,1301.6700 ,1310.8700 ,3925950000.0000 ,12.8740 ,12.5670 ,0.3070 ,15.9300 ,0.52 ,0.2200 ,0.27 ,0.5200 ,0.2500 ,49.0000 ,0.6400 
2011-02-07,1319.0500 ,92.6344 ,94.3088 ,85.5784 ,1.0000 ,1.0000 ,1311.8500 ,1322.8500 ,1311.8500 ,1319.0500 ,3902270000.0000 ,13.7307 ,12.7997 ,0.9310 ,16.2800 ,0.52 ,0.2200 ,0.27 ,0.5200 ,0.2500 ,56.0000 ,0.4600 
2011-02-08,1324.5699 ,99.4403 ,94.8442 ,92.2534 ,1.0000 ,1.0000 ,1318.7600 ,1324.8700 ,1316.0300 ,1324.5699 ,3881530000.0000 ,14.6859 ,13.1769 ,1.5089 ,15.8100 ,0.52 ,0.2200 ,0.27 ,0.5200 ,0.2500 ,56.0000 ,0.5200 
2011-02-09,1320.8800 ,92.5574 ,95.9248 ,95.0259 ,1.0000 ,1.0000 ,1322.4800 ,1324.5400 ,1314.8900 ,1320.8800 ,3922240000.0000 ,14.9724 ,13.5360 ,1.4364 ,15.8700 ,0.52 ,0.2200 ,0.27 ,0.5200 ,0.2500 ,56.0000 ,0.5200 
2011-02-10,1321.8700 ,93.9723 ,95.6554 ,95.4748 ,1.0000 ,1.0000 ,1318.1300 ,1322.7800 ,1311.7400 ,1321.8700 ,4184610000.0000 ,15.1053 ,13.8499 ,1.2554 ,16.0900 ,0.49 ,0.2400 ,0.27 ,0.5200 ,0.2200 ,56.0000 ,0.5500 
2011-02-11,1329.1500 ,97.0551 ,95.1319 ,95.5707 ,1.0000 ,1.0000 ,1318.6600 ,1330.7900 ,1316.0800 ,1329.1500 ,4219300000.0000 ,15.6181 ,14.2035 ,1.4145 ,15.6900 ,0.49 ,0.2400 ,0.27 ,0.5200 ,0.2200 ,56.0000 ,0.5100 
2011-02-14,1332.3199 ,98.8939 ,96.3838 ,95.7237 ,1.0000 ,1.0000 ,1328.7300 ,1332.9600 ,1326.9000 ,1332.3199 ,3567040000.0000 ,16.0946 ,14.5818 ,1.5129 ,15.9500 ,0.49 ,0.2400 ,0.27 ,0.5200 ,0.2200 ,61.0000 ,0.5100 
2011-02-15,1328.0100 ,91.4449 ,94.7847 ,95.4335 ,1.0000 ,1.0000 ,1330.4301 ,1330.4301 ,1324.6100 ,1328.0100 ,3926860000.0000 ,15.9408 ,14.8536 ,1.0872 ,16.3700 ,0.49 ,0.2400 ,0.27 ,0.5200 ,0.2200 ,61.0000 ,0.5300 
2011-02-16,1336.3199 ,97.9363 ,95.8605 ,95.6763 ,1.0000 ,1.0000 ,1329.5100 ,1337.6100 ,1329.5100 ,1336.3199 ,1966450000.0000 ,16.3015 ,15.1432 ,1.1584 ,16.7200 ,0.49 ,0.2400 ,0.27 ,0.5200 ,0.2200 ,61.0000 ,0.5800 
2011-02-17,1340.4301 ,98.3886 ,96.7438 ,95.7963 ,1.0000 ,1.0000 ,1334.3700 ,1341.5000 ,1331.0000 ,1340.4301 ,1966450000.0000 ,16.7262 ,15.4598 ,1.2665 ,16.5900 ,0.47 ,0.2800 ,0.26 ,0.5000 ,0.2100 ,61.0000 ,0.5000 
2011-02-18,1343.0100 ,98.4313 ,97.0190 ,96.5411 ,1.0000 ,1.0000 ,1340.3800 ,1344.0699 ,1338.1200 ,1343.0100 ,1162310000.0000 ,17.0742 ,15.7827 ,1.2915 ,16.4300 ,0.47 ,0.2800 ,0.26 ,0.5000 ,0.2100 ,56.0000 ,0.6100 
2011-02-22,1315.4399 ,47.8790 ,86.8160 ,93.5263 ,1.0000 ,1.0000 ,1338.9100 ,1338.9100 ,1312.3300 ,1315.4399 ,1322780000.0000 ,14.9529 ,15.6167 ,-0.6638 ,20.8000 ,0.47 ,0.2800 ,0.26 ,0.5000 ,0.2100 ,42.0000 ,0.6800 
2011-02-23,1307.4000 ,25.5282 ,73.6327 ,85.8226 ,1.0000 ,1.0000 ,1315.4399 ,1317.9100 ,1299.5500 ,1307.4000 ,1330340000.0000 ,12.4792 ,14.9892 ,-2.5100 ,22.1300 ,0.47 ,0.2800 ,0.26 ,0.5000 ,0.2100 ,42.0000 ,0.7200 
2011-02-24,1306.1000 ,23.7703 ,58.7995 ,73.0827 ,0.0000 ,1.0000 ,1307.0900 ,1310.9100 ,1294.2600 ,1306.1000 ,1222900000.0000 ,10.2951 ,14.0504 ,-3.7553 ,21.3200 ,0.37 ,0.2700 ,0.36 ,0.4800 ,0.0000 ,42.0000 ,0.7100 
2011-02-25,1319.8800 ,51.4355 ,49.4089 ,60.6137 ,0.0000 ,1.0000 ,1307.3400 ,1320.6100 ,1307.3400 ,1319.8800 ,3836030000.0000 ,9.5659 ,13.1535 ,-3.5876 ,19.2200 ,0.37 ,0.2700 ,0.36 ,0.4800 ,0.0000 ,42.0000 ,0.4900 
2011-02-28,1327.2200 ,66.1715 ,42.9569 ,50.3884 ,0.0000 ,1.0000 ,1321.6100 ,1329.3800 ,1320.5500 ,1327.2200 ,1252850000.0000 ,9.4711 ,12.4170 ,-2.9459 ,18.3500 ,0.37 ,0.2700 ,0.36 ,0.4800 ,0.0000 ,43.0000 ,0.5300 
2011-03-01,1306.3300 ,24.2320 ,38.2275 ,43.5311 ,0.0000 ,0.0000 ,1328.6400 ,1332.0900 ,1306.1400 ,1306.3300 ,1180420000.0000 ,7.6225 ,11.4581 ,-3.8356 ,21.0100 ,0.37 ,0.2700 ,0.36 ,0.4800 ,0.0000 ,43.0000 ,0.6400 
2011-03-02,1308.4399 ,28.4681 ,38.8155 ,39.9999 ,0.0000 ,0.0000 ,1305.4700 ,1314.1899 ,1302.5800 ,1308.4399 ,1025000000.0000 ,6.2555 ,10.4176 ,-4.1620 ,20.7000 ,0.37 ,0.2700 ,0.36 ,0.4800 ,0.0000 ,42.0000 ,0.5500 
2011-03-03,1330.9700 ,73.7001 ,48.8014 ,41.9481 ,0.0000 ,0.0000 ,1312.3700 ,1332.2800 ,1312.3700 ,1330.9700 ,4340470000.0000 ,6.9106 ,9.7162 ,-2.8056 ,18.6000 ,0.37 ,0.3000 ,0.33 ,0.4600 ,0.0400 ,41.0000 ,0.5500 
