Date,Adj Close,Open,High,Low,Close,Volume,VIX,Bullish,Neutral,Bearish,Bullish 8-Week Mov Avg,Bull-Bear Spread,Fear Greed,Put Call,12 Day EMA,26 Day EMA,macd,Fast %K,Slow %K(D),Slow %D(J)
2011-02-08,14.277375,19.16,19.200001,19.08,19.16,5203800,15.81,0.52,0.22,0.27,0.52,0.25,56,0.52,14.21192076,13.80583331,0.406087454,74.59677419,69.04782051,72.0639071
2011-02-09,13.9346,18.870001,18.870001,18.629999,18.700001,10094200,15.87,0.52,0.22,0.27,0.52,0.25,56,0.52,14.28188172,13.86959877,0.412282955,73.8896565,65.2651609,68.73313949
2011-02-10,13.755758,18.42,18.629999,18.33,18.459999,9039100,16.09,0.49,0.24,0.27,0.52,0.22,56,0.55,14.35389992,13.93481367,0.419086246,80.61910649,69.48861539,67.9338656
2011-02-11,13.919696,18.49,18.790001,18.450001,18.68,7454500,15.69,0.49,0.24,0.27,0.52,0.22,56,0.51,14.42432547,13.9997657,0.424559772,85.59886557,75.19206722,69.98194784
2011-02-14,13.867535,18.65,18.68,18.58,18.610001,4357000,15.95,0.49,0.24,0.27,0.52,0.22,61,0.51,14.48519847,14.06052379,0.424674681,86.2718671,80.19525397,74.95864553
2011-02-15,13.874985,18.610001,18.65,18.530001,18.620001,4343500,16.37,0.49,0.24,0.27,0.52,0.22,61,0.53,14.52952702,14.11332455,0.416202467,82.50341386,81.7765819,79.05463437
2011-02-16,13.971861,18.66,18.799999,18.639999,18.75,3798300,16.72,0.49,0.24,0.27,0.52,0.22,61,0.58,14.55703563,14.15739925,0.39963638,77.25434112,82.44951883,81.4737849
2011-02-17,13.919696,18.65,18.76,18.6,18.68,2193000,16.59,0.47,0.28,0.26,0.5,0.21,61,0.5,14.60338922,14.20932034,0.394068883,89.36748031,84.19919359,82.80843144
2011-02-18,13.979311,18.790001,18.860001,18.73,18.76,3038800,16.43,0.47,0.28,0.26,0.5,0.21,56,0.61,14.65158581,14.26171639,0.389869415,93.1677308,85.71296664,84.12055969
2011-02-22,13.576921,18.469999,18.49,18.129999,18.219999,5545000,20.8,0.47,0.28,0.26,0.5,0.21,42,0.68,14.63339322,14.28183621,0.351557006,48.97586592,78.2537664,82.72197554
2011-02-23,13.599276,18.23,18.299999,18.02,18.25,8402000,22.13,0.47,0.28,0.26,0.5,0.21,42,0.72,14.56517888,14.27503353,0.290145347,16.66666667,65.08641696,76.35105
2011-02-24,13.524755,18.16,18.24,18.059999,18.15,4168200,21.32,0.37,0.27,0.36,0.48,0,42,0.71,14.49309997,14.26182112,0.231278853,12.13111078,52.0617709,65.13398475
2011-02-25,13.815373,18.370001,18.57,18.370001,18.540001,4995600,19.22,0.37,0.27,0.36,0.48,0,42,0.49,14.4787769,14.27205659,0.206720307,44.59932244,43.10813932,53.41877573
2011-02-28,13.912245,18.66,18.74,18.57,18.67,3589800,18.35,0.37,0.27,0.36,0.48,0,43,0.53,14.43178553,14.26474374,0.167041797,20.90591606,28.65577637,41.27522886
2011-03-01,13.860086,18.860001,18.860001,18.57,18.6,7408700,21.01,0.37,0.27,0.36,0.48,0,43,0.64,14.39022883,14.25710842,0.133120413,19.68647398,22.79789798,31.52060456
2011-03-02,13.860086,18.530001,18.690001,18.51,18.6,3806900,20.7,0.37,0.27,0.36,0.48,0,42,0.55,14.45045009,14.29596461,0.154485478,84.34792499,36.33414965,29.262608
