Date,Adj Close,Open,High,Low,Close,Volume,VIX,Bullish,Neutral,Bearish,Bullish 8-Week Mov Avg,Bull-Bear Spread,Fear Greed,Put Call,12 Day EMA,26 Day EMA,macd,Fast %K,Slow %K(D),Slow %D(J)
2011-02-08,109.001831,132.570007,133.139999,132.240005,133.100006,2618400,15.81,0.52,0.22,0.27,0.52,0.25,56,0.52,107.2139135,106.0129855,1.200927995,-338.079115,-449.6598842,-480.1081205
2011-02-09,108.723412,132.639999,133.119995,132.110001,132.759995,2783400,15.87,0.52,0.22,0.27,0.52,0.25,56,0.52,107.446144,106.2137578,1.232386201,-343.1320896,-411.9454518,-447.5545027
2011-02-10,108.77253,132.089996,132.940002,131.800003,132.820007,2108000,16.09,0.49,0.24,0.27,0.52,0.22,56,0.55,107.6502034,106.4032965,1.246906901,-374.0753646,-381.5741988,-414.3931783
2011-02-11,109.411308,132.320007,133.779999,132.259995,133.600006,2371800,15.69,0.49,0.24,0.27,0.52,0.22,56,0.51,107.9211426,106.6261122,1.295030403,-321.6037235,-348.2003693,-380.57334
2011-02-14,109.665154,133.550003,134.020004,133.389999,133.910004,1477800,15.95,0.49,0.24,0.27,0.52,0.22,61,0.51,108.189452,106.8512264,1.338225643,-304.5653458,-336.2911277,-355.3552319
2011-02-15,109.32943,133.520004,133.839996,133.160004,133.5,2257500,16.37,0.49,0.24,0.27,0.52,0.22,61,0.53,108.3648333,107.034797,1.330036231,-310.1421527,-330.7037352,-338.3984107
2011-02-16,109.992775,133.979996,134.509995,133.690002,134.309998,3856200,16.72,0.49,0.24,0.27,0.52,0.22,61,0.58,108.6152858,107.2539065,1.361379327,-276.6088914,-317.3990956,-328.1313195
2011-02-17,110.361275,133.960007,134.910004,133.839996,134.759995,3321200,16.59,0.47,0.28,0.26,0.5,0.21,61,0.5,108.8838996,107.4840819,1.399817601,-255.2636004,-293.6367428,-313.9131912
2011-02-18,110.590584,134.869995,135.179993,134.550003,135.039993,2188500,16.43,0.47,0.28,0.26,0.5,0.21,56,0.61,109.1464664,107.7141932,1.432273177,-254.3148634,-280.1789707,-297.071603
2011-02-22,108.387634,133.610001,134.350006,131.970001,132.350006,3829300,20.8,0.47,0.28,0.26,0.5,0.21,42,0.68,109.0297229,107.7640777,1.26564523,-406.4723892,-300.5603794,-291.4586976
2011-02-23,107.707901,132.25,132.550003,130.699997,131.520004,4305900,22.13,0.47,0.28,0.26,0.5,0.21,42,0.72,108.8263657,107.7599165,1.066449246,-436.5648209,-325.8449131,-302.1947544
2011-02-24,107.642395,131.350006,131.919998,130.190002,131.440002,3808400,21.32,0.37,0.27,0.36,0.48,0,42,0.71,108.6442164,107.7512112,0.893005198,-437.8442362,-358.091982,-328.1657582
2011-02-25,108.739784,131.990005,132.910004,131.889999,132.779999,2071100,19.22,0.37,0.27,0.36,0.48,0,42,0.49,108.6589191,107.8244388,0.834480293,-429.8648635,-393.0122346,-358.9830432
2011-02-28,109.427704,133.330002,133.800003,132.889999,133.619995,3736500,18.35,0.37,0.27,0.36,0.48,0,43,0.53,108.7771937,107.9431992,0.833994509,-416.0788667,-425.3650353,-392.1564173
