Date,Adj Close,Open,High,Low,Close,Volume,VIX,Bullish,Neutral,Bearish,Bullish 8-Week Mov Avg,Bull-Bear Spread,Fear Greed,Put Call,12 Day EMA,26 Day EMA,macd,Fast %K,Slow %K(D),Slow %D(J)
2011-02-08,126.0924,130.600006,130.600006,129.600006,129.600006,100600,15.81,0.52,0.22,0.27,0.52,0.25,56,0.52,128.5683948,129.9272577,-1.358862816,-54.80639513,-61.53197289,-61.23144846
2011-02-09,126.403755,130,130.320007,129.520004,129.919998,490100,15.87,0.52,0.22,0.27,0.52,0.25,56,0.52,128.2353733,129.6662575,-1.430884133,-48.09029203,-58.0912624,-61.31799534
2011-02-10,126.24807,130.759995,130.880005,129.600006,129.759995,122600,16.09,0.49,0.24,0.27,0.52,0.22,56,0.55,127.9296344,129.4130584,-1.483424035,-50.49283981,-54.25450331,-57.9592462
2011-02-11,125.352959,130.119995,130.119995,128.720001,128.839996,47600,15.69,0.49,0.24,0.27,0.52,0.22,56,0.51,127.5332228,129.1123103,-1.579087525,-46.25058328,-49.31834791,-53.88803787
2011-02-14,125.080544,128.839996,128.880005,128.399994,128.559998,260200,15.95,0.49,0.24,0.27,0.52,0.22,61,0.51,127.1558876,128.8136609,-1.657773364,-43.6769392,-48.66340989,-50.74542037
2011-02-15,125.197296,128.759995,129.240005,128.520004,128.679993,488200,16.37,0.49,0.24,0.27,0.52,0.22,61,0.53,126.8545658,128.545782,-1.69121626,-42.14072989,-46.13027684,-48.03734488
2011-02-16,124.34111,128.199997,128.279999,127.519997,127.800003,98700,16.72,0.49,0.24,0.27,0.52,0.22,61,0.58,126.4678803,128.2343249,-1.766444577,-37.48686174,-44.00959078,-46.26775917
2011-02-17,124.418945,128.440002,128.559998,127.639999,127.879997,94100,16.59,0.47,0.28,0.26,0.5,0.21,61,0.5,126.1526595,127.9517041,-1.799044659,-36.5689965,-41.22482212,-43.78822992
2011-02-18,124.652443,127.879997,128.600006,127.639999,128.119995,103200,16.43,0.47,0.28,0.26,0.5,0.21,56,0.61,125.9218569,127.7073144,-1.785457479,-33.81548332,-38.73780213,-41.32407168
2011-02-22,128.310684,129.880005,132.039993,129.520004,131.880005,275700,20.8,0.47,0.28,0.26,0.5,0.21,42,0.68,126.2893688,127.7520085,-1.462639666,12.919718,-27.41847069,-35.79369831
2011-02-23,129.322525,131.880005,133.919998,131.440002,132.919998,463200,22.13,0.47,0.28,0.26,0.5,0.21,42,0.72,126.7560082,127.868343,-1.112334808,28.1644956,-13.35742559,-26.50456614
2011-02-24,128.69986,132.679993,133.919998,131.839996,132.279999,220200,21.32,0.37,0.27,0.36,0.48,0,42,0.71,127.0550623,127.9299369,-0.874874537,18.43535649,-2.172981945,-14.31629274
2011-02-25,126.870743,131.479996,131.559998,130.240005,130.399994,94100,19.22,0.37,0.27,0.36,0.48,0,42,0.49,127.0267055,127.8514781,-0.824772552,-10.14459216,3.111898922,-4.139502871
2011-02-28,126.59832,129.759995,130.800003,129.440002,130.119995,141800,18.35,0.37,0.27,0.36,0.48,0,43,0.53,126.9608,127.7586515,-0.797851492,-14.40120087,6.994755411,2.644557463
2011-03-01,128.583115,129.759995,132.520004,129.600006,132.160004,154400,21.01,0.37,0.27,0.36,0.48,0,43,0.64,127.210387,127.8197229,-0.609335944,16.61121615,7.733055042,5.946569791
2011-03-02,127.921516,132.279999,132.279999,130.639999,131.479996,135200,20.7,0.37,0.27,0.36,0.48,0,42,0.55,127.3197914,127.8272631,-0.507471706,6.273733395,3.354902601,6.027571018
2011-03-03,125.391884,130.279999,130.320007,128.679993,128.880005,102300,18.6,0.37,0.3,0.33,0.46,0.04,41,0.55,127.0231903,127.6468647,-0.623674394,-33.25176043,-6.982520784,1.368478953
2011-03-04,126.0924,128.880005,130.360001,128.800003,129.600006,343700,19.06,0.37,0.3,0.33,0.46,0.04,39,0.57,126.8799918,127.5317191,-0.651727368,-22.30619964,-9.414842279,-4.347486821
2011-03-07,127.726929,129,132.440002,128.960007,131.279999,116300,20.66,0.37,0.3,0.33,0.46,0.04,35,0.64,127.0102898,127.5461791,-0.535889323,3.233311995,-5.887939705,-7.428434256
2011-03-08,127.182076,131.520004,132.279999,130.199997,130.720001,412200,19.82,0.37,0.3,0.33,0.46,0.04,27,0.54,127.0367185,127.5192085,-0.482490076,-5.2800148,-10.2661859,-8.522989293
2011-03-09,128.038269,131.160004,132.360001,131.160004,131.600006,89500,20.22,0.37,0.3,0.33,0.46,0.04,26,0.6,127.1908032,127.5576575,-0.366854301,8.097998735,-9.901332828,-8.68515281
2011-03-10,130.061951,133.479996,134.240005,132.839996,133.679993,293100,21.88,0.36,0.32,0.32,0.44,0.04,26,0.73,127.6325182,127.7431607,-0.110642474,36.69620906,4.088261071,-5.359752551
2011-03-11,129.322525,134.919998,134.919998,132.479996,132.919998,303600,20.08,0.36,0.32,0.32,0.44,0.04,26,0.62,127.8925193,127.8601506,0.032368622,23.11162405,13.17182581,2.452918017
2011-03-14,129.750626,133.639999,134.279999,132.679993,133.360001,172800,21.13,0.36,0.32,0.32,0.44,0.04,13,0.67,128.1783818,128.0001858,0.178195985,17.15756638,15.95667669,11.07225452
2011-03-15,131.501923,137.880005,137.880005,134.399994,135.160004,369700,24.32,0.36,0.32,0.32,0.44,0.04,13,0.71,128.6896959,128.2595738,0.430122074,30.67311217,23.14730208,17.42526819
2011-03-16,134.693146,136.240005,139.320007,135.600006,138.440002,429300,29.4,0.36,0.32,0.32,0.44,0.04,11,0.79,129.6133036,128.7361347,0.877168883,56.5145215,32.83060663,23.97819513
2011-03-17,133.486725,136.199997,137.240005,135.639999,137.199997,382700,26.37,0.28,0.31,0.4,0.41,-0.12,9,0.71,130.2092146,129.0880303,1.121184294,45.17599319,34.52656346,30.16815739
2011-03-18,133.681274,135.600006,137.559998,135.600006,137.399994,237800,24.44,0.28,0.31,0.4,0.41,-0.12,9,0.67,130.7433776,129.4282705,1.315107008,47.00445883,39.30513041,35.55410017
2011-03-21,131.151672,135.440002,135.600006,134.080002,134.800003,133700,20.61,0.28,0.31,0.4,0.41,-0.12,14,0.49,130.8061921,129.5559299,1.250262171,23.23003522,40.51962418,38.11710602
2011-03-22,131.307358,134.679993,135.320007,134.559998,134.960007,275200,20.21,0.28,0.31,0.4,0.41,-0.12,15,0.55,130.8832945,129.6856653,1.197629206,24.69324758,39.32365127,39.71613529
2011-03-23,130.645721,135.559998,136.399994,133.919998,134.279999,238900,19.17,0.28,0.31,0.4,0.41,-0.12,16,0.59,130.8467448,129.7567806,1.089964197,18.47486291,31.71571955,37.18633167
2011-03-24,128.310684,133.240005,133.880005,131.559998,131.880005,290900,18,0.38,0.27,0.35,0.4,0.03,16,0.55,130.4565816,129.6496623,0.806919267,-4.651319524,21.750257,30.92987594
2011-03-25,127.960426,131.440002,131.720001,130.639999,131.520004,207500,17.91,0.38,0.27,0.35,0.4,0.03,19,0.53,130.0725576,129.5245337,0.548023949,-9.648465251,10.41967219,21.29521625
2011-03-28,128.66095,130.960007,132.320007,130.919998,132.240005,131100,19.44,0.38,0.27,0.35,0.4,0.03,23,0.56,129.8553872,129.4605645,0.394822706,-16.87549685,2.398565774,11.52283166
2011-03-29,127.493423,132.600006,132.880005,131.039993,131.039993,70700,18.16,0.38,0.27,0.35,0.4,0.03,23,0.52,129.4920081,129.3148503,0.177157781,-36.25084217,-9.790252176,1.009328596
2011-03-30,126.831825,130.279999,130.919998,130.119995,130.360001,232700,17.71,0.38,0.27,0.35,0.4,0.03,24,0.54,129.0827492,129.1309225,-0.048173357,-35.74093164,-20.63341109,-9.341699162
2011-03-31,126.637253,130.479996,130.759995,130,130.160004,126000,17.74,0.42,0.27,0.31,0.39,0.11,24,0.56,128.706519,128.9462063,-0.239687276,-36.0809493,-26.91933704,-19.11433343
2011-04-01,126.676163,129.440002,130.440002,129.039993,130.199997,357600,17.4,0.42,0.27,0.31,0.39,0.11,27,0.51,128.3941565,128.7780549,-0.383898383,-22.99442394,-29.58852878,-25.71375897
2011-04-04,126.987503,129.759995,131.039993,129.559998,130.520004,132400,17.5,0.42,0.27,0.31,0.39,0.11,31,0.59,128.1777483,128.6454214,-0.467673144,-19.96582884,-30.20659518,-28.90482033
2011-04-05,127.298836,130.720001,131.039993,130,130.839996,137000,17.25,0.42,0.27,0.31,0.39,0.11,35,0.56,128.042531,128.5456744,-0.503143351,-16.93730184,-26.34388711,-28.71300369
