Date,Price,Open,High,Low,Vol.,Change %,Fast%K(K),Slow%K(D),Slow%D(J),Jbinary(50),macd,macds,macdo
2006-06-22,4.41,4.5,4.51,4.36,3400000,-0.0243,88,75.51666667,74.89444444,1,0,0,0
2006-06-23,4.4,4.39,4.47,4.34,852800,-0.0023,73.33333333,71.91666667,76.80128205,1,-0.000224359,-0.000124644,-9.97E-05
2006-06-26,4.41,4.41,4.44,4.38,905600,0.0023,77.5,77.25,81.22954823,1,2.42E-05,-6.36E-05,8.79E-05
2006-06-27,4.25,4.42,4.42,4.25,1600000,-0.0363,78.75,81.23717949,86.23901099,1,-0.005640052,-0.001952664,-0.003687388
2006-06-28,4.3,4.27,4.31,4.21,1590000,0.0118,60,85.2014652,90.88493116,1,-0.006609581,-0.003337992,-0.003271589
2006-06-29,4.56,4.35,4.56,4.33,2820000,0.0605,70,92.27838828,94.0836366,1,0.004049591,-0.001335546,0.005385137
2006-06-30,4.52,4.59,4.59,4.51,3790000,-0.0088,100,95.17494,93.59770921,1,0.009003602,0.001281016,0.007722585
2006-07-03,4.57,4.55,4.57,4.54,595200,0.0111,97.43589744,94.79758151,92.09657513,1,0.014558642,0.00447188,0.010086763
2006-07-05,4.39,4.48,4.49,4.38,2480000,-0.0394,98.57142857,90.82060611,90.47336398,1,0.009253432,0.005576442,0.00367699
2006-07-06,4.36,4.41,4.44,4.35,1340000,-0.0068,95.38461538,90.67153778,87.02424753,1,0.003810151,0.00518069,-0.001370539
2006-07-07,4.27,4.28,4.37,4.24,1150000,-0.0206,84.48275862,89.92794804,79.09944391,1,-0.004971485,0.002959452,-0.007930938
2006-07-10,4.2,4.31,4.32,4.16,2000000,-0.0164,98.11320755,80.47325678,68.57801689,1,-0.015187273,-0.000937703,-0.01424957
2006-07-11,4.26,4.17,4.28,4.13,2650000,0.0143,77.55102041,66.8971269,56.47503239,1,-0.019172822,-0.004796888,-0.014375934
2006-07-12,4.1,4.24,4.25,4.07,3650000,-0.0376,97.82608696,58.363667,46.85135405,0,-0.03118003,-0.010316261,-0.02086377
2006-07-13,3.97,4.12,4.12,3.96,6690000,-0.0317,91.66666667,44.16430327,37.91674545,0,-0.047551852,-0.018034957,-0.029516896
2006-07-14,3.88,3.95,3.96,3.84,3460000,-0.0227,37.20930233,38.02609189,31.69975421,0,-0.064835485,-0.027666156,-0.037169328
2006-07-17,3.9,3.92,3.94,3.85,2470000,0.0052,30.23255814,31.55984118,26.12917796,0,-0.07597437,-0.037550372,-0.038423998
2006-07-18,3.92,3.94,3.95,3.79,6510000,0.0051,34.88372093,25.51332955,21.70971445,0,-0.08231128,-0.04666678,-0.0356445
2006-07-19,4.01,3.92,4.07,3.91,4240000,0.023,26.82926829,21.31436314,17.01849195,0,-0.080406693,-0.053513433,-0.026893259
2006-07-20,3.9,4.06,4.06,3.9,3000000,-0.0274,60.97560976,18.30145066,14.19268212,0,-0.085138728,-0.059912266,-0.025226462
2006-07-21,3.81,3.83,3.88,3.81,4660000,-0.0231,4.87804878,11.43966204,14.17908605,0,-0.093728739,-0.066738521,-0.026990217
