Date,Price,Open,High,Low,Vol.,Change %,Fast%K(K),Slow%K(D),Slow%D(J),Jbinary(50),macd,macds,macdo
2010-02-12,5084.8,5143.04,5182.07,5038.69,60,0.0185,95.30155291,84.07356527,75.76677614,1,0,0,0
2010-02-16,4791.68,4952.06,4956.16,4773.76,100,-0.0576,99.36192729,74.89996942,70.40139474,1,-6.576410256,-3.653561254,-2.922849003
2010-02-17,4726.4,4750.72,4764.16,4702.73,90,-0.0136,80.54245283,68.32679373,69.14249029,1,-10.40398089,-6.420126679,-3.983854212
2010-02-18,4604.15,4744.96,4744.96,4595.2,370,-0.0259,80.38331454,67.97742106,71.69955471,1,-16.30364958,-9.768203543,-6.535446038
2010-02-19,4591.36,4637.44,4667.52,4542.08,880,-0.0028,64.77857878,71.12325608,77.55759123,1,-19.67515197,-12.71529672,-6.959855252
2010-02-22,4615.68,4542.08,4622.08,4542.08,150,0.0053,49.43357364,75.997987,84.02671455,1,-20.29211726,-14.76903635,-5.523080906
2010-02-23,4744.41,4632.46,4748.16,4573.44,530,0.0279,66.49604885,85.55153061,89.63725108,1,-14.50657252,-14.70261376,0.196041238
2010-02-24,4617.6,4696.32,4721.92,4590.08,750,-0.0267,78.79558948,90.53062605,92.15891601,1,-16.42500008,-15.11653558,-1.308464497
2010-02-25,4677.76,4826.24,4856.32,4677.76,710,0.013,96.11248966,92.82959658,93.74406689,1,-14.51880512,-14.97845688,0.459651759
2010-02-26,4677.76,4669.44,4745.6,4641.92,560,0,89.15223336,93.11652538,94.06548963,1,-12.95536942,-14.52516785,1.569798424
2010-03-01,4575.36,4621.44,4638.08,4559.36,320,-0.0219,97.20129171,95.28607871,94.51523454,1,-17.09933608,-15.08838115,-2.010954936
2010-03-02,4577.92,4544,4581.76,4508.8,440,0.0006,91.39152603,93.79386479,94.14756589,1,-19.76422846,-16.09255705,-3.671671405
2010-03-03,4579.78,4536.96,4599.04,4492.8,280,0.0004,90.29044215,94.46576012,93.95597782,1,-21.37333622,-17.2101534,-4.163182829
2010-03-04,4515.19,4552.96,4569.6,4512,190,-0.0141,97.54713365,94.18307276,92.39875797,1,-26.04356889,-19.05811051,-6.985458379
2010-03-05,4357.12,4480,4480,4351.37,1270,-0.035,100,93.21910057,91.10308577,1,-38.61346372,-23.11180795,-15.50165577
2010-03-08,4373.76,4355.84,4375.04,4355.84,130,0.0038,89.74022211,89.79410057,89.90379827,1,-46.65688257,-27.95720878,-18.69967379
2010-03-09,4354.56,4377.55,4382.08,4313.6,330,-0.0044,94.75100267,90.29605615,90.33440012,1,-53.40028598,-33.16304933,-20.23723665
2010-03-10,4346.24,4342.4,4378.24,4313.6,300,-0.0019,88.87700535,89.62123809,90.13837533,1,-58.43366417,-38.30988953,-20.12377464
2010-03-11,4288.65,4365.44,4408.96,4288.64,400,-0.0133,92.72727273,91.08590611,88.98772444,1,-65.28545207,-43.78389071,-21.50156136
2010-03-12,4273.28,4234.88,4303.36,4234.88,690,-0.0036,82.875,89.70798178,87.76747832,1,-70.78051589,-49.24619179,-21.5343241
2010-03-15,4250.88,4282.88,4322.56,4248.96,210,-0.0052,92.25,86.16928542,87.30854577,1,-75.65978499,-54.57808849,-21.08169649
2010-03-16,4188.16,4231.04,4270.72,4188.16,490,-0.0148,91.37691238,87.42516777,87.63088041,1,-82.74287731,-60.25291912,-22.4899582
2010-03-17,4145.92,4167.04,4167.04,4101.76,280,-0.0101,96.20034542,88.33118411,86.88436734,1,-90.12492049,-66.26279544,-23.86212505
2010-03-18,4088.32,4128.64,4133.12,4082.56,280,-0.0139,85.83765112,87.13628934,87.36580301,1,-98.75444774,-72.791959,-25.96248873
2010-03-19,4133.76,4046.08,4174.72,4043.52,570,0.0111,65.18151815,85.18562856,87.37329299,1,-101.1455639,-78.4841846,-22.66137931
2010-03-22,4071.68,4175.36,4181.12,4056.96,510,-0.015,98.52941176,89.77549111,87.12523309,1,-106.180622,-84.0402643,-22.14035766
2010-03-23,3964.8,4055.68,4071.03,3959.67,550,-0.0262,95.90699411,87.15875928,85.02890737,1,-116.4387795,-90.53567227,-25.90310722
2010-03-24,4015.36,3994.88,4026.88,3967.36,270,0.0128,90.22587157,84.44144886,84.02105118,1,-119.4649548,-96.33274194,-23.13221288
2010-03-25,4008.97,3943.04,4016.64,3891.21,500,-0.0016,76.08434721,83.48651396,82.96107969,1,-120.8974116,-101.2532901,-19.64412157
2010-03-26,3996.8,3987.2,4030.71,3941.11,300,-0.003,88.13083092,84.13519073,81.75217285,1,-121.4964044,-105.3069311,-16.18947332
2010-03-29,3946.88,3960.96,3965.44,3934.07,320,-0.0125,85.44575261,81.26153439,80.01990819,1,-124.2075778,-109.0908078,-15.11677001
2010-03-30,3943.04,3950.08,3969.27,3810.56,210,-0.001,82.32044199,79.85979342,79.93566144,1,-125.1717502,-112.3095464,-12.86220373
