Date,Adj Close,Open,High,Low,Close,Volume,VIX,Bullish,Neutral,Bearish,Bullish 8-Week Mov Avg,Bull-Bear Spread,Fear Greed,Put Call,12 Day EMA,26 Day EMA,macd,Fast %K,Slow %K(D),Slow %D(J)
2011-02-08,80.698158,83.360001,83.580002,83,83.019997,821500,15.81,0.52,0.22,0.27,0.52,0.25,56,0.52,82.10565882,83.08786296,-0.982204145,-62.21199639,-73.60499876,-75.01949041
2011-02-09,80.931442,83.279999,83.660004,83.019997,83.260002,739000,15.87,0.52,0.22,0.27,0.52,0.25,56,0.52,81.92501008,82.92812808,-1.003118,-55.9070183,-69.21058644,-73.26750193
2011-02-10,80.892555,83.699997,83.860001,83.139999,83.220001,523100,16.09,0.49,0.24,0.27,0.52,0.22,56,0.55,81.76617083,82.77734488,-1.011174052,-61.26290043,-64.40322557,-69.07293692
2011-02-11,80.3871,83.519997,83.559998,82.599998,82.699997,730200,15.69,0.49,0.24,0.27,0.52,0.22,56,0.51,81.55400609,82.60028971,-1.046283619,-57.62749205,-59.18362443,-64.26581215
2011-02-14,80.192703,82.739998,82.839996,82.459999,82.5,678500,15.95,0.49,0.24,0.27,0.52,0.22,61,0.51,81.34457484,82.42194995,-1.077375107,-56.96719324,-58.79532008,-60.79405669
2011-02-15,80.464859,82.739998,83,82.660004,82.779999,448300,16.37,0.49,0.24,0.27,0.52,0.22,61,0.53,81.20923395,82.27698025,-1.067746306,-50.12910794,-56.37874239,-58.11922897
2011-02-16,79.939964,82.480003,82.639999,82.139999,82.239998,851700,16.72,0.49,0.24,0.27,0.52,0.22,61,0.58,81.01396165,82.10386794,-1.08990629,-51.16356896,-55.43005252,-56.86803833
2011-02-17,79.687241,82.519997,82.559998,81.879997,81.980003,619900,16.59,0.47,0.28,0.26,0.5,0.21,61,0.5,80.80985078,81.92485853,-1.115007756,-48.08670166,-52.79481277,-54.86786923
2011-02-18,79.551155,81.900002,82.120003,81.720001,81.839996,589200,16.43,0.47,0.28,0.26,0.5,0.21,56,0.61,80.61620527,81.74902864,-1.132823369,-47.7719278,-50.82369992,-53.01618841
2011-02-22,81.125854,82.68,83.68,82.239998,83.459999,1592200,20.8,0.47,0.28,0.26,0.5,0.21,42,0.68,80.69461277,81.70286756,-1.008254788,-17.27170005,-42.88460128,-48.83437132
2011-02-23,81.611877,83.540001,84.5,83.300003,83.959999,2025500,22.13,0.47,0.28,0.26,0.5,0.21,42,0.72,80.83573034,81.69612752,-0.860397173,-3.29646442,-33.51807258,-42.40879126
2011-02-24,81.689636,84.059998,84.839996,83.739998,84.040001,1809600,21.32,0.37,0.27,0.36,0.48,0,42,0.71,80.96710044,81.69564666,-0.728546219,-0.925762477,-23.47051128,-33.29106171
2011-02-25,80.795372,83.660004,83.739998,83.080002,83.120003,697600,19.22,0.37,0.27,0.36,0.48,0,42,0.49,80.94068068,81.62895965,-0.688278968,-29.63559236,-19.78028942,-25.58962443
2011-02-28,80.289902,82.779999,83.080002,82.5,82.599998,1046900,18.35,0.37,0.27,0.36,0.48,0,43,0.53,80.84056089,81.5297702,-0.689209309,-45.83657987,-19.39321984,-20.88134018
2011-03-01,81.63131,82.300003,84,82.260002,83.980003,1199300,21.01,0.37,0.27,0.36,0.48,0,43,0.64,80.9622146,81.53729166,-0.575077067,-2.842664812,-16.50741279,-18.56030735
2011-03-02,81.475792,84.139999,84.220001,83.440002,83.82,1040300,20.7,0.37,0.27,0.36,0.48,0,42,0.55,81.0412265,81.53273613,-0.491509628,-7.827224082,-17.41356472,-17.77139911
2011-03-03,80.056618,83.040001,83.059998,82.260002,82.360001,980000,18.6,0.37,0.3,0.33,0.46,0.04,41,0.55,80.88974827,81.42339405,-0.533645775,-53.31364313,-27.89114085,-20.60403945
2011-03-04,80.639839,82.400002,83.519997,82.360001,82.959999,1168100,19.06,0.37,0.3,0.33,0.46,0.04,39,0.57,80.85130069,81.36535293,-0.514052241,-34.6206324,-28.88814886,-24.73095148
2011-03-07,81.281387,82.699997,84.080002,82.540001,83.620003,1184600,20.66,0.37,0.3,0.33,0.46,0.04,35,0.64,80.91746782,81.35913323,-0.441665418,-14.05816355,-22.5324656,-26.43725177
2011-03-08,80.562073,83.5,83.860001,82.639999,82.879997,970000,19.82,0.37,0.3,0.33,0.46,0.04,27,0.54,80.86279169,81.30009174,-0.437300045,-37.1131364,-29.38655991,-26.93572479
2011-03-09,80.678711,83.080002,83.5,82.779999,83,515400,20.22,0.37,0.3,0.33,0.46,0.04,26,0.6,80.83447158,81.25406353,-0.419591949,-33.37473297,-34.49606169,-28.80502907
2011-03-10,82.175644,83.919998,84.639999,83.900002,84.540001,1840400,21.88,0.36,0.32,0.32,0.44,0.04,26,0.73,81.0408058,81.32232875,-0.281522951,14.60396571,-20.91253992,-28.26505384
2011-03-11,81.59243,84.879997,84.879997,83.68,83.940002,2687500,20.08,0.36,0.32,0.32,0.44,0.04,26,0.62,81.12567106,81.34233625,-0.216665189,-4.037062072,-14.79582586,-23.40147582
2011-03-14,82.078445,84.519997,85.120003,84.199997,84.440002,2199700,21.13,0.36,0.32,0.32,0.44,0.04,13,0.67,81.27225167,81.39686283,-0.124611157,-5.609469428,-13.10608703,-16.27148427
2011-03-15,83.031029,86.760002,86.800003,84.940002,85.419998,2698200,24.32,0.36,0.32,0.32,0.44,0.04,13,0.71,81.5428328,81.51791217,0.024920624,16.98296983,-2.286865787,-10.06292623
2011-03-16,84.586281,85.720001,87.599998,85.440002,87.019997,4195100,29.4,0.36,0.32,0.32,0.44,0.04,11,0.79,82.0110556,81.74519875,0.265856845,43.56330979,13.10074276,-0.764070018
2011-03-17,83.478172,85.82,86.400002,85.5,85.879997,2456200,26.37,0.28,0.31,0.4,0.41,-0.12,9,0.71,82.23676581,81.87356714,0.363198672,22.81218937,14.7423875,8.518754825
2011-03-18,83.128227,84.800003,85.720001,84.800003,85.519997,1808300,24.44,0.28,0.31,0.4,0.41,-0.12,9,0.67,82.37391369,81.96650491,0.407408779,16.25890731,18.80158137,15.54823721
2011-03-21,81.864601,84.440002,84.580002,84.040001,84.220001,1265500,20.61,0.28,0.31,0.4,0.41,-0.12,14,0.49,82.29555789,81.95895647,0.336601419,-7.404518655,18.44257153,17.3288468
2011-03-22,82.117317,84.18,84.580002,84.120003,84.480003,740900,20.21,0.28,0.31,0.4,0.41,-0.12,15,0.55,82.26813621,81.97068688,0.297449334,-2.672005747,14.51157641,17.25190977
