Date,Price,Open,High,Low,Vol.,Change %,Fast%K(K),Slow%K(D),Slow%D(J),Jbinary(50),Macd,Macds,Macdo
2010-02-12,1.74,1.68,1.75,1.67,2.15,0.00580 ,2.325581395,15.50724488,20.21002616,0,0.000224359,0.000124644,9.97E-05
2010-02-16,1.8,1.78,1.81,1.75,2.4,0.03450 ,9.756097561,21.2921286,22.62716582,0,0.002146474,0.000953263,0.001193211
2010-02-17,1.84,1.83,1.84,1.8,4.79,0.02220 ,20.45454545,23.83070501,22.28582222,0,0.00441227,0.002125013,0.002287257
2010-02-18,1.87,1.83,1.88,1.82,9.72,0.01630 ,20,22.75866384,19.7093976,0,0.006744349,0.003499161,0.003245188
2010-02-19,1.87,1.86,1.89,1.84,11.62,0.00000 ,25,20.26809781,15.40698669,0,0.008019474,0.004724417,0.003295057
2010-02-22,1.86,1.89,1.89,1.84,6.38,-0.00530 ,31.25,16.10143114,10.78004617,0,0.008246074,0.005615655,0.002630419
2010-02-23,1.78,1.85,1.86,1.76,10.28,-0.04300 ,22.44897959,9.851431138,7.048525748,0,0.004460646,0.005338084,-0.000877438
2010-02-24,1.84,1.82,1.86,1.81,8.83,0.03370 ,15.09433962,6.387276246,5.351739456,0,0.004748256,0.005201831,-0.000453575
2010-02-25,1.84,1.78,1.85,1.74,11.4,0.00000 ,7.547169811,4.90686986,4.717078868,0,0.004883197,0.005130439,-0.000247242
2010-02-26,1.86,1.83,1.87,1.81,7.2,0.01090 ,4.166666667,4.761072261,4.575887076,0,0.005977736,0.005315822,0.000661914
2010-03-01,1.94,1.88,1.95,1.88,3.56,0.04300 ,0,4.483294483,4.141414141,0,0.011093348,0.006556593,0.004536756
2010-03-02,1.95,1.96,1.99,1.95,6.06,0.00520 ,5.128205128,4.483294483,3.286713287,0,0.015304949,0.008408049,0.0068969
2010-03-03,1.96,1.97,1.99,1.94,5.99,0.00510 ,7.692307692,3.457653458,2.510800311,0,0.01883817,0.010590038,0.008248132
2010-03-04,1.98,1.97,1.99,1.94,3.68,0.01020 ,6.818181818,1.919191919,4.024915825,0,0.022449225,0.01304837,0.009400855
2010-03-05,2.07,2.03,2.08,2.02,3.36,0.04550 ,2.777777778,2.155555556,7.004232804,0,0.030365579,0.016612123,0.013753456
2010-03-08,2.08,2.07,2.1,2.07,3.17,0.00480 ,0,8,10.46031746,0,0.036644914,0.020710979,0.015933935
2010-03-09,2.12,2.07,2.15,2.07,5.8,0.01920 ,0,10.85714286,13.12767426,0,0.043526003,0.025357691,0.018168311
2010-03-10,2.17,2.12,2.18,2.12,5.01,0.02360 ,0,12.52380952,15.90931677,0,0.051492209,0.030661024,0.020831185
2010-03-11,2.19,2.16,2.19,2.14,6.74,0.00920 ,8,16.00207039,18.4712062,0,0.058314458,0.036256219,0.022058239
2010-03-12,2.2,2.22,2.22,2.17,4.51,0.00460 ,32,19.20207039,19.1435166,0,0.063548183,0.041765425,0.021782757
2010-03-15,2.18,2.18,2.2,2.14,5.3,-0.00910 ,14.28571429,20.2094778,19.05381984,0,0.065501463,0.046547921,0.018953541
2010-03-16,2.22,2.2,2.23,2.18,5.82,0.01830 ,8.333333333,18.01900161,18.42128127,0,0.068957312,0.051056413,0.017900899
2010-03-17,2.24,2.23,2.27,2.22,4.97,0.00900 ,17.39130435,18.9329801,18.63318714,0,0.072202414,0.05530568,0.016896734
2010-03-18,2.26,2.25,2.27,2.23,6.55,0.00890 ,24,18.31186209,17.02367867,0,0.075267059,0.059313095,0.015953964
2010-03-19,2.22,2.29,2.29,2.2,5,-0.01770 ,37.03703704,18.65471924,16.73232065,0,0.073961999,0.062251757,0.011710241
2010-03-22,2.28,2.2,2.31,2.19,7.35,0.02700 ,3.333333333,14.10445469,16.99027138,0,0.076333839,0.065075,0.011258839
2010-03-23,2.33,2.3,2.33,2.26,6.91,0.02190 ,12.90322581,17.43778802,18.86522759,0,0.080868763,0.068239874,0.012628889
2010-03-24,2.3,2.31,2.32,2.28,11.15,-0.01290 ,14.28571429,19.42857143,19.21559998,0,0.081304013,0.070856751,0.010447262
2010-03-25,2.28,2.35,2.38,2.28,11.74,-0.00870 ,25.71428571,19.72932331,18.3103573,0,0.079247552,0.072536991,0.00671056
2010-03-26,2.29,2.31,2.34,2.26,10.53,0.00440 ,14.28571429,18.48890519,16.71227141,0,0.077454597,0.073521488,0.00393311
2010-03-29,2.32,2.33,2.35,2.31,4.75,0.01310 ,20,16.71284341,15.300145,0,0.077365985,0.074290997,0.003074988
2010-03-30,2.35,2.34,2.37,2.3,4.99,0.01290 ,22.85714286,14.93506564,14.16814834,0,0.078624513,0.07515825,0.003466264
2010-03-31,2.32,2.32,2.35,2.3,7.44,-0.01280 ,15.78947368,14.25252595,12.77237571,0,0.07646746,0.075420225,0.001047235
2010-04-01,2.31,2.34,2.39,2.26,14.57,-0.00430 ,19.51219512,13.31685344,11.75657646,0,0.073150782,0.074966152,-0.00181537
2010-04-05,2.38,2.33,2.39,2.31,8.44,0.03030 ,5.405405405,10.74774775,12.97859398,0,0.074978172,0.074968557,9.62E-06
2010-04-06,2.4,2.36,2.42,2.35,7.34,0.00840 ,11.11111111,11.20512821,18.10850985,0,0.077055958,0.075386145,0.001669813
2010-04-07,2.38,2.39,2.42,2.34,13.28,-0.00830 ,19.44444444,16.98290598,28.42988091,0,0.076279313,0.075564816,0.000714497
2010-04-08,2.39,2.36,2.41,2.32,8.71,0.00420 ,11.11111111,26.13749535,42.51844774,0,0.07555658,0.075563169,-6.59E-06
2010-04-09,2.44,2.4,2.44,2.38,7.26,0.02090 ,6.666666667,42.16924139,58.70403992,1,0.07794313,0.076039224,0.001903906
2010-04-12,2.45,2.44,2.46,2.43,6.1,0.00410 ,7.692307692,59.24860647,72.85788608,1,0.079683513,0.076768159,0.002915353
2010-04-13,2.48,2.44,2.49,2.42,8.4,0.01220 ,40,74.69427191,83.21417069,1,0.082438363,0.077902297,0.004536067
2010-04-14,2.57,2.52,2.57,2.51,7.64,0.03630 ,65.2173913,84.63077985,88.10443984,1,0.090587618,0.080439534,0.010148085
2010-04-15,2.6,2.57,2.61,2.57,5.72,0.01170 ,91.26984127,90.31746032,89.94708995,1,0.098249016,0.084001624,0.014247392
2010-04-16,2.51,2.58,2.6,2.46,16.18,-0.03460 ,92.06349206,89.36507937,90.79365079,1,0.096151786,0.086431762,0.009720024
2010-04-19,2.51,2.49,2.53,2.42,14.09,0.00000 ,84.92063492,90.15873016,92.48290102,1,0.093408892,0.087827237,0.005581655
