Date,Open,High,Low,Close,Adj Close,Volume,Fast%K(K),Slow%K(D),Slow%D(J),Jbinary(50),macd,macds,macdo
2009-05-18,65.13,66.43,65.13,66.43,59.56,2700,53.55365939,54.05376914,60.11160662,1,0.29228331,0.368000566,-0.075717257
2009-05-19,66.83,67.2,66.8,66.88,59.96,1100,81.65290166,55.39083326,55.75411297,1,0.35760637,0.365909383,-0.008303013
2009-05-20,66.56,66.56,65.89,65.89,59.08,300,71.60485597,60.73417793,56.72626011,1,0.343623165,0.361430991,-0.017807826
2009-05-21,65.28,68.75,65.28,68.65,61.55,800,20.22982539,54.03634668,56.72045263,1,0.500387737,0.389327731,0.111060006
2009-05-22,69.97,70.43,69.22,70.17,62.91,2500,92.37149001,63.88254648,59.5510237,1,0.712051334,0.454068117,0.257983217
2009-05-26,69.47,71.81,69.47,71.78,64.36,6400,68.42107607,66.85602982,61.591641,1,0.971425702,0.557790419,0.413635282
2009-05-27,72,75.04,71.9,74.7,66.98,9600,71.42855934,64.81116136,65.18324589,1,1.349687545,0.716476789,0.633210757
2009-05-28,73.7,75.5,72.7,73.48,65.88,4700,83.78375383,67.24694093,66.3047107,1,1.549828631,0.883405467,0.666423164
2009-05-29,73.33,73.33,69.97,70.12,62.87,4400,80.45046495,79.29106884,70.44972371,1,1.469466927,1.00076304,0.468703886
2009-06-01,73.27,74.73,72.61,74.14,66.47,4900,79.90987926,76.79874669,74.44558549,1,1.652970752,1.131333894,0.521636858
2009-06-02,73.55,74.47,73.23,73.3,65.72,2500,82.43245629,79.60102274,78.56361276,1,1.722020918,1.249564971,0.472455948
2009-06-03,72.6,72.6,71.27,71.61,64.21,11700,73.87385115,80.0900811,78.82995018,1,1.644281037,1.328558252,0.315722785
2009-06-04,73.18,74.43,72.89,74.41,66.72,2300,79.09909533,79.1531494,79.61475108,1,1.751428152,1.413175138,0.338253014
2009-06-05,75.41,77.16,75.41,76.71,68.78,7300,86.24214053,80.31148451,79.85157167,1,1.969215983,1.524428437,0.444787546
2009-06-08,76.44,77.99,76.05,77.99,69.93,21000,88.51003536,82.03151573,80.49871655,1,2.203380887,1.660263008,0.54311788
2009-06-09,76.8,77.5,76.66,77.21,69.23,4600,90.74654038,83.69433255,82.01244427,1,2.308365282,1.789917123,0.518448159
2009-06-10,78.26,79.65,77.4,78.87,70.72,13800,90.3270723,86.98497678,84.23694169,1,2.476981922,1.927358628,0.549623294
2009-06-11,79.07,79.21,76,77.31,69.32,25300,95.96380043,90.3579178,87.01240904,1,2.473916583,2.036688385,0.437228199
2009-06-12,76.84,76.84,75,75.57,67.76,9600,80.44533463,89.19855662,88.8471504,1,2.32394975,2.094148295,0.229801455
2009-06-15,74.71,74.74,73.88,74.19,66.52,12900,52.6366009,82.02386973,87.19344805,1,2.084865217,2.092291482,-0.007426265
2009-06-16,74.7,74.7,72.84,72.84,65.31,11100,51.37520124,74.1496019,81.79067608,1,1.780779559,2.029983797,-0.249204238
2009-06-17,72.49,73.21,71.7,73.19,65.62,17700,26.03302417,61.29079227,72.48808797,1,1.546186948,1.933217842,-0.387030894
2009-06-18,74.37,76.34,71.03,76.3,68.41,24400,45.45456142,51.18894447,62.20977955,1,1.560393896,1.858648993,-0.298255097
2009-06-19,76.8,76.8,74.89,75.22,67.44,6200,70.55786461,49.21145047,53.8970624,1,1.478514793,1.782618841,-0.304104048
2009-06-22,73.37,74.11,73.21,73.34,65.76,7600,27.14620865,44.11337202,48.17125565,0,1.267054553,1.67950239,-0.412447837
2009-06-23,73.53,73.53,72.17,72.36,64.88,24100,29.00231009,39.63879379,44.32120543,0,1.018503749,1.547298977,-0.528795228
2009-06-24,73.02,73.47,71.85,73.13,65.57,5900,23.08581563,39.04935208,40.9338393,0,0.865972749,1.411030692,-0.545057944
2009-06-25,73.15,73.25,70.18,70.33,63.06,8500,31.36221091,36.23088198,38.30634262,0,0.540655904,1.236952629,-0.696296725
2009-06-26,70.28,70.29,69.69,69.83,62.61,3900,5.923664659,23.30404199,32.86142535,0,0.244493784,1.038458027,-0.793964243
2009-06-29,68.99,69.73,68.89,69.32,62.15,9500,0.929358477,18.06067195,25.86519864,0,-0.026289961,0.825505998,-0.851795959
2009-06-30,70.78,70.81,69.22,69.94,62.71,3400,17.56505086,15.77322011,19.04597802,0,-0.194169688,0.621568998,-0.815738686
2009-07-01,71.04,71.29,70.29,70.29,63.02,2100,19.98142566,15.15234211,16.32874472,0,-0.299107612,0.43743233,-0.736539943
2009-07-02,69.83,69.83,68.96,68.96,61.83,2400,9.108556202,10.70161117,13.87572446,0,-0.47143623,0.255657556,-0.727093786
2009-07-06,69.86,70.25,69.35,69.52,62.33,3700,12.20128762,11.95713576,12.60369635,0,-0.561691047,0.092187071,-0.653878117
2009-07-07,69.9,70,68.41,68.58,61.49,5000,17.75921547,15.32310716,12.66061803,0,-0.692148671,-0.064680665,-0.627468006
