Date,Price,Open,High,Low,Vol.,Change %,Fast%K(K),Slow%K(D),Slow%D(J),Jbinary(50),macd,macds,macdo
2007-01-26,35.12,34.75,35.2,34.33,82600,-0.0101,11.83098592,6.367867562,11.06120799,0,0,0,0
2007-01-29,35.66,35.2,35.88,35.2,76800,0.0154,0,8.536083334,18.2942376,0,0.012115385,0.006730769,0.005384615
2007-01-30,36.09,35.85,36.09,35.54,69800,0.0121,9.779179811,18.27967308,29.28535127,0,0.028771679,0.015763929,0.01300775
2007-01-31,36.22,35.7,36.59,35.67,64800,0.0036,0.917431193,28.06695638,41.35692838,0,0.040335768,0.024087723,0.016248045
2007-02-01,37.03,36.7,37.03,36.51,68600,0.0224,9.311740891,41.50942434,54.16273682,1,0.078002116,0.040126036,0.03787608
2007-02-02,37.09,37.03,37.2,36.9,33600,0.0016,22.67206478,54.49440441,63.9146561,1,0.101744153,0.056827971,0.044916182
2007-02-05,36.8,36.94,37.17,36.72,64800,-0.0078,48.71794872,66.4843817,70.24094878,1,0.102080157,0.068280092,0.033800065
2007-02-06,37.15,37.14,37.17,36.63,45800,0.0095,58.71559633,70.7651822,73.17087405,1,0.117310078,0.08006292,0.037247158
2007-02-07,37.76,37.27,37.76,37.11,60000,0.0164,68.12977099,73.47328244,74.82638242,1,0.156335909,0.097682359,0.05865355
2007-02-08,37.75,37.59,37.84,37.58,8400,-0.0003,74.23664122,75.27415751,75.32512567,1,0.181230183,0.116401921,0.064828262
2007-02-09,36.98,37.8,37.8,36.52,15400,-0.0204,82.62195122,75.73170732,75.84349593,1,0.155655386,0.124990355,0.030665031
2007-02-12,36.58,36.98,36.98,36.47,25600,-0.0108,70.12195122,74.9695122,77.35772358,1,0.112815181,0.122375638,-0.009560457
2007-02-13,37.37,37.12,37.38,36.95,47000,0.0216,72.25609756,76.82926829,80.50813008,1,0.12417284,0.122755989,0.001416851
2007-02-14,37.47,37.44,37.87,37.32,47600,0.0027,77.13414634,80.27439024,84.3468532,1,0.136857069,0.125705945,0.011151124
2007-02-15,37.63,37.4,37.84,37.27,32800,0.0043,76.52439024,84.42073171,88.37789846,1,0.154171376,0.131606644,0.022564732
2007-02-16,37.79,37.55,37.88,37.1,73200,0.0043,78.81097561,88.34543763,91.52741182,1,0.175075545,0.140552219,0.034523326
2007-02-20,38.6,37.59,38.71,37.29,60000,0.0214,79.42073171,92.36752603,91.50347051,1,0.238971702,0.160689569,0.078282133
2007-02-21,38.7,38.25,38.7,38.15,223600,0.0026,89.48170732,93.8692718,86.46512156,1,0.291277146,0.187286207,0.103990939
2007-02-22,38.91,38.8,38.94,38.23,86000,0.0054,97.86585366,88.27361371,78.06787187,1,0.341402761,0.218560224,0.122842537
2007-02-23,38.66,38.62,38.78,38.29,54200,-0.0064,96.14791988,77.25247918,66.19754749,1,0.359621057,0.247101448,0.112519609
2007-02-26,38.37,38.8,38.87,37.81,145750,-0.0075,98.92141757,68.67752274,53.57508796,1,0.350200606,0.267913235,0.082287371
2007-02-27,35.06,36.57,37.2,35.04,304400,-0.0863,86.92946058,52.66264056,42.25398506,0,0.116711933,0.237448182,-0.120736249
2007-02-28,35.51,35.08,35.89,34.58,179600,0.0128,61.50341686,39.38510058,36.47542602,0,-0.035181125,0.182598545,-0.217779671
2007-03-01,35.26,34.27,35.63,33.7,86600,-0.007,42.760181,34.71421405,35.21300708,0,-0.16992458,0.111759392,-0.281683972
2007-03-02,33.85,34.74,35.06,33.78,137800,-0.04,53.2731377,35.32696341,37.69728335,0,-0.370710815,0.014899424,-0.385610239
2007-03-05,32.38,33.23,34.06,32.38,223400,-0.0434,18.84700665,35.59784377,41.5254067,0,-0.625886579,-0.113646282,-0.512240296
2007-03-06,34.2,33.37,34.45,33.25,235600,0.0562,20.54176072,42.16704289,44.05894209,0,-0.6883855,-0.228872726,-0.459512774
2007-03-07,33.69,34.15,34.38,33.68,272200,-0.0149,38.1489842,46.81133345,41.70284551,0,-0.765561744,-0.336418554,-0.42914319
2007-03-08,34.29,34.49,34.86,34.15,260000,0.0178,45.82392777,43.19844993,35.34024805,0,-0.773622267,-0.423994814,-0.349627453
2007-03-09,34.75,34.88,34.9,34.25,293000,0.0134,54.6275395,35.09875313,27.10611533,0,-0.737526057,-0.486778786,-0.250747272
