Date,Adj Close,Open,High,Low,Close,Volume,VIX,Bullish,Neutral,Bearish,Bullish 8-Week Mov Avg,Bull-Bear Spread,Fear Greed,Put Call,12 Day EMA,26 Day EMA,macd,Fast %K,Slow %K(D),Slow %D(J)
2011-02-08,22.97006,26.879999,26.950001,26.77,26.93,5188000,15.81,0.52,0.22,0.27,0.52,0.25,56,0.52,22.55790665,22.25915392,0.298752729,-206.1490722,-273.1152285,-303.8797198
2011-02-09,22.92741,26.889999,26.959999,26.799999,26.879999,5187200,15.87,0.52,0.22,0.27,0.52,0.25,56,0.52,22.61475332,22.30865437,0.306098948,-207.8314564,-245.0505762,-273.82105
2011-02-10,22.825058,26.67,26.83,26.57,26.76,7838400,16.09,0.49,0.24,0.27,0.52,0.22,56,0.55,22.64710789,22.34690649,0.300201393,-228.1704415,-225.5309011,-247.8989019
2011-02-11,22.944469,26.77,26.940001,26.700001,26.9,12749600,15.69,0.49,0.24,0.27,0.52,0.22,56,0.51,22.69285575,22.39117038,0.301685368,-218.693363,-214.8421261,-228.4745345
2011-02-14,22.978588,26.879999,26.99,26.870001,26.940001,5941800,15.95,0.49,0.24,0.27,0.52,0.22,61,0.51,22.73681456,22.4346828,0.302131759,-210.9624116,-214.3613489,-218.244792
2011-02-15,22.893297,26.889999,26.889999,26.74,26.84,6042400,16.37,0.49,0.24,0.27,0.52,0.22,61,0.53,22.76088878,22.46865422,0.292234559,-217.5741222,-216.6463589,-215.283278
2011-02-16,23.021235,26.92,27.02,26.84,26.99,6786500,16.72,0.49,0.24,0.27,0.52,0.22,61,0.58,22.80094204,22.50958613,0.291355914,-202.9369719,-215.667462,-215.55839
2011-02-17,23.063883,26.860001,27.07,26.84,27.040001,6648900,16.59,0.47,0.28,0.26,0.5,0.21,61,0.5,22.8413945,22.55064516,0.290749341,-192.4175127,-208.5168763,-213.6102324
2011-02-18,23.029764,27.07,27.09,26.93,27,6334100,16.43,0.47,0.28,0.26,0.5,0.21,56,0.61,22.87037442,22.58613544,0.28423898,-192.1035195,-203.1989076,-209.1277486
2011-02-22,22.466814,26.66,26.790001,26.290001,26.34,22346800,20.8,0.47,0.28,0.26,0.5,0.21,42,0.68,22.8082882,22.57729682,0.230991386,-391.8282979,-239.3720848,-217.0292896
2011-02-23,22.202404,26.25,26.299999,25.870001,26.030001,12255900,22.13,0.47,0.28,0.26,0.5,0.21,42,0.72,22.71507525,22.54952698,0.16554827,-300.6229513,-255.9818507,-232.8509477
2011-02-24,22.279167,26.049999,26.200001,25.83,26.120001,11331700,21.32,0.37,0.27,0.36,0.48,0,42,0.71,22.64801244,22.52950031,0.118512128,-281.8121429,-271.7568849,-255.7036068
2011-02-25,22.560637,26.290001,26.48,26.24,26.450001,7802900,19.22,0.37,0.27,0.36,0.48,0,42,0.49,22.63457007,22.53180674,0.102763331,-259.473254,-285.1680331,-270.9689229
2011-02-28,22.654463,26.540001,26.629999,26.379999,26.559999,9252300,18.35,0.37,0.27,0.36,0.48,0,43,0.53,22.63763052,22.54089238,0.096738133,-252.026746,-297.1526784,-284.6925321
2011-03-01,22.21946,26.610001,26.66,26.030001,26.049999,14544000,21.01,0.37,0.27,0.36,0.48,0,43,0.64,22.57329659,22.51708258,0.056214013,-286.5507937,-276.0971776,-286.1392964
2011-03-02,22.355932,26.09,26.41,26.059999,26.209999,9927300,20.7,0.37,0.27,0.36,0.48,0,42,0.55,22.53985589,22.5051455,0.034710387,-275.7196825,-271.1165238,-281.4554599
2011-03-03,22.714172,26.459999,26.639999,26.450001,26.629999,9558500,18.6,0.37,0.3,0.33,0.46,0.04,41,0.55,22.56667375,22.52062894,0.046044806,-247.2879365,-264.2116825,-270.475128
2011-03-04,22.535048,26.629999,26.629999,26.26,26.42,13890700,19.06,0.37,0.3,0.33,0.46,0.04,39,0.57,22.56180825,22.52169702,0.040111228,-261.504127,-264.6178571,-266.6486878
2011-03-07,22.245047,26.530001,26.530001,25.92,26.08,14804700,20.66,0.37,0.3,0.33,0.46,0.04,35,0.64,22.51307575,22.50120443,0.011871322,-284.5200794,-271.1165238,-266.6486878
2011-03-08,22.432695,26.1,26.41,26,26.299999,10963200,19.82,0.37,0.3,0.33,0.46,0.04,27,0.54,22.50070948,22.49612965,0.004579826,-269.627381,-267.7318413,-267.8220741
2011-03-09,22.338871,26.219999,26.290001,26.030001,26.190001,11863500,20.22,0.37,0.3,0.33,0.46,0.04,26,0.6,22.47581125,22.48448087,-0.008669613,-277.0737302,-268.0026508,-268.9503386
2011-03-10,21.920925,25.889999,25.91,25.66,25.700001,14795600,21.88,0.36,0.32,0.32,0.44,0.04,26,0.73,22.39044414,22.44273599,-0.05229185,-261.4737762,-270.8398187,-268.8581036
2011-03-11,22.006222,25.559999,25.9,25.559999,25.799999,11382200,20.08,0.36,0.32,0.32,0.44,0.04,26,0.62,22.33133304,22.41040162,-0.079068578,-232.2728547,-264.9935643,-267.9453446
2011-03-14,21.903866,25.67,25.85,25.530001,25.68,9614800,21.13,0.36,0.32,0.32,0.44,0.04,13,0.67,22.26556888,22.37288046,-0.107311581,-287.7884921,-265.6472468,-267.1602099
2011-03-15,21.579744,24.93,25.43,24.870001,25.299999,14894700,24.32,0.36,0.32,0.32,0.44,0.04,13,0.71,22.16005736,22.31412961,-0.154072252,-183.8133429,-248.4844392,-259.7084168
