Date,Adj Close,Open,High,Low,Close,Volume,VIX,Bullish,Neutral,Bearish,Bullish 8-Week Mov Avg,Bull-Bear Spread,Fear Greed,Put Call,12 Day EMA,26 Day EMA,macd,Fast %K,Slow %K(D),Slow %D(J)
2011-02-08,22.55501,32.040001,32.049999,31.91,32,3741200,15.81,0.52,0.22,0.27,0.52,0.25,56,0.52,22.4880143,22.39967512,0.08833918,-1482.787677,-1315.564079,-1217.115357
2011-02-09,22.55501,31.959999,32.040001,31.83,32,4290200,15.87,0.52,0.22,0.27,0.52,0.25,56,0.52,22.49832133,22.4111814,0.087139924,-1482.787677,-1375.63115,-1305.571741
2011-02-10,22.597307,31.969999,32.09,31.950001,32.060001,4245900,16.09,0.49,0.24,0.27,0.52,0.22,56,0.55,22.51354989,22.42496848,0.088581408,-1475.853731,-1436.722569,-1375.972599
2011-02-11,22.55501,32,32.18,31.940001,32,9252800,15.69,0.49,0.24,0.27,0.52,0.22,56,0.51,22.51992837,22.43460119,0.085327181,-1482.787677,-1481.169838,-1431.174519
2011-02-14,22.392899,31.98,32.02,31.65,31.77,4134400,15.95,0.49,0.24,0.27,0.52,0.22,61,0.51,22.50038539,22.43151214,0.068873252,-1534.514276,-1491.746207,-1469.879538
2011-02-15,22.463387,31.77,31.92,31.65,31.870001,3225600,16.37,0.49,0.24,0.27,0.52,0.22,61,0.53,22.49469333,22.43387324,0.060820091,-1575.278103,-1510.244293,-1494.386779
2011-02-16,22.414043,31.92,31.959999,31.629999,31.799999,5413000,16.72,0.49,0.24,0.27,0.52,0.22,61,0.58,22.48228559,22.43240433,0.049881255,-1583.78569,-1530.443895,-1510.811465
2011-02-17,22.456333,31.870001,31.959999,31.780001,31.860001,8173700,16.59,0.47,0.28,0.26,0.5,0.21,61,0.5,22.47829288,22.43417683,0.044116055,-1576.49431,-1550.572011,-1530.420066
2011-02-18,22.491577,31.879999,31.959999,31.799999,31.91,2978300,16.43,0.47,0.28,0.26,0.5,0.21,56,0.61,22.48033659,22.43842869,0.041907901,-1570.417759,-1568.098028,-1549.704645
2011-02-22,22.392899,31.690001,31.879999,31.629999,31.77,6011900,20.8,0.47,0.28,0.26,0.5,0.21,42,0.68,22.46688465,22.43505612,0.031828533,-1587.431207,-1578.681414,-1565.783818
2011-02-23,22.343555,31.73,31.889999,31.67,31.700001,5414400,22.13,0.47,0.28,0.26,0.5,0.21,42,0.72,22.44791086,22.42827826,0.019632601,-1595.938793,-1582.813552,-1576.530998
2011-02-24,22.258976,31.629999,31.77,31.49,31.58,7087400,21.32,0.37,0.27,0.36,0.48,0,42,0.71,22.41884396,22.41573735,0.003106608,-1337.829565,-1533.622327,-1565.039097
2011-02-25,22.385849,31.639999,31.780001,31.559999,31.76,3946800,19.22,0.37,0.27,0.36,0.48,0,42,0.49,22.41376781,22.4135234,0.000244412,-1319.442174,-1482.2119,-1532.882593
2011-02-28,22.632545,31.860001,32.23,31.799999,32.110001,12299600,18.35,0.37,0.27,0.36,0.48,0,43,0.53,22.44742584,22.42974722,0.017678619,-1196.953378,-1407.519024,-1474.451083
2011-03-01,22.406996,32,32.240002,31.780001,31.790001,12154700,21.01,0.37,0.27,0.36,0.48,0,43,0.64,22.44120587,22.42806195,0.013143919,-1211.06397,-1332.245576,-1407.3255
2011-03-02,22.442238,31.799999,31.93,31.719999,31.84,5759800,20.7,0.37,0.27,0.36,0.48,0,42,0.55,22.44136466,22.42911202,0.012252631,-1206.36505,-1254.330828,-1331.365142
2011-03-03,22.695982,31.99,32.259998,31.99,32.200001,5779600,18.6,0.37,0.3,0.33,0.46,0.04,41,0.55,22.48053655,22.44888017,0.031656384,-1142.083226,-1215.18156,-1267.252654
2011-03-04,22.562057,32.169998,32.23,31.77,32.009998,7324700,19.06,0.37,0.3,0.33,0.46,0.04,39,0.57,22.49307816,22.45726364,0.035814522,-1159.476129,-1183.188351,-1217.566913
2011-03-07,22.646645,32.139999,32.380001,32.049999,32.130001,10796800,20.66,0.37,0.3,0.33,0.46,0.04,35,0.64,22.51670383,22.47129189,0.04541194,-993.6342768,-1142.52453,-1180.298147
2011-03-08,22.900389,32.240002,32.560001,32.130001,32.490002,6719800,19.82,0.37,0.3,0.33,0.46,0.04,27,0.54,22.57573232,22.50307686,0.072655457,-802.7666329,-1060.865063,-1128.859315
2011-03-09,23.132984,32.5,32.889999,32.450001,32.82,13098900,20.22,0.37,0.3,0.33,0.46,0.04,26,0.6,22.66146335,22.54973665,0.111726697,-596.9301407,-938.978081,-1047.455891
2011-03-10,22.87219,32.700001,32.709999,32.43,32.450001,10841200,21.88,0.36,0.32,0.32,0.44,0.04,26,0.73,22.69388283,22.57362208,0.120260749,-615.5582968,-833.6730951,-944.505413
2011-03-11,22.921535,32.400002,32.639999,32.34,32.52,5020700,20.08,0.36,0.32,0.32,0.44,0.04,26,0.62,22.72890624,22.59939341,0.129512832,-612.0336515,-724.1845997,-832.278592
2011-03-14,22.618443,32.16,32.200001,31.870001,32.09,18960600,21.13,0.36,0.32,0.32,0.44,0.04,13,0.67,22.7119119,22.60080449,0.111107407,-633.6830955,-652.1943635,-736.6840195
2011-03-15,22.188488,31.5,31.65,31.370001,31.48,14233900,24.32,0.36,0.32,0.32,0.44,0.04,13,0.71,22.63138514,22.57026253,0.061122616,-604.0477027,-612.4505774,-662.9431802
2011-03-16,21.843119,31.43,31.51,30.74,30.99,15299800,29.4,0.36,0.32,0.32,0.44,0.04,11,0.79,22.51011343,22.51640004,-0.006286615,-413.8086111,-575.8262715,-613.4904041
2011-03-17,21.871311,31.280001,31.299999,30.790001,31.030001,12011600,26.37,0.28,0.31,0.4,0.41,-0.12,9,0.71,22.41183613,22.46861567,-0.056779538,-412.4973546,-535.2140831,-574.4969773
2011-03-18,21.980209,31.07,31.15,30.75,30.879999,9093300,24.44,0.28,0.31,0.4,0.41,-0.12,9,0.67,22.34543196,22.4324374,-0.087005441,-407.432329,-494.2938186,-535.1113911
2011-03-21,22.236462,31.209999,31.34,31.09,31.24,5086200,20.61,0.28,0.31,0.4,0.41,-0.12,14,0.49,22.32866735,22.4179207,-0.089253353,-395.5135793,-446.6599154,-492.055939
2011-03-22,22.272051,31.290001,31.440001,31.16,31.290001,7267600,20.21,0.28,0.31,0.4,0.41,-0.12,15,0.55,22.31995714,22.40711554,-0.087158398,-393.8582762,-404.6220301,-448.5252547
2011-03-23,22.257814,31.26,31.34,31.08,31.27,5621200,19.17,0.28,0.31,0.4,0.41,-0.12,16,0.59,22.31039666,22.39605617,-0.085659508,-394.5204626,-400.7644004,-417.3487819
2011-03-24,22.350351,31.48,31.48,31.190001,31.4,6195400,18,0.38,0.27,0.35,0.4,0.03,16,0.55,22.31654348,22.3926706,-0.076127118,-390.2164141,-396.3082122,-400.5648809
2011-03-25,22.343229,31.4,31.530001,31.360001,31.389999,3395200,17.91,0.38,0.27,0.35,0.4,0.03,19,0.53,22.32064894,22.38900826,-0.068359313,-390.54767,-392.9312804,-396.6679643
2011-03-28,22.264935,31.41,31.58,31.280001,31.280001,4587900,19.44,0.38,0.27,0.35,0.4,0.03,23,0.56,22.31207757,22.37981765,-0.067740077,-394.1892531,-392.6664152,-393.968636
2011-03-29,22.485598,31.299999,31.620001,31.209999,31.59,5437600,18.16,0.38,0.27,0.35,0.4,0.03,23,0.52,22.33877302,22.38765323,-0.048880208,-383.925853,-390.6799305,-392.0925421
2011-03-30,22.741837,31.75,32.07,31.67,31.950001,5597400,17.71,0.38,0.27,0.35,0.4,0.03,24,0.54,22.40078286,22.41388906,-0.0131062,-405.9983279,-392.9755036,-392.1072831
2011-03-31,22.684896,31.940001,31.969999,31.799999,31.870001,5494800,17.74,0.42,0.27,0.31,0.39,0.11,24,0.56,22.44449258,22.43396365,0.010528926,-423.9530652,-399.7228339,-394.4594227
2011-04-01,22.862839,32.09,32.150002,31.950001,32.119999,6166400,17.4,0.42,0.27,0.31,0.39,0.11,27,0.51,22.50885356,22.46573219,0.043121369,-539.5312058,-429.519541,-407.4059595
2011-04-04,22.848606,32.200001,32.200001,31.99,32.099998,3972300,17.5,0.42,0.27,0.31,0.39,0.11,31,0.59,22.56112317,22.49409322,0.067029952,-540.5060681,-458.782904,-429.3417596
2011-04-05,22.756073,32.09,32.119999,31.950001,31.969999,4020500,17.25,0.42,0.27,0.31,0.39,0.11,35,0.56,22.59111545,22.51349913,0.077616324,-546.8439405,-491.3665215,-459.8896555
2011-04-06,22.91979,32.119999,32.259998,32.02,32.200001,3766200,16.9,0.42,0.27,0.31,0.39,0.11,37,0.55,22.64168077,22.54359475,0.098086019,-518.5576405,-513.878384,-488.0092699
2011-04-07,22.827255,32.150002,32.200001,31.950001,32.07,5337000,17.11,0.44,0.28,0.29,0.38,0.15,37,0.53,22.67023065,22.56460662,0.105624031,-524.6857943,-534.0249298,-513.0899451
2011-04-08,22.763195,32.220001,32.240002,31.84,31.98,5951600,17.87,0.44,0.28,0.29,0.38,0.15,37,0.58,22.68453286,22.57931687,0.105215988,-704.8151777,-567.0817242,-538.328346
2011-04-11,22.464235,31.92,31.98,31.49,31.559999,9345100,16.59,0.44,0.28,0.29,0.38,0.15,34,0.62,22.65064088,22.57079229,0.079848593,-730.1508138,-605.0106733,-568.7057758
2011-04-12,22.40729,31.48,31.629999,31.35,31.48,8529700,17.09,0.44,0.28,0.29,0.38,0.15,33,0.58,22.61320228,22.55868101,0.054521277,-734.9766695,-642.6372191,-604.9098722
2011-04-13,22.464235,31.6,31.82,31.559999,31.559999,5294500,16.92,0.44,0.28,0.29,0.38,0.15,33,0.65,22.59028424,22.551685,0.038599234,-815.494436,-702.0245782,-649.8908236
2011-04-14,22.599482,31.42,31.82,31.4,31.75,5779500,16.27,0.42,0.27,0.31,0.38,0.11,30,0.69,22.59169928,22.55522552,0.036473756,-820.0500191,-761.0974232,-701.9197402
2011-04-15,22.848606,31.84,32.200001,31.799999,32.099998,7151700,15.32,0.42,0.27,0.31,0.38,0.11,28,0.63,22.63122339,22.57695741,0.054265979,-796.3239013,-779.3991679,-747.5070564
2011-04-18,22.649307,31.91,32.009998,31.629999,31.82,7145400,16.96,0.42,0.27,0.31,0.38,0.11,24,0.6,22.63400548,22.58231664,0.051688844,-815.3047765,-796.4299605,-778.9755172
2011-04-19,22.65642,31.879999,31.889999,31.73,31.83,5657100,15.83,0.42,0.27,0.31,0.38,0.11,24,0.64,22.63745387,22.58780578,0.049648094,-955.3405612,-840.5027388,-805.4439557
2011-04-20,22.948265,32.09,32.27,32.040001,32.240002,5863000,15.07,0.42,0.27,0.31,0.38,0.11,25,0.51,22.68527097,22.61450646,0.070764507,-913.2320652,-860.0502646,-832.3276546
2011-04-21,22.948265,32.23,32.27,32.119999,32.240002,4045400,14.69,0.32,0.37,0.31,0.37,0.01,30,0.62,22.72573159,22.63922931,0.086502273,-913.2320652,-878.6866739,-859.7465591
2011-04-25,22.976727,32.27,32.34,32.169998,32.279999,2505300,15.77,0.32,0.37,0.31,0.37,0.01,35,0.57,22.76434627,22.66422914,0.100117123,-845.7851515,-888.5789239,-875.7719541
