Date,Adj Close,Open,High,Low,Close,Volume,VIX,Bullish,Neutral,Bearish,Bullish 8-Week Mov Avg,Bull-Bear Spread,Fear Greed,Put Call,12 Day EMA,26 Day EMA,macd,Fast %K,Slow %K(D),Slow %D(J)
2011-02-08,27.330267,32.25,32.389999,32.25,32.369999,5160100,15.81,0.52,0.22,0.27,0.52,0.25,56,0.52,27.16241665,27.10620023,0.056216418,-509.6062651,-540.8862831,-550.2195818
2011-02-09,27.271164,32.279999,32.369999,32.200001,32.299999,4933400,15.87,0.52,0.22,0.27,0.52,0.25,56,0.52,27.17914701,27.11841977,0.060727242,-516.7271084,-533.6338562,-540.5870829
2011-02-10,27.279613,32.189999,32.360001,32.18,32.310001,4383300,16.09,0.49,0.24,0.27,0.52,0.22,56,0.55,27.19460332,27.13036001,0.064243308,-515.7091566,-522.7462617,-532.4221337
2011-02-11,27.338707,32.169998,32.459999,32.139999,32.380001,4341900,15.69,0.49,0.24,0.27,0.52,0.22,56,0.51,27.21677311,27.14579312,0.070979995,-469.0324444,-507.2322754,-521.2041311
2011-02-14,27.431581,32.439999,32.490002,32.310001,32.490002,9054900,15.95,0.49,0.24,0.27,0.52,0.22,61,0.51,27.24982048,27.16696259,0.08285789,-443.914482,-490.9978913,-506.9921428
2011-02-15,27.372478,32.369999,32.450001,32.290001,32.419998,5502400,16.37,0.49,0.24,0.27,0.52,0.22,61,0.53,27.26869087,27.18218596,0.086504914,-450.2696228,-479.1305629,-492.4535765
2011-02-16,27.516016,32.5,32.709999,32.470001,32.59,4256200,16.72,0.49,0.24,0.27,0.52,0.22,61,0.58,27.30674089,27.20691411,0.099826782,-351.6506957,-446.1152803,-472.0812448
2011-02-17,27.63422,32.509998,32.759998,32.450001,32.73,8772000,16.59,0.47,0.28,0.26,0.5,0.21,61,0.5,27.35712229,27.2385664,0.118555896,-327.1485226,-408.4031535,-444.5496656
2011-02-18,27.701769,32.709999,32.849998,32.650002,32.810001,4583200,16.43,0.47,0.28,0.26,0.5,0.21,56,0.61,27.41014486,27.2728777,0.137267162,-299.0878288,-374.4142304,-409.6442214
2011-02-22,27.279613,32.48,32.630001,32.23,32.310001,12072400,20.8,0.47,0.28,0.26,0.5,0.21,42,0.68,27.39006304,27.27337661,0.116686426,-425.5095062,-370.7332352,-384.516873
2011-02-23,27.017878,32.220001,32.32,31.99,32,9817600,22.13,0.47,0.28,0.26,0.5,0.21,42,0.72,27.3328038,27.25445079,0.078353013,-450.2015572,-370.7196221,-371.9556959
2011-02-24,27.110746,31.940001,32.18,31.870001,32.110001,9063800,21.32,0.37,0.27,0.36,0.48,0,42,0.71,27.29864106,27.24380599,0.054835073,-441.4404003,-388.677563,-376.7101401
2011-02-25,27.279613,32.209999,32.369999,32.139999,32.310001,6129200,19.22,0.37,0.27,0.36,0.48,0,42,0.49,27.29571367,27.24645836,0.049255308,-468.4083727,-416.929533,-392.108906
2011-02-28,27.583559,32.43,32.709999,32.310001,32.669998,15415100,18.35,0.37,0.27,0.36,0.48,0,43,0.53,27.33999756,27.27142878,0.068568787,-437.3933798,-444.5906432,-416.7325797
