Date,Adj Close,Open,High,Low,Close,Volume,VIX,Bullish,Neutral,Bearish,Bullish 8-Week Mov Avg,Bull-Bear Spread,Fear Greed,Put Call,12 Day EMA,26 Day EMA,macd,Fast %K,Slow %K(D),Slow %D(J)
2011-02-08,21.603861,24.18,24.469999,24.125,24.455,18940600,15.81,0.52,0.22,0.27,0.52,0.25,56,0.52,20.98996792,20.84939673,0.140571194,-94.97550679,-197.9198073,-237.0732479
2011-02-09,21.634781,24.43,24.655001,24.385,24.49,23358200,15.87,0.52,0.22,0.27,0.52,0.25,56,0.52,21.08916994,20.90757334,0.181596593,-82.49052417,-142.0295811,-192.1207414
2011-02-10,21.718706,24.385,24.59,24.295,24.584999,15578200,16.09,0.49,0.24,0.27,0.52,0.22,56,0.55,21.18602164,20.96765724,0.218364394,-77.41953026,-105.513003,-148.4874638
2011-02-11,21.943977,24.495001,24.84,24.395,24.84,17885400,15.69,0.49,0.24,0.27,0.52,0.22,56,0.51,21.30263016,21.03997723,0.26265293,-57.39255435,-86.69720248,-111.4132622
2011-02-14,21.833555,24.889999,24.924999,24.620001,24.715,13698400,15.95,0.49,0.24,0.27,0.52,0.22,61,0.51,21.3843109,21.09876076,0.285550136,-60.59457693,-74.5745385,-88.92824801
2011-02-15,21.75404,24.594999,24.790001,24.555,24.625,12511200,16.37,0.49,0.24,0.27,0.52,0.22,61,0.53,21.4411923,21.14729997,0.293892333,-64.72522843,-68.52448283,-76.59874127
2011-02-16,22.102993,24.934999,25.305,24.885,25.02,20054600,16.72,0.49,0.24,0.27,0.52,0.22,61,0.58,21.54300779,21.21809204,0.324915749,-38.91570499,-59.80951899,-67.63618011
2011-02-17,22.094162,24.940001,25.17,24.844999,25.01,12534000,16.59,0.47,0.28,0.26,0.5,0.21,61,0.5,21.62780075,21.28298611,0.344814633,-39.29882863,-52.18537867,-60.17312683
2011-02-18,22.138332,25.040001,25.145,24.955,25.059999,10035800,16.43,0.47,0.28,0.26,0.5,0.21,56,0.61,21.70634402,21.34634507,0.359998948,-37.38255965,-48.18337973,-53.39275913
2011-02-22,21.731964,24.754999,25.129999,24.584999,24.6,29364200,20.8,0.47,0.28,0.26,0.5,0.21,42,0.68,21.71028555,21.37490943,0.335376119,-59.51060692,-47.96658573,-49.44511471
