Date,DFEN,DIA,EEM,EFA,EWG,EWH,EWJ,EWZ,EZU,FAS,FAZ,FXI,GDX,GDXJ,IEFA,IEMG,IJR,ITB,IVV,IWM,KRE,PSQ,QID,SDOW,SDS,SH,SPXL,SPXS,SPXU,SPY,SRTY,TECS,TNA,TZA,UPRO,USMV,VEA,VWO,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XOP,XRT
2018-01-02,57900,4454900,68969400,26530000,3819100,2481000,8155600,19866800,4583000,1648200,218700,14290900,43172000,14051200,5393000,10928300,4904300,7426300,8545200,20489600,5995800,582400,1010800,221300,2623600,2534600,1826300,1295400,1152100,86655700,569500,5500,3278500,1572800,4046400,1742200,9308000,17804600,8979200,14891400,55436100,14903900,13722800,20146800,12270000,6708900,4282600,3760900
2018-01-03,36700,5528600,56228700,33384900,3228600,3209500,11572900,19379500,6268300,1267800,353300,13556300,45780900,13739500,5143700,10018500,3770200,3621400,3768400,21836600,4504000,532900,946900,173600,3216800,1706200,2150800,1428800,1152200,90070400,167800,5300,3026600,1307800,3050400,1994400,10178700,17896200,4952300,19299600,56906200,18155000,11331800,17950400,20807900,7606500,4604500,8779300
2018-01-04,57700,4932900,52154900,23974400,2892400,3859000,10920600,19276300,6498000,2629200,375900,11832300,31300300,8099200,5110700,18278000,3149700,2856000,3394700,14207100,6202500,693900,519500,268700,3412200,2638300,2632000,2711100,1322500,80636400,243300,4700,3105000,1610400,3868200,1109200,9883400,13003300,4120100,14306800,62247000,16483000,10746600,15455100,14971800,7762500,3927200,17627200
2018-01-05,65700,3349200,50026900,17483800,1880900,2723300,8861500,12516700,3663300,1761500,271200,8112400,21765800,7957400,5456400,10641100,2756300,2210100,4150500,19883900,3952700,679200,1184000,297800,3978500,2099000,1928900,1655900,1214300,83524000,341500,5900,3930400,1202300,4261500,1449400,8111400,12102300,4672000,14204400,37989500,16996200,9678000,15555100,23416300,7579300,3039400,5484000
2018-01-08,119400,3847500,36998200,21733700,3103400,2264500,8946800,18325100,8315500,1492300,184100,7095100,33366000,13323100,5360700,6772400,2500200,2593300,2881800,18457300,6449000,345400,698500,152600,1991600,1143000,1992500,1471700,894200,57319200,332400,3700,4230500,1389500,3300000,1607700,8245900,10947500,4539100,9779200,44252100,5727500,6733900,12891000,14300500,5167300,1949000,6099800
2018-01-09,91300,5031400,42131600,19138900,3574000,4021800,12793100,15757100,3736500,1659600,245000,13166600,40393700,11547000,7321600,6992300,1975100,2342800,3150200,16571300,6372800,776800,706800,229500,3024500,1991700,1604800,2290000,1629800,57254000,261800,1700,2949300,1235400,3892800,1998400,7721300,11180700,4755500,9234500,51418700,8967700,10606400,8357600,15438700,6962900,3194800,7205200
2018-01-10,66500,2357600,72183900,18118900,4806600,4670300,10612500,14298800,5348800,2335300,212200,13534400,28985500,13488400,7353000,10425200,2257000,3934200,3939800,18516800,8676900,530700,891600,215700,2897000,2114500,2428300,1498800,1760600,69574300,306600,4100,3362900,1579800,5394000,1123000,10860500,11029500,4220400,10822000,64670900,11669500,10407800,9663500,15562000,10835800,2644700,3302300
2018-01-11,142400,2760400,38720900,17314400,2250700,4278500,9085600,14419800,4634100,1875100,253000,8336300,23581400,11949900,5968600,9236800,2596000,3307800,3142200,26522400,7331900,372300,783700,214400,3051900,1348300,1926400,2065500,1280000,62361500,637300,3900,3904500,2489100,4733400,1362100,7529600,8602200,5821300,18089500,42361700,9448300,7887800,11500800,16545500,4247800,4836900,8989100
2018-01-12,182300,3678400,69358300,22694300,9679100,7738800,27322400,19845700,11855800,2231300,241900,17121000,55599200,17409100,15958700,18083900,2125500,2346200,4499700,24089800,5823300,678900,983800,378800,3952100,2599200,2582100,2264700,2182600,90816100,381300,4400,3192600,1798600,5586000,862000,8460100,15391100,4548700,19819200,44537500,7436200,8154300,7308900,18635300,5391700,3629000,8708100
2018-01-16,285900,8102900,80418000,24617800,2713600,5901200,11655200,15563200,8777100,2709100,380300,16052700,39719500,12749100,7004500,14788000,2485000,2785900,6537800,27704700,8241700,932300,1509200,681100,8503100,3574300,5166500,3469400,2879600,106555100,969100,8100,5531100,2665400,8537100,1945500,16171900,12005900,8512900,16894900,67563800,13343700,18221800,13806700,27292800,8920000,4313900,5750400
2018-01-17,163300,6144400,65863500,21424400,5935400,5495200,10369000,18020900,9225100,2225000,260000,16127900,41932100,14082200,5892600,9148000,3496300,1908300,4703500,18571600,6441900,1191800,873800,490300,5734100,1856900,2519300,3106400,2208400,113258800,661600,8400,3443700,1636800,6440100,1194200,8804800,14469200,10849400,14007400,54312000,7814300,14688100,12549700,23451600,7214600,3445600,5865600
2018-01-18,150300,4860200,33947000,19094600,3257200,6942400,9960800,19035500,7802500,1473800,186700,13353200,39198000,14963300,4908000,7748000,3266900,1749100,3464000,17903600,4538700,504200,720600,544600,4404700,1905700,2063900,2945600,2039400,100728000,619700,5600,3639900,1800300,4314900,1338400,8192100,9635700,5893700,11514600,49247400,7790400,14922900,12423300,21329700,7954800,2965300,2705400
